,Adj Close,Close,High,Low,Open,Volume
2008-01-02,26.84,26.84,27.9,26.78,27.41,1172300.0
2008-01-03,26.89,26.89,27.5,26.78,27.21,1140800.0
2008-01-04,26.62,26.62,27.03,26.29,26.69,929400.0
2008-01-07,26.87,26.87,26.94,26.75,26.77,3274300.0
2008-01-08,26.64,26.64,27.23,26.63,26.87,3033500.0
2008-01-09,26.99,26.99,26.99,26.45,26.77,2036100.0
2008-01-10,26.73,26.73,27.05,26.4,27.05,644500.0
2008-01-11,25.75,25.75,26.7,25.47,26.66,1782900.0
2008-01-14,25.52,25.52,25.92,25.11,25.9,1324300.0
2008-01-15,25.11,25.11,26.1,25.04,25.26,2197400.0
2008-01-16,25.67,25.67,26.34,24.96,24.96,1683100.0
2008-01-17,24.84,24.84,25.9,24.8,25.69,831500.0
2008-01-18,24.17,24.17,26.0,24.0,24.97,1441800.0
2008-01-22,23.27,23.27,23.73,22.13,23.09,1871000.0
2008-01-23,22.48,22.48,23.14,22.25,22.36,3650100.0
2008-01-24,22.91,22.91,23.18,22.25,22.38,1594400.0
2008-01-25,23.02,23.02,23.4,22.64,22.87,612000.0
2008-01-28,23.85,23.85,23.85,22.97,23.17,614200.0
2008-01-29,23.46,23.46,23.99,23.36,23.99,975600.0
2008-01-30,23.09,23.09,23.64,22.92,23.33,1148300.0
2008-01-31,23.8,23.8,24.02,22.82,22.82,895000.0
2008-02-01,23.61,23.61,24.0,23.53,23.89,924200.0
2008-02-04,24.27,24.27,24.41,23.52,23.52,530000.0
2008-02-05,23.57,23.57,24.0,23.43,23.89,589500.0
2008-02-06,23.35,23.35,23.71,23.14,23.47,1367000.0
2008-02-07,23.25,23.25,23.58,23.06,23.34,954600.0
2008-02-08,22.66,22.66,23.12,22.27,22.89,896700.0
2008-02-11,22.6,22.6,22.76,22.43,22.53,826500.0
2008-02-12,21.75,21.75,23.0,21.1,22.5,3710500.0
2008-02-13,23.18,23.18,24.16,21.89,21.96,2862700.0
2008-02-14,23.5,23.5,23.8,22.99,23.07,1597400.0
2008-02-15,23.72,23.72,23.75,23.11,23.33,1205800.0
2008-02-19,24.52,24.52,24.73,23.84,24.01,1516400.0
2008-02-20,24.95,24.95,24.98,24.32,24.48,988200.0
2008-02-21,24.57,24.57,25.1,24.32,25.0,2735400.0
2008-02-22,24.93,24.93,24.97,24.39,24.62,1074200.0
2008-02-25,25.12,25.12,25.22,24.89,24.99,1750400.0
2008-02-26,26.03,26.03,26.5,25.01,25.22,2855000.0
2008-02-27,26.49,26.49,27.04,26.04,26.04,1043000.0
2008-02-28,26.05,26.05,26.67,26.03,26.39,495600.0
2008-02-29,25.23,25.23,25.95,25.12,25.71,644500.0
2008-03-03,25.98,25.98,26.04,25.25,25.25,651100.0
2008-03-04,25.6,25.6,26.05,25.17,25.63,657800.0
2008-03-05,26.53,26.53,26.53,25.59,25.59,692400.0
2008-03-06,25.73,25.73,26.53,25.67,26.26,1216800.0
2008-03-07,24.94,24.94,25.63,24.48,25.4,1081700.0
2008-03-10,24.18,24.18,24.95,24.16,24.86,710100.0
2008-03-11,24.78,24.78,25.06,24.29,24.29,1102200.0
2008-03-12,24.77,24.77,25.06,24.51,25.01,767600.0
2008-03-13,24.53,24.53,24.68,24.06,24.35,689300.0
2008-03-14,23.71,23.71,25.42,23.6,25.42,1089900.0
2008-03-17,22.65,22.65,24.49,22.55,23.57,1563400.0
2008-03-18,23.73,23.73,23.82,22.57,22.72,1656200.0
2008-03-19,22.98,22.98,24.11,22.9,24.09,1266300.0
2008-03-20,23.47,23.47,23.75,22.35,23.75,1380200.0
2008-03-24,24.92,24.92,25.38,23.47,23.52,1010200.0
2008-03-25,24.25,24.25,25.12,24.03,24.83,670000.0
2008-03-26,23.26,23.26,24.27,23.2,23.99,884500.0
2008-03-27,22.51,22.51,23.29,22.24,23.29,1772100.0
2008-03-28,21.92,21.92,22.99,21.92,22.97,812400.0
2008-03-31,22.06,22.06,22.26,21.4,21.9,1628500.0
2008-04-01,20.64,20.64,22.72,20.11,22.02,3129900.0
2008-04-02,21.57,21.57,21.91,20.68,20.76,1909600.0
2008-04-03,21.98,21.98,22.09,21.28,21.48,1393800.0
2008-04-04,21.89,21.89,22.03,21.68,21.97,1871300.0
2008-04-07,22.01,22.01,22.36,21.77,22.01,591400.0
2008-04-08,22.23,22.23,22.42,21.79,21.8,459700.0
2008-04-09,22.29,22.29,22.41,22.18,22.33,792600.0
2008-04-10,22.17,22.17,22.34,21.97,22.02,996300.0
2008-04-11,21.52,21.52,22.0,21.41,21.95,2250900.0
2008-04-14,20.86,20.86,21.57,20.76,21.5,2281800.0
2008-04-15,20.61,20.61,21.16,20.52,20.97,1597000.0
2008-04-16,21.28,21.28,21.42,20.58,20.74,1540400.0
2008-04-17,21.6,21.6,21.88,21.25,21.38,1014300.0
2008-04-18,21.99,21.99,22.66,21.01,21.01,996100.0
2008-04-21,21.8,21.8,21.92,21.39,21.8,570900.0
2008-04-22,21.28,21.28,21.69,21.09,21.58,486000.0
2008-04-23,21.53,21.53,21.7,21.25,21.25,406400.0
2008-04-24,21.62,21.62,21.78,21.12,21.77,956400.0
2008-04-25,21.77,21.77,21.81,21.2,21.57,781300.0
2008-04-28,22.24,22.24,22.55,21.7,21.7,672100.0
2008-04-29,21.81,21.81,22.16,21.5,22.11,632100.0
2008-04-30,21.29,21.29,22.06,21.25,21.79,613100.0
2008-05-01,21.82,21.82,21.83,21.08,21.3,1565700.0
2008-05-02,22.44,22.44,22.55,21.85,21.98,1065900.0
2008-05-05,22.6,22.6,22.65,22.19,22.44,696900.0
2008-05-06,23.14,23.14,23.38,22.44,22.5,716800.0
2008-05-07,23.07,23.07,24.08,22.57,23.18,2527700.0
2008-05-08,23.38,23.38,24.4,21.75,22.1,3222900.0
2008-05-09,23.47,23.47,24.05,23.05,23.05,1488100.0
2008-05-12,23.89,23.89,23.97,23.24,23.57,1227100.0
2008-05-13,24.02,24.02,24.24,23.69,23.79,909800.0
2008-05-14,24.14,24.14,24.53,24.02,24.19,1399900.0
2008-05-15,24.88,24.88,24.88,24.01,24.05,722800.0
2008-05-16,25.14,25.14,25.17,24.7,24.97,2014900.0
2008-05-19,25.36,25.36,25.87,24.98,25.04,1145200.0
2008-05-20,25.37,25.37,25.58,25.06,25.15,713100.0
2008-05-21,25.29,25.29,25.88,25.23,25.5,919500.0
2008-05-22,25.45,25.45,25.5,24.95,25.37,1157100.0
2008-05-23,25.33,25.33,25.51,25.25,25.4,939500.0
2008-05-27,25.62,25.62,25.62,25.1,25.25,1198700.0
2008-05-28,26.11,26.11,26.16,25.53,25.64,612400.0
2008-05-29,26.35,26.35,26.43,25.83,26.26,512500.0
2008-05-30,27.01,27.01,27.32,26.18,26.27,1343300.0
2008-06-02,26.11,26.11,27.06,26.01,27.06,1119800.0
2008-06-03,26.8,26.8,27.16,25.5,26.05,1573600.0
2008-06-04,26.04,26.04,26.74,25.9,26.74,1463200.0
2008-06-05,26.25,26.25,26.3,25.64,26.22,1148600.0
2008-06-06,25.23,25.23,26.13,25.23,26.1,987100.0
2008-06-09,25.24,25.24,25.76,24.77,25.14,1007300.0
2008-06-10,24.87,24.87,25.15,24.7,25.05,1205900.0
2008-06-11,24.02,24.02,24.89,24.0,24.76,2217000.0
2008-06-12,23.41,23.41,24.18,23.21,24.15,2443200.0
2008-06-13,24.14,24.14,24.27,23.52,23.52,2030000.0
2008-06-16,23.95,23.95,24.31,23.68,23.92,1129900.0
2008-06-17,23.61,23.61,24.2,23.54,23.78,1350700.0
2008-06-18,23.56,23.56,23.9,23.33,23.33,1802700.0
2008-06-19,23.57,23.57,23.67,23.36,23.4,1685700.0
2008-06-20,23.14,23.14,23.39,22.92,23.23,1222500.0
2008-06-23,23.34,23.34,23.5,23.09,23.17,1287900.0
2008-06-24,22.79,22.79,23.32,22.51,23.22,1927300.0
2008-06-25,23.26,23.26,23.4,22.76,22.9,1609500.0
2008-06-26,22.84,22.84,23.18,22.77,22.96,1173500.0
2008-06-27,23.25,23.25,23.3,22.76,23.0,1754300.0
2008-06-30,23.14,23.14,23.3,22.87,23.2,814000.0
2008-07-01,22.89,22.89,23.14,22.5,22.77,1005300.0
2008-07-02,22.43,22.43,22.98,22.39,22.75,1671100.0
2008-07-03,22.8,22.8,22.92,22.23,22.64,372100.0
2008-07-07,22.13,22.13,23.0,21.89,22.86,968600.0
2008-07-08,23.02,23.02,23.23,21.96,22.17,1722900.0
2008-07-09,22.88,22.88,23.54,22.87,22.96,1152300.0
