,Adj Close,Close,High,Low,Open,Volume
2008-01-02,28.24,36.77,37.25,36.23,37.13,2516600.0
2008-01-03,28.17,36.68,37.78,36.56,36.56,1974000.0
2008-01-04,27.28,35.52,36.64,35.43,36.4,2505700.0
2008-01-07,26.31,34.26,35.77,34.04,35.7,2236400.0
2008-01-08,25.28,32.92,34.36,32.81,34.28,2672500.0
2008-01-09,25.63,33.37,33.53,32.37,32.82,2242300.0
2008-01-10,26.08,33.82,34.14,32.95,33.05,2806200.0
2008-01-11,25.78,33.42,34.03,33.15,33.45,1583800.0
2008-01-14,26.47,34.32,34.99,33.45,33.62,1323600.0
2008-01-15,25.58,33.17,34.28,33.08,33.84,1946800.0
2008-01-16,26.0,33.71,34.18,32.6,33.09,2136800.0
2008-01-17,25.23,32.71,34.11,32.61,33.74,2393200.0
2008-01-18,24.88,32.26,33.35,31.58,32.93,3082000.0
2008-01-22,24.48,31.74,32.31,30.65,30.65,2592200.0
2008-01-23,24.23,31.41,31.44,30.19,30.76,4391800.0
2008-01-24,25.15,32.61,32.7,31.28,31.28,3579500.0
2008-01-25,25.63,33.23,33.41,32.7,32.86,3069100.0
2008-01-28,25.73,33.36,33.41,32.41,33.41,1524900.0
2008-01-29,25.31,32.81,33.71,32.68,33.63,1490200.0
2008-01-30,25.77,33.41,34.25,31.53,32.67,2217500.0
2008-01-31,26.02,33.74,34.26,32.64,32.64,2408600.0
2008-02-01,26.14,33.89,34.32,33.63,34.04,1808300.0
2008-02-04,26.1,33.84,34.18,32.73,33.76,1776900.0
2008-02-05,25.15,32.61,33.53,32.05,32.05,1914100.0
2008-02-06,26.8,34.75,36.3,33.2,33.2,5884400.0
2008-02-07,27.09,35.12,35.15,33.93,34.8,2394000.0
2008-02-08,26.69,34.6,35.21,34.22,34.99,1197400.0
2008-02-11,27.09,35.12,35.38,34.47,34.61,1453500.0
2008-02-12,27.15,35.2,35.63,34.88,35.28,1213900.0
2008-02-13,27.65,35.85,36.35,35.27,35.4,1204700.0
2008-02-14,27.15,35.2,35.82,34.93,35.7,1804800.0
2008-02-15,27.06,35.08,35.19,34.51,35.19,2088800.0
2008-02-19,27.13,35.18,35.61,34.88,35.41,1251500.0
2008-02-20,26.99,35.0,35.19,34.37,34.7,1610200.0
2008-02-21,26.35,34.16,35.19,34.06,35.05,1365400.0
2008-02-22,26.63,34.53,34.73,34.2,34.36,1627800.0
2008-02-25,26.75,34.68,34.86,34.28,34.73,1586000.0
2008-02-26,26.74,34.67,35.22,34.28,34.58,2177300.0
2008-02-27,26.56,34.44,34.96,34.2,34.49,2229100.0
2008-02-28,25.83,33.49,34.18,33.43,34.0,2025000.0
2008-02-29,25.37,32.9,33.58,32.71,33.04,2500600.0
2008-03-03,25.41,32.95,33.15,32.56,32.87,1344400.0
2008-03-04,25.38,32.91,33.01,32.35,32.59,1752000.0
2008-03-05,25.21,32.69,33.18,32.51,32.93,1643200.0
2008-03-06,25.04,32.47,32.91,32.09,32.67,1833000.0
2008-03-07,25.01,32.43,33.45,32.16,32.16,1789200.0
2008-03-10,24.24,31.43,33.15,31.42,32.39,2281600.0
2008-03-11,24.82,32.18,32.32,31.68,31.95,4313300.0
2008-03-12,24.86,32.23,32.78,32.1,32.19,1558500.0
2008-03-13,24.74,32.08,32.71,31.73,32.26,4834600.0
2008-03-14,24.47,31.73,32.57,31.34,32.38,2963000.0
2008-03-17,24.05,31.18,32.34,30.58,31.06,3101300.0
2008-03-18,24.79,32.14,32.24,31.37,31.71,2940400.0
2008-03-19,24.69,32.01,32.73,31.76,32.23,2248400.0
2008-03-20,25.34,32.86,32.95,31.92,32.35,2985200.0
2008-03-24,26.07,33.8,33.9,32.72,33.01,2155400.0
2008-03-25,25.92,33.61,33.88,33.3,33.74,1796100.0
2008-03-26,26.25,34.04,34.2,33.22,33.38,1674200.0
