,Adj Close,Close,High,Low,Open,Volume
2008-01-02,13.44,19.72,20.4,19.66,20.4,5053400.0
2008-01-03,13.01,19.09,19.82,19.01,19.82,4998400.0
2008-01-04,12.49,18.33,19.01,18.24,19.01,5195400.0
2008-01-07,12.59,18.48,18.66,18.28,18.45,4211400.0
2008-01-08,12.06,17.7,18.67,17.69,18.59,5750900.0
2008-01-09,11.57,16.98,17.73,16.72,17.69,14958400.0
2008-01-10,11.96,17.55,17.72,16.77,16.78,6767800.0
2008-01-11,11.96,17.55,17.57,17.17,17.43,5103900.0
2008-01-14,12.09,17.74,17.96,17.37,17.72,4426000.0
2008-01-15,11.97,17.56,17.77,17.32,17.77,4625600.0
2008-01-16,12.58,18.47,18.7,17.5,17.58,6903900.0
2008-01-17,12.35,18.12,18.55,17.87,18.55,6953700.0
2008-01-18,12.13,17.8,18.48,17.48,18.28,5459500.0
2008-01-22,12.21,17.92,18.05,16.93,17.11,6219300.0
2008-01-23,12.75,18.71,18.76,17.27,17.6,6539600.0
2008-01-24,12.8,18.78,18.96,18.37,18.86,5000300.0
2008-01-25,12.65,18.56,19.16,18.25,18.93,5059500.0
2008-01-28,13.36,19.61,19.62,18.41,18.55,4622000.0
2008-01-29,13.31,19.53,19.74,19.02,19.74,3940300.0
2008-01-30,13.37,19.62,19.96,19.41,19.45,4587800.0
2008-01-31,13.17,19.32,19.58,18.55,19.58,6750700.0
2008-02-01,13.36,19.6,19.75,19.1,19.13,6385600.0
2008-02-04,12.63,18.53,19.36,18.08,18.08,5785100.0
2008-02-05,12.36,18.13,18.69,17.79,18.69,7556000.0
2008-02-06,11.97,17.57,18.22,17.49,18.22,5960300.0
2008-02-07,12.06,17.69,17.81,17.43,17.44,7470300.0
2008-02-08,11.95,17.54,17.73,17.42,17.62,5303200.0
2008-02-11,11.71,17.19,17.56,16.99,17.55,5142000.0
2008-02-12,11.65,17.09,17.33,16.99,17.3,5923100.0
2008-02-13,11.76,17.26,17.33,16.87,17.21,6294000.0
2008-02-14,11.48,16.85,17.37,16.8,17.36,5558900.0
2008-02-15,11.37,16.69,16.88,16.42,16.75,6170000.0
2008-02-19,11.53,16.91,17.24,16.75,16.91,5847000.0
2008-02-20,11.39,16.71,16.78,16.36,16.78,7068100.0
2008-02-21,11.29,16.56,16.79,16.54,16.77,5788900.0
2008-02-22,11.32,16.6,16.64,16.35,16.6,4648400.0
2008-02-25,11.42,16.76,16.79,16.43,16.63,6648900.0
2008-02-26,11.52,16.9,17.14,16.63,16.65,7163400.0
2008-02-27,11.32,16.61,16.91,16.48,16.77,6760000.0
2008-02-28,10.78,15.81,16.43,15.8,16.41,10098100.0
2008-02-29,10.75,15.77,16.03,15.7,15.82,6710100.0
2008-03-03,10.69,15.68,15.86,15.58,15.8,6843200.0
2008-03-04,10.49,15.39,15.74,15.22,15.64,7543900.0
2008-03-05,10.76,15.57,15.7,15.22,15.35,5082900.0
2008-03-06,10.51,15.21,15.51,15.19,15.47,6007000.0
2008-03-07,10.45,15.12,15.29,14.93,15.13,6437000.0
2008-03-10,10.35,14.98,15.44,14.88,15.16,3744600.0
2008-03-11,10.72,15.51,15.52,15.01,15.14,5509500.0
2008-03-12,10.78,15.6,15.98,15.42,15.57,4224600.0
2008-03-13,10.83,15.68,15.77,15.19,15.51,5024600.0
2008-03-14,10.28,14.87,15.75,14.54,15.58,8516400.0
2008-03-17,10.57,15.3,15.5,14.53,14.55,8304800.0
2008-03-18,10.91,15.79,15.79,15.35,15.59,5891700.0
2008-03-19,10.88,15.75,16.36,15.75,15.96,5563200.0
2008-03-20,10.93,15.82,15.95,15.69,15.77,6915400.0
2008-03-24,11.48,16.61,16.67,15.88,15.92,5221700.0
2008-03-25,11.12,16.1,16.65,15.87,16.53,9180900.0
2008-03-26,11.0,15.92,16.14,15.9,15.99,7867000.0
2008-03-27,10.45,15.12,15.98,15.09,15.95,6771200.0
2008-03-28,10.32,14.93,15.23,14.65,15.22,5675600.0
2008-03-31,10.5,15.2,15.29,14.89,14.96,6799500.0
2008-04-01,10.94,15.84,15.85,15.2,15.39,6218900.0
2008-04-02,11.11,16.09,16.2,15.87,16.01,4728500.0
2008-04-03,10.94,15.84,16.14,15.69,16.01,4027100.0
2008-04-04,10.65,15.42,15.84,15.32,15.8,3125400.0
2008-04-07,10.81,15.65,15.73,15.35,15.53,3907600.0
2008-04-08,10.59,15.33,15.71,15.26,15.68,2966700.0
2008-04-09,10.4,15.05,15.41,14.94,15.32,3422100.0
2008-04-10,10.33,14.96,15.11,14.77,15.02,2847800.0
