,Adj Close,Close,High,Low,Open,Volume
2008-01-02,5.98,7.01,7.22,6.91,7.18,16606800.0
2008-01-03,5.95,6.97,7.12,6.95,7.05,14970800.0
2008-01-04,5.81,6.82,6.98,6.77,6.92,23145200.0
2008-01-07,5.86,6.87,6.97,6.74,6.82,19705200.0
2008-01-08,5.67,6.65,6.94,6.63,6.89,21358000.0
2008-01-09,5.68,6.66,6.68,6.37,6.66,24629200.0
2008-01-10,6.07,7.11,7.22,6.62,6.62,44342400.0
2008-01-11,6.03,7.07,7.21,6.95,7.03,27531200.0
2008-01-14,6.11,7.16,7.17,6.98,7.15,17812000.0
2008-01-15,6.04,7.09,7.16,7.02,7.09,21245200.0
2008-01-16,6.1,7.16,7.25,7.03,7.04,25690000.0
2008-01-17,6.19,7.26,7.38,7.18,7.18,38951600.0
2008-01-18,6.16,7.22,7.42,7.07,7.34,26985600.0
2008-01-22,6.33,7.43,7.45,6.84,6.86,36284800.0
2008-01-23,6.77,7.94,7.97,7.36,7.41,54874400.0
2008-01-24,6.62,7.76,7.99,7.74,7.99,47484400.0
2008-01-25,6.44,7.55,7.82,7.49,7.82,24358000.0
2008-01-28,6.69,7.85,7.87,7.53,7.58,23434000.0
2008-01-29,6.78,7.95,7.98,7.61,7.91,32110800.0
2008-01-30,6.66,7.81,7.97,7.76,7.95,35641600.0
2008-01-31,6.74,7.9,8.0,7.64,7.7,47864800.0
2008-02-01,6.84,8.02,8.05,7.83,7.91,29752400.0
2008-02-04,6.7,7.86,8.13,7.78,8.07,20392800.0
2008-02-05,6.65,7.78,7.98,7.74,7.74,31498800.0
2008-02-06,6.6,7.72,7.92,7.68,7.82,22201600.0
2008-02-07,6.69,7.82,7.93,7.66,7.66,30453200.0
2008-02-08,6.49,7.59,7.9,7.58,7.84,24652400.0
2008-02-11,6.61,7.72,7.78,7.49,7.57,16826400.0
2008-02-12,6.56,7.67,7.82,7.6,7.79,20154800.0
2008-02-13,6.63,7.75,7.79,7.59,7.75,18487600.0
2008-02-14,6.4,7.48,7.81,7.45,7.74,19906400.0
2008-02-15,6.42,7.51,7.53,7.36,7.45,17006400.0
2008-02-19,6.36,7.43,7.62,7.41,7.53,16492800.0
2008-02-20,6.67,7.8,7.95,7.45,7.45,40065600.0
2008-02-21,6.66,7.79,7.98,7.78,7.84,31034000.0
2008-02-22,6.94,8.12,8.12,7.84,7.86,36826400.0
2008-02-25,7.02,8.21,8.24,8.03,8.12,30500000.0
2008-02-26,7.12,8.33,8.35,8.14,8.15,25894000.0
2008-02-27,7.03,8.22,8.32,8.15,8.29,25655600.0
2008-02-28,6.98,8.15,8.27,8.12,8.13,19281600.0
2008-02-29,6.84,8.0,8.19,7.95,8.04,20100400.0
2008-03-03,6.99,8.17,8.18,7.93,7.97,25012800.0
2008-03-04,7.11,8.31,8.34,7.73,8.08,37957600.0
2008-03-05,7.07,8.27,8.4,8.12,8.35,22951200.0
2008-03-06,6.73,7.86,8.27,7.85,8.27,23295200.0
2008-03-07,6.68,7.81,7.94,7.7,7.79,22973600.0
2008-03-10,6.65,7.78,7.89,7.74,7.8,18735600.0
2008-03-11,6.98,8.16,8.16,7.9,7.9,30031600.0
2008-03-12,6.95,8.13,8.31,8.06,8.18,35142000.0
2008-03-13,6.93,8.1,8.16,7.97,8.03,44156000.0
2008-03-14,6.9,8.06,8.23,7.84,8.1,30270800.0
2008-03-17,6.82,7.97,8.09,7.77,7.86,35093600.0
2008-03-18,7.06,8.26,8.26,7.99,7.99,32804800.0
2008-03-19,6.91,8.08,8.38,8.07,8.28,22332400.0
2008-03-20,7.26,8.48,8.52,8.06,8.06,32750800.0
2008-03-24,7.35,8.6,8.73,8.46,8.56,26336000.0
2008-03-25,7.37,8.61,8.65,8.49,8.62,22670400.0
2008-03-26,7.18,8.39,8.59,8.33,8.59,19526800.0
2008-03-27,7.11,8.32,8.53,8.31,8.48,17975200.0
2008-03-28,6.99,8.17,8.24,8.02,8.08,21298400.0
2008-03-31,7.07,8.27,8.33,8.11,8.15,27110800.0
2008-04-01,7.28,8.51,8.59,8.04,8.31,29122800.0
2008-04-02,7.36,8.61,8.7,8.53,8.61,26529200.0
2008-04-03,7.29,8.52,8.61,8.42,8.57,16556400.0
2008-04-04,7.09,8.29,8.56,8.2,8.56,28987200.0
2008-04-07,6.87,8.03,8.37,8.01,8.37,22320800.0
2008-04-08,6.9,8.07,8.11,7.97,8.04,14871200.0
2008-04-09,6.86,8.02,8.14,7.87,8.14,20738000.0
2008-04-10,6.6,7.72,7.93,7.5,7.77,49740800.0
2008-04-11,6.43,7.52,7.68,7.5,7.61,30362800.0
2008-04-14,6.59,7.71,7.76,7.56,7.56,23023600.0
2008-04-15,6.56,7.67,7.77,7.59,7.77,20370800.0
2008-04-16,6.68,7.81,7.84,7.67,7.72,12578800.0
2008-04-17,6.67,7.8,7.83,7.7,7.77,12254400.0
2008-04-18,6.85,8.01,8.1,7.91,7.91,19508400.0
2008-04-21,6.81,7.96,7.99,7.86,7.95,17173200.0
2008-04-22,6.73,7.87,7.93,7.72,7.91,16784400.0
2008-04-23,6.77,7.92,8.04,7.79,7.89,16981600.0
2008-04-24,6.83,7.99,8.05,7.84,7.93,30038800.0
2008-04-25,7.04,8.23,8.25,7.99,8.04,17293600.0
2008-04-28,7.04,8.23,8.29,8.13,8.26,14532000.0
2008-04-29,7.12,8.32,8.37,8.18,8.23,12074000.0
2008-04-30,6.89,8.06,8.41,8.01,8.38,21898400.0
2008-05-01,7.06,8.25,8.36,7.87,7.96,15982800.0
2008-05-02,6.87,8.03,8.45,8.01,8.35,25820800.0
2008-05-05,6.73,7.86,8.06,7.83,7.97,23358800.0
2008-05-06,6.88,8.01,8.06,7.77,7.84,17929600.0
2008-05-07,6.81,7.94,8.13,7.93,8.02,14819600.0
2008-05-08,6.65,7.75,8.09,7.7,8.01,30764800.0
2008-05-09,6.66,7.76,7.89,7.62,7.73,22303200.0
2008-05-12,6.9,8.03,8.1,7.79,7.79,18349600.0
2008-05-13,6.58,7.66,8.08,7.58,8.08,45749600.0
2008-05-14,6.74,7.85,8.0,7.66,7.71,25112400.0
2008-05-15,6.88,8.01,8.02,7.76,7.87,20230800.0
2008-05-16,6.83,7.96,8.12,7.84,8.12,21006400.0
2008-05-19,6.8,7.93,8.05,7.88,7.95,16184000.0
2008-05-20,6.73,7.84,7.91,7.75,7.9,17974400.0
2008-05-21,6.66,7.76,7.91,7.74,7.86,25532400.0
2008-05-22,6.73,7.84,7.94,7.71,7.78,12895600.0
2008-05-23,6.7,7.8,7.91,7.67,7.82,24772800.0
2008-05-27,6.8,7.92,8.02,7.79,7.83,17551600.0
2008-05-28,6.82,7.94,8.03,7.82,7.96,16299200.0
2008-05-29,6.91,8.05,8.1,7.84,7.94,14904000.0
2008-05-30,6.88,8.02,8.06,7.93,8.05,11889600.0
2008-06-02,6.78,7.89,7.95,7.71,7.88,18446400.0
2008-06-03,6.88,8.01,8.05,7.91,7.91,19141600.0
2008-06-04,6.92,8.06,8.15,7.92,7.92,15972000.0
2008-06-05,7.07,8.24,8.31,8.07,8.13,20245600.0
2008-06-06,6.78,7.9,8.15,7.86,8.11,22778800.0
