,Adj Close,Close,High,Low,Open,Volume
2008-01-02,53.7,55.8,57.75,55.53,57.68,3289100.0
2008-01-03,54.87,57.01,57.43,55.88,56.09,2141400.0
2008-01-04,53.84,55.94,57.0,55.94,56.63,2019300.0
2008-01-07,54.78,56.92,57.0,56.09,56.17,2206800.0
2008-01-08,54.74,56.88,57.81,56.41,57.09,3195300.0
2008-01-09,53.39,55.47,57.17,54.49,56.96,4937000.0
2008-01-10,53.91,56.01,56.41,54.41,55.28,4331200.0
2008-01-11,52.92,54.99,55.86,54.9,55.38,2143000.0
2008-01-14,53.54,55.63,55.96,54.89,55.5,2071000.0
2008-01-15,52.69,54.75,55.74,54.26,55.41,3559600.0
2008-01-16,52.73,54.79,55.37,54.22,54.59,2514400.0
2008-01-17,51.77,53.79,54.87,52.51,54.8,5466700.0
2008-01-18,50.06,52.02,54.26,51.6,54.26,6419100.0
2008-01-22,48.69,50.59,51.68,46.63,48.61,11023900.0
2008-01-23,48.46,50.35,50.4,49.13,49.47,12740500.0
2008-01-24,48.18,50.06,50.72,49.78,50.57,3525400.0
2008-01-25,49.67,51.61,52.48,50.64,50.75,4919100.0
2008-01-28,49.46,51.39,51.76,50.86,51.76,2497200.0
2008-01-29,50.63,52.61,52.74,51.04,51.7,2823000.0
2008-01-30,49.14,51.06,52.26,50.96,52.15,3866900.0
2008-01-31,49.55,51.49,51.74,50.0,50.41,3672300.0
2008-02-01,50.41,52.38,52.5,50.78,51.41,3498900.0
2008-02-04,49.18,51.1,52.56,50.71,52.39,4364400.0
2008-02-05,48.35,50.24,50.76,49.37,50.68,4327400.0
2008-02-06,52.02,54.05,56.26,53.71,54.24,8935100.0
2008-02-07,53.4,55.49,56.0,53.75,53.75,4679400.0
2008-02-08,53.34,55.42,56.55,54.95,55.12,4183100.0
2008-02-11,53.81,55.91,56.21,55.12,55.51,2199800.0
2008-02-12,54.64,56.77,57.07,55.6,56.31,2545800.0
2008-02-13,55.01,57.16,57.37,56.33,57.16,2833900.0
2008-02-14,54.51,56.64,57.5,56.61,57.37,2110300.0
2008-02-15,55.07,57.22,57.34,56.08,56.58,1939800.0
2008-02-19,54.67,56.81,57.82,56.58,57.29,1907700.0
2008-02-20,55.0,57.15,57.35,56.23,56.75,1957400.0
2008-02-21,54.14,56.25,57.5,56.18,57.35,1368900.0
2008-02-22,54.06,56.17,56.6,55.34,56.5,2300400.0
2008-02-25,55.76,57.94,57.99,56.39,56.44,2354100.0
2008-02-26,55.81,57.99,58.0,57.51,57.77,1837200.0
2008-02-27,55.51,57.68,58.01,57.29,57.68,1846900.0
2008-02-28,54.89,57.03,57.52,56.44,57.3,1360800.0
2008-02-29,53.83,55.93,56.94,55.59,56.51,2529700.0
2008-03-03,53.33,55.41,56.15,55.07,55.93,2402100.0
2008-03-04,52.92,54.99,55.33,54.0,55.01,4030000.0
2008-03-05,52.79,54.85,55.86,54.4,55.25,3034800.0
2008-03-06,51.78,53.8,55.01,53.8,54.48,2280600.0
2008-03-07,51.56,53.57,54.02,53.12,53.28,3281000.0
2008-03-10,50.38,52.35,53.74,52.3,53.51,2926000.0
2008-03-11,51.43,53.44,53.47,52.01,52.01,3093800.0
2008-03-12,51.29,53.29,54.23,53.09,53.45,3037000.0
2008-03-13,52.34,54.38,54.58,52.62,52.67,2952200.0
2008-03-14,51.3,53.3,54.7,52.57,54.67,3369800.0
2008-03-17,50.58,52.56,53.54,52.14,52.14,4300900.0
2008-03-18,52.12,54.16,54.16,53.07,53.25,2768200.0
2008-03-19,51.89,53.92,55.25,53.92,54.2,2949200.0
2008-03-20,52.23,54.27,54.48,53.4,54.12,3151900.0
2008-03-24,53.64,55.73,56.04,54.5,54.5,1751200.0
2008-03-25,54.48,56.61,56.97,55.88,56.4,5035500.0
2008-03-26,54.23,56.35,56.68,55.85,56.43,2162000.0
2008-03-27,53.61,55.7,56.66,55.42,56.64,2125700.0
2008-03-28,54.32,56.44,57.14,55.66,55.86,2713400.0
2008-03-31,54.7,56.84,57.16,56.07,56.56,3189100.0
2008-04-01,56.97,59.19,59.19,56.87,56.87,3628600.0
2008-04-02,56.42,58.62,59.66,58.37,58.65,2480400.0
2008-04-03,55.82,58.0,58.57,57.77,58.28,2360000.0
2008-04-04,55.77,57.95,58.27,57.52,58.16,2602000.0
2008-04-07,55.19,57.35,58.22,57.25,58.1,2422800.0
2008-04-08,54.74,56.88,57.3,56.53,57.17,2731900.0
2008-04-09,54.42,56.55,57.4,56.21,56.88,1986400.0
2008-04-10,53.7,55.8,56.44,55.49,56.44,2359200.0
2008-04-11,52.41,54.46,55.78,54.32,55.28,2616500.0
2008-04-14,52.69,54.75,54.97,54.31,54.55,2007400.0
2008-04-15,51.45,53.46,54.43,52.73,53.48,3956200.0
2008-04-16,52.8,54.86,54.97,53.43,53.81,3744700.0
2008-04-17,53.0,55.07,55.21,54.8,54.94,2261500.0
2008-04-18,54.59,56.72,56.84,56.22,56.55,2380100.0
2008-04-21,53.91,56.01,56.52,55.75,56.52,1805600.0
2008-04-22,53.11,55.18,55.75,54.79,55.5,2575300.0
2008-04-23,54.01,56.12,56.4,55.28,55.58,3528200.0
2008-04-24,53.49,55.58,56.84,53.32,56.84,7307000.0
2008-04-25,53.87,55.97,56.3,55.31,55.9,3404600.0
2008-04-28,55.01,57.16,57.7,55.85,55.85,3354400.0
2008-04-29,55.28,57.44,57.86,57.01,57.01,2516100.0
2008-04-30,55.7,57.87,58.66,57.56,57.65,3099700.0
2008-05-01,56.53,58.74,58.79,57.38,57.5,1991000.0
2008-05-02,56.45,58.65,59.5,58.35,58.77,2808200.0
2008-05-05,56.03,58.22,58.81,57.8,58.67,2063300.0
2008-05-06,55.08,57.23,58.35,57.04,57.88,3595300.0
2008-05-07,54.58,56.71,57.7,56.54,57.24,2469100.0
2008-05-08,54.81,56.95,57.3,56.51,57.15,1982100.0
2008-05-09,54.15,56.26,56.88,55.91,56.2,1330100.0
2008-05-12,55.0,57.15,57.21,56.3,56.3,1230600.0
2008-05-13,55.45,57.62,57.94,57.05,57.8,2243800.0
2008-05-14,55.27,57.43,58.37,57.21,57.55,2589400.0
2008-05-15,55.42,57.58,57.79,56.85,57.22,1516100.0
2008-05-16,55.76,57.94,58.0,57.23,57.63,2351300.0
2008-05-19,56.24,58.44,59.0,57.7,58.0,2918600.0
2008-05-20,56.16,58.35,59.01,57.42,57.86,3419000.0
2008-05-21,56.82,59.04,59.87,58.31,58.34,3170300.0
2008-05-22,55.81,57.99,58.94,57.81,58.73,2567300.0
2008-05-23,55.73,57.91,58.05,57.53,57.85,1512700.0
2008-05-27,55.82,58.0,58.22,57.27,57.9,2088600.0
2008-05-28,55.76,57.94,58.2,57.64,58.05,1364600.0
2008-05-29,56.45,58.65,58.92,57.57,57.95,1785000.0
2008-05-30,56.8,59.02,59.19,58.44,58.65,1690200.0
2008-06-02,55.95,58.13,59.7,57.56,58.91,2760100.0
2008-06-03,56.16,58.35,59.02,57.86,58.38,2053700.0
2008-06-04,56.11,58.3,58.93,58.05,58.08,2143600.0
2008-06-05,57.01,59.24,59.37,58.15,58.62,1586400.0
2008-06-06,55.74,57.92,58.88,57.85,58.49,2151300.0
2008-06-09,55.43,57.59,58.38,57.2,58.35,1855600.0
2008-06-10,55.79,57.97,58.27,56.84,57.2,2470200.0
2008-06-11,54.75,56.89,57.9,56.84,57.81,1658400.0
2008-06-12,56.12,58.31,58.95,57.5,57.5,2098900.0
