,Adj Close,Close,High,Low,Open,Volume
2008-01-02,7.71,8.55,8.98,8.53,8.92,1436800.0
2008-01-03,7.45,8.27,8.67,8.21,8.59,1702400.0
2008-01-04,7.2,7.98,8.23,7.82,8.22,2531200.0
2008-01-07,7.32,8.12,8.37,7.98,8.06,1954000.0
2008-01-08,7.16,7.93,8.38,7.91,8.2,1676400.0
2008-01-09,7.1,7.88,8.02,7.59,7.95,2144800.0
2008-01-10,7.26,8.05,8.23,7.72,7.86,2182400.0
2008-01-11,6.89,7.64,7.97,7.57,7.91,2880800.0
2008-01-14,7.05,7.82,7.84,7.52,7.65,2009200.0
2008-01-15,6.88,7.63,7.74,7.56,7.66,1414000.0
2008-01-16,7.06,7.83,8.02,7.3,7.38,3394800.0
2008-01-17,6.82,7.57,8.03,7.47,7.83,3482000.0
2008-01-18,6.65,7.37,7.86,7.36,7.58,3160000.0
2008-01-22,6.86,7.61,7.74,7.0,7.08,4602800.0
2008-01-23,7.6,8.43,8.53,7.27,7.38,6788000.0
2008-01-24,7.41,8.22,8.7,8.13,8.39,3410800.0
2008-01-25,7.44,8.25,8.36,8.12,8.24,2300000.0
2008-01-28,7.67,8.51,8.54,8.07,8.3,1942000.0
2008-01-29,7.94,8.81,8.88,8.4,8.54,2204800.0
2008-01-30,7.59,8.41,8.87,8.35,8.87,3054800.0
2008-01-31,8.69,9.64,9.97,8.75,8.88,12055200.0
2008-02-01,8.97,9.95,10.07,9.55,9.72,3431600.0
2008-02-04,8.79,9.74,9.98,9.65,9.98,2513600.0
2008-02-05,8.53,9.45,9.79,9.43,9.55,2105200.0
2008-02-06,8.54,9.47,9.75,9.38,9.53,2382800.0
2008-02-07,8.9,9.87,10.02,9.39,9.4,2846000.0
2008-02-08,9.08,10.07,10.31,9.84,9.85,2618000.0
2008-02-11,9.34,10.36,10.39,9.94,10.11,2466400.0
2008-02-12,9.21,10.21,10.49,10.12,10.4,1905200.0
2008-02-13,9.31,10.32,10.39,10.16,10.24,1189600.0
2008-02-14,9.06,10.05,10.39,9.98,10.32,1749600.0
2008-02-15,8.96,9.93,10.04,9.8,10.02,1530400.0
2008-02-19,8.73,9.69,10.11,9.64,9.98,1331600.0
2008-02-20,8.74,9.69,9.73,9.48,9.62,2876000.0
2008-02-21,8.57,9.51,9.88,9.44,9.76,1716800.0
2008-02-22,8.69,9.64,9.67,9.43,9.5,1233200.0
2008-02-25,8.95,9.92,9.98,9.46,9.57,1452800.0
2008-02-26,9.24,10.25,10.3,9.81,9.99,1699200.0
2008-02-27,9.14,10.13,10.29,9.99,10.15,1079200.0
2008-02-28,8.83,9.8,10.15,9.8,10.14,1098000.0
2008-02-29,8.44,9.36,9.78,9.31,9.76,1832400.0
2008-03-03,8.61,9.55,9.63,9.12,9.32,1573600.0
2008-03-04,8.59,9.52,9.62,9.24,9.44,1948400.0
2008-03-05,8.65,9.59,9.85,9.44,9.53,1116400.0
2008-03-06,8.21,9.11,9.62,9.08,9.58,979600.0
2008-03-07,8.22,9.11,9.38,9.0,9.07,1107200.0
2008-03-10,8.02,8.89,9.22,8.89,9.16,1129200.0
2008-03-11,8.37,9.28,9.35,9.06,9.06,1002000.0
2008-03-12,8.36,9.27,9.58,9.11,9.3,1003600.0
2008-03-13,8.4,9.31,9.43,8.87,9.09,2295600.0
2008-03-14,8.28,9.18,9.31,8.77,9.13,1886000.0
2008-03-17,8.47,9.39,9.47,8.94,8.97,2406400.0
2008-03-18,8.98,9.95,9.99,9.58,9.58,2322400.0
2008-03-19,9.0,9.98,10.27,9.89,9.95,2360400.0
2008-03-20,9.29,10.31,10.35,9.89,10.02,1935200.0
2008-03-24,9.47,10.49,10.81,10.25,10.36,2978400.0
2008-03-25,9.49,10.52,10.7,10.35,10.6,1462800.0
2008-03-26,9.39,10.41,10.65,10.31,10.65,1077200.0
2008-03-27,9.15,10.14,10.52,10.11,10.5,1237600.0
2008-03-28,8.88,9.85,10.22,9.78,10.22,1799200.0
2008-03-31,8.91,9.88,10.02,9.76,9.76,2506000.0
2008-04-01,9.07,10.06,10.14,9.74,9.76,2760000.0
2008-04-02,9.17,10.17,10.52,10.1,10.1,1932000.0
2008-04-03,9.14,10.14,10.26,9.97,10.09,1353200.0
2008-04-04,8.73,9.68,10.02,9.59,10.02,3274400.0
2008-04-07,8.73,9.68,9.88,9.59,9.72,1313600.0
2008-04-08,8.62,9.55,9.68,9.47,9.62,1228800.0
2008-04-09,8.28,9.19,9.54,9.15,9.54,1442800.0
2008-04-10,8.49,9.41,9.65,9.09,9.15,1386000.0
2008-04-11,8.37,9.28,9.61,9.24,9.36,2053600.0
2008-04-14,8.17,9.06,9.34,9.01,9.19,1933200.0
2008-04-15,8.28,9.18,9.22,9.0,9.04,2058800.0
2008-04-16,8.36,9.27,9.38,9.22,9.24,1648800.0
2008-04-17,8.29,9.2,9.27,9.12,9.27,1639200.0
2008-04-18,8.34,9.24,9.43,9.15,9.38,2741600.0
2008-04-21,8.31,9.21,9.42,9.12,9.24,2278400.0
2008-04-22,8.24,9.14,9.33,8.93,9.25,3516800.0
2008-04-23,8.45,9.37,9.4,9.02,9.09,4492400.0
2008-04-24,7.94,8.81,9.06,8.27,8.62,11309200.0
2008-04-25,8.11,8.99,9.11,8.75,8.9,3887600.0
2008-04-28,8.28,9.18,9.28,8.9,9.0,2490800.0
2008-04-29,8.19,9.09,9.24,9.05,9.11,1834000.0
2008-04-30,8.02,8.89,9.35,8.85,9.0,2198800.0
2008-05-01,8.22,9.11,9.16,8.78,8.87,3362400.0
2008-05-02,8.08,8.96,9.2,8.88,9.2,1985200.0
2008-05-05,7.91,8.77,9.01,8.76,8.94,1530800.0
2008-05-06,7.76,8.6,8.77,8.45,8.75,2370400.0
2008-05-07,7.64,8.47,8.85,8.46,8.6,1434800.0
2008-05-08,7.63,8.46,8.62,8.34,8.55,1612000.0
2008-05-09,7.51,8.32,8.48,8.3,8.37,1997200.0
2008-05-12,7.52,8.34,8.4,8.12,8.3,2979600.0
2008-05-13,7.7,8.54,8.55,8.35,8.35,1694400.0
2008-05-14,7.74,8.58,8.72,8.54,8.59,1268800.0
2008-05-15,7.9,8.77,8.79,8.46,8.6,1402800.0
2008-05-16,7.64,8.48,8.79,8.4,8.78,2257600.0
2008-05-19,7.43,8.24,8.47,8.24,8.46,1523600.0
2008-05-20,7.3,8.09,8.25,8.08,8.24,1922400.0
2008-05-21,7.15,7.93,8.19,7.88,8.07,2025200.0
2008-05-22,7.26,8.05,8.18,7.94,7.94,1271600.0
2008-05-23,7.32,8.12,8.18,7.83,8.0,1899600.0
2008-05-27,7.51,8.33,8.45,8.1,8.11,1905200.0
2008-05-28,7.62,8.45,8.51,8.35,8.35,1568000.0
2008-05-29,7.66,8.49,8.65,8.42,8.42,1746400.0
2008-05-30,7.7,8.54,8.62,8.41,8.56,1823600.0
2008-06-02,7.83,8.69,8.91,8.5,8.87,3160400.0
2008-06-03,7.89,8.75,8.76,8.56,8.69,1794000.0
2008-06-04,7.99,8.86,8.99,8.68,8.77,2375200.0
2008-06-05,8.09,8.97,9.09,8.88,8.92,2058800.0
2008-06-06,7.51,8.33,8.95,8.3,8.95,2250400.0
2008-06-09,7.24,8.02,8.34,7.95,8.31,3071600.0
2008-06-10,7.5,8.31,8.38,7.85,7.99,2920800.0
2008-06-11,7.22,8.01,8.28,7.99,8.27,3176400.0
2008-06-12,7.26,8.05,8.64,8.03,8.09,3663600.0
2008-06-13,7.29,8.09,8.18,7.9,8.07,4154800.0
2008-06-16,7.24,8.02,8.18,7.94,8.03,3381600.0
2008-06-17,7.22,8.01,8.16,7.99,8.16,2542400.0
2008-06-18,7.15,7.93,8.03,7.78,7.9,2428400.0
2008-06-19,7.39,8.19,8.22,7.94,7.97,2454000.0
2008-06-20,7.15,7.93,8.2,7.88,8.14,4361600.0
2008-06-23,6.88,7.63,8.02,7.51,7.94,2019600.0
2008-06-24,6.77,7.5,7.7,7.43,7.55,2889200.0
2008-06-25,6.77,7.5,7.86,7.48,7.55,2343600.0
2008-06-26,6.54,7.25,7.55,7.23,7.45,2644000.0
2008-06-27,6.67,7.39,7.56,7.09,7.22,18416800.0
2008-06-30,6.55,7.26,7.59,7.26,7.4,2654000.0
2008-07-01,6.59,7.31,7.41,7.04,7.17,3556000.0
2008-07-02,6.37,7.07,7.42,7.02,7.29,3187600.0
2008-07-03,6.46,7.16,7.33,7.05,7.08,1526000.0
2008-07-07,6.42,7.12,7.43,7.0,7.22,3230000.0
2008-07-08,6.76,7.49,7.5,7.09,7.09,2441600.0
2008-07-09,6.26,6.94,7.47,6.89,7.45,4396000.0
2008-07-10,6.27,6.96,7.2,6.92,6.94,2565600.0
2008-07-11,6.44,7.14,7.27,6.68,6.89,3546400.0
2008-07-14,6.36,7.05,7.39,6.98,7.2,2057600.0
2008-07-15,6.5,7.21,7.47,6.94,6.98,3862400.0
2008-07-16,6.76,7.5,7.64,7.12,7.26,3389200.0
2008-07-17,6.95,7.71,8.16,7.6,7.65,5559200.0
2008-07-18,6.84,7.59,7.9,7.4,7.67,3754000.0
2008-07-21,6.9,7.65,7.75,7.47,7.65,3877200.0
2008-07-22,7.11,7.88,7.88,7.5,7.61,3580000.0
2008-07-23,7.58,8.4,8.5,7.82,7.97,5692400.0
2008-07-24,8.47,9.39,9.78,9.31,9.36,12523600.0
2008-07-25,8.59,9.52,9.79,9.35,9.44,6814400.0
2008-07-28,8.43,9.34,9.6,9.22,9.5,4386000.0
2008-07-29,8.95,9.92,9.94,9.35,9.44,4409200.0
2008-07-30,8.57,9.5,10.25,9.43,9.98,5803200.0
2008-07-31,8.57,9.5,9.72,9.22,9.39,3961600.0
2008-08-01,8.74,9.69,9.81,9.37,9.56,3484400.0
2008-08-04,8.66,9.61,9.89,9.48,9.61,3269600.0
2008-08-05,9.18,10.18,10.21,9.76,9.83,4699600.0
2008-08-06,9.05,10.04,10.16,9.86,10.0,3705200.0
2008-08-07,8.94,9.91,10.12,9.73,10.0,2207200.0
2008-08-08,9.43,10.45,10.5,9.89,9.9,3668800.0
2008-08-11,9.54,10.58,11.14,10.27,10.46,3556000.0
2008-08-12,9.51,10.54,10.78,10.39,10.52,3128400.0
2008-08-13,9.01,9.99,10.48,9.84,10.43,3883600.0
2008-08-14,9.15,10.15,10.41,9.88,9.9,4302800.0
2008-08-15,9.52,10.56,10.73,10.22,10.31,2954800.0
2008-08-18,9.55,10.59,10.77,10.35,10.65,2859600.0
2008-08-19,9.2,10.2,10.7,10.12,10.48,3095200.0
2008-08-20,9.32,10.34,10.57,10.16,10.23,2430000.0
2008-08-21,9.17,10.17,10.4,9.97,10.21,1990000.0
2008-08-22,9.41,10.44,10.66,10.19,10.26,2562000.0
2008-08-25,9.22,10.23,10.4,10.15,10.32,1562400.0
2008-08-26,9.31,10.32,10.42,10.19,10.25,1926800.0
2008-08-27,9.44,10.46,10.57,10.15,10.35,1884800.0
2008-08-28,9.68,10.73,10.75,10.42,10.56,1820800.0
2008-08-29,9.61,10.65,10.85,10.58,10.66,1074800.0
2008-09-02,10.0,11.09,11.42,10.67,10.93,2892400.0
2008-09-03,10.18,11.28,11.41,10.92,11.1,3382400.0
2008-09-04,10.15,11.26,11.41,10.98,11.09,4530000.0
2008-09-05,9.83,10.9,11.25,10.66,11.25,3998800.0
2008-09-08,9.98,11.07,11.3,10.72,11.09,3411600.0
2008-09-09,9.85,10.92,11.37,10.86,11.1,2061600.0
2008-09-10,9.96,11.04,11.18,10.67,11.12,2868400.0
2008-09-11,10.05,11.15,11.18,10.68,10.72,2330800.0
2008-09-12,9.84,10.91,11.08,10.75,11.08,2308800.0
2008-09-15,9.63,10.68,11.12,10.35,10.52,2135200.0
2008-09-16,9.89,10.97,11.05,10.51,10.84,2791200.0
2008-09-17,9.41,10.43,11.08,10.38,10.84,3555600.0
2008-09-18,10.22,11.33,11.44,10.34,10.68,4134800.0
2008-09-19,10.15,11.26,11.88,10.88,11.19,6560800.0
2008-09-22,9.78,10.84,11.35,10.56,11.04,1990400.0
2008-09-23,9.86,10.93,11.2,10.77,10.88,1907600.0
2008-09-24,9.87,10.94,11.25,10.85,10.93,1996000.0
2008-09-25,10.2,11.31,11.39,10.83,11.03,2221600.0
2008-09-26,10.26,11.37,11.45,11.06,11.06,3278000.0
2008-09-29,9.93,11.01,11.35,10.87,11.2,2578800.0
2008-09-30,9.48,10.51,11.24,10.28,11.24,2709600.0
2008-10-01,9.22,10.22,10.61,10.15,10.49,1893600.0
2008-10-02,8.62,9.56,10.15,9.47,10.14,3625600.0
2008-10-03,8.31,9.22,9.85,9.16,9.69,3464800.0
2008-10-06,8.52,9.45,9.47,8.75,9.24,5094800.0
2008-10-07,8.66,9.61,10.11,9.44,9.6,6452800.0
2008-10-08,8.82,9.78,10.36,8.77,9.25,5697600.0
2008-10-09,8.2,9.1,10.05,9.02,9.91,6106000.0
2008-10-10,8.61,9.55,9.72,8.25,8.74,5271200.0
2008-10-13,8.84,9.8,10.24,9.47,9.98,4580400.0
2008-10-14,8.52,9.44,10.35,9.25,10.08,4404400.0
2008-10-15,7.61,8.44,9.25,8.39,9.08,4569600.0
2008-10-16,8.11,8.99,9.1,8.25,8.54,4648800.0
2008-10-17,7.82,8.67,9.07,8.61,8.77,4474800.0
2008-10-20,8.0,8.87,8.94,8.55,8.75,2488800.0
2008-10-21,8.01,8.88,9.19,8.64,8.76,3566000.0
2008-10-22,7.54,8.35,8.73,8.09,8.6,3364000.0
2008-10-23,7.94,8.8,9.72,8.57,8.8,13969600.0
2008-10-24,8.16,9.04,9.21,8.17,8.17,4230800.0
2008-10-27,7.83,8.68,9.16,8.68,9.06,3195600.0
2008-10-28,8.73,9.68,9.69,8.79,9.09,4778000.0
2008-10-29,8.69,9.63,9.98,9.41,9.74,4012800.0
2008-10-30,8.92,9.89,9.98,9.56,9.85,2197600.0
2008-10-31,9.37,10.39,10.59,9.32,9.81,2736800.0
2008-11-03,9.42,10.45,10.69,10.2,10.37,3527200.0
2008-11-04,9.35,10.36,10.51,10.14,10.47,2543600.0
2008-11-05,8.7,9.65,10.35,9.61,10.24,3162800.0
2008-11-06,8.82,9.78,10.07,9.58,9.6,2492400.0
2008-11-07,9.21,10.22,10.23,9.68,9.82,2555200.0
2008-11-10,8.84,9.8,10.48,9.68,10.45,2659600.0
2008-11-11,8.21,9.1,9.74,9.02,9.74,4550400.0
2008-11-12,7.94,8.81,9.1,8.59,8.98,4073600.0
2008-11-13,8.18,9.07,9.09,7.92,8.82,5444400.0
2008-11-14,7.77,8.62,9.25,8.62,8.94,2898800.0
2008-11-17,7.63,8.47,8.91,8.44,8.51,2802000.0
2008-11-18,7.72,8.56,8.81,8.27,8.5,3450800.0
2008-11-19,7.33,8.12,8.66,8.0,8.53,3900800.0
2008-11-20,7.45,8.26,8.9,8.01,8.09,4234800.0
2008-11-21,7.86,8.72,8.75,8.08,8.38,4214800.0
2008-11-24,8.31,9.21,9.39,8.52,8.81,2874800.0
2008-11-25,8.32,9.23,9.46,8.76,9.28,2696400.0
2008-11-26,8.61,9.55,9.77,8.94,9.0,3564000.0
2008-11-28,8.65,9.6,9.73,9.38,9.46,810400.0
2008-12-01,7.93,8.79,9.57,8.77,9.47,2887600.0
2008-12-02,8.06,8.94,9.24,8.61,9.0,3336000.0
2008-12-03,8.04,8.91,9.06,8.67,8.93,3216400.0
2008-12-04,8.46,9.38,9.82,8.88,8.88,4699600.0
2008-12-05,8.93,9.9,9.92,9.12,9.22,4304400.0
2008-12-08,9.28,10.29,10.45,9.96,9.99,5826000.0
2008-12-09,9.1,10.09,10.62,10.03,10.15,3649200.0
2008-12-10,9.02,10.0,10.6,9.97,10.17,3051200.0
2008-12-11,8.55,9.48,10.22,9.35,10.05,4768000.0
2008-12-12,8.79,9.74,9.94,9.28,9.58,2917600.0
2008-12-15,8.72,9.67,9.93,9.48,9.81,2278000.0
2008-12-16,9.32,10.34,10.42,9.81,9.83,2554000.0
2008-12-17,9.71,10.77,10.81,10.14,10.2,3512000.0
2008-12-18,8.6,9.54,10.69,9.4,10.4,6918000.0
2008-12-19,8.25,9.15,9.65,8.88,9.58,6706800.0
2008-12-22,7.78,8.63,8.98,8.28,8.92,5416800.0
2008-12-23,7.81,8.66,8.83,8.54,8.71,2026400.0
2008-12-24,7.81,8.66,8.76,8.54,8.69,616000.0
2008-12-26,7.78,8.63,8.77,8.55,8.71,778000.0
2008-12-29,7.48,8.3,8.62,8.15,8.59,1890000.0
2008-12-30,7.63,8.47,8.52,8.21,8.39,2714400.0
2008-12-31,8.15,9.03,9.1,8.45,8.45,4150400.0
2009-01-02,8.28,9.18,9.27,8.91,9.22,3110000.0
2009-01-05,8.08,8.96,9.31,8.89,9.31,5456400.0
2009-01-06,7.85,8.7,9.09,8.52,8.99,4319200.0
2009-01-07,7.43,8.24,8.31,8.02,8.15,6407200.0
2009-01-08,7.44,8.25,8.37,8.08,8.31,4115600.0
2009-01-09,7.32,8.11,8.26,8.02,8.23,3108800.0
2009-01-12,7.37,8.17,8.3,8.0,8.03,2988000.0
2009-01-13,7.41,8.21,8.38,8.1,8.12,3322400.0
2009-01-14,7.08,7.85,8.23,7.75,8.12,4589600.0
2009-01-15,7.39,8.2,8.41,7.77,7.84,4175200.0
2009-01-16,7.69,8.53,8.6,8.12,8.39,3157600.0
