,Adj Close,Close,High,Low,Open,Volume
2008-01-02,0.07,0.07,0.07,0.07,0.07,200.0
2008-01-03,0.08,0.08,0.08,0.08,0.08,4000.0
2008-01-04,0.07,0.07,0.07,0.07,0.07,0.0
2008-01-07,0.07,0.07,0.07,0.07,0.07,230.0
2008-01-08,0.07,0.07,0.07,0.07,0.07,4100.0
2008-01-09,9.62,9.62,9.69,9.59,9.64,546379.0
2008-01-10,0.07,0.07,0.07,0.07,0.07,1.0
2008-01-11,0.07,0.07,0.07,0.07,0.07,1020.0
2008-01-14,0.08,0.08,0.08,0.08,0.08,115000.0
2008-01-15,8.71,8.71,9.22,8.64,9.2,1320420.0
2008-01-16,8.71,8.71,8.71,8.42,8.5,1042584.0
2008-01-17,0.07,0.07,0.07,0.07,0.07,515.0
2008-01-18,0.07,0.07,0.07,0.07,0.07,25000.0
2008-01-22,0.06,0.06,0.06,0.06,0.06,1000.0
2008-01-23,0.06,0.06,0.06,0.06,0.06,40.0
2008-01-24,0.06,0.06,0.06,0.06,0.06,500.0
2008-01-25,0.06,0.06,0.06,0.06,0.06,1000.0
2008-01-28,0.06,0.06,0.06,0.06,0.06,600.0
2008-01-29,0.06,0.06,0.06,0.06,0.06,10000.0
2008-01-30,0.06,0.06,0.06,0.06,0.06,2000.0
2008-01-31,0.07,0.07,0.07,0.07,0.07,0.0
2008-02-01,0.07,0.07,0.07,0.07,0.07,350.0
2008-02-04,0.07,0.07,0.07,0.07,0.07,20000.0
2008-02-05,0.07,0.07,0.07,0.07,0.07,1200.0
2008-02-06,0.07,0.07,0.07,0.07,0.07,2000.0
2008-02-07,0.07,0.07,0.07,0.07,0.07,2690.0
2008-02-08,0.07,0.07,0.07,0.07,0.07,8900.0
2008-02-11,0.07,0.07,0.07,0.07,0.07,2.0
2008-02-12,0.07,0.07,0.07,0.07,0.07,100.0
2008-02-13,0.07,0.07,0.07,0.07,0.07,0.0
2008-02-14,8.53,8.53,8.71,8.37,8.58,365681.0
2008-02-15,8.42,8.42,8.53,8.31,8.53,225215.0
2008-02-19,8.55,8.55,8.56,8.26,8.34,560577.0
2008-02-20,0.07,0.07,0.07,0.07,0.07,27.0
2008-02-21,8.56,8.56,8.58,8.37,8.47,547544.0
2008-02-22,8.43,8.43,8.56,8.39,8.56,267663.0
2008-02-25,0.07,0.07,0.07,0.07,0.07,8800.0
2008-02-26,8.31,8.31,8.43,8.24,8.43,568532.0
2008-02-27,8.13,8.13,8.37,8.1,8.29,1371438.0
2008-02-28,0.07,0.07,0.07,0.07,0.07,150.0
2008-02-29,0.07,0.07,0.07,0.07,0.07,1000.0
2008-03-03,0.07,0.07,0.07,0.07,0.07,500.0
2008-03-04,0.07,0.07,0.07,0.07,0.07,5000.0
2008-03-05,0.08,0.08,0.08,0.08,0.08,20.0
2008-03-06,7.41,7.41,7.68,7.31,7.65,266866.0
2008-03-07,0.07,0.07,0.07,0.07,0.07,17300.0
2008-03-10,0.07,0.07,0.07,0.07,0.07,130000.0
2008-03-11,0.07,0.07,0.07,0.07,0.07,200000.0
2008-03-12,0.07,0.07,0.07,0.07,0.07,500.0
2008-03-13,0.07,0.07,0.07,0.07,0.07,5085.0
2008-03-14,7.52,7.52,7.52,7.14,7.33,559970.0
2008-03-17,0.07,0.07,0.07,0.07,0.07,4000.0
2008-03-18,0.07,0.07,0.07,0.07,0.07,170.0
2008-03-19,0.07,0.07,0.07,0.07,0.07,5.0
2008-03-20,0.07,0.07,0.07,0.07,0.07,20000.0
2008-03-24,1.32,1.32,1.32,1.27,1.3,30100.0
2008-03-25,0.07,0.07,0.07,0.07,0.07,2100.0
2008-03-26,8.02,8.02,8.08,7.84,7.86,582699.0
2008-03-27,0.07,0.07,0.07,0.07,0.07,450000.0
2008-03-28,0.07,0.07,0.07,0.07,0.07,27.0
2008-03-31,0.07,0.07,0.07,0.07,0.07,500.0
2008-04-01,0.07,0.07,0.07,0.07,0.07,250.0
2008-04-02,0.07,0.07,0.07,0.07,0.07,1287.0
2008-04-03,0.08,0.08,0.08,0.08,0.08,55000.0
2008-04-04,0.08,0.08,0.08,0.08,0.08,5400.0
2008-04-07,0.08,0.08,0.08,0.08,0.08,0.0
2008-04-08,9.2,9.2,9.41,9.17,9.38,210099.0
2008-04-09,0.12,0.12,0.12,0.12,0.12,0.0
2008-04-10,9.28,9.28,9.33,9.16,9.27,539155.0
2008-04-11,9.45,9.45,9.59,9.3,9.38,720678.0
2008-04-14,9.43,9.43,9.43,9.11,9.27,375103.0
2008-04-15,0.1,0.1,0.1,0.1,0.1,420.0
2008-04-16,0.1,0.1,0.1,0.1,0.1,10.0
2008-04-17,0.1,0.1,0.1,0.1,0.1,50000.0
2008-04-18,0.1,0.1,0.1,0.1,0.1,1500.0
2008-04-21,0.1,0.1,0.1,0.1,0.1,20.0
2008-04-22,0.1,0.1,0.1,0.1,0.1,1000.0
2008-04-23,0.1,0.1,0.1,0.1,0.1,18000.0
2008-04-24,0.09,0.09,0.09,0.09,0.09,0.0
2008-04-25,0.09,0.09,0.09,0.09,0.09,10000.0
2008-04-28,0.08,0.08,0.08,0.08,0.08,1.0
2008-04-29,9.91,9.91,10.25,9.91,10.02,515717.0
2008-04-30,0.08,0.08,0.08,0.08,0.08,43.0
2008-05-01,1.65,1.65,1.66,1.65,1.65,25500.0
2008-05-02,0.08,0.08,0.08,0.08,0.08,50.0
2008-05-05,0.08,0.08,0.08,0.08,0.08,10000.0
2008-05-06,10.15,10.15,10.36,10.05,10.18,365014.0
2008-05-07,0.08,0.08,0.08,0.08,0.08,900.0
2008-05-08,0.09,0.09,0.09,0.09,0.09,673.0
