,Adj Close,Close,High,Low,Open,Volume
2008-01-02,24.31,32.35,33.24,31.92,33.0,16982100.0
2008-01-03,23.78,31.64,32.35,31.5,32.26,15540900.0
2008-01-04,22.94,30.53,31.4,30.27,31.31,18535500.0
2008-01-07,22.91,30.49,30.83,30.02,30.66,13987000.0
2008-01-08,22.92,30.5,31.61,30.25,30.59,23463000.0
2008-01-09,22.91,30.48,30.61,29.79,30.36,16788900.0
2008-01-10,22.87,30.43,30.6,29.9,30.3,14883200.0
2008-01-11,22.47,29.9,30.28,29.72,30.21,15917400.0
2008-01-14,22.85,30.4,30.6,30.11,30.2,12608800.0
2008-01-15,22.33,29.72,30.46,29.53,30.01,17655400.0
2008-01-16,22.17,29.5,30.31,28.5,29.01,23419000.0
2008-01-17,22.01,29.29,30.13,29.18,29.58,17070700.0
2008-01-18,22.14,29.46,30.06,28.96,29.5,25799800.0
2008-01-22,21.78,28.98,29.39,28.0,28.06,24510800.0
2008-01-23,22.77,30.3,30.3,28.4,28.51,30201600.0
2008-01-24,22.86,30.42,30.73,29.83,30.54,21660800.0
2008-01-25,22.39,29.79,30.97,29.68,30.76,17958500.0
2008-01-28,22.79,30.32,30.32,29.41,29.77,11939300.0
2008-01-29,22.9,30.37,30.71,30.07,30.44,10918300.0
2008-01-30,23.26,30.85,31.24,30.17,30.19,15077700.0
2008-01-31,23.34,30.95,31.29,30.39,30.5,15432300.0
2008-02-01,23.77,31.52,31.59,30.5,30.89,13278900.0
2008-02-04,23.49,31.16,31.53,30.95,31.5,9163000.0
2008-02-05,22.42,29.74,30.58,29.74,30.02,15453900.0
2008-02-06,22.24,29.49,30.36,29.37,29.94,13565000.0
2008-02-07,22.02,29.21,29.68,28.43,29.05,21202700.0
2008-02-08,22.32,29.6,29.85,29.0,29.0,11750100.0
2008-02-11,22.74,30.16,30.49,29.5,29.65,11492300.0
2008-02-12,22.85,30.31,30.98,30.18,30.28,10865900.0
2008-02-13,23.26,30.85,31.0,30.41,30.65,14531700.0
2008-02-14,22.79,30.22,31.02,30.1,30.92,9848100.0
2008-02-15,22.72,30.13,30.28,29.89,30.11,9414300.0
2008-02-19,22.47,29.8,30.43,29.66,30.24,11758400.0
2008-02-20,22.85,30.31,30.48,29.5,29.58,10577000.0
2008-02-21,22.59,29.96,30.98,29.83,30.45,12647000.0
2008-02-22,22.75,30.17,30.58,29.6,30.16,13829600.0
2008-02-25,22.91,30.38,30.58,29.75,30.13,11767200.0
2008-02-26,23.49,31.15,31.53,30.29,30.29,17739700.0
2008-02-27,23.69,31.42,31.67,30.95,30.95,12677300.0
2008-02-28,23.39,31.02,32.06,30.64,31.14,9010500.0
2008-02-29,22.59,29.96,30.94,29.87,30.75,14705800.0
2008-03-03,22.57,29.93,30.21,29.65,29.97,11494700.0
2008-03-04,22.07,29.27,29.8,28.53,29.71,26459800.0
2008-03-05,22.43,29.75,30.05,29.21,29.21,14315700.0
2008-03-06,22.02,29.2,29.75,29.04,29.66,12655000.0
2008-03-07,22.09,29.3,30.17,29.01,29.03,17623300.0
2008-03-10,22.36,29.65,30.11,29.38,29.38,18363600.0
2008-03-11,21.68,28.76,29.78,27.67,28.9,36458100.0
2008-03-12,21.4,28.38,28.98,28.27,28.5,19354500.0
2008-03-13,21.88,29.02,29.22,28.03,28.14,20270600.0
2008-03-14,21.27,28.21,29.25,27.87,29.18,19791600.0
2008-03-17,21.62,28.68,29.03,27.51,27.59,19531300.0
2008-03-18,22.23,29.48,29.5,28.64,29.17,12732800.0
2008-03-19,21.19,28.11,29.3,28.09,29.16,17274600.0
2008-03-20,21.32,28.28,29.11,27.73,28.14,22544400.0
2008-03-24,21.92,29.07,29.45,28.2,28.37,13952200.0
2008-03-25,22.08,29.29,29.53,28.88,29.13,9945100.0
2008-03-26,21.83,28.95,29.64,28.75,29.19,9713900.0
2008-03-27,21.56,28.59,29.07,28.52,29.07,11258700.0
2008-03-28,21.37,28.34,29.4,28.26,28.75,12506600.0
2008-03-31,21.32,28.27,28.46,28.05,28.3,17441500.0
2008-04-01,22.11,29.32,29.4,28.46,28.48,14292600.0
2008-04-02,22.27,29.54,30.01,29.3,29.3,11678100.0
2008-04-03,22.72,30.13,30.41,29.3,29.42,14872800.0
2008-04-04,22.54,29.89,30.2,29.45,30.19,17797000.0
2008-04-07,22.66,30.06,30.27,29.72,29.98,12435500.0
2008-04-08,22.02,29.21,29.79,29.12,29.73,11971900.0
2008-04-09,22.26,29.52,29.59,29.17,29.17,10130600.0
2008-04-10,22.67,30.07,30.44,29.37,29.5,14081500.0
2008-04-11,22.18,29.42,29.99,29.36,29.95,9576600.0
2008-04-14,21.65,28.72,29.45,28.63,29.35,9153400.0
2008-04-15,21.65,28.72,28.92,28.11,28.92,11906600.0
2008-04-16,22.33,29.61,29.7,29.03,29.29,11731000.0
2008-04-17,21.71,28.79,30.5,28.29,28.94,17394300.0
2008-04-18,22.32,29.6,30.07,29.2,29.58,20450300.0
2008-04-21,23.06,30.59,30.66,29.57,29.9,24603700.0
2008-04-22,21.73,28.82,29.64,28.38,29.43,29711900.0
2008-04-23,21.91,29.06,29.8,28.75,28.97,20526300.0
2008-04-24,22.32,29.6,29.74,28.81,29.09,13255900.0
2008-04-25,22.29,29.56,29.81,29.12,29.66,9452400.0
2008-04-28,22.21,29.36,29.67,29.25,29.47,8155400.0
2008-04-29,22.44,29.66,29.93,29.26,29.26,11161500.0
2008-04-30,22.06,29.16,29.76,28.87,29.68,15252800.0
2008-05-01,22.39,29.6,29.99,29.16,29.24,19120600.0
2008-05-02,22.47,29.7,29.96,29.22,29.96,16996500.0
2008-05-05,22.14,29.27,29.83,28.97,29.49,14922500.0
2008-05-06,22.42,29.64,29.86,28.88,29.11,13026300.0
2008-05-07,22.33,29.52,30.1,29.41,29.65,12716300.0
2008-05-08,22.52,29.77,29.99,29.31,29.57,11843200.0
2008-05-09,22.55,29.81,30.0,29.25,29.4,11316300.0
2008-05-12,22.64,29.93,30.05,29.6,29.85,7299400.0
2008-05-13,22.61,29.88,30.15,29.78,29.95,8538900.0
2008-05-14,23.04,30.45,30.99,29.81,29.96,16959400.0
2008-05-15,23.73,31.36,31.47,30.4,30.41,20177100.0
2008-05-16,24.05,31.79,31.85,31.0,31.35,18492400.0
2008-05-19,24.61,32.53,32.92,32.19,32.23,24858500.0
2008-05-20,24.34,32.17,32.44,31.71,32.4,23526900.0
2008-05-21,24.31,32.13,32.66,32.0,32.17,26879500.0
2008-05-22,24.08,31.83,32.45,31.71,32.23,22770500.0
2008-05-23,24.02,31.75,31.98,31.38,31.74,23270900.0
2008-05-27,24.47,32.34,32.44,31.61,31.62,15737000.0
2008-05-28,24.58,32.49,32.65,32.19,32.52,17604200.0
2008-05-29,24.74,32.7,33.0,32.32,32.36,17996000.0
2008-05-30,24.57,32.48,32.96,32.43,32.75,18057300.0
2008-06-02,24.3,32.12,32.6,31.76,32.37,17485000.0
2008-06-03,23.88,31.57,32.24,31.37,32.11,21487900.0
2008-06-04,24.19,31.97,32.2,31.41,31.54,14158600.0
2008-06-05,24.23,32.03,32.19,31.57,32.03,20691900.0
2008-06-06,23.63,31.24,32.47,31.22,31.88,18626500.0
2008-06-09,23.7,31.33,31.59,30.66,31.4,18231400.0
