,Adj Close,Close,High,Low,Open,Volume
2008-01-02,62.79,66.81,70.14,66.54,69.38,4073200.0
2008-01-03,63.73,67.81,68.09,66.39,66.69,2721500.0
2008-01-04,61.52,65.46,67.54,65.09,66.98,2261000.0
2008-01-07,59.08,62.87,65.84,60.16,65.73,7565800.0
2008-01-08,56.85,60.49,63.47,60.22,63.06,3561100.0
2008-01-09,58.27,62.0,62.13,59.39,60.43,2716600.0
2008-01-10,58.06,61.78,62.63,60.66,61.5,2466500.0
2008-01-11,55.52,59.08,61.28,58.64,61.1,3260100.0
2008-01-14,56.78,60.42,60.59,59.4,59.44,2489500.0
2008-01-15,55.4,58.95,60.4,58.9,59.5,2635300.0
2008-01-16,55.37,58.92,60.18,58.27,58.56,3078600.0
2008-01-17,51.73,55.04,59.79,54.56,59.68,4003100.0
2008-01-18,50.28,53.5,56.65,53.17,55.04,5737700.0
2008-01-22,49.88,53.08,53.65,47.5,47.51,6152900.0
2008-01-23,51.37,54.66,54.67,50.29,51.21,4943800.0
2008-01-24,48.17,51.26,55.51,50.83,51.51,9616900.0
2008-01-25,50.15,53.36,55.0,52.67,53.98,6685300.0
2008-01-28,50.53,53.77,53.81,52.57,53.16,2714800.0
2008-01-29,51.57,54.88,55.0,53.98,54.3,2799800.0
2008-01-30,51.73,55.05,56.27,53.46,54.75,2786700.0
2008-01-31,52.73,56.11,56.7,53.38,53.69,2658700.0
2008-02-01,53.81,57.26,57.37,55.54,56.18,1688400.0
2008-02-04,53.8,57.25,57.99,56.7,57.99,1400100.0
2008-02-05,51.57,54.88,56.52,54.88,56.15,1950100.0
2008-02-06,51.16,54.44,56.13,54.29,55.36,2379100.0
2008-02-07,52.85,56.24,56.61,54.09,54.25,2390300.0
2008-02-08,52.51,55.88,56.54,55.06,55.85,2224300.0
2008-02-11,53.04,56.44,56.64,55.22,55.82,1160900.0
2008-02-12,53.0,56.4,57.84,56.07,56.68,1781700.0
2008-02-13,54.02,57.48,57.78,56.72,57.0,1486700.0
2008-02-14,54.22,57.69,58.12,57.12,57.82,1453000.0
2008-02-15,53.78,57.23,57.61,56.32,57.58,1543100.0
2008-02-19,53.04,56.44,58.6,56.16,57.78,1877500.0
2008-02-20,52.71,56.09,56.38,55.05,55.83,1944400.0
2008-02-21,52.03,55.36,56.49,54.95,56.12,2155100.0
2008-02-22,53.36,56.78,56.79,55.14,55.48,1601500.0
2008-02-25,54.45,57.94,58.04,56.44,56.7,2036500.0
2008-02-26,54.75,58.26,58.74,57.53,57.94,2336100.0
2008-02-27,53.85,57.3,58.44,57.09,58.0,1850400.0
2008-02-28,52.51,55.88,57.03,55.88,57.03,2368500.0
2008-02-29,50.91,54.17,55.8,54.03,55.73,1778900.0
2008-03-03,51.79,55.11,55.54,53.63,54.0,1686700.0
2008-03-04,51.95,55.28,55.53,54.12,54.7,1873200.0
2008-03-05,52.97,56.37,56.51,55.05,55.45,3069200.0
2008-03-06,51.8,55.12,56.26,54.9,56.06,3734500.0
2008-03-07,51.34,54.63,55.71,54.21,54.81,2263400.0
2008-03-10,49.97,53.17,54.98,53.0,54.79,1785800.0
2008-03-11,51.42,54.72,54.79,52.77,54.26,1833900.0
2008-03-12,51.31,54.37,55.32,54.22,54.74,1375100.0
2008-03-13,51.13,54.18,54.4,52.34,53.53,2053100.0
2008-03-14,49.89,52.86,54.51,51.62,54.5,3204400.0
2008-03-17,48.49,51.38,52.43,50.25,51.5,3098600.0
2008-03-18,51.81,54.9,55.02,52.63,52.88,2147200.0
2008-03-19,50.05,53.03,56.46,53.03,54.95,2071400.0
2008-03-20,50.55,53.56,54.08,52.52,53.36,2183200.0
2008-03-24,50.53,53.54,53.96,51.51,51.51,2304800.0
2008-03-25,51.42,54.49,54.74,53.02,53.67,2669300.0
2008-03-26,52.54,55.67,55.83,54.55,55.4,2122200.0
2008-03-27,51.2,54.25,55.75,54.16,55.7,1568400.0
2008-03-28,51.55,54.62,55.45,54.21,54.41,1111700.0
2008-03-31,52.3,55.42,56.33,54.27,56.13,1858800.0
2008-04-01,54.64,57.9,58.2,56.0,56.42,2434300.0
2008-04-02,53.7,56.9,58.29,56.5,57.84,2138400.0
2008-04-03,54.72,57.98,58.76,56.54,56.67,3190500.0
2008-04-04,54.77,58.03,58.71,57.51,58.18,1919800.0
2008-04-07,54.1,57.33,58.42,57.1,58.34,1678300.0
2008-04-08,54.35,57.59,57.8,56.58,57.04,928700.0
2008-04-09,54.19,57.42,58.24,57.12,57.59,1159000.0
2008-04-10,54.17,57.4,57.92,56.55,57.4,864400.0
2008-04-11,53.94,57.16,59.08,56.6,56.6,3817600.0
2008-04-14,54.96,58.24,58.4,56.9,57.39,2554400.0
2008-04-15,56.44,59.8,59.97,58.5,58.5,2806100.0
2008-04-16,58.67,62.17,62.17,59.52,60.0,4131600.0
2008-04-17,57.04,60.44,62.34,60.13,61.99,2539100.0
2008-04-18,57.54,60.97,61.2,60.0,60.01,2820000.0
2008-04-21,57.68,61.12,61.41,59.29,60.76,1803300.0
2008-04-22,56.59,59.96,60.98,59.11,60.8,1684000.0
2008-04-23,56.77,60.15,60.54,59.2,60.22,1418700.0
2008-04-24,57.32,60.74,61.24,59.12,60.12,1498100.0
2008-04-25,57.94,61.39,61.75,60.45,60.92,1127700.0
2008-04-28,57.64,61.08,61.8,60.44,61.8,2129800.0
2008-04-29,57.28,60.69,61.08,60.24,61.08,1722700.0
2008-04-30,57.58,61.01,61.88,60.52,60.7,1436100.0
2008-05-01,58.26,61.73,61.74,60.56,60.88,1392800.0
2008-05-02,58.51,62.0,62.49,61.27,61.95,1697600.0
2008-05-05,58.49,61.98,62.31,61.63,61.63,1080700.0
2008-05-06,58.53,62.02,62.3,61.0,61.6,895500.0
2008-05-07,57.45,60.88,62.46,60.85,62.18,1230900.0
2008-05-08,58.02,61.48,61.89,60.68,60.68,800000.0
2008-05-09,57.45,60.87,61.17,60.38,60.75,830300.0
2008-05-12,58.07,61.53,61.69,60.06,60.9,1139500.0
2008-05-13,58.96,62.47,62.73,61.18,61.86,1921400.0
2008-05-14,59.39,62.93,63.85,62.47,62.91,1410100.0
2008-05-15,60.63,64.24,64.51,62.67,63.1,1909800.0
2008-05-16,58.92,62.43,64.39,62.3,64.17,2860500.0
2008-05-19,60.36,63.96,64.79,62.64,62.9,1487200.0
2008-05-20,59.4,62.94,63.77,62.59,63.77,1229700.0
2008-05-21,59.09,62.61,64.33,62.44,63.02,2175000.0
2008-05-22,58.06,61.52,63.22,61.15,63.1,2536200.0
2008-05-23,57.12,60.52,61.36,59.9,61.01,1794200.0
2008-05-27,56.94,60.33,60.93,59.55,60.42,1479300.0
2008-05-28,57.45,60.88,61.05,60.33,60.85,1457700.0
2008-05-29,58.22,61.69,62.35,60.71,60.88,1435300.0
2008-05-30,59.03,62.55,65.52,61.6,61.76,2311500.0
2008-06-02,58.75,62.25,62.3,61.21,62.1,1874000.0
2008-06-03,57.12,60.53,62.87,60.27,62.51,1593500.0
2008-06-04,56.85,60.24,60.92,59.83,60.48,1493400.0
2008-06-05,57.69,61.13,61.19,59.67,60.5,2195100.0
2008-06-06,55.63,58.95,61.0,58.79,60.34,2356000.0
2008-06-09,54.74,58.0,59.66,57.41,59.29,2367300.0
2008-06-10,53.82,57.03,57.66,56.58,57.66,2223900.0
2008-06-11,53.2,56.14,56.85,55.72,56.5,1512500.0
