,Adj Close,Close,High,Low,Open,Volume
2008-01-02,29.92,31.99,35.35,31.6,35.25,5209500.0
2008-01-03,29.69,31.75,32.55,31.04,32.3,6805600.0
2008-01-04,31.0,33.15,33.47,29.46,31.15,8676400.0
2008-01-07,29.18,29.18,31.1,27.85,31.05,8476800.0
2008-01-08,24.39,24.39,29.65,24.23,29.65,9843300.0
2008-01-09,26.03,26.03,26.17,23.53,25.57,7075900.0
2008-01-10,32.19,32.19,33.01,26.67,26.88,17910500.0
2008-01-11,32.07,32.07,32.96,30.49,32.32,5528100.0
2008-01-14,32.93,32.93,33.48,31.37,32.07,3163700.0
2008-01-15,34.57,34.57,35.58,32.5,32.74,6082400.0
2008-01-16,34.64,34.64,35.24,32.85,34.25,4252400.0
2008-01-17,33.42,33.42,35.21,32.8,35.1,6049000.0
2008-01-18,32.94,32.94,34.32,32.37,34.32,4334300.0
2008-01-22,31.87,31.87,33.26,29.5,29.7,3985600.0
2008-01-23,36.41,36.41,37.28,30.67,30.75,4822200.0
2008-01-24,34.47,34.47,36.33,33.48,35.98,4039800.0
2008-01-25,34.87,34.87,35.21,34.25,34.59,1843300.0
2008-01-28,35.63,35.63,35.91,34.52,34.95,2468200.0
2008-01-29,35.67,35.67,36.41,35.08,35.88,2004600.0
2008-01-30,36.0,36.0,36.33,35.08,35.31,2039900.0
2008-01-31,37.95,37.95,38.05,35.1,35.1,3060000.0
2008-02-01,41.14,41.14,41.47,36.89,38.13,4167400.0
2008-02-04,38.58,38.58,41.0,38.2,41.0,2766700.0
2008-02-05,36.66,36.66,39.21,36.26,36.64,4101200.0
2008-02-06,37.67,37.67,38.66,36.36,37.1,3408100.0
2008-02-07,39.55,39.55,40.26,37.65,38.03,3725200.0
2008-02-08,39.96,39.96,40.25,37.9,39.17,2425100.0
2008-02-11,40.11,40.11,40.51,38.78,39.78,2150400.0
2008-02-12,38.83,38.83,40.5,38.18,40.47,2064400.0
2008-02-13,38.59,38.59,39.86,38.2,39.4,1787400.0
2008-02-14,37.03,37.03,38.71,36.83,38.71,2383300.0
2008-02-15,37.35,37.35,38.0,36.71,37.0,2449000.0
2008-02-19,35.81,35.81,37.61,35.29,37.53,3234600.0
2008-02-20,37.14,37.14,37.32,34.88,35.4,3157100.0
2008-02-21,35.91,35.91,37.58,35.45,37.58,3372100.0
2008-02-22,35.49,35.49,35.8,34.12,35.8,2088900.0
2008-02-25,35.25,35.25,35.65,33.88,35.55,1926100.0
2008-02-26,34.95,34.95,35.46,33.81,35.4,2712800.0
2008-02-27,33.23,33.23,34.52,33.1,34.52,2477700.0
2008-02-28,31.94,31.94,33.5,31.75,33.19,6656000.0
2008-02-29,30.3,30.3,31.8,30.14,31.65,3329000.0
2008-03-03,29.34,29.34,30.26,28.72,30.13,4106100.0
2008-03-04,28.4,28.4,29.07,27.58,28.96,5721600.0
2008-03-05,30.17,30.17,30.58,27.41,28.44,6237700.0
2008-03-06,28.31,28.31,29.88,28.2,29.76,2682100.0
2008-03-07,28.09,28.09,28.42,26.89,27.34,3988400.0
2008-03-10,26.49,26.49,28.71,25.98,28.29,3866000.0
2008-03-11,26.83,26.83,27.12,25.32,26.02,4062800.0
2008-03-12,24.29,24.29,25.82,23.73,25.6,9831400.0
2008-03-13,24.05,24.05,24.4,22.11,23.99,5850800.0
2008-03-14,22.68,22.68,24.65,21.89,24.42,3850600.0
2008-03-17,20.91,20.91,22.27,19.71,22.0,6360100.0
2008-03-18,22.57,22.57,22.62,20.68,21.1,5619100.0
2008-03-19,23.18,23.18,24.26,21.88,22.87,5733000.0
