,Adj Close,Close,High,Low,Open,Volume
2008-01-02,11.16,19.98,20.52,19.7,19.8,1531300.0
2008-01-03,10.91,19.53,20.69,19.46,20.24,2236000.0
2008-01-04,10.8,19.34,19.59,19.04,19.31,2269900.0
2008-01-07,11.03,19.75,19.79,19.04,19.39,2231300.0
2008-01-08,10.83,19.39,20.46,19.39,19.96,2217800.0
2008-01-09,10.93,19.24,19.33,18.29,19.32,2269700.0
2008-01-10,11.16,19.63,20.18,18.65,18.98,3060800.0
2008-01-11,11.32,19.91,20.5,19.17,19.47,2577100.0
2008-01-14,11.26,19.81,20.18,19.26,19.97,2174600.0
2008-01-15,11.2,19.7,19.9,19.2,19.39,2128100.0
2008-01-16,11.59,20.4,20.67,19.45,19.7,2151900.0
2008-01-17,11.57,20.36,20.75,19.99,20.36,2837600.0
2008-01-18,11.52,20.27,20.72,19.9,20.56,2234800.0
2008-01-22,12.01,21.14,21.4,19.38,19.43,2398500.0
2008-01-23,12.76,22.45,22.63,20.74,20.74,5297800.0
2008-01-24,12.66,22.28,22.81,21.76,22.81,1823000.0
2008-01-25,12.53,22.04,22.66,21.79,22.61,2734700.0
2008-01-28,12.87,22.65,22.72,21.56,22.0,2973200.0
2008-01-29,12.76,22.46,22.8,22.16,22.65,1647200.0
2008-01-30,12.75,22.43,23.86,22.28,22.5,5544500.0
2008-01-31,12.98,22.83,23.01,22.06,22.46,2848500.0
2008-02-01,13.22,23.26,23.3,22.26,22.27,2368500.0
2008-02-04,13.34,23.48,23.69,22.8,23.69,2294200.0
2008-02-05,12.82,22.55,23.42,22.55,23.1,2592100.0
2008-02-06,12.78,22.49,22.99,22.33,22.71,2668500.0
2008-02-07,13.2,23.23,23.29,22.05,22.2,2519000.0
2008-02-08,12.87,22.64,23.29,22.41,23.13,2382000.0
2008-02-11,12.67,22.29,22.75,22.17,22.75,1382900.0
2008-02-12,13.09,23.04,23.04,22.3,22.45,2051900.0
2008-02-13,13.12,23.09,23.61,22.69,23.19,1361500.0
2008-02-14,12.69,22.33,23.15,22.32,23.03,1433200.0
2008-02-15,12.79,22.51,22.62,22.12,22.17,1247500.0
2008-02-19,12.63,22.22,22.81,22.06,22.8,1605300.0
2008-02-20,12.84,22.6,22.72,22.03,22.07,2221400.0
2008-02-21,12.65,22.25,22.94,22.14,22.72,2178500.0
2008-02-22,12.96,22.81,22.81,22.01,22.27,1371600.0
2008-02-25,13.23,23.28,23.28,22.44,22.84,1879500.0
2008-02-26,13.04,22.94,23.26,22.72,23.26,2893300.0
2008-02-27,12.84,22.6,22.92,22.42,22.59,1847800.0
2008-02-28,12.7,22.35,22.68,22.18,22.68,2136400.0
2008-02-29,12.7,22.35,22.42,22.05,22.16,2220400.0
2008-03-03,13.04,22.95,23.04,22.06,22.42,2633400.0
2008-03-04,13.01,22.89,23.12,22.22,22.67,2728400.0
2008-03-05,13.13,23.1,23.56,22.9,23.0,2612300.0
2008-03-06,12.65,22.25,23.05,22.17,23.05,2868700.0
2008-03-07,12.83,22.58,22.79,21.97,22.1,2025300.0
2008-03-10,12.65,22.25,22.66,22.23,22.46,1850500.0
2008-03-11,13.51,23.77,23.83,22.64,22.73,2890500.0
2008-03-12,13.33,23.45,24.23,23.44,23.76,2130300.0
2008-03-13,13.64,24.0,24.03,22.78,23.24,2252100.0
2008-03-14,13.63,23.99,24.39,23.32,23.99,2792200.0
2008-03-17,13.78,24.24,24.5,23.46,23.59,3251500.0
2008-03-18,14.12,24.85,24.95,24.11,24.56,3411600.0
2008-03-19,14.07,24.76,25.15,24.49,24.96,2639300.0
2008-03-20,14.5,25.51,25.7,24.63,24.74,3131500.0
2008-03-24,14.65,25.77,25.91,25.51,25.51,1850200.0
2008-03-25,14.61,25.71,25.83,25.43,25.74,1635100.0
2008-03-26,14.21,25.0,25.65,24.92,25.65,1386900.0
2008-03-27,13.95,24.55,25.37,24.51,25.03,1945900.0
2008-03-28,13.74,24.17,24.74,24.06,24.54,1708300.0
2008-03-31,13.94,24.52,25.02,24.14,24.14,2428800.0
2008-04-01,14.49,25.49,25.55,24.42,24.93,2792500.0
2008-04-02,14.43,25.39,25.7,25.24,25.38,2104000.0
2008-04-03,14.69,25.85,25.9,25.03,25.24,2426400.0
2008-04-04,14.2,24.98,25.82,24.98,25.71,2404800.0
2008-04-07,14.36,25.27,25.29,24.87,25.07,1409100.0
2008-04-08,14.19,24.97,25.33,24.83,25.31,1490400.0
2008-04-09,13.94,24.21,24.95,24.14,24.95,1391500.0
2008-04-10,13.77,23.91,24.43,23.78,24.27,1734300.0
2008-04-11,13.65,23.7,23.91,23.54,23.75,1740400.0
2008-04-14,13.63,23.66,24.03,23.43,23.65,1287100.0
2008-04-15,13.78,23.93,23.93,23.55,23.75,705100.0
2008-04-16,14.4,25.0,25.01,24.07,24.07,1989000.0
2008-04-17,14.62,25.39,25.45,24.7,24.82,1109900.0
2008-04-18,14.47,25.13,25.71,25.01,25.71,894500.0
2008-04-21,14.26,24.76,25.07,24.69,24.98,726700.0
2008-04-22,14.2,24.65,24.75,24.41,24.64,665400.0
2008-04-23,14.38,24.97,25.27,24.63,24.85,731600.0
2008-04-24,14.77,25.64,25.64,24.75,24.96,806800.0
2008-04-25,14.95,25.95,25.95,25.32,25.76,1154500.0
2008-04-28,14.84,25.77,25.95,25.61,25.87,1214000.0
2008-04-29,14.63,25.4,25.93,25.17,25.81,1358500.0
2008-04-30,14.56,25.28,25.82,25.13,25.43,1160800.0
2008-05-01,14.8,25.7,25.8,25.15,25.43,1129000.0
2008-05-02,14.61,25.37,25.8,25.13,25.75,2349500.0
2008-05-05,14.42,25.04,25.33,24.98,25.25,2031500.0
2008-05-06,14.32,24.86,25.16,24.62,24.83,1654400.0
2008-05-07,13.81,23.98,24.86,23.98,24.83,1285000.0
2008-05-08,13.9,24.13,24.24,23.76,24.05,1099900.0
2008-05-09,13.84,24.03,24.41,23.78,23.87,1122000.0
2008-05-12,14.28,24.8,24.81,23.89,24.03,1868000.0
2008-05-13,14.43,25.05,25.07,24.57,24.81,1296200.0
2008-05-14,14.4,25.0,25.18,24.79,25.13,1144200.0
2008-05-15,14.48,25.15,25.18,24.62,24.86,1043500.0
2008-05-16,14.47,25.12,25.24,24.74,25.1,938300.0
2008-05-19,14.6,25.35,25.48,25.08,25.36,954500.0
2008-05-20,14.39,24.98,25.44,24.86,25.23,1105800.0
2008-05-21,14.15,24.56,25.15,24.38,25.03,2891500.0
2008-05-22,14.06,24.42,24.64,24.29,24.56,1772700.0
2008-05-23,14.02,24.35,24.6,24.16,24.58,1030300.0
2008-05-27,14.24,24.73,24.89,24.29,24.29,856900.0
2008-05-28,14.09,24.47,24.82,24.39,24.74,1195700.0
2008-05-29,14.35,24.91,24.97,24.47,24.47,1206800.0
2008-05-30,14.25,24.74,25.0,24.43,24.84,1607000.0
2008-06-02,14.04,24.38,24.76,24.33,24.74,1929300.0
2008-06-03,14.28,24.79,24.91,24.49,24.49,1883200.0
2008-06-04,14.43,25.05,25.2,24.67,24.67,1280900.0
2008-06-05,14.77,25.65,25.7,25.08,25.2,1428000.0
2008-06-06,14.31,24.85,25.5,24.84,25.38,1597500.0
2008-06-09,13.97,24.26,25.16,24.26,24.95,1271100.0
2008-06-10,14.03,24.36,24.58,23.9,24.24,1450900.0
2008-06-11,13.95,24.22,24.6,23.99,24.29,1254700.0
2008-06-12,14.21,24.67,24.73,24.34,24.56,1316800.0
