,Adj Close,Close,High,Low,Open,Volume
2008-01-02,24.39,31.06,31.81,30.91,31.44,10272000.0
2008-01-03,24.31,30.97,31.43,30.81,31.22,6388000.0
2008-01-04,23.56,30.01,30.73,29.92,30.73,11112400.0
2008-01-07,23.35,29.75,30.47,29.35,30.23,13720000.0
2008-01-08,22.62,28.82,30.0,28.72,29.79,11514000.0
2008-01-09,22.48,28.63,29.06,27.99,28.82,16579200.0
2008-01-10,22.93,29.21,29.62,27.77,28.36,11485600.0
2008-01-11,22.4,28.53,29.33,28.29,28.89,9112000.0
2008-01-14,22.62,28.81,29.08,28.67,28.81,8944800.0
2008-01-15,22.04,28.07,28.54,27.94,28.4,10406000.0
2008-01-16,22.16,28.23,28.63,27.82,27.89,10658400.0
2008-01-17,21.4,27.26,28.66,27.1,28.36,13974400.0
2008-01-18,21.68,27.61,27.95,26.91,27.5,13347600.0
2008-01-22,21.66,27.59,27.91,26.33,26.33,17010800.0
2008-01-23,22.97,29.25,29.33,27.18,27.68,22102400.0
2008-01-24,23.74,30.24,31.23,29.57,29.58,17346800.0
2008-01-25,23.52,29.95,30.91,29.71,30.52,17500800.0
2008-01-28,23.79,30.31,30.37,29.75,30.06,15668000.0
2008-01-29,23.84,30.36,30.55,30.18,30.55,14337200.0
2008-01-30,23.74,30.24,30.7,29.93,30.17,17952400.0
2008-01-31,24.49,31.19,31.62,28.75,28.75,18588000.0
2008-02-01,25.12,31.99,32.08,30.88,31.33,38223200.0
2008-02-04,24.67,31.42,32.15,31.28,31.86,12136400.0
2008-02-05,24.07,30.66,31.23,30.39,30.57,9232400.0
2008-02-06,24.17,30.78,31.31,30.57,30.93,7174800.0
2008-02-07,24.39,31.07,31.3,30.61,30.75,9120400.0
2008-02-08,24.6,31.34,31.73,30.77,30.9,10270800.0
2008-02-11,24.63,31.38,31.46,30.66,31.39,8587200.0
2008-02-12,24.65,31.4,32.06,31.02,31.63,9458400.0
2008-02-13,24.72,31.49,31.77,31.15,31.7,8148800.0
2008-02-14,24.48,31.18,31.77,31.07,31.77,10688000.0
2008-02-15,24.49,31.2,31.24,30.73,31.12,9994000.0
2008-02-19,24.09,30.69,31.62,30.35,31.62,17530400.0
2008-02-20,24.33,30.99,31.25,30.25,30.36,10071600.0
2008-02-21,24.18,30.81,31.3,30.47,31.16,15507600.0
2008-02-22,24.36,31.03,31.03,30.48,30.99,14107600.0
2008-02-25,24.86,31.67,31.72,30.6,31.11,10537600.0
2008-02-26,25.34,32.28,32.38,31.41,31.51,11760400.0
2008-02-27,25.07,31.94,32.18,31.7,32.02,11292000.0
