,Adj Close,Close,High,Low,Open,Volume
2008-01-02,56.92,75.21,77.14,74.85,76.64,4262900.0
2008-01-03,57.73,76.28,76.69,75.02,75.31,4355800.0
2008-01-04,56.78,75.02,76.19,74.9,75.69,5540300.0
2008-01-07,56.51,74.67,75.7,74.1,75.33,5850900.0
2008-01-08,54.33,71.79,75.19,71.44,75.19,8250900.0
2008-01-09,54.46,71.96,73.07,70.56,71.66,9232300.0
2008-01-10,54.79,72.39,72.77,70.03,71.56,7131600.0
2008-01-11,54.25,71.68,72.47,71.28,71.87,5701600.0
2008-01-14,54.63,72.19,72.5,71.61,72.11,4291900.0
2008-01-15,54.01,71.36,72.29,71.18,71.94,4562500.0
2008-01-16,53.76,71.04,72.25,70.62,71.28,7095600.0
2008-01-17,51.53,68.09,71.21,67.66,70.98,9203500.0
2008-01-18,51.5,68.05,70.0,67.71,68.58,9047600.0
2008-01-22,50.89,67.24,68.04,65.2,65.48,11280000.0
2008-01-23,53.72,70.98,71.39,66.08,66.3,12312800.0
2008-01-24,54.91,72.56,72.87,71.15,71.41,8412400.0
2008-01-25,55.06,72.75,74.22,72.5,73.53,8006300.0
2008-01-28,55.8,73.73,73.95,71.99,72.45,5819900.0
2008-01-29,55.38,73.18,74.32,72.71,74.27,4904200.0
2008-01-30,55.06,72.75,74.41,72.34,72.95,6561400.0
2008-01-31,55.45,73.27,74.0,71.65,71.65,7019700.0
2008-02-01,56.09,74.12,74.26,73.25,73.5,4609000.0
2008-02-04,56.04,74.05,74.31,73.6,74.12,3344100.0
2008-02-05,54.76,72.35,73.74,72.2,72.9,6287600.0
2008-02-06,54.39,71.87,72.94,71.7,72.7,4697800.0
2008-02-07,54.09,71.47,71.91,70.83,71.53,7327200.0
2008-02-08,54.0,71.35,72.09,70.83,71.22,5001200.0
2008-02-11,54.16,71.57,71.66,70.42,71.47,3630800.0
2008-02-12,55.11,72.82,73.5,71.72,71.88,5039500.0
2008-02-13,55.89,73.52,73.52,72.44,73.36,4690000.0
2008-02-14,55.22,72.65,73.7,72.48,73.69,4003500.0
2008-02-15,54.37,71.53,72.5,70.96,72.5,5271700.0
2008-02-19,54.69,71.95,72.65,71.79,72.49,3932600.0
2008-02-20,54.77,72.05,72.1,70.9,71.46,3693100.0
