,Adj Close,Close,High,Low,Open,Volume
2008-01-02,,,,,,
2008-01-03,,,,,,
2008-01-04,,,,,,
2008-01-07,,,,,,
2008-01-08,,,,,,
2008-01-09,,,,,,
2008-01-10,,,,,,
2008-01-11,,,,,,
2008-01-14,,,,,,
2008-01-15,,,,,,
2008-01-16,,,,,,
2008-01-17,,,,,,
2008-01-18,,,,,,
2008-01-22,,,,,,
2008-01-23,,,,,,
2008-01-24,,,,,,
2008-01-25,,,,,,
2008-01-28,,,,,,
2008-01-29,,,,,,
2008-01-30,,,,,,
2008-01-31,,,,,,
2008-02-01,,,,,,
2008-02-04,,,,,,
2008-02-05,,,,,,
2008-02-06,,,,,,
2008-02-07,,,,,,
2008-02-08,,,,,,
2008-02-11,,,,,,
2008-02-12,,,,,,
2008-02-13,,,,,,
2008-02-14,,,,,,
2008-02-15,,,,,,
2008-02-19,,,,,,
2008-02-20,,,,,,
2008-02-21,,,,,,
2008-02-22,,,,,,
2008-02-25,,,,,,
2008-02-26,,,,,,
2008-02-27,,,,,,
2008-02-28,,,,,,
2008-02-29,,,,,,
2008-03-03,,,,,,
2008-03-04,,,,,,
2008-03-05,,,,,,
2008-03-06,,,,,,
2008-03-07,,,,,,
2008-03-10,,,,,,
2008-03-11,,,,,,
2008-03-12,,,,,,
2008-03-13,,,,,,
2008-03-14,,,,,,
2008-03-17,,,,,,
2008-03-18,,,,,,
2008-03-19,13.0,14.12,17.25,13.75,14.88,708486000.0
2008-03-20,14.81,16.09,16.25,14.38,14.6,198985200.0
2008-03-24,13.75,14.93,16.92,14.75,16.81,149566400.0
2008-03-25,14.56,15.81,16.06,14.95,15.15,87092000.0
2008-03-26,14.72,15.99,16.12,15.39,15.68,43111600.0
2008-03-27,14.48,15.73,16.18,15.66,16.01,39829600.0
2008-03-28,14.44,15.69,15.86,15.54,15.84,24675200.0
2008-03-31,14.35,15.59,15.87,15.51,15.65,22157200.0
2008-04-01,14.18,15.4,15.92,15.08,15.77,60410800.0
2008-04-02,14.34,15.58,15.58,15.12,15.43,43836400.0
2008-04-03,15.07,16.38,16.57,15.45,15.49,100868000.0
2008-04-04,14.84,16.12,16.33,15.94,16.23,36394400.0
2008-04-07,14.97,16.26,16.45,16.0,16.27,28301600.0
2008-04-08,15.67,17.02,17.06,16.2,16.23,53925600.0
2008-04-09,15.14,16.45,17.18,16.4,17.11,48324400.0
2008-04-10,15.21,16.53,16.68,16.28,16.54,22372000.0
2008-04-11,15.21,16.53,16.69,16.31,16.31,26421600.0
2008-04-14,15.12,16.42,16.81,16.38,16.67,28443600.0
2008-04-15,14.81,16.09,16.64,16.0,16.57,23888000.0
2008-04-16,15.22,16.53,16.74,16.14,16.14,25136800.0
2008-04-17,15.43,16.76,16.94,16.5,16.57,22459600.0
2008-04-18,15.88,17.25,17.61,16.8,17.0,104099600.0
2008-04-21,16.33,17.74,18.12,17.21,17.37,58848000.0
2008-04-22,16.17,17.57,18.1,17.5,17.98,47357600.0
2008-04-23,16.13,17.52,17.92,17.42,17.74,37319600.0
2008-04-24,16.64,18.08,18.25,17.51,17.8,38086800.0
2008-04-25,17.28,18.77,19.02,18.48,19.0,101460000.0
2008-04-28,17.41,18.91,19.32,18.73,19.12,132517200.0
2008-04-29,18.61,20.22,20.22,17.75,18.54,197308400.0
2008-04-30,19.2,20.86,21.2,20.27,20.35,147543600.0
2008-05-01,19.65,21.35,21.91,20.98,21.1,116395600.0
2008-05-02,19.04,20.69,21.88,20.25,21.82,136648800.0
2008-05-05,19.58,21.26,21.38,20.2,20.71,70377200.0
2008-05-06,20.14,21.88,22.04,21.19,21.37,75913200.0
2008-05-07,20.37,22.12,22.46,21.92,22.21,100464800.0
2008-05-08,20.09,21.83,22.44,21.49,22.38,92836400.0
2008-05-09,19.07,20.72,21.67,20.63,21.45,94312000.0
2008-05-12,18.85,20.48,21.12,19.52,20.91,147471600.0
2008-05-13,18.96,20.59,20.88,20.2,20.46,53249600.0
2008-05-14,18.92,20.56,21.09,20.36,20.83,51400400.0
2008-05-15,18.93,20.56,20.73,20.28,20.63,36688800.0
2008-05-16,18.96,20.59,20.71,20.32,20.68,34066800.0
2008-05-19,19.17,20.83,21.18,20.54,20.57,45473200.0
2008-05-20,19.04,20.68,20.96,20.48,20.72,40702000.0
2008-05-21,18.61,20.21,20.86,20.13,20.67,41831600.0
2008-05-22,17.79,19.33,20.15,19.04,20.14,85283600.0
2008-05-23,17.57,19.09,19.33,18.78,18.96,42196400.0
2008-05-27,18.12,19.68,19.74,18.59,19.23,62776400.0
2008-05-28,18.85,20.48,20.49,19.89,20.07,52996000.0
2008-05-29,19.62,21.31,21.74,20.75,20.86,100613200.0
2008-05-30,19.87,21.59,21.89,21.45,21.5,72016000.0
2008-06-02,19.81,21.52,21.74,21.15,21.55,36856000.0
2008-06-03,20.15,21.89,21.99,21.51,21.75,48411600.0
2008-06-04,19.67,21.37,22.02,21.32,21.77,40684400.0
2008-06-05,20.08,21.81,21.81,21.4,21.61,27059600.0
2008-06-06,19.25,20.91,21.5,20.89,21.48,41748000.0
2008-06-09,18.9,20.53,21.24,20.14,21.0,45240000.0
2008-06-10,18.48,20.08,20.72,19.9,20.08,36048400.0
2008-06-11,17.89,19.43,20.25,19.4,20.25,56996400.0
2008-06-12,18.31,19.89,20.19,19.64,19.74,44605600.0
2008-06-13,18.76,20.38,20.45,20.04,20.07,30689200.0
2008-06-16,19.16,20.82,20.88,20.27,20.37,34384000.0
