,Adj Close,Close,High,Low,Open,Volume
2008-01-02,45.75,45.75,46.97,42.97,43.85,1987100.0
2008-01-03,45.32,45.32,46.17,45.1,45.82,1374900.0
2008-01-04,45.65,45.65,46.48,45.03,45.03,1417000.0
2008-01-07,47.48,47.48,47.82,45.84,45.84,1570100.0
2008-01-08,46.71,46.71,47.62,46.56,47.62,826600.0
2008-01-09,47.56,47.56,47.56,46.42,46.63,842200.0
2008-01-10,47.19,47.19,47.69,46.98,47.31,741500.0
2008-01-11,47.58,47.58,47.82,46.59,46.85,730800.0
2008-01-14,47.23,47.23,47.98,47.1,47.98,743800.0
2008-01-15,45.83,45.83,46.94,45.75,46.88,1563600.0
2008-01-16,46.73,46.73,47.16,45.27,45.68,1704900.0
2008-01-17,46.59,46.59,47.45,46.17,46.42,1251500.0
2008-01-18,45.01,45.01,47.34,44.84,46.82,1780700.0
2008-01-22,43.28,43.28,43.85,36.28,43.44,1995400.0
2008-01-23,43.06,43.06,43.16,41.21,42.71,1701100.0
2008-01-24,46.98,46.98,47.69,45.44,45.45,2914400.0
2008-01-25,45.44,45.44,47.5,45.19,47.5,1398900.0
2008-01-28,46.93,46.93,47.12,45.47,46.34,1315900.0
2008-01-29,46.97,46.97,47.35,46.39,47.12,980200.0
2008-01-30,46.51,46.51,47.2,46.29,46.72,963700.0
2008-01-31,45.59,45.59,46.18,44.61,45.87,2140900.0
2008-02-01,46.99,46.99,47.14,44.98,45.06,1834500.0
2008-02-04,46.98,46.98,47.3,46.58,47.2,997300.0
2008-02-05,45.84,45.84,46.94,45.72,46.74,960300.0
2008-02-06,44.64,44.64,46.21,44.55,45.6,1556200.0
2008-02-07,45.05,45.05,45.26,44.4,44.4,1467600.0
2008-02-08,45.1,45.1,45.44,44.63,44.73,700900.0
2008-02-11,45.91,45.91,46.01,44.99,45.13,846000.0
2008-02-12,46.64,46.64,46.83,45.96,46.11,728400.0
2008-02-13,47.14,47.14,47.46,46.59,46.99,1285700.0
2008-02-14,46.74,46.74,47.49,46.58,47.25,554100.0
2008-02-15,46.13,46.13,46.87,45.38,46.41,804900.0
2008-02-19,46.77,46.77,47.0,46.41,46.57,637300.0
2008-02-20,46.85,46.85,47.09,45.82,46.49,752600.0
2008-02-21,46.08,46.08,47.23,46.04,47.23,513800.0
2008-02-22,46.45,46.45,46.64,45.63,46.14,544800.0
2008-02-25,47.34,47.34,47.46,46.56,46.58,820600.0
2008-02-26,47.08,47.08,47.35,46.55,47.03,833600.0
2008-02-27,46.78,46.78,47.26,46.58,46.89,645100.0
2008-02-28,46.01,46.01,46.81,45.77,46.36,885300.0
