,Adj Close,Close,High,Low,Open,Volume
2008-01-02,46.54,63.48,65.01,63.07,64.14,6565200.0
2008-01-03,44.51,60.72,63.7,60.28,63.7,11518000.0
2008-01-04,42.98,58.63,60.36,58.32,60.33,9964600.0
2008-01-07,42.68,58.23,58.67,57.03,57.97,11786200.0
2008-01-08,42.37,57.8,59.71,57.63,58.71,9519800.0
2008-01-09,41.32,56.37,58.03,55.49,58.03,12456100.0
2008-01-10,41.78,57.0,57.36,55.41,55.86,8056100.0
2008-01-11,39.95,54.5,56.67,54.17,56.67,11273500.0
2008-01-14,40.12,54.73,55.07,54.23,55.05,13024200.0
2008-01-15,36.79,50.18,53.36,50.18,53.2,23024700.0
2008-01-16,35.96,49.05,50.92,47.83,50.18,22815300.0
2008-01-17,34.92,47.64,50.66,47.36,49.91,15339900.0
2008-01-18,36.2,49.39,49.54,47.2,48.09,15194700.0
2008-01-22,35.5,48.43,48.88,46.39,47.19,11423200.0
2008-01-23,35.55,48.49,48.59,43.69,47.35,19259300.0
2008-01-24,37.07,50.58,50.86,48.9,48.99,13445500.0
2008-01-25,36.58,49.9,52.58,49.58,51.44,11611900.0
2008-01-28,36.79,50.18,51.23,49.5,49.82,9285700.0
2008-01-29,40.59,55.37,56.12,53.88,53.99,21054100.0
2008-01-30,39.9,54.43,56.27,53.79,55.09,12423400.0
2008-01-31,39.57,53.99,54.65,52.5,54.1,10496900.0
2008-02-01,40.32,55.0,55.12,53.95,54.31,7671300.0
2008-02-04,40.26,54.92,55.64,54.64,55.05,4899800.0
2008-02-05,38.34,52.3,54.46,52.1,53.92,7881200.0
2008-02-06,37.84,51.63,53.0,51.39,52.76,8770200.0
2008-02-07,38.28,52.22,52.89,50.42,51.19,8191900.0
2008-02-08,39.46,53.83,54.12,52.04,52.04,7194400.0
2008-02-11,39.56,53.86,54.1,52.45,53.83,7307400.0
2008-02-12,38.73,52.73,55.43,51.76,54.08,10054400.0
2008-02-13,39.75,54.11,54.5,52.65,53.64,7789400.0
2008-02-14,39.45,53.71,54.84,53.47,54.42,5329900.0
