,Adj Close,Close,High,Low,Open,Volume
2008-01-02,28.73,50.63,51.98,50.52,51.83,912100.0
2008-01-03,27.93,49.23,51.58,49.18,51.11,809500.0
2008-01-04,26.64,46.96,49.04,46.55,48.97,1591400.0
2008-01-07,27.1,47.76,47.87,46.55,47.68,1089700.0
2008-01-08,26.58,46.85,49.08,46.76,47.76,1888200.0
2008-01-09,27.05,47.68,47.92,45.4,47.27,1266300.0
2008-01-10,27.99,49.33,49.9,47.07,47.56,1314800.0
2008-01-11,27.59,48.62,50.2,47.53,48.68,798800.0
2008-01-14,27.49,48.45,49.58,47.16,49.24,763200.0
2008-01-15,26.84,47.3,48.53,46.97,48.01,955900.0
2008-01-16,27.21,47.96,48.7,46.29,47.31,1222200.0
2008-01-17,26.97,47.53,48.84,47.27,48.08,1252800.0
2008-01-18,25.9,45.64,48.11,44.84,47.54,1746200.0
2008-01-22,26.91,47.44,47.8,44.54,44.55,1296400.0
2008-01-23,28.91,50.95,51.18,46.35,46.45,1680900.0
2008-01-24,28.5,50.23,51.66,48.76,51.38,1137700.0
2008-01-25,28.51,50.26,51.38,49.49,50.76,1137700.0
2008-01-28,29.25,51.56,51.56,49.66,49.96,1213100.0
2008-01-29,28.15,49.62,50.25,49.37,49.9,1823300.0
2008-01-30,27.93,49.23,50.92,48.78,49.45,1541200.0
2008-01-31,28.64,50.47,50.9,48.27,49.24,1280200.0
2008-02-01,29.12,51.33,51.8,49.67,50.7,1111500.0
2008-02-04,28.85,50.84,51.87,50.27,51.87,1250100.0
2008-02-05,27.89,49.16,50.71,49.04,50.19,1249700.0
2008-02-06,26.86,47.33,49.38,47.23,49.17,1143500.0
2008-02-07,27.6,48.65,48.73,46.53,47.71,1035700.0
2008-02-08,26.83,47.29,48.98,46.49,48.2,677900.0
2008-02-11,26.26,46.28,47.39,45.87,47.39,759700.0
2008-02-12,26.72,47.09,47.39,46.17,46.48,696800.0
2008-02-13,27.01,47.61,48.14,46.51,47.68,800600.0
2008-02-14,26.76,47.16,48.48,47.06,47.66,909100.0
2008-02-15,27.79,48.98,49.07,47.06,47.06,1047200.0
2008-02-19,27.28,48.08,49.82,47.96,49.53,1171800.0
2008-02-20,27.54,48.53,48.77,47.34,48.3,1016600.0
2008-02-21,27.05,47.68,49.23,47.53,48.85,800900.0
2008-02-22,27.83,49.05,49.05,46.97,47.73,793800.0
2008-02-25,28.15,49.61,49.61,48.4,48.94,1252700.0
2008-02-26,28.13,49.58,50.25,48.58,49.04,1002700.0
2008-02-27,27.81,49.01,49.93,48.64,49.79,895600.0
2008-02-28,27.5,48.48,49.09,48.3,48.76,850300.0
2008-02-29,27.1,47.76,48.35,47.37,48.3,1386100.0
2008-03-03,27.52,48.5,48.52,47.04,47.95,1304700.0
2008-03-04,27.2,47.36,47.96,46.91,47.44,1137800.0
2008-03-05,27.38,47.68,48.06,47.19,47.6,717500.0
2008-03-06,26.56,46.25,47.64,46.02,47.64,1014400.0
2008-03-07,26.88,46.81,47.03,45.11,45.93,1665100.0
2008-03-10,26.86,46.77,48.0,46.49,46.61,1765400.0
2008-03-11,28.41,49.47,49.7,47.58,48.02,2197000.0
2008-03-12,28.39,49.43,51.06,49.13,49.13,1769000.0
2008-03-13,28.19,49.09,49.57,47.7,49.13,1450200.0
2008-03-14,28.07,48.88,50.13,47.77,49.55,1294300.0
2008-03-17,28.28,49.24,49.74,47.56,47.9,1096200.0
2008-03-18,29.38,51.16,51.19,49.08,49.23,2101000.0
2008-03-19,29.52,51.4,52.24,50.77,51.11,1652700.0
2008-03-20,30.23,52.64,52.8,49.66,49.66,1631700.0
2008-03-24,30.69,53.44,54.92,52.85,53.01,2080500.0
2008-03-25,30.61,53.31,54.55,53.04,53.55,2442500.0
2008-03-26,30.1,52.4,53.27,52.22,53.09,2283800.0
2008-03-27,29.56,51.47,52.99,51.31,52.81,2602900.0
2008-03-28,29.27,50.96,52.23,50.73,51.57,1594200.0
2008-03-31,29.45,51.28,52.52,50.67,50.67,1410500.0
2008-04-01,31.13,54.2,54.24,51.74,51.88,1769900.0
2008-04-02,31.11,54.17,54.24,53.26,53.82,1959200.0
2008-04-03,31.71,55.21,55.21,53.79,54.03,1402800.0
2008-04-04,31.22,54.37,55.28,54.03,55.26,1223200.0
2008-04-07,31.3,54.49,55.03,53.61,55.03,881000.0
2008-04-08,31.09,54.13,54.87,53.8,54.49,1287300.0
2008-04-09,30.82,53.67,54.41,53.18,54.32,844700.0
2008-04-10,30.21,52.6,53.89,52.02,52.04,1150400.0
2008-04-11,29.8,51.89,52.31,51.7,51.86,1150000.0
2008-04-14,29.85,51.98,52.85,51.48,51.48,846800.0
2008-04-15,30.12,52.44,52.56,51.96,52.54,573700.0
2008-04-16,30.85,53.72,53.88,52.54,52.88,1038000.0
2008-04-17,31.63,55.08,55.1,53.56,53.67,655200.0
2008-04-18,31.26,54.44,55.64,54.13,55.64,1537700.0
2008-04-21,31.1,54.15,54.85,53.89,54.22,1147600.0
2008-04-22,31.17,54.27,54.53,53.73,53.96,629400.0
2008-04-23,32.02,55.76,55.76,54.43,54.7,906100.0
2008-04-24,32.79,57.09,57.12,55.28,55.74,1775400.0
2008-04-25,32.86,57.22,57.42,56.34,57.03,1027200.0
2008-04-28,32.8,57.12,57.44,56.54,57.02,1401700.0
2008-04-29,32.19,56.05,57.12,55.8,56.81,1283900.0
2008-04-30,31.85,55.45,56.86,55.45,55.98,872100.0
2008-05-01,32.56,56.7,56.7,55.37,55.45,1074400.0
2008-05-02,31.81,55.38,57.54,55.25,57.11,1244600.0
2008-05-05,31.62,55.06,55.52,54.68,55.51,800400.0
2008-05-06,31.94,55.61,55.61,54.31,54.81,902300.0
2008-05-07,30.55,53.19,55.69,53.1,55.5,1102500.0
2008-05-08,30.58,53.24,53.9,52.86,53.16,1184100.0
2008-05-09,30.65,53.36,53.92,52.91,52.91,645200.0
2008-05-12,31.27,54.45,54.53,53.34,53.67,891900.0
2008-05-13,31.26,54.43,54.81,53.71,54.53,777300.0
2008-05-14,31.4,54.68,54.84,54.33,54.7,580400.0
2008-05-15,31.77,55.32,55.52,54.46,54.89,538900.0
2008-05-16,31.58,54.98,55.04,54.35,54.49,1012900.0
2008-05-19,31.66,55.12,55.56,54.64,55.21,556000.0
2008-05-20,31.09,54.13,55.29,53.83,54.92,793100.0
2008-05-21,30.34,52.83,54.33,52.83,54.17,959800.0
2008-05-22,30.25,52.68,52.94,52.16,52.76,833500.0
2008-05-23,30.33,52.8,53.47,52.05,52.29,702900.0
2008-05-27,30.85,53.72,53.75,52.8,52.85,465400.0
2008-05-28,30.91,53.82,53.91,53.32,53.74,478300.0
2008-05-29,30.98,53.95,54.19,53.44,53.92,1145200.0
2008-05-30,31.26,54.43,54.54,53.45,54.03,1113000.0
2008-06-02,31.23,53.79,54.24,53.15,53.68,1058900.0
2008-06-03,31.33,53.96,54.47,53.43,54.07,855600.0
2008-06-04,31.64,54.5,55.01,53.21,53.64,793600.0
2008-06-05,32.45,55.89,55.89,54.44,54.86,589300.0
2008-06-06,30.99,53.37,55.7,53.31,55.67,766800.0
2008-06-09,30.53,52.59,53.97,52.59,53.39,729300.0
2008-06-10,30.65,52.79,52.95,51.46,52.18,812800.0
2008-06-11,29.89,51.48,52.77,51.24,52.64,664900.0
2008-06-12,30.09,51.83,52.58,51.1,51.96,712400.0
2008-06-13,30.65,52.79,52.79,50.7,52.5,976000.0
2008-06-16,31.17,53.68,53.91,52.16,52.72,465700.0
2008-06-17,29.64,51.06,54.05,50.93,54.03,680600.0
2008-06-18,28.8,49.61,50.82,49.61,50.69,919100.0
2008-06-19,29.86,51.43,51.43,49.33,49.72,850000.0
2008-06-20,28.88,49.74,51.14,49.63,50.81,766300.0
2008-06-23,28.43,48.98,50.58,48.91,50.06,1007000.0
2008-06-24,28.43,48.97,49.59,48.34,48.84,884000.0
2008-06-25,28.63,49.32,49.96,48.56,49.33,1315100.0
2008-06-26,27.78,47.85,49.3,47.68,49.06,1135400.0
2008-06-27,27.83,47.94,48.43,47.72,47.86,1746400.0
2008-06-30,28.22,48.61,49.39,47.19,48.09,1225100.0
2008-07-01,28.16,48.5,48.76,47.8,48.12,1422200.0
