,Adj Close,Close,High,Low,Open,Volume
2008-01-02,29.11,37.34,38.67,37.25,37.99,7298800.0
2008-01-03,27.33,35.06,36.0,34.91,36.0,16204900.0
2008-01-04,26.73,34.29,34.98,34.18,34.83,11552400.0
2008-01-07,27.34,35.07,35.2,34.26,34.43,7723200.0
2008-01-08,26.69,34.23,35.5,34.1,35.25,9053600.0
2008-01-09,26.31,33.75,34.5,33.09,34.28,14386600.0
2008-01-10,26.91,34.52,34.92,33.5,33.56,9405500.0
2008-01-11,26.27,33.7,34.4,33.53,34.28,7983700.0
2008-01-14,25.97,33.31,33.9,33.13,33.9,6754300.0
2008-01-15,25.74,33.01,33.25,32.8,33.17,8780400.0
2008-01-16,25.92,33.24,33.6,32.76,32.8,8514500.0
2008-01-17,25.99,33.34,33.73,33.11,33.3,9080700.0
2008-01-18,26.28,33.71,34.8,33.17,33.5,11116300.0
2008-01-22,26.56,34.07,34.43,32.5,32.5,13406300.0
2008-01-23,27.64,35.45,35.66,33.3,33.48,14346900.0
2008-01-24,27.28,34.99,35.08,34.24,35.0,9071400.0
2008-01-25,26.73,34.28,35.51,33.98,35.25,7861600.0
2008-01-28,26.86,34.45,34.47,33.45,33.45,7115700.0
2008-01-29,27.07,34.72,34.83,33.92,34.6,6074700.0
2008-01-30,26.76,34.32,35.0,34.2,34.51,5850400.0
2008-01-31,27.32,35.04,35.5,33.97,34.05,9901500.0
2008-02-01,28.32,36.32,36.32,34.62,35.18,8139800.0
2008-02-04,27.64,35.45,36.35,35.18,36.18,6272700.0
2008-02-05,27.25,34.95,35.75,34.91,35.59,6487700.0
2008-02-06,26.91,34.52,35.47,34.4,35.12,6232100.0
2008-02-07,27.08,34.74,35.36,34.26,34.39,7342600.0
2008-02-08,27.35,35.08,35.78,34.95,35.23,7497300.0
2008-02-11,28.0,35.91,36.07,34.9,35.14,6231300.0
2008-02-12,28.25,36.24,36.5,36.05,36.05,6492000.0
2008-02-13,28.22,36.2,36.5,36.1,36.44,5655700.0
2008-02-14,27.77,35.53,36.36,35.33,36.15,4841900.0
2008-02-15,27.73,35.47,35.62,35.0,35.55,4997100.0
2008-02-19,27.69,35.42,35.91,35.2,35.67,4366400.0
2008-02-20,28.14,36.0,36.17,35.29,35.42,5389500.0
2008-02-21,28.48,36.44,36.69,35.9,36.06,7977300.0
2008-02-22,29.24,37.41,37.46,36.48,36.65,7957300.0
2008-02-25,29.21,37.37,37.65,36.76,37.4,5957300.0
2008-02-26,29.51,37.75,37.98,37.25,37.26,4853600.0
2008-02-27,29.24,37.41,37.82,37.27,37.42,3998500.0
2008-02-28,29.03,37.14,37.5,36.93,37.21,4318500.0
2008-02-29,28.54,36.51,37.19,36.38,37.0,5239500.0
2008-03-03,28.49,36.45,36.64,35.99,36.39,6173400.0
2008-03-04,28.82,36.87,37.1,35.9,36.75,8131900.0
2008-03-05,28.36,36.28,37.15,36.0,37.0,6320300.0
2008-03-06,27.86,35.64,36.41,35.63,36.05,5212800.0
2008-03-07,27.77,35.53,36.09,34.76,35.42,5038800.0
2008-03-10,27.41,35.07,35.98,35.01,35.5,4682400.0
2008-03-11,28.42,36.36,36.4,35.08,35.42,7013800.0
2008-03-12,28.5,36.46,37.21,36.26,36.37,5104300.0
2008-03-13,28.56,36.53,36.74,36.0,36.24,5407900.0
2008-03-14,28.11,35.96,36.72,35.48,36.72,6648000.0
2008-03-17,27.94,35.74,36.25,35.16,35.16,7109000.0
