,Adj Close,Close,High,Low,Open,Volume
2008-01-02,15.99,23.9,24.28,23.75,24.22,1195800.0
2008-01-03,15.82,23.64,23.99,23.62,23.93,1087200.0
2008-01-04,15.89,23.75,23.9,23.36,23.36,1225800.0
2008-01-07,16.36,24.44,24.51,23.8,23.81,2330400.0
2008-01-08,16.41,24.52,24.81,24.42,24.49,2086800.0
2008-01-09,16.34,24.42,24.65,24.17,24.45,1732000.0
2008-01-10,16.1,24.06,24.53,23.93,24.33,1781600.0
2008-01-11,16.04,23.97,24.12,23.79,23.84,1395000.0
2008-01-14,15.94,23.82,24.11,23.73,24.08,1093000.0
2008-01-15,16.01,23.92,24.17,23.57,23.57,3102200.0
2008-01-16,16.12,24.09,24.32,23.9,23.9,2719200.0
2008-01-17,15.55,23.24,24.14,23.23,24.14,1887400.0
2008-01-18,15.49,23.15,23.64,22.96,23.31,2996200.0
2008-01-22,15.13,22.6,22.97,22.27,22.27,2619200.0
2008-01-23,15.25,22.78,22.98,22.39,22.5,3526000.0
2008-01-24,14.97,22.36,22.84,22.3,22.84,4881400.0
2008-01-25,14.72,22.0,22.58,22.0,22.48,2828800.0
2008-01-28,15.01,22.43,22.49,22.0,22.0,2182600.0
2008-01-29,15.11,22.58,22.78,22.42,22.54,1408600.0
2008-01-30,15.07,22.51,23.0,22.41,22.5,1205000.0
2008-01-31,15.23,22.76,22.85,22.2,22.31,1505400.0
2008-02-01,15.38,22.99,23.0,22.56,22.76,1391800.0
2008-02-04,15.61,23.33,23.5,22.82,22.9,1173000.0
2008-02-05,15.41,23.02,23.75,22.98,23.23,2250800.0
2008-02-06,15.46,23.11,23.39,23.06,23.12,2248600.0
2008-02-07,15.42,23.04,23.11,22.84,23.02,1817000.0
2008-02-08,15.38,22.99,23.23,22.84,23.0,1324000.0
2008-02-11,15.34,22.92,23.06,22.82,23.03,1359000.0
2008-02-12,15.44,22.94,23.07,22.73,23.0,2161000.0
2008-02-13,15.3,22.73,23.09,22.62,23.09,1635400.0
2008-02-14,15.12,22.47,22.98,22.36,22.81,864800.0
2008-02-15,15.09,22.42,22.47,22.22,22.33,1203000.0
2008-02-19,15.11,22.44,22.68,22.35,22.61,874400.0
2008-02-20,15.05,22.36,22.42,21.98,22.27,1311800.0
2008-02-21,14.85,22.06,22.59,22.02,22.43,1485800.0
2008-02-22,15.09,22.42,22.42,22.03,22.1,1237800.0
2008-02-25,15.09,22.42,22.5,22.27,22.41,1295000.0
2008-02-26,15.11,22.45,22.52,22.17,22.39,960000.0
2008-02-27,14.8,22.0,22.51,21.97,22.45,1295000.0
2008-02-28,14.81,22.0,22.1,21.55,21.87,1247400.0
2008-02-29,14.68,21.81,21.88,21.59,21.81,2986400.0
2008-03-03,14.82,22.02,22.03,21.7,21.85,1920200.0
2008-03-04,14.84,22.05,22.31,21.69,21.74,2226200.0
2008-03-05,14.84,22.04,22.14,21.8,22.06,1494600.0
2008-03-06,14.63,21.74,21.99,21.69,21.9,1571400.0
2008-03-07,14.61,21.7,21.79,21.4,21.58,1252600.0
2008-03-10,14.58,21.66,21.83,21.5,21.76,1618800.0
2008-03-11,14.67,21.8,22.11,21.57,22.11,1684400.0
2008-03-12,14.54,21.6,22.0,21.6,21.92,1440400.0
2008-03-13,14.54,21.6,21.67,21.32,21.44,2362400.0
2008-03-14,14.49,21.52,21.77,21.31,21.74,1697000.0
2008-03-17,14.49,21.52,21.65,21.0,21.47,2815000.0
2008-03-18,14.74,21.91,21.99,21.59,21.9,1659800.0
2008-03-19,14.56,21.62,22.33,21.62,21.97,1922600.0
2008-03-20,14.65,21.76,21.85,21.38,21.65,1475600.0
2008-03-24,14.44,21.45,21.86,21.33,21.77,1829800.0
2008-03-25,14.54,21.6,21.73,21.35,21.42,1452400.0
2008-03-26,14.56,21.62,21.72,21.11,21.42,3532600.0
2008-03-27,14.77,21.94,22.05,21.62,21.7,2376600.0
2008-03-28,14.67,21.8,22.16,21.72,21.99,1447600.0
2008-03-31,14.8,22.0,22.0,21.63,21.82,1476000.0
2008-04-01,15.09,22.42,22.44,22.11,22.14,1326200.0
2008-04-02,15.28,22.7,22.83,22.47,22.47,1367200.0
2008-04-03,15.1,22.43,22.7,22.39,22.59,1143800.0
2008-04-04,15.02,22.31,22.6,22.29,22.45,1492800.0
2008-04-07,15.2,22.58,22.65,22.25,22.43,872000.0
2008-04-08,15.21,22.59,22.65,22.3,22.42,1114200.0
2008-04-09,15.23,22.62,22.68,22.5,22.58,923000.0
2008-04-10,15.12,22.46,22.57,22.34,22.57,1483400.0
2008-04-11,15.29,22.72,22.77,22.3,22.3,1107600.0
2008-04-14,15.22,22.61,22.84,22.5,22.77,1074000.0
2008-04-15,15.37,22.83,22.86,22.58,22.71,938000.0
2008-04-16,15.71,23.33,23.38,22.91,22.95,1730000.0
2008-04-17,15.68,23.29,23.46,23.2,23.2,645400.0
2008-04-18,15.69,23.31,23.56,23.2,23.5,797800.0
2008-04-21,15.61,23.18,23.22,22.97,23.09,763600.0
2008-04-22,15.46,22.97,23.11,22.89,23.09,747200.0
2008-04-23,15.61,23.19,23.3,22.98,23.02,711600.0
2008-04-24,15.67,23.27,23.4,23.03,23.26,1187400.0
2008-04-25,15.68,23.3,23.45,23.23,23.38,717400.0
2008-04-28,15.73,23.36,23.73,23.28,23.5,941400.0
2008-04-29,15.59,23.16,23.67,23.16,23.57,2036600.0
2008-04-30,15.97,23.73,23.93,23.18,23.23,2231400.0
