,Adj Close,Close,High,Low,Open,Volume
2008-01-02,58.73,79.88,81.45,78.42,81.17,1523400.0
2008-01-03,58.17,79.12,80.49,78.69,80.2,1423600.0
2008-01-04,55.61,75.64,79.11,75.12,78.53,2325800.0
2008-01-07,55.99,76.15,76.65,75.01,76.25,1361900.0
2008-01-08,54.89,74.65,77.71,74.54,76.68,1772100.0
2008-01-09,54.35,73.92,74.1,72.27,73.72,1830400.0
2008-01-10,55.03,74.85,75.74,72.1,72.93,1411300.0
2008-01-11,54.07,73.54,74.3,72.69,74.3,1548400.0
2008-01-14,53.49,72.75,74.49,72.1,73.99,2168700.0
2008-01-15,52.11,70.87,72.1,70.3,72.1,1723800.0
2008-01-16,51.76,70.4,70.75,67.19,69.93,3000900.0
2008-01-17,51.32,69.8,71.34,69.31,70.09,2243000.0
2008-01-18,52.59,71.53,72.01,69.95,70.31,2004900.0
2008-01-22,54.77,74.49,75.43,68.35,68.5,2653000.0
2008-01-23,59.56,81.01,81.06,71.99,72.16,3725000.0
2008-01-24,58.0,78.89,81.51,77.8,80.5,1827500.0
2008-01-25,57.19,77.78,83.17,77.53,79.81,1338400.0
2008-01-28,58.81,79.99,79.99,76.56,77.68,1653600.0
2008-01-29,60.65,82.49,82.71,78.93,80.79,1416400.0
2008-01-30,60.47,82.25,84.45,81.75,82.55,1614200.0
2008-01-31,62.71,85.29,86.2,80.6,81.27,2602400.0
2008-02-01,63.02,85.72,86.0,83.26,85.01,2116800.0
2008-02-04,59.99,81.59,86.41,81.0,85.96,2002600.0
2008-02-05,66.17,90.0,94.19,84.55,84.57,10350100.0
2008-02-06,66.53,90.49,98.0,89.31,90.99,6830400.0
2008-02-07,67.19,91.39,92.64,88.37,89.81,2594800.0
2008-02-08,65.46,89.03,91.28,88.43,91.07,1383300.0
2008-02-11,65.57,89.18,89.31,86.01,87.98,2017500.0
2008-02-12,67.16,91.34,92.81,89.18,89.91,1917400.0
2008-02-13,67.41,91.68,92.98,90.64,92.22,1019800.0
2008-02-14,65.86,89.58,92.28,89.37,91.9,1120300.0
2008-02-15,65.06,88.49,90.27,87.89,89.11,1273000.0
2008-02-19,65.06,88.49,90.73,88.05,89.34,1251500.0
2008-02-20,65.3,88.82,89.0,86.88,88.25,1534100.0
2008-02-21,65.71,89.37,90.99,88.91,89.31,1209100.0
2008-02-22,65.55,88.72,89.35,86.4,89.07,1218700.0
2008-02-25,65.68,88.9,89.84,87.12,88.71,1231000.0
2008-02-26,67.62,91.53,92.47,88.25,88.25,1507300.0
2008-02-27,69.37,93.9,95.01,90.61,91.15,2105600.0
2008-02-28,66.77,90.38,93.25,89.22,93.25,1626500.0
2008-02-29,62.33,84.37,89.47,84.16,89.27,2086300.0
2008-03-03,64.9,87.85,87.99,83.61,84.44,2057200.0
2008-03-04,64.92,87.87,88.57,86.09,86.94,1953000.0
2008-03-05,62.31,84.34,87.15,83.61,84.71,2671800.0
2008-03-06,60.86,82.38,84.15,81.79,83.76,1682600.0
2008-03-07,61.87,83.74,85.33,81.37,81.91,1871100.0
2008-03-10,60.77,82.26,84.38,82.2,83.51,1356000.0
2008-03-11,62.83,85.05,85.81,82.8,83.51,1573100.0
2008-03-12,62.87,85.1,86.85,83.52,85.76,1081600.0
2008-03-13,62.78,84.98,85.56,81.62,83.03,1621500.0
2008-03-14,61.27,82.93,85.78,82.0,85.78,1070300.0
2008-03-17,59.78,80.92,82.52,78.9,80.81,2154600.0
2008-03-18,63.14,85.47,86.01,81.1,82.3,1683700.0
2008-03-19,63.13,85.45,87.31,85.25,86.06,1804700.0
2008-03-20,65.57,88.75,89.09,84.31,85.45,1443200.0
2008-03-24,65.29,88.38,90.57,87.9,89.0,1461200.0
2008-03-25,64.77,87.67,89.04,86.65,88.8,861700.0
2008-03-26,63.72,86.25,88.76,85.95,87.66,1235900.0
2008-03-27,63.16,85.49,87.27,85.43,86.9,960600.0
2008-03-28,63.09,85.4,86.59,85.2,86.0,574900.0
2008-03-31,64.11,86.78,87.33,84.21,85.15,886800.0
