,Adj Close,Close,High,Low,Open,Volume
2008-01-02,70.43,95.6,100.58,95.47,100.11,329700.0
2008-01-03,71.08,96.48,97.85,95.68,95.87,320400.0
2008-01-04,70.98,96.34,97.96,95.81,96.48,478400.0
2008-01-07,71.16,96.58,97.46,96.11,97.27,217100.0
2008-01-08,70.4,95.55,97.27,95.34,96.72,330600.0
2008-01-09,71.92,97.62,97.62,95.15,96.05,419200.0
2008-01-10,71.53,97.09,97.25,95.79,96.61,574200.0
2008-01-11,73.09,99.21,99.63,95.66,96.08,450800.0
2008-01-14,71.92,97.62,99.55,97.59,99.23,217400.0
2008-01-15,71.02,96.4,97.91,96.32,97.25,264400.0
2008-01-16,71.35,96.85,98.23,95.58,95.95,232200.0
2008-01-17,71.41,96.93,98.65,95.44,95.79,985100.0
2008-01-18,70.24,95.34,97.8,93.8,97.35,745000.0
2008-01-22,69.99,94.99,96.9,91.36,93.59,288800.0
2008-01-23,72.68,98.65,98.99,92.24,93.09,578800.0
2008-01-24,72.0,97.72,99.31,96.56,98.99,484500.0
2008-01-25,68.95,93.59,97.93,93.25,97.62,258800.0
2008-01-28,70.2,95.28,95.28,92.58,92.85,219900.0
2008-01-29,70.22,95.31,96.05,94.28,95.5,149800.0
2008-01-30,70.06,95.1,98.38,94.68,95.05,736800.0
2008-01-31,68.31,92.72,95.15,92.45,92.98,459600.0
2008-02-01,70.45,95.63,96.0,92.72,92.72,322600.0
2008-02-04,68.64,93.17,96.11,92.87,96.08,406900.0
2008-02-05,68.01,92.32,93.72,91.92,91.95,457300.0
2008-02-06,66.94,90.86,92.32,90.23,91.66,476700.0
2008-02-07,64.01,86.89,89.8,85.72,89.54,1254700.0
2008-02-08,63.47,86.15,87.28,84.19,86.81,762300.0
2008-02-11,61.63,83.66,85.99,83.66,85.99,694900.0
2008-02-12,60.87,82.62,84.64,80.53,80.53,1060100.0
2008-02-13,63.29,85.91,85.91,82.97,82.97,434100.0
2008-02-14,63.72,86.49,86.89,84.4,85.4,435700.0
2008-02-15,65.65,89.11,89.43,86.07,86.33,621900.0
2008-02-19,64.21,87.15,89.8,87.13,89.51,309800.0
2008-02-20,65.22,88.53,88.72,86.65,86.91,195400.0
2008-02-21,65.18,88.48,89.01,87.55,88.29,246600.0
2008-02-22,65.73,89.22,89.22,87.63,88.87,329800.0
2008-02-25,66.61,90.41,90.7,88.05,89.62,312800.0
2008-02-26,66.34,90.04,91.1,89.59,90.01,360600.0
2008-02-27,66.34,90.04,91.47,89.01,89.11,443500.0
2008-02-28,66.18,89.83,90.2,89.14,89.77,210300.0
2008-02-29,64.11,87.02,89.17,86.54,89.17,173300.0
2008-03-03,63.39,86.04,86.91,84.93,86.91,322700.0
2008-03-04,63.66,86.41,86.73,85.06,85.14,221000.0
2008-03-05,62.92,85.4,87.44,85.32,87.05,286000.0
2008-03-06,62.53,84.87,86.65,84.85,85.46,232700.0
2008-03-07,63.94,86.78,87.36,84.58,84.74,310700.0
2008-03-10,65.97,89.54,90.44,86.73,86.89,707800.0
2008-03-11,65.28,88.61,91.34,86.33,90.86,510800.0
2008-03-12,64.6,87.68,90.38,87.58,88.61,340300.0
2008-03-13,64.76,87.89,88.34,86.33,87.02,173800.0
2008-03-14,63.39,86.04,88.56,85.4,88.26,183000.0
2008-03-17,63.23,85.83,86.36,84.61,84.74,264700.0
2008-03-18,64.85,88.03,88.03,85.32,87.02,365100.0
2008-03-19,64.66,87.76,89.03,87.55,88.08,289600.0
2008-03-20,66.43,90.17,90.78,86.68,87.87,528400.0
2008-03-24,67.74,91.95,93.19,89.88,89.96,633300.0
2008-03-25,68.35,92.77,93.3,91.76,92.11,309300.0
2008-03-26,68.31,92.72,93.11,91.15,92.77,307000.0
2008-03-27,66.81,90.01,92.56,90.01,92.32,216500.0
2008-03-28,66.05,88.98,91.02,88.64,90.65,117200.0
2008-03-31,66.09,89.03,89.35,87.55,88.58,272100.0
2008-04-01,68.29,92.0,92.0,87.79,90.28,344000.0
2008-04-02,67.48,90.91,93.19,90.91,91.44,135700.0
2008-04-03,67.32,90.7,91.36,90.09,90.81,231000.0
2008-04-04,66.83,90.04,91.13,89.8,90.83,165900.0
