,Adj Close,Close,High,Low,Open,Volume
2008-01-02,22.16,32.26,32.93,32.15,32.9,3059700.0
2008-01-03,22.16,32.26,32.65,31.77,32.3,3201900.0
2008-01-04,21.33,31.05,32.58,30.9,32.31,6205700.0
2008-01-07,21.69,31.57,32.22,31.18,31.18,5026800.0
2008-01-08,21.8,31.73,32.04,31.39,31.7,4873900.0
2008-01-09,21.41,31.16,31.75,30.86,31.47,4505400.0
2008-01-10,21.74,31.64,31.86,30.89,30.99,3605400.0
2008-01-11,21.46,31.23,31.47,31.15,31.31,4531300.0
2008-01-14,22.17,32.27,32.58,31.22,31.42,3902000.0
2008-01-15,21.85,31.81,32.24,31.57,31.93,4136000.0
2008-01-16,21.72,31.61,31.9,31.28,31.61,4115600.0
2008-01-17,21.04,30.62,31.99,30.6,31.6,3433900.0
2008-01-18,20.6,29.98,30.86,29.88,30.77,5180000.0
2008-01-22,20.03,29.15,29.57,27.57,28.52,5603200.0
2008-01-23,20.97,30.52,30.55,28.04,28.35,6353300.0
2008-01-24,21.11,30.73,30.91,29.79,30.44,6013200.0
2008-01-25,21.26,30.95,31.21,30.59,31.07,3707300.0
2008-01-28,21.53,31.34,31.45,30.65,30.65,2787300.0
2008-01-29,21.63,31.49,31.59,31.26,31.47,2324900.0
2008-01-30,21.69,31.57,32.19,31.29,31.35,3001300.0
2008-01-31,22.27,32.41,32.61,30.99,31.14,4585300.0
2008-02-01,22.77,33.14,33.23,32.38,32.46,3069900.0
2008-02-04,22.93,33.38,33.45,32.77,33.15,2736400.0
2008-02-05,22.14,32.23,33.08,32.22,32.86,4316700.0
2008-02-06,22.34,32.52,32.82,32.2,32.39,4584500.0
2008-02-07,22.18,32.28,32.59,31.91,32.41,4212400.0
2008-02-08,22.44,32.66,32.87,31.98,32.05,4212100.0
2008-02-11,22.1,32.16,32.72,31.91,32.72,3008000.0
2008-02-12,22.76,33.13,33.3,32.25,32.25,3132800.0
2008-02-13,23.39,34.04,34.14,33.38,33.99,4336900.0
2008-02-14,23.3,33.91,34.53,33.83,34.33,3757200.0
2008-02-15,23.02,33.51,33.85,33.18,33.75,2943800.0
2008-02-19,23.24,33.83,34.14,33.51,33.83,2572300.0
2008-02-20,23.28,33.89,34.01,33.35,33.6,2234200.0
2008-02-21,22.95,33.4,34.08,33.33,34.08,2616000.0
2008-02-22,23.28,33.88,33.92,33.09,33.5,2289300.0
2008-02-25,23.53,34.25,34.3,33.61,33.96,4048000.0
2008-02-26,23.66,34.44,34.64,34.07,34.15,3170500.0
2008-02-27,23.41,34.07,34.59,33.93,34.45,4009400.0
2008-02-28,23.24,33.83,34.01,33.67,33.85,3339200.0
2008-02-29,22.56,32.83,33.73,32.75,33.73,3119000.0
2008-03-03,22.75,33.11,33.2,32.64,32.85,2913700.0
2008-03-04,22.69,33.03,33.27,32.77,32.87,3279400.0
2008-03-05,23.26,33.85,33.85,32.95,32.95,4160700.0
2008-03-06,22.6,32.63,33.7,32.55,33.59,4212600.0
2008-03-07,22.53,32.53,32.89,32.25,32.44,4597100.0
2008-03-10,22.56,32.58,32.9,32.5,32.5,4282500.0
2008-03-11,23.18,33.47,33.86,32.83,33.25,3674700.0
2008-03-12,23.34,33.7,34.0,33.51,33.6,3769900.0
2008-03-13,23.16,33.44,33.63,33.06,33.6,4541700.0
2008-03-14,22.49,32.48,33.82,31.94,33.72,6238400.0
2008-03-17,22.9,33.06,33.39,31.89,32.14,5029600.0
2008-03-18,23.62,34.1,34.13,33.31,33.62,5730800.0
2008-03-19,22.9,33.06,34.46,33.05,34.2,3941000.0
2008-03-20,23.08,33.32,33.39,32.76,33.16,4458600.0
2008-03-24,23.38,33.76,33.92,33.32,33.5,3013300.0
2008-03-25,23.73,34.26,34.33,33.69,33.84,3322200.0
2008-03-26,23.86,34.45,34.5,33.96,34.15,3863400.0
2008-03-27,23.39,33.78,34.64,33.66,34.47,2657900.0
2008-03-28,23.44,33.85,34.17,33.77,34.05,2103300.0
2008-03-31,23.24,33.56,33.92,33.25,33.79,4043800.0
2008-04-01,23.76,34.31,34.38,33.7,33.79,3558000.0
2008-04-02,24.05,34.73,34.9,34.3,34.44,3123000.0
2008-04-03,24.09,34.78,34.88,34.42,34.73,2127200.0
2008-04-04,24.12,34.83,34.97,34.34,34.88,2035100.0
2008-04-07,24.14,34.86,34.98,34.59,34.98,1805400.0
2008-04-08,24.12,34.82,34.95,34.5,34.68,1923900.0
2008-04-09,23.75,34.29,34.96,34.12,34.9,2127700.0
2008-04-10,23.66,34.17,34.3,33.88,34.23,1969300.0
2008-04-11,23.41,33.8,34.08,33.55,33.62,2839400.0
2008-04-14,23.48,33.91,34.17,33.33,33.72,1304600.0
2008-04-15,23.54,33.99,34.35,33.89,34.01,2162200.0
2008-04-16,24.26,35.03,35.03,34.3,34.34,3810600.0
2008-04-17,24.17,34.9,35.05,34.67,34.99,1874500.0
2008-04-18,24.77,35.76,35.91,35.17,35.29,2952400.0
2008-04-21,24.53,35.42,35.75,35.24,35.64,2180200.0
2008-04-22,24.31,35.1,35.43,34.89,35.34,1511600.0
2008-04-23,24.45,35.31,35.48,34.98,35.3,1580500.0
2008-04-24,24.48,35.35,35.66,35.02,35.43,2580800.0
2008-04-25,24.56,35.46,35.6,35.13,35.47,2260400.0
2008-04-28,24.5,35.37,35.77,35.25,35.59,1896400.0
2008-04-29,24.73,35.71,36.16,35.58,35.78,2162600.0
2008-04-30,25.0,36.1,36.65,35.82,35.85,3355100.0
2008-05-01,25.33,36.58,36.89,36.12,36.12,3143800.0
2008-05-02,25.38,36.64,36.96,36.31,36.69,1695500.0
2008-05-05,25.1,36.24,36.7,36.17,36.7,2027200.0
2008-05-06,25.23,36.43,36.45,35.81,36.25,2296200.0
2008-05-07,25.13,36.28,36.92,36.28,36.52,3188000.0
2008-05-08,25.4,36.67,36.92,36.3,36.45,2141400.0
2008-05-09,25.23,36.43,36.64,36.0,36.64,1911500.0
2008-05-12,25.56,36.9,36.9,36.26,36.6,1139900.0
2008-05-13,25.49,36.81,37.16,36.53,36.9,1487500.0
2008-05-14,25.91,37.41,37.58,36.81,37.04,2017900.0
2008-05-15,25.96,37.48,37.49,37.14,37.31,2144600.0
2008-05-16,25.92,37.43,37.65,37.01,37.5,1567500.0
2008-05-19,25.46,36.76,37.31,36.6,37.3,2696500.0
2008-05-20,25.49,36.8,36.91,36.52,36.66,1953800.0
2008-05-21,25.38,36.65,37.06,36.42,36.76,2967600.0
2008-05-22,25.62,37.0,37.21,36.58,36.76,1712000.0
2008-05-23,25.64,37.02,37.3,36.53,36.9,3301900.0
2008-05-27,25.9,37.4,37.55,36.75,36.96,6260900.0
2008-05-28,25.89,37.38,37.58,37.14,37.36,1968800.0
2008-05-29,26.17,37.51,37.8,36.78,37.23,4639200.0
2008-05-30,26.46,37.93,38.0,37.43,37.51,4608900.0
2008-06-02,26.34,37.76,38.0,37.52,37.79,4412600.0
2008-06-03,26.44,37.9,38.15,37.66,37.92,5357800.0
2008-06-04,26.53,38.03,38.5,37.78,37.85,4476000.0
2008-06-05,26.85,38.49,38.54,37.83,38.02,4697700.0
2008-06-06,26.31,37.71,38.26,37.67,38.26,4799900.0
2008-06-09,26.66,38.21,38.45,37.81,37.81,5955900.0
2008-06-10,26.73,38.31,38.65,37.89,38.07,5204500.0
2008-06-11,25.78,36.95,38.25,36.91,38.01,6657400.0
2008-06-12,26.41,37.86,38.22,36.95,36.95,4897400.0
2008-06-13,27.25,39.06,39.1,37.72,38.07,5825700.0
2008-06-16,26.84,38.47,38.79,38.12,38.59,4595500.0
2008-06-17,26.89,38.55,39.05,38.45,38.7,4626500.0
2008-06-18,27.17,38.95,39.18,38.25,38.25,5784100.0
2008-06-19,27.28,39.1,39.25,38.57,38.95,4401000.0
2008-06-20,26.72,38.3,39.16,38.18,39.15,3855000.0
2008-06-23,26.91,38.58,38.87,37.88,38.62,6503000.0
2008-06-24,26.54,38.04,38.79,37.89,38.46,6532200.0
2008-06-25,27.0,38.7,38.99,38.41,38.43,6599400.0
2008-06-26,26.08,37.38,38.4,37.3,38.16,2960700.0
2008-06-27,25.98,37.24,37.68,37.03,37.34,4267000.0
2008-06-30,26.31,37.71,38.0,37.07,37.29,7101700.0
2008-07-01,25.85,37.06,37.19,36.55,37.04,4840600.0
2008-07-02,25.36,36.35,37.34,36.28,37.25,3651700.0
2008-07-03,25.43,36.46,36.9,36.31,36.53,2697300.0
2008-07-07,25.13,36.02,36.68,35.5,36.68,3769600.0
2008-07-08,25.49,36.54,36.59,35.73,35.98,3228600.0
2008-07-09,25.46,36.49,37.08,36.23,36.54,3325900.0
2008-07-10,25.79,36.97,37.05,36.33,36.57,3439900.0
2008-07-11,25.54,36.61,36.96,36.25,36.6,3661000.0
2008-07-14,24.06,34.49,36.32,34.05,35.75,10344400.0
2008-07-15,24.19,34.68,34.93,33.34,34.89,9784000.0
2008-07-16,24.61,35.28,35.35,34.32,34.67,5112900.0
2008-07-17,24.81,35.56,35.62,34.71,35.15,4970400.0
2008-07-18,24.77,35.51,35.6,34.9,35.29,5009400.0
2008-07-21,25.02,35.87,36.14,35.35,35.47,3704300.0
2008-07-22,25.5,36.56,36.72,35.49,35.49,4008800.0
2008-07-23,25.64,36.75,36.95,36.34,36.68,4609900.0
2008-07-24,25.13,36.03,36.92,35.99,36.62,3489000.0
2008-07-25,24.94,35.75,36.23,35.66,36.05,2951600.0
2008-07-28,24.46,35.07,35.65,34.8,35.65,6444100.0
2008-07-29,25.06,35.92,36.4,34.96,36.0,3438600.0
2008-07-30,24.97,35.8,36.16,35.51,36.07,3122800.0
2008-07-31,24.79,35.54,36.06,35.47,35.87,3414100.0
2008-08-01,24.88,35.67,36.02,35.37,36.02,3437300.0
2008-08-04,25.11,35.99,36.34,35.55,35.59,4059600.0
2008-08-05,25.27,36.22,36.67,35.75,36.23,3500000.0
2008-08-06,24.65,35.34,36.12,34.92,36.12,4989800.0
2008-08-07,24.42,35.01,35.42,34.83,35.12,3841100.0
2008-08-08,25.12,36.01,36.04,35.01,35.03,3252000.0
2008-08-11,25.19,36.11,36.73,35.67,35.78,3045200.0
2008-08-12,24.68,35.38,36.28,35.12,36.28,3161300.0
2008-08-13,24.57,35.22,35.64,35.0,35.27,2421900.0
2008-08-14,24.14,34.61,35.68,34.21,35.05,4289100.0
2008-08-15,24.26,34.78,34.93,34.25,34.44,3824800.0
2008-08-18,24.4,34.98,35.29,34.81,35.0,2246700.0
2008-08-19,24.03,34.44,35.11,34.31,34.83,2566400.0
2008-08-20,24.15,34.62,34.75,34.2,34.57,2335500.0
2008-08-21,24.19,34.68,34.77,33.6,34.65,2217500.0
2008-08-22,24.56,35.2,35.37,34.9,34.9,1592600.0
2008-08-25,24.23,34.74,35.22,34.69,35.07,2230800.0
2008-08-26,24.3,34.84,34.98,34.14,34.51,2213500.0
2008-08-27,24.35,34.9,35.11,34.63,34.71,1683700.0
2008-08-28,24.8,35.27,35.39,34.72,34.72,1764300.0
2008-08-29,24.73,35.18,35.47,35.04,35.16,1954800.0
2008-09-02,24.87,35.37,36.31,35.16,35.41,2466000.0
2008-09-03,24.61,35.01,35.3,34.81,35.29,4714600.0
2008-09-04,24.1,34.28,35.09,34.28,34.84,3570800.0
2008-09-05,24.53,34.89,34.97,34.01,34.08,3576800.0
2008-09-08,24.85,35.35,35.91,34.93,35.53,3280200.0
2008-09-09,24.2,34.42,35.59,34.4,35.43,2378800.0
2008-09-10,24.45,34.78,35.06,34.17,34.78,2692400.0
2008-09-11,24.6,34.99,35.02,34.2,34.6,2636300.0
2008-09-12,24.83,35.32,35.45,34.58,34.85,2916000.0
2008-09-15,24.46,34.79,35.5,34.48,34.75,2797400.0
2008-09-16,24.3,34.56,34.84,33.28,34.36,5016300.0
2008-09-17,23.8,33.86,34.5,33.2,33.98,4671900.0
2008-09-18,23.97,34.09,34.48,33.32,34.11,5312500.0
2008-09-19,24.54,34.91,36.16,33.49,35.2,4278800.0
2008-09-22,24.19,34.41,35.15,34.25,34.85,2730200.0
2008-09-23,23.21,33.01,34.4,32.86,34.4,3868300.0
2008-09-24,23.1,32.86,33.35,32.4,33.19,2547600.0
2008-09-25,23.47,33.38,33.68,33.01,33.4,2366900.0
2008-09-26,23.4,33.29,33.38,32.44,32.98,2461900.0
2008-09-29,22.15,31.5,33.43,31.05,33.05,4713900.0
2008-09-30,22.14,31.49,32.09,31.2,32.05,5263200.0
2008-10-01,21.82,31.04,31.5,30.5,31.42,5193700.0
2008-10-02,22.2,31.58,31.9,30.49,30.8,5871600.0
2008-10-03,22.64,32.21,33.43,32.09,32.12,6597000.0
2008-10-06,22.07,31.39,32.39,30.11,31.86,5736000.0
2008-10-07,20.94,29.78,31.89,29.75,31.78,4531400.0
2008-10-08,20.36,28.96,30.52,28.68,29.29,6545400.0
2008-10-09,19.21,27.33,29.71,27.33,29.18,6106500.0
2008-10-10,18.11,25.76,27.97,24.51,26.4,10187300.0
2008-10-13,21.37,30.39,30.51,27.28,28.37,7627700.0
2008-10-14,21.85,31.08,32.97,29.92,32.64,7530100.0
2008-10-15,21.13,30.06,31.0,29.51,31.0,6556300.0
2008-10-16,21.01,29.89,32.33,28.57,30.04,7184400.0
2008-10-17,20.94,29.78,31.1,28.85,29.3,4907500.0
2008-10-20,22.32,31.75,31.93,29.79,30.25,4408400.0
2008-10-21,21.51,30.6,31.65,30.45,31.5,3023200.0
2008-10-22,20.63,29.35,30.56,28.88,30.06,5316300.0
2008-10-23,20.55,29.23,30.67,27.82,29.54,5609700.0
2008-10-24,19.78,28.13,29.0,27.0,27.48,3630900.0
2008-10-27,18.78,26.71,28.29,26.71,27.88,3587200.0
2008-10-28,20.27,28.83,28.85,26.14,27.5,4913000.0
2008-10-29,20.81,29.6,31.46,28.46,28.46,6246800.0
2008-10-30,22.1,31.44,31.69,30.12,30.99,4033200.0
2008-10-31,21.96,31.23,32.13,30.41,31.49,4296700.0
2008-11-03,21.7,30.87,31.65,30.56,31.2,2722700.0
2008-11-04,23.02,32.74,32.8,31.42,31.62,3998600.0
2008-11-05,21.94,31.21,32.67,30.98,32.36,3960600.0
2008-11-06,20.76,29.53,31.68,29.3,30.54,5402100.0
2008-11-07,21.51,30.59,30.59,29.48,29.8,5938700.0
