,Adj Close,Close,High,Low,Open,Volume
2008-01-02,17.93,71.52,73.75,71.14,73.45,1867500.0
2008-01-03,18.1,72.2,72.65,71.5,71.98,2158200.0
2008-01-04,17.2,68.62,71.66,68.62,71.66,2988500.0
2008-01-07,17.08,68.13,70.12,67.63,68.9,2549300.0
2008-01-08,16.72,66.7,69.83,66.44,68.7,3793000.0
2008-01-09,16.65,66.41,66.48,64.54,66.4,3863600.0
2008-01-10,16.86,67.23,67.9,64.87,65.5,2867900.0
2008-01-11,16.55,66.0,66.99,65.37,66.35,2074900.0
2008-01-14,16.96,67.66,67.86,65.69,66.65,1698200.0
2008-01-15,16.31,65.05,67.08,65.0,66.96,1797100.0
2008-01-16,16.26,64.84,66.21,64.18,64.88,2671200.0
2008-01-17,15.82,63.1,65.81,62.85,65.25,2356000.0
2008-01-18,15.9,63.43,67.09,62.72,63.78,3888100.0
2008-01-22,15.72,62.69,64.0,60.59,61.32,4007800.0
2008-01-23,16.33,65.12,65.42,60.02,61.44,4076000.0
2008-01-24,15.98,63.73,65.64,63.23,65.6,3573200.0
2008-01-25,15.9,63.43,65.08,62.71,63.73,2317900.0
2008-01-28,16.27,64.89,64.89,62.84,63.73,1991700.0
2008-01-29,16.69,66.55,66.93,64.88,65.4,1590300.0
2008-01-30,16.7,66.0,67.9,65.1,66.13,1659100.0
2008-01-31,17.11,67.64,68.08,64.47,65.09,2195000.0
2008-02-01,17.59,69.51,69.51,67.33,67.35,2561400.0
2008-02-04,17.21,68.03,70.87,67.84,69.25,1500500.0
2008-02-05,16.48,65.14,67.21,65.14,66.75,1734700.0
2008-02-06,16.27,64.3,66.45,64.15,65.46,1395800.0
2008-02-07,16.37,64.71,65.53,63.85,64.46,1630300.0
2008-02-08,15.77,62.34,63.57,61.1,63.44,3865500.0
2008-02-11,16.16,63.88,64.12,62.21,62.21,1661100.0
2008-02-12,15.79,62.4,64.29,62.13,64.15,3173200.0
2008-02-13,15.95,63.06,64.36,62.0,62.8,3104700.0
2008-02-14,15.92,62.93,63.64,62.02,63.2,2952000.0
2008-02-15,16.16,63.86,64.0,62.73,63.75,2254700.0
2008-02-19,15.85,62.65,64.9,62.29,64.48,1521700.0
2008-02-20,16.1,63.63,63.63,61.42,62.15,2127500.0
2008-02-21,15.8,62.47,64.64,62.28,63.63,1565900.0
2008-02-22,16.03,63.38,63.42,61.64,62.88,2665000.0
2008-02-25,16.54,65.38,65.54,62.7,62.94,2183600.0
2008-02-26,16.54,65.38,65.94,64.35,65.11,1826000.0
2008-02-27,16.36,64.65,65.62,64.4,64.9,1572100.0
2008-02-28,16.01,63.29,64.58,62.99,64.06,1962100.0
2008-02-29,15.48,61.2,63.19,60.85,63.0,2778200.0
2008-03-03,15.77,62.33,62.66,61.0,61.0,2125800.0
2008-03-04,15.6,61.66,61.9,60.0,61.66,4854400.0
2008-03-05,15.97,63.12,63.2,61.22,61.79,2420000.0
2008-03-06,15.45,61.07,62.79,61.02,62.69,2461500.0
2008-03-07,15.2,60.09,62.14,59.83,60.7,4352200.0
2008-03-10,14.92,58.99,60.26,58.25,60.26,3512600.0
2008-03-11,15.64,61.8,63.0,59.64,61.89,4276900.0
2008-03-12,15.8,62.46,63.88,61.47,61.82,3339400.0
2008-03-13,15.98,63.17,63.39,59.52,61.48,2910400.0
2008-03-14,15.68,61.97,63.5,60.97,63.35,2654800.0
2008-03-17,15.95,63.06,64.81,61.0,61.45,5211300.0
2008-03-18,16.29,64.38,64.43,62.15,63.81,4081000.0
2008-03-19,15.77,62.35,65.07,62.35,64.48,2609300.0
2008-03-20,16.03,63.35,63.48,61.24,62.74,3722200.0
2008-03-24,16.42,64.92,65.5,63.45,63.49,3447000.0
2008-03-25,16.77,66.3,66.95,64.45,65.0,2742800.0
