,Adj Close,Close,High,Low,Open,Volume
2008-01-02,101.63,113.64,121.93,111.44,120.59,5378700.0
2008-01-03,100.53,112.41,115.35,111.14,114.24,3171000.0
2008-01-04,94.84,106.05,110.59,105.06,110.51,4058400.0
2008-01-07,90.64,101.35,106.99,96.72,106.87,5579400.0
2008-01-08,88.22,98.65,105.96,98.18,102.06,4106600.0
2008-01-09,90.54,101.24,101.25,96.0,98.52,4482900.0
2008-01-10,98.05,109.64,112.15,100.1,100.68,6926200.0
2008-01-11,95.32,106.58,110.92,105.51,108.64,3777700.0
2008-01-14,100.45,112.32,113.1,106.95,108.38,3386400.0
2008-01-15,95.57,106.87,111.13,103.89,111.13,3785200.0
2008-01-16,95.51,106.8,110.74,102.0,104.56,6202100.0
2008-01-17,88.8,99.3,109.16,99.3,107.43,6050400.0
2008-01-18,93.65,104.72,105.45,99.79,100.27,6055800.0
2008-01-22,91.18,101.96,106.07,96.29,96.29,7613000.0
2008-01-23,93.17,104.18,104.84,91.11,97.02,8659700.0
2008-01-24,96.99,108.45,110.98,103.97,105.09,6629300.0
2008-01-25,97.47,108.99,114.57,107.06,109.71,5127200.0
2008-01-28,98.44,110.07,110.07,105.1,107.14,3464100.0
2008-01-29,91.74,102.58,105.38,99.51,103.28,9673800.0
2008-01-30,91.27,102.06,105.2,98.01,100.61,6762500.0
2008-01-31,91.18,101.96,102.11,96.29,98.92,8073200.0
2008-02-01,95.88,107.21,109.54,104.26,104.26,5575500.0
2008-02-04,91.7,102.54,107.95,102.54,107.0,3541800.0
2008-02-05,87.79,98.17,101.44,97.67,100.14,4326400.0
2008-02-06,85.69,95.82,99.96,95.11,99.27,4329900.0
2008-02-07,86.66,96.9,98.28,92.47,95.72,5516000.0
2008-02-08,88.53,98.99,99.77,95.84,95.92,3821200.0
2008-02-11,89.9,100.27,100.95,97.76,99.68,3116800.0
2008-02-12,89.19,99.48,104.38,98.68,101.77,3826400.0
2008-02-13,93.9,104.73,105.69,100.16,100.59,4260600.0
2008-02-14,93.14,103.89,106.38,102.67,104.95,4765100.0
2008-02-15,93.33,104.1,104.87,101.45,103.27,3874400.0
2008-02-19,95.82,106.87,109.95,105.61,107.41,6344100.0
2008-02-20,100.68,112.29,112.89,104.79,106.14,5618000.0
2008-02-21,96.39,107.51,113.13,106.8,112.47,7211900.0
2008-02-22,97.28,108.5,109.86,104.18,107.74,5797600.0
2008-02-25,101.36,113.05,113.74,107.61,108.6,3725700.0
2008-02-26,102.49,114.31,116.39,112.0,112.28,6228000.0
2008-02-27,100.6,112.21,115.06,111.1,113.05,4342000.0
2008-02-28,103.11,115.0,115.47,110.52,111.29,4558500.0
2008-02-29,97.23,108.45,113.75,106.76,113.5,5738900.0
2008-03-03,96.59,107.73,110.18,105.62,108.54,4921800.0
2008-03-04,97.89,109.18,110.73,106.38,106.55,5023200.0
2008-03-05,102.83,114.69,114.69,109.68,109.91,4381000.0
2008-03-06,100.53,112.13,115.84,111.68,113.9,3813800.0
2008-03-07,97.97,109.27,113.91,107.9,110.77,4516000.0
2008-03-10,92.88,103.6,110.45,103.22,109.99,4078700.0
2008-03-11,100.35,111.93,112.25,106.16,106.16,4007600.0
2008-03-12,101.37,113.06,115.08,111.51,112.3,3411200.0
2008-03-13,105.19,117.33,118.3,109.17,111.28,5812200.0
2008-03-14,105.48,117.65,120.75,114.6,119.48,6527700.0
2008-03-17,101.47,113.17,116.19,110.24,114.58,5179300.0
2008-03-18,107.83,120.27,121.07,114.7,115.01,4533000.0
2008-03-19,98.5,109.86,123.41,109.56,119.95,6214300.0
2008-03-20,102.69,114.54,116.5,107.7,110.06,6742600.0
2008-03-24,106.24,118.5,122.35,115.01,115.49,4772100.0
2008-03-25,111.68,124.56,126.39,119.87,120.98,4914100.0
2008-03-26,113.35,126.43,127.6,121.41,124.16,5308000.0
2008-03-27,108.95,121.52,126.31,121.09,126.14,3566100.0
2008-03-28,112.69,125.69,127.21,123.84,123.84,4829200.0
2008-03-31,113.75,126.87,128.3,123.48,125.85,4126800.0
2008-04-01,118.93,132.65,132.83,122.0,125.37,7798100.0
2008-04-02,120.81,134.75,135.49,130.45,131.6,5467200.0
