,Adj Close,Close,High,Low,Open,Volume
2008-01-02,40.26,43.18,43.42,42.5,42.5,1199800.0
2008-01-03,40.28,43.2,43.86,43.15,43.5,940900.0
2008-01-04,39.07,41.91,42.86,41.74,42.71,802800.0
2008-01-07,39.14,41.98,42.15,41.2,42.15,1110500.0
2008-01-08,39.47,42.33,43.24,42.2,42.71,1065200.0
2008-01-09,40.45,43.39,43.5,41.94,42.0,1142300.0
2008-01-10,40.17,43.09,43.38,42.66,43.16,973900.0
2008-01-11,40.43,43.36,43.78,42.67,42.71,902400.0
2008-01-14,41.11,44.09,44.24,43.57,43.57,680800.0
2008-01-15,39.95,42.85,43.71,42.7,43.68,845400.0
2008-01-16,38.6,41.4,42.89,41.3,42.59,1796300.0
2008-01-17,37.84,40.59,42.27,40.5,41.55,1178900.0
2008-01-18,37.82,40.57,41.67,39.9,40.67,1058900.0
2008-01-22,37.05,39.74,40.18,38.13,39.02,1294600.0
2008-01-23,36.42,39.06,39.14,37.03,38.84,1674500.0
2008-01-24,37.13,39.83,40.02,39.02,39.22,1028400.0
2008-01-25,36.5,39.15,40.64,39.02,40.13,879000.0
2008-01-28,37.48,40.2,40.2,38.74,39.08,659900.0
2008-01-29,37.85,40.6,40.75,40.18,40.35,780600.0
2008-01-30,37.71,40.45,41.47,40.22,40.26,661800.0
2008-01-31,38.05,40.81,41.1,39.57,39.68,1201700.0
2008-02-01,38.85,41.67,41.7,40.78,40.96,653600.0
2008-02-04,39.33,42.18,42.36,41.23,41.63,478100.0
2008-02-05,38.32,41.1,41.85,41.1,41.51,762400.0
2008-02-06,37.99,40.75,41.5,40.65,41.41,647100.0
2008-02-07,39.29,42.14,42.23,40.35,40.59,1109600.0
2008-02-08,40.74,43.7,43.82,42.03,42.03,1365700.0
2008-02-11,42.08,45.14,45.19,43.83,43.88,1392100.0
2008-02-12,41.71,44.74,45.47,44.34,45.28,571600.0
2008-02-13,42.33,45.34,45.39,44.89,45.16,1344700.0
2008-02-14,42.44,45.46,45.69,45.1,45.26,1018100.0
2008-02-15,41.76,44.73,45.59,43.89,45.18,868600.0
2008-02-19,43.33,46.41,46.92,45.26,45.49,1155900.0
2008-02-20,45.88,49.14,50.13,47.59,47.83,3438900.0
2008-02-21,45.84,49.1,49.38,48.38,49.33,1850400.0
2008-02-22,46.55,49.86,50.04,48.41,49.07,1513500.0
2008-02-25,47.81,51.21,51.32,49.8,49.92,1780400.0
2008-02-26,48.68,52.14,52.6,50.6,50.67,2164600.0
2008-02-27,48.92,52.4,52.7,51.82,51.95,1807000.0
2008-02-28,50.35,53.93,54.3,52.03,52.03,2270100.0
2008-02-29,49.2,52.7,53.73,52.59,53.73,2212300.0
2008-03-03,49.06,52.55,52.88,51.66,52.58,2091900.0
2008-03-04,49.44,52.96,53.38,51.57,52.11,2063500.0
2008-03-05,50.1,53.67,54.06,53.1,53.1,1449600.0
2008-03-06,48.92,52.4,53.78,52.21,53.35,1324100.0
2008-03-07,48.47,51.92,52.55,51.4,51.74,1089400.0
2008-03-10,48.08,51.5,52.34,51.05,52.1,1003400.0
2008-03-11,49.12,52.62,52.75,51.29,51.98,1339900.0
2008-03-12,49.67,53.2,53.46,52.41,52.78,1351600.0
2008-03-13,50.66,54.27,54.48,52.33,52.66,2176200.0
2008-03-14,49.85,53.4,54.43,52.68,54.43,1628400.0
2008-03-17,48.13,51.56,52.44,50.78,52.23,1992400.0
2008-03-18,49.48,53.0,53.14,51.96,52.39,1000300.0
2008-03-19,47.7,51.09,52.98,51.03,52.76,1843100.0
2008-03-20,47.4,50.77,51.04,49.53,51.04,1595800.0
2008-03-24,48.17,51.6,52.09,50.49,50.77,1175200.0
2008-03-25,50.1,53.67,53.95,51.61,51.74,1315900.0
2008-03-26,52.28,56.0,56.24,53.34,53.34,1526900.0
2008-03-27,51.19,54.83,56.53,54.83,55.93,1383800.0
2008-03-28,51.3,54.95,55.96,54.74,54.83,962800.0
2008-03-31,51.1,54.74,55.27,53.76,55.0,1202200.0
2008-04-01,51.8,55.49,55.49,54.35,55.39,993300.0
2008-04-02,53.27,57.06,57.65,55.29,55.69,1379600.0
2008-04-03,54.18,58.03,58.99,56.15,56.57,1622800.0
2008-04-04,54.4,58.27,58.8,57.96,58.67,1096800.0
2008-04-07,54.18,58.03,58.75,57.43,58.72,727800.0
2008-04-08,55.18,59.11,59.18,57.5,57.73,1219900.0
2008-04-09,55.07,58.99,59.93,58.57,59.08,1086900.0
2008-04-10,54.9,58.81,59.5,58.17,58.87,1178500.0
2008-04-11,54.28,58.14,58.96,57.69,58.5,902000.0
2008-04-14,55.0,58.91,59.49,58.02,58.02,1024100.0
