,Adj Close,Close,High,Low,Open,Volume
2008-01-02,15.94,21.12,22.0,21.0,21.72,6928700.0
2008-01-03,15.86,21.01,21.18,20.91,21.1,3559300.0
2008-01-04,15.37,20.36,21.17,20.18,21.11,6668400.0
2008-01-07,15.44,20.46,20.78,20.21,20.4,4918900.0
2008-01-08,14.87,19.7,20.66,19.67,20.23,8849000.0
2008-01-09,15.1,20.0,20.02,19.49,19.8,6032700.0
2008-01-10,15.2,20.14,20.28,19.57,19.86,6965400.0
2008-01-11,14.73,19.52,20.13,19.4,19.98,5927100.0
2008-01-14,14.97,19.83,19.87,19.51,19.74,5386200.0
2008-01-15,14.39,19.06,19.45,18.95,19.28,8658400.0
2008-01-16,14.8,19.61,19.95,18.87,19.01,9723600.0
2008-01-17,14.45,19.14,20.19,19.08,19.79,8814000.0
2008-01-18,16.25,21.53,22.0,19.08,19.37,18907400.0
2008-01-22,15.93,21.1,21.39,20.68,20.75,10645200.0
2008-01-23,16.23,21.5,21.73,20.65,20.7,12760600.0
2008-01-24,16.7,22.12,22.12,21.02,21.07,8945400.0
2008-01-25,16.12,21.35,22.25,21.21,22.13,9781400.0
2008-01-28,16.52,21.89,21.9,21.12,21.34,5807200.0
2008-01-29,16.33,21.63,22.01,21.53,22.0,5058300.0
2008-01-30,16.63,22.03,22.24,21.53,21.68,6552100.0
2008-01-31,16.51,21.87,22.27,21.7,21.93,8946800.0
2008-02-01,17.61,23.33,23.39,22.25,22.62,10051900.0
2008-02-04,16.87,22.23,23.25,22.19,23.02,7075900.0
2008-02-05,16.4,21.62,22.16,21.54,22.07,6922000.0
2008-02-06,15.9,20.96,21.8,20.77,21.7,7045200.0
2008-02-07,16.09,21.21,21.45,20.11,20.31,10271000.0
2008-02-08,16.26,21.43,21.71,20.99,21.19,6184200.0
2008-02-11,16.68,21.98,22.2,21.33,21.49,6533000.0
2008-02-12,16.59,21.87,22.34,21.78,22.21,5980600.0
2008-02-13,17.04,22.46,22.55,21.98,22.13,4799800.0
2008-02-14,16.56,21.83,22.49,21.72,22.49,5702700.0
2008-02-15,16.37,21.57,21.94,21.39,21.5,4070700.0
2008-02-19,16.37,21.57,22.05,21.44,21.87,5868300.0
2008-02-20,16.61,21.89,22.02,21.35,21.74,8449400.0
2008-02-21,16.51,21.76,22.43,21.69,21.82,8078400.0
2008-02-22,16.38,21.59,21.91,21.06,21.91,8601400.0
2008-02-25,16.87,22.24,22.33,21.5,21.71,8319000.0
2008-02-26,17.2,22.67,23.02,22.27,22.4,8710600.0
2008-02-27,17.54,23.12,23.39,22.66,23.01,8587400.0
2008-02-28,17.12,22.57,22.98,22.42,22.91,5654300.0
2008-02-29,16.97,22.36,22.52,22.06,22.16,11979800.0
2008-03-03,16.78,22.12,22.55,21.82,22.36,9149900.0
