,Adj Close,Close,High,Low,Open,Volume
2008-01-02,30.95,41.69,43.29,41.58,42.69,2122000.0
2008-01-03,30.71,41.37,41.9,41.26,41.74,1595800.0
2008-01-04,29.56,39.82,41.13,39.74,40.95,1737600.0
2008-01-07,29.54,39.79,40.61,39.47,40.0,2437000.0
2008-01-08,28.99,39.05,40.21,38.89,39.89,1816500.0
2008-01-09,29.34,39.53,39.84,38.68,38.68,3230100.0
2008-01-10,28.73,38.71,39.18,37.81,39.18,2896400.0
2008-01-11,27.93,37.63,38.6,37.42,38.31,2217000.0
2008-01-14,28.34,38.18,38.39,37.15,37.87,1460700.0
2008-01-15,27.39,36.89,37.92,36.47,37.79,2513700.0
2008-01-16,27.15,36.57,37.18,35.81,36.79,3833500.0
2008-01-17,26.33,35.47,36.81,35.28,36.6,2210700.0
2008-01-18,25.94,34.94,37.94,34.76,35.65,3190200.0
2008-01-22,25.62,34.52,35.02,32.86,33.73,2674100.0
2008-01-23,25.92,34.91,35.2,32.41,34.23,4633500.0
2008-01-24,28.03,37.76,37.81,36.23,36.89,4509500.0
2008-01-25,28.28,38.1,38.71,37.71,38.29,4076200.0
2008-01-28,29.67,39.97,40.03,38.13,38.68,3590100.0
2008-01-29,29.38,39.58,40.21,38.97,40.21,2770500.0
2008-01-30,30.22,40.71,41.58,39.08,39.34,3037200.0
2008-01-31,30.18,40.66,41.45,39.53,40.16,3222500.0
2008-02-01,30.89,41.61,42.0,40.37,40.97,2683300.0
2008-02-04,30.26,40.76,41.77,40.69,41.61,2793500.0
2008-02-05,29.79,40.13,40.76,39.92,40.13,2230600.0
2008-02-06,29.6,39.87,40.95,39.6,40.32,2378200.0
2008-02-07,29.54,39.79,40.26,39.24,39.87,2553900.0
2008-02-08,29.99,40.4,40.71,39.29,39.6,2080300.0
2008-02-11,29.89,40.26,40.53,40.08,40.32,1621900.0
2008-02-12,29.44,39.66,40.58,39.47,40.42,1773200.0
2008-02-13,30.3,40.82,41.11,39.66,39.87,2168700.0
2008-02-14,29.36,39.55,40.71,39.26,40.61,1650000.0
2008-02-15,29.18,39.31,39.47,38.87,39.47,1396700.0
2008-02-19,29.4,39.6,40.11,39.24,39.68,1789200.0
2008-02-20,29.69,40.0,40.26,39.13,39.37,1734800.0
2008-02-21,28.85,38.87,40.13,38.74,40.05,1915700.0
2008-02-22,29.09,39.18,39.37,38.37,38.92,1550800.0
2008-02-25,29.42,39.63,39.82,38.84,39.26,2286100.0
2008-02-26,29.54,39.79,39.95,39.16,39.42,1883100.0
2008-02-27,30.3,40.82,40.92,39.58,39.58,1627200.0
2008-02-28,29.52,39.76,40.66,39.74,40.58,1402000.0
2008-02-29,28.75,38.74,39.53,38.6,39.29,1780800.0
2008-03-03,28.79,38.79,38.97,38.47,38.6,1352500.0
2008-03-04,28.19,37.97,38.58,37.47,38.21,2481100.0
2008-03-05,28.15,37.92,38.18,37.47,38.02,2247400.0
2008-03-06,27.7,37.31,37.94,37.21,37.84,1746100.0
