,Adj Close,Close,High,Low,Open,Volume
2007-01-03,22.5,24.54,25.38,24.36,25.03,3599200.0
2007-01-04,22.57,24.61,24.75,23.93,24.54,2899000.0
2007-01-05,22.36,24.38,24.61,24.32,24.54,3741800.0
2007-01-08,22.28,24.3,24.38,24.09,24.31,2176900.0
2007-01-09,22.31,24.33,24.55,24.06,24.38,1937900.0
2007-01-10,22.11,24.11,24.35,23.87,24.35,3016000.0
2007-01-11,22.11,24.11,24.35,23.86,24.2,2919400.0
2007-01-12,22.04,24.03,24.35,23.99,24.08,1965400.0
2007-01-16,22.0,23.99,24.27,23.85,23.97,4328900.0
2007-01-17,21.56,23.51,23.95,23.43,23.91,3723000.0
2007-01-18,21.15,23.07,23.45,22.82,23.43,5071500.0
2007-01-19,21.52,23.46,23.56,23.12,23.14,3501000.0
2007-01-22,21.36,23.3,23.41,23.24,23.37,4712000.0
2007-01-23,21.46,23.4,23.55,23.11,23.17,3739600.0
2007-01-24,21.39,23.33,23.61,23.22,23.4,3982000.0
2007-01-25,21.03,22.93,23.51,22.9,23.31,2600500.0
2007-01-26,21.23,23.15,23.25,22.88,22.89,2507500.0
2007-01-29,20.98,22.88,23.22,22.83,23.08,2829200.0
2007-01-30,20.99,22.89,22.95,22.8,22.88,2007800.0
2007-01-31,20.99,22.89,22.96,22.82,22.89,3173400.0
2007-02-01,21.12,23.03,23.25,22.89,23.01,3644400.0
2007-02-02,20.74,22.61,23.09,22.5,23.08,7517600.0
2007-02-05,20.88,22.77,22.8,22.35,22.63,3511900.0
2007-02-06,20.99,22.89,23.01,22.71,22.98,3516100.0
2007-02-07,21.36,23.3,23.39,22.93,22.93,4781400.0
2007-02-08,21.43,23.37,23.44,23.09,23.21,3546400.0
2007-02-09,21.42,23.36,23.59,23.28,23.36,3297600.0
2007-02-12,21.38,23.31,23.43,23.26,23.33,2040500.0
2007-02-13,21.63,23.59,23.66,23.27,23.36,3407700.0
2007-02-14,21.61,23.56,23.89,23.5,23.5,4033200.0
2007-02-15,22.19,24.2,24.43,23.58,23.6,5713400.0
2007-02-16,21.5,23.44,24.13,23.28,24.12,7886100.0
2007-02-20,21.31,23.24,23.39,23.01,23.23,5680200.0
2007-02-21,21.48,23.43,23.59,23.1,23.13,5606600.0
2007-02-22,21.65,23.61,23.71,23.47,23.47,4689400.0
2007-02-23,21.82,23.8,23.9,23.5,23.79,4423400.0
2007-02-26,21.83,23.81,23.86,23.61,23.79,4141200.0
2007-02-27,21.06,22.97,23.64,22.64,23.53,6038300.0
2007-02-28,20.83,22.71,23.07,22.61,22.97,4254100.0
2007-03-01,20.62,22.49,22.65,22.04,22.28,4067200.0
2007-03-02,20.15,21.97,22.55,21.95,22.42,3432700.0
2007-03-05,20.13,21.95,22.27,21.65,21.75,2994200.0
2007-03-06,20.22,22.05,22.17,21.75,22.06,4189100.0
2007-03-07,20.19,22.02,22.17,21.91,22.03,3562200.0
2007-03-08,20.82,22.7,22.88,22.17,22.17,6290500.0
2007-03-09,20.83,22.72,22.89,22.5,22.73,5203200.0
2007-03-12,21.08,22.99,22.99,22.65,22.68,3820500.0
2007-03-13,20.77,22.65,22.9,22.59,22.78,4176900.0
2007-03-14,20.99,22.89,22.94,22.54,22.65,4232100.0
2007-03-15,20.79,22.68,22.9,22.5,22.81,3006100.0
2007-03-16,20.83,22.71,22.83,22.55,22.67,3005500.0
2007-03-19,20.89,22.78,23.02,22.73,22.88,1962000.0
2007-03-20,21.03,22.93,23.19,22.76,22.82,3546400.0
2007-03-21,21.05,22.95,23.05,22.8,23.0,3251600.0
2007-03-22,21.38,23.31,23.45,22.89,23.1,4801900.0
2007-03-23,21.79,23.76,24.1,23.23,23.23,4695100.0
2007-03-26,21.87,23.85,23.85,23.19,23.62,4143600.0
