,Adj Close,Close,High,Low,Open,Volume
2007-01-03,34.08,35.58,36.2,35.09,35.71,764200.0
2007-01-04,34.3,35.81,35.88,35.31,35.63,800900.0
2007-01-05,33.55,35.02,35.79,34.9,35.7,781500.0
2007-01-08,33.66,35.14,35.35,34.98,35.16,479600.0
2007-01-09,33.95,35.44,35.61,35.13,35.26,506800.0
2007-01-10,34.0,35.49,35.64,35.05,35.23,335700.0
2007-01-11,34.87,36.4,36.47,35.62,35.62,575700.0
2007-01-12,34.68,36.2,36.5,35.86,36.27,1123000.0
2007-01-16,34.68,36.2,36.5,35.96,36.4,1185300.0
2007-01-17,34.82,36.35,36.54,36.03,36.21,916900.0
2007-01-18,35.42,36.98,37.11,36.34,36.34,922900.0
2007-01-19,35.73,37.3,37.32,36.75,36.98,682900.0
2007-01-22,35.5,37.06,37.58,36.62,37.44,526600.0
2007-01-23,35.85,37.43,37.65,36.85,37.12,595700.0
2007-01-24,36.1,37.69,37.74,37.29,37.5,280500.0
2007-01-25,35.69,37.26,37.7,37.13,37.6,726500.0
2007-01-26,35.91,37.49,37.56,36.89,37.38,375300.0
2007-01-29,35.73,37.3,37.8,37.17,37.49,387000.0
2007-01-30,35.5,37.06,37.55,36.93,37.46,554200.0
2007-01-31,36.35,37.95,37.97,37.04,37.04,759700.0
2007-02-01,35.93,37.51,38.17,37.38,37.99,1164800.0
2007-02-02,35.91,37.49,37.75,37.46,37.65,800300.0
2007-02-05,35.94,37.52,37.84,37.36,37.54,543200.0
2007-02-06,36.37,37.97,37.97,37.47,37.54,535600.0
2007-02-07,36.72,38.33,38.35,37.76,37.99,584600.0
2007-02-08,37.1,38.73,38.74,37.97,38.25,638400.0
2007-02-09,36.9,38.52,39.0,38.13,38.95,578000.0
2007-02-12,35.9,37.48,38.71,37.44,38.55,1351600.0
2007-02-13,35.92,37.5,37.62,37.29,37.5,616200.0
2007-02-14,35.46,37.02,37.79,36.93,37.6,1235300.0
2007-02-15,37.12,38.75,39.32,36.75,37.0,3884400.0
2007-02-16,37.02,38.65,38.76,38.33,38.58,600400.0
2007-02-20,36.43,38.03,38.76,37.88,38.46,1054300.0
2007-02-21,36.7,38.31,38.42,37.76,38.0,1783200.0
2007-02-22,36.76,38.38,38.39,38.25,38.3,514500.0
2007-02-23,36.91,38.53,38.72,38.21,38.33,970100.0
2007-02-26,37.1,38.73,38.8,38.49,38.71,795500.0
2007-02-27,35.93,37.51,38.46,37.24,38.45,1140100.0
2007-02-28,36.06,37.65,38.08,37.14,37.6,902600.0
2007-03-01,35.36,36.91,37.66,36.6,37.55,1432400.0
2007-03-02,34.75,36.28,36.92,36.2,36.91,760500.0
2007-03-05,34.72,36.25,36.85,35.81,36.1,1452200.0
2007-03-06,35.83,37.41,37.59,36.51,36.52,1085000.0
2007-03-07,36.29,37.88,38.06,37.17,37.35,893200.0
2007-03-08,36.79,38.41,38.74,38.22,38.23,845500.0
2007-03-09,36.53,38.14,38.66,37.79,38.66,594600.0
2007-03-12,37.28,38.92,38.94,38.29,38.3,673200.0
2007-03-13,36.19,37.78,38.71,37.78,38.54,788500.0
2007-03-14,36.43,38.03,38.1,37.08,37.67,838600.0
2007-03-15,36.37,37.97,38.38,37.73,37.93,665800.0
2007-03-16,36.38,37.98,38.14,37.57,37.97,632100.0
2007-03-19,37.65,39.3,39.31,38.17,38.18,1564400.0
2007-03-20,37.2,38.83,39.27,38.66,39.18,875900.0
2007-03-21,37.6,39.19,39.49,38.75,38.88,955300.0
2007-03-22,37.51,39.1,39.48,38.95,39.3,749900.0
2007-03-23,37.75,39.35,39.5,39.1,39.1,532600.0
2007-03-26,37.61,39.2,39.43,38.67,39.25,450600.0
2007-03-27,37.41,38.99,39.26,38.7,39.21,583300.0
