,Adj Close,Close,High,Low,Open,Volume
2007-01-03,28.1,36.38,37.0,36.17,36.55,3079900.0
2007-01-04,28.73,37.2,37.23,36.0,36.12,2384800.0
2007-01-05,28.33,36.68,36.99,36.45,36.75,1766300.0
2007-01-08,28.74,37.21,37.38,36.51,36.51,2157200.0
2007-01-09,28.67,37.12,37.45,36.85,37.1,2729200.0
2007-01-10,28.84,37.34,37.4,36.74,36.82,2401600.0
2007-01-11,28.72,37.19,37.38,37.0,37.24,2468800.0
2007-01-12,29.33,37.98,37.98,37.15,37.19,3950500.0
2007-01-16,28.65,37.1,37.66,37.0,37.51,3508600.0
2007-01-17,28.98,37.52,37.86,37.29,37.3,3171500.0
2007-01-18,28.69,37.15,37.7,37.07,37.52,4177600.0
2007-01-19,28.38,36.75,37.23,36.6,37.2,3582900.0
2007-01-22,28.33,36.68,36.79,36.49,36.75,3165200.0
2007-01-23,28.45,36.84,37.2,36.63,36.7,2747400.0
2007-01-24,28.36,36.72,36.9,36.34,36.68,3213100.0
2007-01-25,28.21,36.53,37.12,36.37,36.9,2991300.0
2007-01-26,28.21,36.53,36.79,35.91,36.68,2343100.0
2007-01-29,28.52,36.93,36.94,36.31,36.37,2191000.0
2007-01-30,28.57,37.0,37.23,36.75,36.85,2216300.0
2007-01-31,29.15,37.75,37.86,36.89,37.0,3732000.0
2007-02-01,29.42,38.09,38.09,37.64,37.74,3266800.0
2007-02-02,29.8,38.59,38.6,38.09,38.09,2832800.0
2007-02-05,29.86,38.66,38.8,38.14,38.73,2709100.0
2007-02-06,29.78,38.56,38.74,38.46,38.58,2282000.0
2007-02-07,30.2,39.1,39.1,38.44,38.5,2213400.0
2007-02-08,30.0,38.84,39.0,38.52,38.95,1925400.0
2007-02-09,29.96,38.79,38.93,38.48,38.84,1775200.0
2007-02-12,29.62,38.35,38.68,38.16,38.3,2752300.0
2007-02-13,29.9,38.72,38.8,38.43,38.69,2101400.0
2007-02-14,30.27,39.2,39.25,38.69,38.72,2450300.0
2007-02-15,29.96,38.79,39.13,38.75,38.95,1960500.0
2007-02-16,29.93,38.75,38.99,38.46,38.83,2797500.0
2007-02-20,29.96,38.79,39.05,38.56,38.56,1879700.0
2007-02-21,29.71,38.47,38.76,38.4,38.75,2061800.0
2007-02-22,29.58,38.3,38.45,38.12,38.42,3809600.0
2007-02-23,29.54,38.25,38.37,37.95,38.17,2333900.0
2007-02-26,29.31,37.95,38.49,37.8,38.25,2407400.0
2007-02-27,28.42,36.8,37.4,36.5,37.32,2243900.0
2007-02-28,27.63,35.78,37.67,35.3,37.67,6286000.0
2007-03-01,27.19,35.21,35.53,34.67,35.05,4441800.0
2007-03-02,27.61,35.75,35.95,35.36,35.75,3536800.0
2007-03-05,26.95,34.9,36.65,34.9,36.65,2763300.0
2007-03-06,27.22,35.24,35.85,34.28,34.29,4667200.0
2007-03-07,27.12,35.12,35.46,34.98,35.4,3139900.0
2007-03-08,27.6,35.74,35.93,35.37,35.5,1662800.0
2007-03-09,27.89,36.11,36.46,35.8,35.99,2546100.0
2007-03-12,28.08,36.36,36.69,35.73,35.93,2311800.0
2007-03-13,27.56,35.68,36.15,35.54,36.1,1628100.0
2007-03-14,27.39,35.46,35.9,35.24,35.55,2386100.0
2007-03-15,27.03,35.0,35.5,34.92,35.38,2428700.0
2007-03-16,27.23,35.26,35.31,34.63,34.97,2656500.0
2007-03-19,27.64,35.79,35.87,35.2,35.25,1642600.0
2007-03-20,28.03,36.3,36.5,35.62,35.95,2134000.0
2007-03-21,28.28,36.62,36.71,36.17,36.28,1802900.0
2007-03-22,28.37,36.74,37.51,35.73,35.73,1865100.0
2007-03-23,28.11,36.4,36.92,36.3,36.41,1806000.0
2007-03-26,28.38,36.75,37.35,36.3,37.35,2885800.0
2007-03-27,27.97,36.22,36.98,36.22,36.81,4037500.0
