,Adj Close,Close,High,Low,Open,Volume
2007-01-03,23.31,32.84,33.4,32.5,32.93,3073800.0
2007-01-04,23.72,33.41,33.53,32.8,32.84,3483600.0
2007-01-05,23.45,33.03,33.3,32.65,33.27,2627900.0
2007-01-08,23.63,33.29,33.62,32.95,33.18,2879100.0
2007-01-09,23.6,33.24,33.58,32.83,33.28,3316300.0
2007-01-10,24.01,33.82,33.98,32.87,33.06,4148000.0
2007-01-11,24.06,33.89,34.53,33.5,33.82,4466700.0
2007-01-12,24.1,33.94,34.04,33.43,33.55,3561300.0
2007-01-16,23.97,33.77,33.92,33.47,33.88,2961900.0
2007-01-17,23.59,33.23,33.8,33.1,33.46,4137800.0
2007-01-18,23.21,32.69,33.2,32.59,33.2,3208200.0
2007-01-19,23.28,32.79,33.27,32.52,32.7,3245500.0
2007-01-22,22.98,32.37,32.88,32.28,32.41,4154700.0
2007-01-23,23.16,32.62,33.1,32.45,32.5,2488200.0
2007-01-24,23.43,33.0,33.23,32.6,32.62,2091600.0
2007-01-25,23.46,33.04,33.7,32.86,33.16,2488100.0
2007-01-26,23.66,33.32,33.84,32.94,33.14,3585100.0
2007-01-29,23.35,32.89,33.44,32.72,33.44,3447000.0
2007-01-30,23.31,32.83,33.12,32.71,33.0,1936100.0
2007-01-31,23.25,32.75,32.94,32.31,32.68,4332500.0
2007-02-01,23.5,33.1,33.34,32.73,32.75,3737000.0
2007-02-02,23.67,33.34,33.56,33.13,33.2,3268200.0
2007-02-05,23.56,33.19,33.69,33.14,33.37,2989200.0
2007-02-06,23.39,32.95,33.25,32.72,33.14,2692600.0
2007-02-07,23.6,33.24,33.5,33.0,33.0,3109900.0
2007-02-08,23.64,33.3,33.49,33.04,33.2,2378800.0
2007-02-09,23.5,33.1,34.0,33.09,33.44,4328100.0
2007-02-12,23.36,32.91,33.29,32.73,33.1,2068100.0
2007-02-13,23.44,33.02,33.07,32.68,33.0,2266800.0
2007-02-14,23.73,33.43,33.66,33.08,33.08,2540600.0
2007-02-15,23.63,33.29,33.64,33.16,33.26,2582800.0
2007-02-16,23.41,32.98,33.21,32.8,33.21,5311800.0
2007-02-20,23.41,32.97,33.1,32.76,33.0,4157900.0
2007-02-21,23.66,33.32,33.33,32.53,32.9,6576600.0
2007-02-22,26.13,36.8,36.97,35.25,35.41,13706000.0
2007-02-23,26.23,36.95,37.17,36.4,36.43,5841700.0
2007-02-26,25.97,36.58,36.89,36.18,36.49,3722100.0
2007-02-27,25.46,35.86,36.74,35.57,36.59,6614900.0
2007-02-28,25.78,36.31,36.47,35.86,35.87,5157200.0
2007-03-01,25.66,36.15,36.37,35.26,35.75,5788200.0
2007-03-02,25.1,35.35,36.37,35.18,36.15,5141000.0
2007-03-05,24.92,35.1,35.99,34.91,35.0,4204300.0
2007-03-06,25.47,35.88,35.95,35.37,35.6,3765700.0
2007-03-07,25.31,35.47,35.85,35.25,35.7,2793200.0
2007-03-08,25.43,35.64,36.05,35.48,35.88,3821800.0
