,Adj Close,Close,High,Low,Open,Volume
2007-01-03,23.56,32.06,32.76,31.82,32.28,7380700.0
2007-01-04,23.43,31.88,32.09,31.4,31.5,4406000.0
2007-01-05,23.39,31.83,31.88,31.36,31.53,5798200.0
2007-01-08,23.51,31.99,32.05,31.32,31.82,4883000.0
2007-01-09,22.93,31.21,31.95,31.15,31.94,5119000.0
2007-01-10,22.73,30.94,31.47,30.61,31.47,7781800.0
2007-01-11,23.28,31.68,32.0,30.2,30.2,6887100.0
2007-01-12,22.75,30.96,32.44,30.94,31.68,7697200.0
2007-01-16,22.79,31.02,31.31,30.46,30.96,7004000.0
2007-01-17,22.91,31.18,31.38,30.71,31.08,5488600.0
2007-01-18,22.56,30.7,31.34,30.58,31.34,5666900.0
2007-01-19,23.09,31.42,31.49,30.6,30.85,5275000.0
2007-01-22,23.38,31.82,32.45,31.66,31.76,9023900.0
2007-01-23,23.98,32.63,33.0,32.06,32.18,13591300.0
2007-01-24,23.58,32.09,32.9,31.48,32.75,13008000.0
2007-01-25,23.38,31.82,32.29,31.66,32.25,6829200.0
2007-01-26,23.17,31.53,31.98,31.35,31.82,5211100.0
2007-01-29,22.97,31.26,31.61,31.12,31.54,7091000.0
2007-01-30,23.13,31.48,31.75,31.37,31.4,6332400.0
2007-01-31,23.51,32.0,32.23,31.5,31.5,5255900.0
2007-02-01,26.06,35.47,35.57,34.31,34.31,20659600.0
2007-02-02,25.92,35.27,36.26,34.85,36.01,9487500.0
2007-02-05,25.48,34.67,35.55,34.5,35.35,10507300.0
2007-02-06,25.01,34.04,35.14,34.02,34.79,8582000.0
2007-02-07,25.19,34.28,34.48,34.05,34.3,6926100.0
2007-02-08,24.89,33.87,34.7,33.77,34.65,7184200.0
2007-02-09,24.51,33.36,34.13,32.99,34.0,8465600.0
2007-02-12,24.68,33.59,33.85,33.38,33.5,4698500.0
2007-02-13,25.68,34.95,35.07,33.87,33.9,10758600.0
2007-02-14,25.77,34.95,35.3,34.48,35.29,8731300.0
2007-02-15,26.36,35.75,35.86,35.15,35.15,13210000.0
2007-02-16,26.45,35.88,36.55,35.37,36.3,52414800.0
2007-02-20,26.36,35.75,36.15,35.55,36.0,8906900.0
2007-02-21,26.1,35.4,35.8,35.34,35.51,6726800.0
2007-02-22,25.97,35.23,35.6,35.01,35.57,6709900.0
2007-02-23,25.95,35.2,35.68,35.1,35.37,5022400.0
2007-02-26,25.9,35.13,35.49,34.83,35.21,6774700.0
2007-02-27,24.97,33.87,35.04,33.34,34.23,10288600.0
2007-02-28,25.32,34.35,34.66,33.8,34.03,9101000.0
2007-03-01,25.38,34.43,34.77,33.48,33.73,8840400.0
2007-03-02,24.88,33.75,34.65,33.75,34.18,5160900.0
2007-03-05,24.28,32.94,33.75,32.9,33.15,5513100.0
2007-03-06,24.3,32.96,33.5,32.83,33.38,9091700.0
2007-03-07,25.07,34.0,34.21,33.06,33.15,8060900.0
2007-03-08,25.66,34.81,34.88,34.2,34.2,8120100.0
2007-03-09,25.21,34.2,35.11,33.99,34.9,4994200.0
2007-03-12,25.23,34.22,34.43,34.0,34.2,3405400.0
2007-03-13,24.68,33.48,34.29,33.42,34.05,4882500.0
2007-03-14,24.8,33.64,33.72,33.12,33.31,5099400.0
2007-03-15,24.84,33.7,33.77,33.43,33.5,3889600.0
2007-03-16,24.7,33.51,34.24,33.51,33.68,4547700.0
2007-03-19,25.24,34.23,34.44,33.66,33.75,6314300.0
2007-03-20,25.97,35.23,35.9,34.06,34.18,15876100.0
2007-03-21,26.45,35.88,36.11,35.19,35.35,7800100.0
2007-03-22,26.31,35.69,36.13,35.62,36.0,7871000.0
2007-03-23,26.27,35.63,35.75,35.18,35.69,5916900.0
2007-03-26,26.47,35.9,36.0,35.35,35.71,5560200.0
2007-03-27,26.49,35.93,36.16,35.33,35.95,8077700.0
2007-03-28,27.16,36.84,37.42,36.16,36.18,12433200.0
2007-03-29,27.1,36.76,37.84,36.54,37.35,12265900.0
2007-03-30,27.06,36.7,37.84,36.62,37.55,11040500.0
2007-04-02,27.21,36.91,36.97,36.53,36.67,5733100.0
2007-04-03,27.44,37.22,37.5,36.6,36.94,6840400.0
2007-04-04,27.14,36.82,37.2,36.79,37.2,5538100.0
2007-04-05,27.29,37.02,37.22,36.72,36.82,4746500.0
2007-04-09,27.82,37.74,38.09,37.0,37.01,8217900.0
2007-04-10,28.03,38.02,38.38,37.63,37.77,6965200.0
2007-04-11,27.58,37.41,38.57,37.33,38.38,7426500.0
2007-04-12,27.65,37.51,37.52,37.09,37.23,4629800.0
2007-04-13,28.02,38.01,38.18,37.54,37.62,6374600.0
2007-04-16,28.05,38.05,38.4,37.84,38.35,5060100.0
2007-04-17,27.92,37.87,38.19,37.75,38.06,3862500.0
2007-04-18,27.64,37.49,37.78,37.11,37.6,4493200.0
2007-04-19,27.51,37.31,37.55,37.0,37.4,3369100.0
2007-04-20,28.42,38.55,38.55,36.99,37.75,8484400.0
2007-04-23,28.72,38.96,39.15,38.24,38.67,6983300.0
2007-04-24,28.98,39.31,39.5,38.96,39.16,6647900.0
2007-04-25,29.14,39.52,39.65,39.05,39.55,6566400.0
2007-04-26,28.77,39.03,39.46,38.78,39.28,4199800.0
2007-04-27,28.76,39.01,39.19,38.6,38.9,3789000.0
2007-04-30,28.53,38.7,39.27,38.7,39.0,5793800.0
2007-05-01,26.98,36.6,37.1,35.5,36.98,15953600.0
2007-05-02,27.0,36.62,37.12,36.41,36.49,6417200.0
2007-05-03,26.64,36.14,37.25,35.98,36.92,6100100.0
2007-05-04,26.58,36.06,36.62,36.04,36.6,6651200.0
2007-05-07,26.7,36.21,36.61,36.14,36.27,3547600.0
2007-05-08,26.08,35.37,36.3,35.33,36.2,6983600.0
2007-05-09,26.35,35.74,35.76,34.94,35.38,5747000.0
2007-05-10,26.17,35.5,36.56,35.33,35.71,11423400.0
2007-05-11,26.44,35.87,36.22,35.66,35.79,4365400.0
2007-05-14,26.35,35.74,36.95,35.64,35.94,8753200.0
2007-05-15,26.7,36.1,36.41,35.75,35.89,5981100.0
2007-05-16,27.14,36.69,36.74,36.25,36.36,6047400.0
2007-05-17,27.1,36.64,36.95,36.42,36.56,3850700.0
2007-05-18,27.29,36.9,36.95,36.6,36.79,3639000.0
2007-05-21,27.22,36.8,37.36,36.73,37.11,6072500.0
2007-05-22,26.98,36.48,37.17,36.28,36.9,8427400.0
2007-05-23,26.58,35.94,36.78,35.92,36.73,8954100.0
2007-05-24,25.94,35.07,36.13,34.93,35.94,17545500.0
2007-05-25,26.12,35.32,35.6,35.08,35.16,7156500.0
2007-05-29,26.04,35.21,35.68,34.95,35.42,4688000.0
2007-05-30,26.34,35.61,35.72,34.86,34.89,5737700.0
2007-05-31,25.92,35.04,36.03,35.03,36.0,7767300.0
2007-06-01,25.58,34.59,35.19,34.39,35.05,8265500.0
2007-06-04,25.49,34.47,34.51,33.9,34.37,7804100.0
2007-06-05,25.51,34.49,34.65,34.11,34.22,6310100.0
2007-06-06,25.22,34.1,34.49,34.02,34.49,5643700.0
2007-06-07,24.92,33.7,34.04,33.46,33.76,9297000.0
2007-06-08,25.55,34.54,34.59,33.01,33.01,6786300.0
2007-06-11,25.43,34.38,34.63,34.21,34.51,4877900.0
2007-06-12,25.35,34.28,34.93,34.16,34.8,4372600.0
2007-06-13,25.55,34.55,34.6,34.21,34.29,4248200.0
2007-06-14,25.49,34.47,34.91,34.38,34.57,5207400.0
2007-06-15,25.57,34.57,34.83,34.42,34.76,5528800.0
2007-06-18,25.7,34.75,34.9,34.63,34.8,6255100.0
2007-06-19,25.24,34.13,34.92,34.08,34.87,6314300.0
2007-06-20,24.76,33.48,34.55,33.44,34.31,6937400.0
2007-06-21,25.02,33.83,33.83,33.39,33.58,7284400.0
2007-06-22,24.76,33.48,34.63,33.47,34.17,11066300.0
2007-06-25,24.44,33.04,33.92,32.92,33.53,8793300.0
2007-06-26,24.23,32.76,33.4,32.75,33.05,5987200.0
2007-06-27,23.87,32.27,32.76,32.05,32.76,11614400.0
2007-06-28,23.93,32.35,32.5,32.17,32.43,8940200.0
2007-06-29,24.47,33.09,33.43,32.54,32.54,7913000.0
2007-07-02,25.3,34.21,34.5,33.82,33.84,8175500.0
2007-07-03,25.34,34.26,34.57,33.89,34.56,3305000.0
2007-07-05,25.31,34.22,34.72,33.92,34.35,7725000.0
2007-07-06,25.99,35.14,35.23,34.05,34.17,8691100.0
2007-07-09,26.74,36.15,36.47,35.4,35.41,12695200.0
2007-07-10,26.47,35.79,36.33,35.79,36.25,7609300.0
2007-07-11,26.57,35.93,36.39,35.52,35.68,5449100.0
2007-07-12,26.88,36.35,36.4,35.64,35.91,5825200.0
2007-07-13,27.07,36.6,36.7,35.93,36.2,4114900.0
2007-07-16,26.98,36.48,36.79,36.31,36.65,3977500.0
2007-07-17,26.67,36.06,36.69,35.95,36.66,5831600.0
2007-07-18,26.63,36.01,36.25,35.75,35.78,3846900.0
2007-07-19,26.94,36.42,36.5,36.04,36.2,3428300.0
2007-07-20,26.67,36.06,36.38,35.69,36.3,4056600.0
2007-07-23,27.17,36.73,37.02,36.15,36.4,5470700.0
2007-07-24,26.73,36.14,36.9,35.93,36.5,6440200.0
2007-07-25,26.62,35.99,36.42,35.26,36.12,5454700.0
2007-07-26,25.66,34.7,35.88,34.06,35.67,9911900.0
2007-07-27,25.18,34.05,34.95,34.05,34.5,5693800.0
2007-07-30,25.27,34.17,35.5,33.66,35.39,8659900.0
2007-07-31,24.85,33.6,34.5,33.58,34.18,5359900.0
