,Adj Close,Close,High,Low,Open,Volume
2007-01-03,30.21,54.0,54.33,53.62,53.73,689900.0
2007-01-04,30.12,53.84,54.18,53.6,53.87,529100.0
2007-01-05,29.71,53.11,53.73,52.89,53.72,833500.0
2007-01-08,29.74,53.16,53.33,53.0,53.07,681000.0
2007-01-09,29.84,53.34,53.54,53.02,53.25,1414700.0
2007-01-10,29.81,53.29,53.45,53.1,53.19,444100.0
2007-01-11,29.85,53.35,53.77,53.16,53.39,476100.0
2007-01-12,29.69,53.07,53.53,52.78,53.47,1015500.0
2007-01-16,29.65,53.0,53.5,52.99,53.16,515600.0
2007-01-17,29.65,53.0,53.12,52.73,53.03,511100.0
2007-01-18,29.5,52.73,53.02,52.52,53.02,711000.0
2007-01-19,29.65,53.0,53.05,52.57,52.92,537600.0
2007-01-22,29.62,52.95,53.07,52.68,52.84,662500.0
2007-01-23,29.62,52.94,52.99,52.55,52.95,670100.0
2007-01-24,29.8,53.26,53.27,52.9,52.95,492800.0
2007-01-25,29.57,52.86,53.36,52.78,53.26,751600.0
2007-01-26,29.77,53.22,53.28,52.58,52.85,774300.0
2007-01-29,29.54,52.8,53.15,52.75,53.14,866600.0
2007-01-30,29.57,52.85,53.03,52.6,52.92,742300.0
2007-01-31,29.71,53.11,53.2,52.41,52.73,814600.0
2007-02-01,29.95,53.54,53.64,53.09,53.24,589200.0
2007-02-02,30.04,53.69,53.75,53.3,53.45,379700.0
2007-02-05,30.17,53.93,54.02,53.54,53.74,425100.0
2007-02-06,30.23,54.04,54.15,53.82,53.93,384300.0
2007-02-07,30.13,53.85,54.06,53.75,53.92,549300.0
2007-02-08,30.28,54.13,54.32,53.88,53.88,405000.0
2007-02-09,30.2,53.99,54.41,53.71,54.07,792600.0
2007-02-12,30.29,54.15,54.32,53.76,54.09,497100.0
2007-02-13,30.52,54.55,54.56,54.1,54.16,461900.0
2007-02-14,30.71,54.89,55.0,54.41,54.55,850300.0
2007-02-15,29.93,53.5,54.1,53.0,53.51,1973200.0
2007-02-16,29.94,53.51,53.7,53.32,53.33,899300.0
2007-02-20,30.02,53.67,53.68,53.11,53.49,763600.0
2007-02-21,29.73,53.15,53.55,52.87,53.45,683000.0
2007-02-22,29.63,52.96,53.35,52.75,53.16,569600.0
2007-02-23,29.63,52.96,53.13,52.67,52.96,651700.0
2007-02-26,30.0,53.63,54.49,53.41,53.7,1121600.0
2007-02-27,29.12,52.05,53.64,51.62,53.64,822400.0
2007-02-28,29.2,52.2,52.89,52.1,52.22,1058500.0
2007-03-01,29.27,52.33,52.61,51.34,52.2,1890200.0
2007-03-02,28.88,51.63,52.26,51.48,52.23,807700.0
2007-03-05,28.62,50.53,50.99,50.39,50.99,1108000.0
2007-03-06,28.8,50.85,50.93,50.25,50.71,1068100.0
2007-03-07,28.81,50.86,51.09,50.51,50.65,999700.0
2007-03-08,28.47,50.26,50.86,50.1,50.86,1599300.0
2007-03-09,28.39,50.12,50.64,49.89,50.3,1384300.0
2007-03-12,28.56,50.43,50.46,49.92,50.12,876000.0
2007-03-13,28.09,49.6,50.5,49.16,50.21,1949000.0
2007-03-14,28.09,49.59,50.0,49.12,49.51,1965600.0
2007-03-15,28.14,49.68,49.87,49.13,49.42,2071300.0
2007-03-16,27.61,48.74,49.79,48.68,49.74,3173800.0
