,Adj Close,Close,High,Low,Open,Volume
2007-01-03,25.2,42.85,43.1,42.45,42.49,1673200.0
2007-01-04,25.19,42.84,43.02,42.58,42.81,1272900.0
2007-01-05,24.72,42.04,42.84,42.0,42.84,1335100.0
2007-01-08,24.71,42.01,42.19,41.69,42.0,1884100.0
2007-01-09,24.94,42.41,42.58,41.99,42.2,2595400.0
2007-01-10,24.89,42.33,42.53,42.0,42.16,1469500.0
2007-01-11,25.12,42.72,42.98,42.34,42.49,2019000.0
2007-01-12,24.62,41.86,43.48,41.73,42.15,2885900.0
2007-01-16,24.77,42.11,42.36,41.84,41.84,1607100.0
2007-01-17,24.74,42.07,42.13,41.75,42.1,1687000.0
2007-01-18,24.66,41.93,42.32,41.9,42.17,1088900.0
2007-01-19,24.67,41.94,42.1,41.8,41.93,1223700.0
2007-01-22,24.85,42.25,42.26,41.79,41.9,3389200.0
2007-01-23,25.06,42.61,42.83,42.18,42.28,1971400.0
2007-01-24,25.35,43.11,43.13,42.5,42.55,1383000.0
2007-01-25,25.26,42.95,43.25,42.81,43.11,1263000.0
2007-01-26,25.44,43.26,43.35,42.75,43.0,1377000.0
2007-01-29,25.51,43.37,43.6,43.05,43.4,3257300.0
2007-01-30,25.74,43.76,43.9,43.52,43.86,2485200.0
2007-01-31,25.6,43.53,43.83,43.28,43.65,3245100.0
2007-02-01,25.7,43.7,43.84,43.48,43.63,3413000.0
2007-02-02,26.03,44.26,44.35,43.7,43.76,2093300.0
2007-02-05,26.27,44.66,44.76,44.06,44.1,1539500.0
2007-02-06,26.49,45.05,45.46,44.84,44.97,2020000.0
2007-02-07,26.7,45.0,45.01,44.58,44.66,1852300.0
2007-02-08,26.87,45.3,45.37,44.77,45.01,1939400.0
2007-02-09,26.96,45.45,46.03,45.23,45.33,2320300.0
2007-02-12,27.09,45.67,45.93,45.41,45.55,1791100.0
2007-02-13,27.16,45.78,45.88,45.38,45.83,2393000.0
2007-02-14,27.26,45.95,46.32,45.74,45.78,2257800.0
2007-02-15,27.12,45.71,45.98,45.48,45.98,1475300.0
2007-02-16,27.22,45.89,45.92,45.37,45.58,1309400.0
2007-02-20,27.26,45.95,46.01,45.61,46.01,1380100.0
2007-02-21,27.11,45.7,45.87,45.43,45.85,1924600.0
2007-02-22,27.0,45.52,45.93,45.42,45.66,1743200.0
2007-02-23,27.14,45.75,45.99,45.49,45.57,2146900.0
2007-02-26,27.42,46.22,46.76,46.07,46.1,3228700.0
2007-02-27,26.68,44.97,46.16,44.7,46.15,2429800.0
2007-02-28,26.64,44.9,45.41,44.75,44.98,3396500.0
2007-03-01,26.98,45.47,45.72,44.03,44.25,2573200.0
2007-03-02,26.62,44.87,45.59,44.85,45.38,1840400.0
2007-03-05,26.28,44.3,44.95,44.28,44.87,2846800.0
2007-03-06,26.89,45.33,45.5,44.38,44.7,2829600.0
2007-03-07,26.8,45.17,45.72,45.11,45.45,2366100.0
