,Adj Close,Close,High,Low,Open,Volume
2007-01-03,1065.08,1443.0,1449.0,1431.8,1437.2,508300.0
2007-01-04,1055.63,1430.2,1449.0,1425.4,1442.0,435000.0
2007-01-05,1050.76,1423.6,1435.4,1419.2,1430.2,384800.0
2007-01-08,1055.92,1430.6,1440.0,1415.4,1423.8,401600.0
2007-01-09,1052.38,1425.8,1438.0,1420.0,1435.0,275200.0
2007-01-10,1053.71,1427.6,1430.2,1415.0,1419.2,264600.0
2007-01-11,1052.38,1425.8,1434.2,1422.6,1432.6,366000.0
2007-01-12,1049.13,1421.4,1428.6,1415.8,1426.0,234800.0
2007-01-16,1050.61,1423.4,1427.0,1418.4,1424.4,270500.0
2007-01-17,1054.15,1428.2,1435.0,1422.4,1429.6,329900.0
2007-01-18,1047.21,1418.8,1434.8,1412.6,1412.6,232500.0
2007-01-19,1053.56,1427.4,1430.8,1418.8,1424.8,338800.0
2007-01-22,1040.13,1409.2,1424.0,1402.0,1423.0,411300.0
2007-01-23,1030.39,1396.0,1404.0,1391.8,1400.0,438500.0
2007-01-24,1031.57,1397.6,1397.8,1386.4,1393.0,420800.0
2007-01-25,1016.95,1377.8,1397.6,1373.0,1393.0,510300.0
2007-01-26,1012.52,1371.8,1382.0,1365.4,1378.0,520400.0
2007-01-29,1008.98,1367.0,1381.0,1365.0,1374.8,422800.0
2007-01-30,1006.77,1364.0,1374.0,1359.8,1367.0,387100.0
2007-01-31,1010.46,1369.0,1372.4,1358.8,1366.0,400000.0
2007-02-01,1017.25,1378.2,1380.8,1368.4,1372.0,383600.0
2007-02-02,1019.61,1381.4,1387.6,1378.2,1378.4,266100.0
2007-02-05,1023.0,1386.0,1390.0,1379.0,1380.0,233400.0
2007-02-06,1025.96,1390.0,1395.8,1384.0,1388.2,377500.0
2007-02-07,1028.02,1392.8,1398.6,1385.0,1394.0,255100.0
2007-02-08,1027.29,1391.8,1395.6,1381.6,1392.8,296900.0
2007-02-09,1017.69,1378.8,1395.2,1370.4,1391.8,303000.0
2007-02-12,1012.23,1371.4,1386.0,1367.2,1382.0,268200.0
2007-02-13,1020.35,1382.4,1384.4,1371.0,1376.4,268900.0
2007-02-14,1022.41,1385.2,1391.0,1382.4,1385.0,364400.0
2007-02-15,1020.35,1382.4,1386.6,1378.4,1382.6,371200.0
2007-02-16,1026.84,1391.2,1397.4,1380.4,1383.2,324300.0
2007-02-20,1032.01,1398.2,1403.8,1391.6,1395.0,296700.0
2007-02-21,1028.76,1393.8,1398.0,1390.0,1392.0,290100.0
2007-02-22,1023.6,1386.8,1396.6,1380.0,1389.0,410900.0
2007-02-23,1015.48,1375.8,1386.8,1375.2,1383.6,374100.0
2007-02-26,1013.85,1373.6,1380.0,1370.0,1376.0,491400.0
2007-02-27,985.66,1335.4,1375.0,1307.6,1368.0,827000.0
