,Adj Close,Close,High,Low,Open,Volume
2007-01-03,43.43,55.84,56.03,55.45,55.45,869700.0
2007-01-04,43.86,56.39,56.43,55.7,55.84,982200.0
2007-01-05,43.56,56.0,56.73,55.93,56.39,562900.0
2007-01-08,43.6,56.05,56.34,55.83,56.19,295300.0
2007-01-09,43.33,55.71,56.22,55.5,56.14,350100.0
2007-01-10,43.16,55.49,55.74,55.22,55.73,453800.0
2007-01-11,43.99,56.55,56.59,55.43,55.63,590200.0
2007-01-12,44.27,56.91,57.09,56.25,56.3,773800.0
2007-01-16,44.22,56.85,57.06,56.67,57.05,683600.0
2007-01-17,44.14,56.75,56.99,56.61,56.87,278700.0
2007-01-18,44.18,56.8,57.64,56.68,56.85,416700.0
2007-01-19,43.73,56.22,56.78,56.04,56.6,374600.0
2007-01-22,43.66,56.13,56.43,55.91,56.22,355700.0
2007-01-23,43.63,56.09,56.31,56.02,56.05,470800.0
2007-01-24,43.63,56.09,56.34,55.93,56.09,484900.0
2007-01-25,43.06,55.36,56.15,55.36,56.1,256700.0
2007-01-26,43.05,55.34,55.64,54.8,55.45,386400.0
2007-01-29,43.52,55.95,56.09,55.25,55.25,489200.0
2007-01-30,43.37,55.76,56.22,55.72,56.2,457100.0
2007-01-31,43.23,55.58,55.91,55.44,55.7,630000.0
2007-02-01,43.84,56.36,56.37,55.57,55.57,1020600.0
2007-02-02,44.44,57.13,57.57,56.34,56.47,656100.0
2007-02-05,44.42,57.11,57.39,57.03,57.3,221900.0
2007-02-06,44.32,56.98,57.13,56.61,57.0,690300.0
2007-02-07,44.14,56.75,56.89,56.55,56.73,662800.0
2007-02-08,41.92,53.89,54.66,53.0,53.84,4331700.0
2007-02-09,41.56,53.43,54.24,52.97,53.95,1546900.0
2007-02-12,41.05,52.77,53.17,51.93,53.1,1555600.0
2007-02-13,41.99,53.98,54.89,53.77,53.77,1691800.0
2007-02-14,42.49,54.62,54.82,53.78,53.78,1002100.0
2007-02-15,42.5,54.64,54.9,54.38,54.4,989100.0
2007-02-16,42.45,54.58,54.7,54.53,54.61,453600.0
2007-02-20,42.28,54.35,54.5,54.07,54.41,1142900.0
2007-02-21,42.16,54.2,54.61,54.0,54.34,876200.0
2007-02-22,42.31,54.3,54.99,53.85,54.35,567800.0
2007-02-23,42.06,53.97,54.57,53.89,54.45,708400.0
2007-02-26,42.04,53.95,54.5,53.8,54.5,545200.0
2007-02-27,41.57,53.34,53.73,52.9,53.7,963200.0
2007-02-28,41.65,53.45,53.77,53.08,53.28,500200.0
2007-03-01,41.65,53.45,54.35,52.6,54.35,556400.0
2007-03-02,41.61,53.4,53.61,53.0,53.0,402200.0
2007-03-05,40.73,52.27,53.26,52.23,53.0,794700.0
2007-03-06,41.41,53.14,53.32,52.72,52.8,417300.0
2007-03-07,41.51,53.27,53.79,52.85,53.2,875300.0
2007-03-08,41.68,53.48,53.8,53.2,53.39,828800.0
2007-03-09,41.78,53.62,53.74,53.03,53.5,482000.0
2007-03-12,41.99,53.89,54.5,53.7,53.97,590100.0
2007-03-13,41.04,52.66,53.87,52.6,53.87,829700.0
2007-03-14,40.92,52.51,52.83,52.25,52.66,876900.0
2007-03-15,41.13,52.78,53.28,52.4,52.4,381900.0
2007-03-16,40.92,52.51,52.9,52.25,52.69,385800.0
2007-03-19,41.89,53.75,53.95,52.71,52.71,744100.0
2007-03-20,42.2,54.15,54.21,53.6,53.6,498700.0
2007-03-21,42.42,54.44,54.75,53.68,54.15,689300.0
2007-03-22,41.89,53.75,54.43,53.73,54.2,694600.0
2007-03-23,41.96,53.84,54.34,53.76,53.78,532800.0
2007-03-26,41.96,53.85,54.16,53.34,54.08,547800.0
2007-03-27,41.95,53.83,53.96,53.41,53.6,827800.0
2007-03-28,41.44,53.18,53.97,52.99,53.8,507200.0
2007-03-29,41.89,53.75,53.94,53.15,53.9,473700.0
2007-03-30,41.79,53.63,54.14,53.51,53.59,432700.0
2007-04-02,42.06,53.97,54.14,53.68,53.88,313200.0
2007-04-03,43.8,56.2,56.5,55.69,55.85,3243000.0
2007-04-04,43.54,55.87,56.5,55.44,56.42,1723200.0
2007-04-05,44.42,57.0,57.43,55.87,55.92,2522700.0
2007-04-09,43.44,55.75,57.79,55.35,57.39,17640600.0
2007-04-10,43.51,55.83,55.88,55.65,55.75,1325700.0
2007-04-11,43.6,55.95,56.2,54.94,54.94,664900.0
2007-04-12,43.52,55.85,55.97,55.4,55.91,1121800.0
2007-04-13,43.68,56.05,56.22,55.6,55.6,549900.0
2007-04-16,44.33,56.89,57.2,56.71,57.11,624400.0
2007-04-17,44.47,57.06,57.14,56.82,56.82,1043400.0
2007-04-18,44.92,57.64,57.7,56.65,56.75,745300.0
2007-04-19,45.03,57.78,59.51,57.34,59.51,611500.0
2007-04-20,45.4,58.26,58.57,57.86,58.28,793100.0
2007-04-23,45.15,57.94,58.94,57.8,58.27,707100.0
2007-04-24,45.67,58.6,58.88,57.63,58.34,921900.0
2007-04-25,45.68,58.62,58.84,58.3,58.6,686800.0
2007-04-26,45.41,58.27,58.76,58.24,58.45,399100.0
2007-04-27,45.12,57.9,58.29,57.85,58.13,522900.0
2007-04-30,44.83,57.53,58.39,57.51,57.95,675900.0
2007-05-01,44.75,57.42,59.06,57.0,59.06,1156200.0
2007-05-02,45.36,58.21,58.37,57.49,57.58,1023400.0
2007-05-03,46.95,60.25,60.54,59.21,59.21,3001100.0
2007-05-04,46.47,59.63,60.3,59.52,60.0,725800.0
2007-05-07,47.25,60.63,60.65,59.34,59.34,586200.0
2007-05-08,47.18,60.54,62.13,60.5,60.65,1053600.0
2007-05-09,47.42,60.85,61.26,60.42,60.54,690000.0
2007-05-10,46.69,59.91,61.0,59.91,61.0,617600.0
2007-05-11,47.08,60.41,60.46,59.89,59.92,476700.0
2007-05-14,46.8,60.06,60.68,59.94,60.41,487100.0
2007-05-15,46.89,60.17,60.82,60.08,60.25,559200.0
2007-05-16,47.06,60.39,60.62,60.21,60.31,547300.0
2007-05-17,46.94,60.23,60.38,59.9,59.9,568500.0
2007-05-18,46.87,60.15,60.51,60.05,60.31,455300.0
2007-05-21,46.82,60.08,60.4,60.0,60.05,425200.0
2007-05-22,46.69,59.91,60.23,59.83,60.08,430100.0
2007-05-23,46.45,59.61,60.07,59.51,59.92,326000.0
2007-05-24,45.83,58.69,59.6,58.69,59.47,529900.0
2007-05-25,46.13,59.08,59.08,58.69,58.7,322800.0
2007-05-29,46.05,58.98,59.39,58.9,59.07,453600.0
2007-05-30,46.23,59.2,59.29,58.7,58.78,440500.0
2007-05-31,46.42,59.45,59.7,58.92,59.21,803500.0
2007-06-01,46.5,59.55,59.99,59.51,59.6,1392600.0
2007-06-04,46.76,59.89,59.95,59.5,59.5,436200.0
2007-06-05,46.16,59.12,59.7,58.99,59.5,400500.0
2007-06-06,45.88,58.76,58.89,58.39,58.6,493600.0
2007-06-07,45.14,57.81,58.65,57.77,58.51,844800.0
2007-06-08,46.04,58.96,59.01,57.81,57.81,486800.0
2007-06-11,45.88,58.76,59.03,58.5,58.96,413900.0
2007-06-12,45.41,58.16,59.08,58.16,58.51,430300.0
2007-06-13,45.79,58.64,60.04,58.18,58.27,430100.0
2007-06-14,45.86,58.73,59.05,58.67,58.7,362700.0
2007-06-15,46.11,59.05,59.43,58.84,58.94,503600.0
2007-06-18,46.11,59.05,59.26,58.84,59.05,350300.0
2007-06-19,46.02,58.94,59.28,58.84,59.03,403700.0
2007-06-20,45.44,58.19,59.26,58.08,59.1,279700.0
2007-06-21,45.7,58.52,59.0,57.84,58.19,500400.0
2007-06-22,45.2,57.89,58.6,57.41,58.48,591100.0
2007-06-25,45.64,58.45,58.9,58.2,58.25,559700.0
2007-06-26,45.69,58.51,58.86,58.25,58.59,569900.0
2007-06-27,45.94,58.84,58.84,58.15,58.4,529100.0
2007-06-28,45.73,58.56,58.97,58.46,58.72,314700.0
2007-06-29,46.01,58.92,59.54,58.62,58.81,532600.0
2007-07-02,46.37,59.39,59.75,59.01,59.01,529600.0
2007-07-03,46.71,59.82,60.0,59.4,59.4,262500.0
2007-07-05,45.8,58.65,59.82,57.64,59.82,1401700.0
2007-07-06,46.52,59.58,59.65,58.56,58.66,598700.0
2007-07-09,46.21,59.18,59.83,59.1,59.59,594600.0
2007-07-10,45.54,58.32,59.41,58.28,58.88,961800.0
2007-07-11,45.79,58.64,58.78,58.05,58.32,508000.0
2007-07-12,46.18,59.14,59.14,58.56,58.67,518200.0
2007-07-13,46.31,59.31,59.46,58.86,59.21,400300.0
2007-07-16,45.91,58.8,59.29,58.6,59.29,440500.0
2007-07-17,41.35,52.95,54.0,49.2,54.0,11807100.0
2007-07-18,42.72,54.71,54.71,52.37,52.54,5298900.0
2007-07-19,43.15,55.26,57.06,54.97,55.0,2360000.0
2007-07-20,42.72,54.71,56.13,54.47,55.03,2163000.0
2007-07-23,42.46,54.38,55.37,54.25,55.24,1218200.0
2007-07-24,40.86,52.33,54.0,52.2,53.75,1605400.0
2007-07-25,41.35,52.95,53.54,52.59,52.64,1437600.0
2007-07-26,40.31,51.62,52.45,51.2,52.3,1704700.0
2007-07-27,39.76,50.92,52.06,50.92,51.31,1502500.0
2007-07-30,39.87,51.06,51.43,50.3,50.57,1593800.0
2007-07-31,39.6,50.72,51.87,50.6,51.1,4251500.0
2007-08-01,40.34,51.66,51.66,49.9,50.55,1755000.0
2007-08-02,39.84,51.02,52.54,50.84,52.49,2470100.0
2007-08-03,37.54,48.07,51.02,48.07,50.77,3179500.0
2007-08-06,38.03,48.7,48.84,47.04,48.27,3102600.0
2007-08-07,39.83,51.01,51.46,49.1,49.7,2507700.0
2007-08-08,39.23,50.24,51.2,49.07,51.1,2868600.0
2007-08-09,37.09,47.5,50.44,47.25,50.24,2584200.0
2007-08-10,38.53,49.35,50.39,45.27,46.92,4267000.0
2007-08-13,39.85,51.03,51.34,49.57,49.75,1552600.0
2007-08-14,38.89,49.81,51.18,49.81,51.03,1746200.0
2007-08-15,38.32,49.07,51.0,49.0,49.94,1107700.0
2007-08-16,39.39,50.44,50.47,48.08,48.55,1624100.0
2007-08-17,39.71,50.86,51.9,50.19,51.9,1741600.0
2007-08-20,40.28,51.58,51.9,50.34,51.0,1151300.0
2007-08-21,40.09,51.34,51.85,50.98,51.69,574500.0
2007-08-22,40.51,51.88,52.11,51.34,51.99,1718100.0
2007-08-23,40.97,52.35,52.79,51.99,52.3,773300.0
2007-08-24,41.5,53.03,53.04,51.91,52.24,423600.0
2007-08-27,41.34,52.82,53.26,52.51,52.67,624600.0
2007-08-28,40.38,51.59,52.72,51.46,52.26,1126800.0
2007-08-29,41.35,52.83,52.83,51.45,51.9,725000.0
2007-08-30,40.17,51.33,52.62,51.09,52.54,982900.0
2007-08-31,40.34,51.54,52.04,51.0,51.62,896100.0
2007-09-04,40.64,51.93,52.32,51.25,51.81,589900.0
2007-09-05,39.24,50.14,53.44,49.94,51.93,1564500.0
2007-09-06,38.54,49.24,50.4,48.41,50.14,1928700.0
2007-09-07,38.43,49.1,49.44,48.74,48.74,1170500.0
2007-09-10,38.17,48.77,49.38,48.45,49.2,798400.0
2007-09-11,38.59,49.31,49.45,48.58,48.93,982100.0
2007-09-12,38.58,49.3,49.52,48.68,49.03,1252400.0
2007-09-13,38.72,49.47,49.65,48.93,49.48,981800.0
2007-09-14,38.78,49.55,49.67,49.16,49.37,691200.0
2007-09-17,38.5,49.19,49.46,48.86,49.46,628200.0
2007-09-18,40.93,52.29,52.29,49.25,49.39,1529800.0
2007-09-19,40.56,51.82,52.9,51.32,52.54,1150900.0
2007-09-20,40.46,51.7,52.2,51.35,51.62,1156700.0
2007-09-21,40.75,52.07,52.38,51.52,52.32,1224500.0
2007-09-24,40.31,51.51,52.22,51.51,52.2,835900.0
2007-09-25,40.31,51.51,51.84,51.33,51.53,1302300.0
2007-09-26,40.89,52.25,52.44,51.41,51.5,685000.0
2007-09-27,41.67,53.24,53.25,52.56,52.58,981900.0
2007-09-28,41.87,53.5,53.67,53.24,53.25,752100.0
2007-10-01,42.87,54.78,55.08,53.43,53.49,1080100.0
2007-10-02,43.19,55.18,55.41,53.94,54.5,809600.0
2007-10-03,42.91,54.82,55.39,54.65,55.05,779700.0
2007-10-04,42.84,54.74,54.95,54.51,54.81,617100.0
2007-10-05,44.21,56.49,56.6,55.29,55.36,1839600.0
2007-10-08,43.49,55.57,56.49,55.4,56.49,490600.0
2007-10-09,43.79,55.95,55.99,55.17,55.72,361600.0
2007-10-10,43.22,55.22,56.2,54.95,55.9,722200.0
2007-10-11,42.48,54.28,56.05,54.06,55.69,1162100.0
2007-10-12,43.84,56.01,56.7,54.53,54.53,1159900.0
2007-10-15,44.18,56.45,57.05,56.07,56.7,1502400.0
2007-10-16,43.96,56.17,56.72,55.7,56.47,1018000.0
2007-10-17,43.91,56.1,56.57,55.63,56.31,1007100.0
2007-10-18,44.19,56.46,56.88,55.62,55.75,706900.0
2007-10-19,42.96,54.89,56.59,54.89,56.23,874800.0
2007-10-22,44.09,56.33,56.35,54.23,54.24,1275100.0
2007-10-23,44.26,56.55,57.66,56.0,57.3,1651200.0
2007-10-24,44.67,57.08,57.2,55.63,56.37,1517400.0
2007-10-25,44.06,56.3,57.06,55.89,56.77,1225300.0
2007-10-26,45.82,58.55,58.76,56.45,57.32,1692700.0
2007-10-29,45.91,58.66,59.18,58.02,58.83,1014000.0
2007-10-30,45.79,58.51,59.3,58.36,58.52,1087300.0
2007-10-31,45.74,58.44,58.84,57.67,58.66,1159400.0
2007-11-01,48.52,62.0,63.48,59.5,59.7,4355900.0
2007-11-02,50.54,64.58,65.06,61.06,62.02,2548000.0
2007-11-05,51.24,65.47,65.8,61.72,61.72,1915200.0
2007-11-06,51.41,65.69,66.64,64.22,64.91,1857400.0
2007-11-07,49.84,63.68,65.61,63.32,65.61,1096000.0
2007-11-08,50.35,64.33,64.43,62.74,64.2,1417800.0
2007-11-09,49.66,63.45,64.57,62.64,63.61,1113000.0
2007-11-12,50.62,64.68,66.59,63.46,63.97,1790900.0
2007-11-13,52.01,66.45,66.45,64.62,65.59,1094600.0
2007-11-14,50.26,64.22,67.17,63.84,67.17,1820100.0
2007-11-15,51.94,66.37,66.89,63.88,64.25,1621200.0
2007-11-16,51.4,65.67,66.5,64.25,65.63,1878500.0
2007-11-19,51.58,65.91,66.15,64.85,65.39,1609200.0
2007-11-20,52.01,66.45,66.85,64.75,65.97,1784300.0
2007-11-21,51.91,66.2,66.98,64.42,65.8,1690300.0
2007-11-23,51.83,66.11,67.17,65.87,66.66,422700.0
2007-11-26,51.2,65.3,66.2,65.3,65.98,1490400.0
2007-11-27,51.5,65.68,66.0,64.68,65.04,1969800.0
2007-11-28,52.75,67.28,67.28,65.42,65.68,1447400.0
2007-11-29,52.96,67.55,67.56,66.06,66.93,1195400.0
2007-11-30,51.3,65.43,68.77,63.75,68.0,3424700.0
2007-12-03,50.97,65.01,65.77,63.97,65.37,2580900.0
