,Adj Close,Close,High,Low,Open,Volume
2007-01-03,18.21,29.62,30.15,29.42,29.61,795600.0
2007-01-04,18.13,29.5,29.59,29.36,29.59,535900.0
2007-01-05,17.89,29.11,29.46,28.92,29.46,234000.0
2007-01-08,17.57,28.58,29.2,28.37,29.18,940900.0
2007-01-09,17.58,28.59,29.0,28.44,28.66,506100.0
2007-01-10,17.6,28.63,28.72,28.32,28.5,372800.0
2007-01-11,17.7,28.8,28.99,28.68,28.68,440000.0
2007-01-12,17.72,28.83,28.87,28.75,28.79,336900.0
2007-01-16,17.76,28.89,28.99,28.77,28.86,431500.0
2007-01-17,17.66,28.72,28.98,28.66,28.81,316200.0
2007-01-18,17.58,28.59,28.79,28.56,28.71,185200.0
2007-01-19,17.71,28.81,28.89,28.5,28.55,345100.0
2007-01-22,17.63,28.68,28.84,28.52,28.81,211100.0
2007-01-23,17.71,28.81,28.85,28.4,28.6,435700.0
2007-01-24,17.75,28.87,28.9,28.61,28.78,268600.0
2007-01-25,17.7,28.8,28.93,28.67,28.89,303500.0
2007-01-26,17.73,28.85,28.93,28.63,28.82,293100.0
2007-01-29,17.77,28.9,29.0,28.68,28.96,773200.0
2007-01-30,17.93,29.17,29.3,28.81,28.91,701600.0
2007-01-31,17.62,28.67,29.2,28.17,29.17,1088200.0
2007-02-01,17.69,28.77,29.0,28.65,28.75,990800.0
2007-02-02,17.55,28.55,28.98,28.4,28.86,932200.0
2007-02-05,17.74,28.86,28.95,28.59,28.59,521700.0
2007-02-06,17.81,28.97,29.0,28.8,28.9,491300.0
2007-02-07,17.99,29.27,29.32,28.97,28.98,740800.0
2007-02-08,18.03,29.33,29.44,29.05,29.3,484900.0
2007-02-09,18.02,29.32,29.51,29.15,29.37,416300.0
2007-02-12,17.69,28.78,29.11,28.45,29.11,844800.0
2007-02-13,17.77,28.91,28.99,28.78,28.78,604800.0
2007-02-14,17.91,29.13,29.28,28.88,28.98,641900.0
2007-02-15,17.8,28.96,29.17,28.81,29.13,942100.0
2007-02-16,17.96,29.22,29.24,28.94,28.98,550300.0
2007-02-20,17.97,29.24,29.35,29.13,29.21,482100.0
2007-02-21,17.86,29.05,29.19,29.0,29.12,557700.0
2007-02-22,17.86,29.06,29.12,28.89,29.12,428000.0
2007-02-23,17.7,28.79,28.99,28.64,28.99,413400.0
2007-02-26,17.89,29.11,29.13,28.73,28.89,492800.0
2007-02-27,17.43,28.36,29.01,28.33,28.74,599900.0
2007-02-28,17.6,28.63,28.73,28.09,28.43,693700.0
2007-03-01,17.32,28.18,28.4,26.02,28.32,886000.0
2007-03-02,17.43,28.36,28.51,27.9,28.15,730900.0
2007-03-05,17.34,28.21,28.54,28.05,28.17,884400.0
2007-03-06,17.49,28.45,28.53,28.22,28.32,885400.0
2007-03-07,17.33,28.19,28.39,28.16,28.37,458100.0
2007-03-08,17.33,28.19,28.46,28.15,28.3,465900.0
2007-03-09,17.44,28.37,28.37,28.13,28.3,373800.0
2007-03-12,17.35,28.23,28.38,27.6,28.36,1711000.0
2007-03-13,17.06,27.76,28.15,27.65,28.12,588200.0
2007-03-14,17.14,27.88,28.01,27.59,27.72,747200.0
2007-03-15,17.21,28.0,28.2,27.81,27.81,529200.0
