,Adj Close,Close,High,Low,Open,Volume
2007-01-03,52.07,52.07,53.9,50.6,53.66,6290400.0
2007-01-04,53.3,53.3,53.46,51.72,51.85,3670900.0
2007-01-05,53.19,53.19,53.78,52.42,53.0,2873800.0
2007-01-08,53.01,53.01,53.46,52.1,53.1,3308000.0
2007-01-09,52.67,52.67,53.1,51.8,53.0,8200700.0
2007-01-10,53.79,53.79,53.89,51.76,52.25,3736500.0
2007-01-11,54.59,54.59,54.75,53.51,53.9,3219800.0
2007-01-12,54.64,54.64,55.59,54.3,54.4,3012700.0
2007-01-16,55.16,55.16,55.71,54.36,54.59,2201600.0
2007-01-17,54.81,54.81,55.59,54.27,54.82,2378200.0
2007-01-18,52.84,52.84,54.35,52.18,54.14,4097700.0
2007-01-19,54.1,54.1,54.33,52.95,53.22,3169600.0
2007-01-22,52.67,52.67,54.32,52.56,54.09,3422800.0
2007-01-23,52.66,52.66,53.4,51.53,52.45,3906900.0
2007-01-24,54.45,54.45,54.48,51.99,53.05,4776700.0
2007-01-25,53.66,53.66,54.81,53.21,54.12,4277800.0
2007-01-26,54.29,54.29,54.65,52.9,53.88,2812500.0
2007-01-29,55.14,55.14,55.84,53.85,54.11,3464400.0
2007-01-30,55.87,55.87,56.78,55.21,55.25,3703700.0
2007-01-31,56.18,56.18,56.47,55.2,55.69,2402100.0
2007-02-01,55.51,55.51,56.75,54.89,56.61,2799900.0
2007-02-02,55.55,55.55,55.95,54.53,54.53,2899500.0
2007-02-05,58.18,58.18,58.45,55.4,55.8,5280200.0
2007-02-06,55.15,55.15,58.07,55.08,57.85,5837800.0
2007-02-07,56.95,56.95,57.25,55.85,55.85,9376500.0
2007-02-08,59.15,59.15,59.69,54.49,55.36,11809000.0
2007-02-09,56.16,56.16,59.48,55.91,59.18,5809900.0
2007-02-12,55.1,55.1,56.6,55.03,56.27,3859900.0
2007-02-13,55.54,55.54,55.99,55.1,55.3,2492600.0
2007-02-14,56.6,56.6,56.85,55.61,55.64,2534600.0
2007-02-15,56.39,56.39,56.76,55.99,56.4,2036700.0
2007-02-16,55.99,55.99,56.39,55.55,56.16,2031300.0
