,Adj Close,Close,High,Low,Open,Volume
2007-01-03,103.08,105.88,106.95,104.89,106.07,326100.0
2007-01-04,101.96,104.73,106.03,103.74,105.43,394000.0
2007-01-05,101.14,103.89,105.01,103.38,104.73,178700.0
2007-01-08,102.47,105.26,105.53,103.54,103.89,224100.0
2007-01-09,103.46,106.28,106.86,105.26,105.26,270100.0
2007-01-10,103.94,106.77,106.91,105.56,106.28,284700.0
2007-01-11,104.84,107.69,107.97,106.67,106.77,263500.0
2007-01-12,106.11,109.0,110.46,107.68,107.88,568800.0
2007-01-16,105.69,108.57,109.5,108.35,109.35,253400.0
2007-01-17,106.4,109.3,110.48,108.57,108.57,217700.0
2007-01-18,104.91,107.77,109.76,107.51,109.21,140000.0
2007-01-19,105.6,108.47,109.18,107.68,107.91,186800.0
2007-01-22,104.96,107.82,108.4,106.38,108.15,229300.0
2007-01-23,105.58,108.45,108.62,107.62,107.82,257900.0
2007-01-24,107.91,110.85,112.51,109.37,110.0,663000.0
2007-01-25,107.16,110.08,113.25,109.27,112.45,604200.0
2007-01-26,107.31,110.23,110.62,108.99,109.88,400200.0
2007-01-29,106.73,109.63,110.68,109.36,110.48,195500.0
2007-01-30,107.44,110.36,110.48,106.46,106.46,256800.0
2007-01-31,108.45,111.4,111.4,109.42,110.11,355300.0
2007-02-01,110.42,113.42,115.14,111.77,114.0,481100.0
2007-02-02,109.93,112.92,113.57,112.62,113.42,191500.0
2007-02-05,110.06,113.06,113.71,112.72,112.72,280300.0
2007-02-06,110.58,113.59,113.95,112.88,113.0,182300.0
2007-02-07,111.92,114.97,115.15,113.5,113.5,484600.0
2007-02-08,110.46,113.47,114.67,113.36,114.67,274300.0
2007-02-09,108.98,111.95,113.85,110.9,113.0,379200.0
2007-02-12,109.4,112.38,112.52,111.33,112.02,362900.0
2007-02-13,110.4,113.4,114.3,112.06,112.21,403100.0
2007-02-14,115.12,118.25,118.69,114.91,115.0,758200.0
2007-02-15,114.7,117.82,119.78,117.68,118.25,412500.0
2007-02-16,113.81,116.91,117.89,116.5,117.4,210200.0
2007-02-20,114.83,117.95,118.36,116.49,117.25,219200.0
2007-02-21,114.63,117.75,118.42,117.0,117.96,290900.0
2007-02-22,114.3,117.41,118.74,116.65,118.1,290900.0
2007-02-23,112.73,115.8,117.89,115.3,117.6,428800.0
2007-02-26,113.32,116.4,118.19,115.33,117.5,425700.0
2007-02-27,109.59,112.57,116.38,111.5,112.05,1029200.0
2007-02-28,110.48,113.49,113.83,111.0,112.8,597500.0
2007-03-01,108.16,111.1,113.01,109.75,113.0,673500.0
2007-03-02,104.37,107.21,111.04,106.94,111.04,718800.0
2007-03-05,102.65,105.44,106.75,105.12,105.95,596100.0
2007-03-06,105.57,108.44,108.95,106.65,106.75,484400.0
2007-03-07,104.32,107.16,109.56,106.84,108.44,493500.0
2007-03-08,105.28,108.14,109.69,107.88,108.01,294900.0
2007-03-09,105.35,108.22,109.57,107.58,109.04,243300.0
2007-03-12,105.03,107.89,108.17,107.0,108.1,217700.0
2007-03-13,101.21,103.96,107.95,103.85,107.89,463500.0
2007-03-14,103.38,106.19,106.46,103.0,104.3,430000.0
2007-03-15,102.71,105.5,107.69,104.92,105.75,461900.0
2007-03-16,101.26,104.02,105.69,103.55,105.69,328100.0
2007-03-19,102.73,105.53,105.99,104.51,104.51,317400.0
2007-03-20,103.08,105.88,106.46,105.42,105.53,233900.0
2007-03-21,106.33,109.22,109.6,106.26,106.32,455200.0
2007-03-22,105.7,108.58,109.91,108.2,109.78,329300.0
2007-03-23,106.38,109.28,109.71,108.18,108.61,289000.0
2007-03-26,105.79,108.67,109.5,107.64,109.28,217100.0
2007-03-27,104.95,107.81,109.5,107.45,108.17,317900.0
2007-03-28,103.48,106.3,107.44,105.94,107.29,263200.0
2007-03-29,104.06,106.89,107.75,105.91,107.01,343100.0
2007-03-30,105.48,108.35,108.49,106.42,107.15,442100.0
2007-04-02,105.76,108.64,109.05,106.7,108.92,284100.0
2007-04-03,107.26,110.18,110.56,109.2,109.2,377300.0
2007-04-04,108.46,111.41,111.61,109.75,110.29,453300.0
2007-04-05,109.13,112.1,112.16,110.6,111.5,437400.0
2007-04-09,109.08,112.05,112.62,111.13,112.15,360300.0
2007-04-10,108.45,111.4,112.42,111.19,112.15,330600.0
2007-04-11,107.63,110.56,112.4,110.0,112.4,259900.0
2007-04-12,107.97,110.91,111.12,109.07,110.3,179900.0
2007-04-13,109.12,112.09,112.15,111.26,111.5,190300.0
2007-04-16,110.42,113.42,114.36,112.69,113.09,337700.0
2007-04-17,110.6,113.61,114.56,113.45,113.45,143200.0
2007-04-18,111.54,114.58,115.61,113.55,113.61,180800.0
2007-04-19,110.66,113.67,114.63,113.41,114.59,214500.0
2007-04-20,111.27,114.3,114.9,110.38,110.38,366300.0
2007-04-23,114.0,117.1,118.7,114.0,114.0,638100.0
2007-04-24,114.14,117.25,117.67,115.99,117.3,421800.0
2007-04-25,115.37,118.51,118.9,115.17,117.25,690400.0
2007-04-26,115.79,118.94,119.33,118.1,119.0,447600.0
2007-04-27,115.71,118.86,119.16,118.01,118.94,369500.0
2007-04-30,114.51,117.63,119.44,117.6,119.11,367800.0
2007-05-01,114.89,118.02,118.89,117.01,117.83,288000.0
