,Adj Close,Close,High,Low,Open,Volume
2007-01-03,56.04,68.4,69.48,67.85,68.43,12908400.0
2007-01-04,58.44,71.33,71.87,68.97,69.48,16000900.0
2007-01-05,58.58,71.5,72.08,71.01,71.34,10462000.0
2007-01-08,58.11,70.93,71.89,70.79,71.63,6747100.0
2007-01-09,58.39,71.27,71.68,70.67,71.17,7165200.0
2007-01-10,58.2,71.04,71.24,70.7,70.9,5780600.0
2007-01-11,58.91,71.91,72.21,70.74,71.16,6872600.0
2007-01-12,60.03,73.27,73.57,72.0,72.02,10115000.0
2007-01-16,60.21,73.5,73.58,72.77,73.4,5465400.0
2007-01-17,60.57,73.93,74.08,73.2,73.5,6535100.0
2007-01-18,60.37,73.69,74.35,73.36,74.1,7544100.0
2007-01-19,60.83,74.25,74.56,73.75,73.94,6791700.0
2007-01-22,62.14,75.85,76.95,75.51,75.75,16810600.0
2007-01-23,61.12,74.6,75.85,74.35,75.24,11220700.0
2007-01-24,61.56,75.14,75.14,74.0,74.45,7198900.0
2007-01-25,61.32,74.85,75.01,74.32,74.83,10974200.0
2007-01-26,58.58,71.5,71.89,70.92,71.69,30276300.0
2007-01-29,57.32,69.97,71.3,69.86,71.2,13797900.0
2007-01-30,57.62,70.33,71.13,70.23,70.68,11686000.0
2007-01-31,57.65,70.37,70.57,69.9,70.4,8537800.0
2007-02-01,56.93,69.49,70.25,69.02,70.19,13779600.0
2007-02-02,56.9,69.45,70.01,69.4,69.68,10115500.0
2007-02-05,57.22,69.84,70.21,69.05,69.44,9181200.0
2007-02-06,57.07,69.66,70.49,69.23,70.33,9683100.0
2007-02-07,57.35,70.0,70.25,69.3,69.3,7881100.0
2007-02-08,57.17,69.78,70.39,69.55,69.59,8879900.0
2007-02-09,56.57,69.05,70.09,69.0,69.95,10375300.0
2007-02-12,56.11,68.49,69.53,68.42,69.41,6831800.0
2007-02-13,56.36,68.8,68.98,68.5,68.73,6197000.0
2007-02-14,56.36,68.8,69.11,68.68,68.72,10553100.0
2007-02-15,55.94,68.28,68.92,67.91,68.7,11571400.0
2007-02-16,54.67,66.73,68.49,65.94,68.22,30258500.0
2007-02-20,54.36,66.35,67.18,66.25,66.65,17507200.0
