,Adj Close,Close,High,Low,Open,Volume
2007-01-03,58.44,58.44,58.68,57.0,58.2,71900.0
2007-01-04,58.56,58.56,60.0,57.0,57.96,43900.0
2007-01-05,56.88,56.88,58.92,56.4,58.08,59400.0
2007-01-08,57.6,57.6,58.92,54.24,57.0,37700.0
2007-01-09,58.2,58.2,58.56,56.4,57.36,32000.0
2007-01-10,57.84,57.84,59.04,57.24,57.72,33800.0
2007-01-11,58.44,58.44,59.4,57.12,57.6,45900.0
2007-01-12,60.0,60.0,60.36,57.72,58.56,50100.0
2007-01-16,58.92,58.92,60.6,57.72,60.0,44700.0
2007-01-17,56.64,56.64,58.56,55.32,58.56,83900.0
2007-01-18,56.04,56.04,56.76,55.2,56.4,40100.0
2007-01-19,56.64,56.64,57.0,54.72,55.8,30700.0
2007-01-22,56.76,56.76,56.88,54.72,56.4,31500.0
2007-01-23,57.6,57.6,57.6,56.04,56.4,38200.0
2007-01-24,57.96,57.96,58.44,56.76,57.6,35900.0
2007-01-25,57.12,57.12,58.08,55.2,58.08,29600.0
2007-01-26,56.28,56.28,57.48,54.96,56.64,28200.0
2007-01-29,240.0,240.0,242.64,204.6,223.8,2800.0
2007-01-30,242.4,242.4,246.24,234.0,246.24,6000.0
2007-01-31,263.76,263.76,268.8,245.88,246.0,79000.0
2007-02-01,265.2,265.2,265.8,255.0,262.92,12500.0
2007-02-02,259.2,259.2,265.8,257.52,265.32,12400.0
2007-02-05,245.16,245.16,258.0,240.96,258.0,25300.0
2007-02-06,249.48,249.48,253.68,243.48,244.8,18300.0
2007-02-07,248.76,248.76,255.0,246.96,248.88,14500.0
2007-02-08,246.96,246.96,248.04,244.32,247.08,8900.0
2007-02-09,249.36,249.36,251.28,246.0,246.0,6500.0
2007-02-12,245.28,245.28,252.0,241.56,251.04,12200.0
2007-02-13,246.84,246.84,247.44,241.08,244.56,9800.0
2007-02-14,248.64,248.64,249.36,243.0,245.88,13300.0
2007-02-15,248.28,248.28,249.72,246.72,248.04,6400.0
2007-02-16,248.64,248.64,248.88,243.84,248.16,7200.0
2007-02-20,248.4,248.4,248.4,243.6,246.6,2800.0
2007-02-21,251.64,251.64,251.76,246.0,248.4,16000.0
2007-02-22,253.68,253.68,254.28,249.96,252.0,8900.0
2007-02-23,250.68,250.68,253.68,248.16,253.2,5400.0
2007-02-26,251.76,251.76,252.0,250.56,252.0,15700.0
2007-02-27,244.56,244.56,251.76,234.96,249.36,14400.0
2007-02-28,244.8,244.8,248.16,238.8,244.8,26300.0
2007-03-01,240.24,240.24,246.0,234.96,239.52,9600.0
2007-03-02,232.68,232.68,240.12,231.6,238.56,9200.0
2007-03-05,226.2,226.2,230.16,220.32,230.16,10400.0
2007-03-06,232.56,232.56,233.16,226.44,227.64,6100.0
2007-03-07,228.24,228.24,236.28,222.24,233.64,11600.0
2007-03-08,229.68,229.68,235.2,226.2,229.56,6300.0
2007-03-09,230.76,230.76,232.32,227.4,232.32,6000.0
2007-03-12,230.28,230.28,230.28,224.64,226.2,7200.0
2007-03-13,226.2,226.2,230.4,222.48,227.76,14300.0
2007-03-14,232.56,232.56,232.56,225.6,226.2,8800.0
2007-03-15,229.8,229.8,232.68,227.04,228.12,10900.0
2007-03-16,222.6,222.6,229.68,218.76,229.68,24900.0
2007-03-19,226.2,226.2,226.32,223.2,223.56,12700.0
2007-03-20,229.44,229.44,229.8,224.04,224.64,11000.0
2007-03-21,236.16,236.16,237.0,228.84,228.84,11700.0
2007-03-22,234.84,234.84,236.64,232.08,234.72,11800.0
2007-03-23,228.72,228.72,233.64,222.6,233.52,4200.0
2007-03-26,233.04,233.04,233.04,226.32,227.4,4800.0
2007-03-27,235.44,235.44,237.6,229.68,231.84,11800.0
2007-03-28,232.08,232.08,235.08,229.44,229.44,6900.0
2007-03-29,228.24,228.24,234.0,225.72,234.0,7600.0
2007-03-30,230.28,230.28,230.28,225.12,226.68,6900.0
2007-04-02,227.52,227.52,231.6,227.04,230.28,6500.0
2007-04-03,230.4,230.4,232.8,227.28,228.6,5900.0
2007-04-04,229.68,229.68,232.68,229.32,229.92,5600.0
2007-04-05,228.12,228.12,230.4,227.4,229.92,3500.0
2007-04-09,229.2,229.2,230.28,227.4,227.52,16200.0
2007-04-10,228.48,228.48,230.28,226.32,228.72,4900.0
2007-04-11,222.36,222.36,229.68,221.4,229.68,8000.0
2007-04-12,226.44,226.44,227.4,221.28,221.28,5400.0
2007-04-13,226.32,226.32,226.8,220.44,225.36,33700.0
2007-04-16,233.52,233.52,234.0,221.28,224.04,15900.0
2007-04-17,232.8,232.8,233.88,228.96,233.16,11400.0
2007-04-18,232.8,232.8,234.0,226.92,231.0,8900.0
2007-04-19,233.52,233.52,235.92,231.0,232.44,6900.0
2007-04-20,240.0,240.0,240.0,234.0,236.76,12800.0
2007-04-23,239.4,239.4,240.6,237.12,238.92,11900.0
2007-04-24,236.76,236.76,239.76,231.96,239.4,4800.0
2007-04-25,236.4,236.4,238.2,234.84,237.36,3500.0
2007-04-26,237.6,237.6,237.6,234.96,237.0,4400.0
2007-04-27,235.56,235.56,237.6,232.92,236.04,12300.0
2007-04-30,239.28,239.28,239.64,232.32,234.36,15700.0
2007-05-01,238.08,238.08,240.84,234.12,234.12,20900.0
2007-05-02,189.0,189.0,193.32,178.2,181.2,305400.0
2007-05-03,187.92,187.92,192.0,181.68,189.0,72700.0
2007-05-04,193.56,193.56,194.28,187.2,188.28,40500.0
2007-05-07,194.28,194.28,195.0,191.52,193.2,49100.0
2007-05-08,194.52,194.52,194.88,186.0,193.08,20600.0
2007-05-09,194.52,194.52,194.76,192.0,193.2,14400.0
2007-05-10,190.56,190.56,194.4,189.72,194.4,32700.0
2007-05-11,194.76,194.76,195.48,184.8,186.84,33400.0
2007-05-14,194.4,194.4,195.48,193.2,195.36,17400.0
2007-05-15,194.52,194.52,194.88,192.0,194.04,17600.0
2007-05-16,193.44,193.44,195.24,192.0,195.24,9200.0
2007-05-17,192.12,192.12,193.44,191.28,193.2,11300.0
2007-05-18,191.64,191.64,192.48,189.12,192.48,12700.0
2007-05-21,194.4,194.4,194.4,189.48,191.28,22400.0
2007-05-22,195.6,195.6,200.64,189.12,193.44,32000.0
2007-05-23,191.4,191.4,197.28,189.84,196.68,17300.0
2007-05-24,188.28,188.28,192.0,186.36,190.44,15400.0
2007-05-25,190.8,190.8,191.52,186.0,188.28,9200.0
2007-05-29,197.4,197.4,198.48,191.04,191.64,10500.0
2007-05-30,203.88,203.88,203.88,193.92,195.36,10600.0
2007-05-31,205.2,205.2,215.28,196.8,203.76,73700.0
2007-06-01,200.88,200.88,206.4,198.6,205.56,17400.0
2007-06-04,200.4,200.4,203.88,194.76,199.44,11200.0
2007-06-05,198.48,198.48,199.8,192.36,198.36,17900.0
2007-06-06,196.08,196.08,196.8,195.24,196.8,5300.0
2007-06-07,193.8,193.8,195.84,193.08,195.6,18200.0
2007-06-08,196.68,196.68,197.04,193.2,193.2,5900.0
2007-06-11,196.08,196.08,196.68,192.12,195.96,11400.0
2007-06-12,197.76,197.76,198.36,190.56,194.4,8100.0
2007-06-13,204.84,204.84,205.32,197.04,197.76,16000.0
2007-06-14,212.28,212.28,214.8,204.0,204.36,20400.0
2007-06-15,214.8,214.8,216.12,212.28,215.76,23500.0
2007-06-18,214.8,214.8,215.4,211.92,214.8,7200.0
2007-06-19,213.6,213.6,215.52,205.08,213.72,15100.0
