,Adj Close,Close,High,Low,Open,Volume
2007-01-03,49.01,60.36,61.9,60.05,61.18,6142500.0
2007-01-04,48.65,59.92,60.57,59.79,60.23,5671200.0
2007-01-05,48.01,59.13,59.87,58.9,59.65,6768100.0
2007-01-08,48.47,59.69,59.76,58.35,59.03,5000200.0
2007-01-09,48.16,59.31,59.95,59.0,59.9,4968000.0
2007-01-10,48.13,59.27,59.37,58.71,59.24,4366800.0
2007-01-11,48.27,59.45,59.57,59.06,59.25,4204900.0
2007-01-12,47.91,59.01,59.41,58.76,59.35,5002900.0
2007-01-16,48.01,59.13,59.18,58.68,58.85,5354200.0
2007-01-17,48.08,59.22,59.5,59.0,59.16,4898000.0
2007-01-18,47.91,59.0,59.43,58.5,58.5,4606500.0
2007-01-19,47.17,58.09,59.23,58.04,59.23,8192600.0
2007-01-22,47.14,58.06,58.63,57.14,58.3,13231600.0
2007-01-23,46.72,57.54,58.15,57.15,58.0,6572200.0
2007-01-24,47.85,58.93,58.93,57.65,57.7,5485000.0
2007-01-25,46.91,57.77,58.93,57.69,58.78,5103700.0
2007-01-26,46.97,57.85,58.05,57.45,57.81,5477000.0
2007-01-29,46.8,57.64,57.96,57.5,57.75,4714500.0
2007-01-30,47.1,58.01,58.03,57.65,57.68,5177500.0
2007-01-31,47.27,58.22,58.45,57.75,58.02,6323300.0
2007-02-01,47.15,58.07,58.67,57.91,58.3,4115900.0
2007-02-02,47.22,58.16,58.5,58.0,58.3,5033400.0
2007-02-05,47.26,58.2,58.48,57.91,58.17,3220000.0
2007-02-06,47.14,58.06,58.5,57.59,58.4,4491800.0
2007-02-07,47.65,58.68,58.85,58.06,58.23,4487000.0
2007-02-08,47.49,58.49,58.68,58.06,58.68,2913600.0
2007-02-09,46.71,57.53,58.97,57.31,58.65,4704900.0
2007-02-12,46.28,57.0,57.69,56.21,57.69,12378600.0
2007-02-13,46.77,57.6,57.78,56.82,57.23,4978500.0
2007-02-14,47.65,58.69,59.05,57.35,57.6,7739100.0
2007-02-15,47.78,58.85,59.12,58.52,58.52,7609300.0
2007-02-16,47.92,59.02,59.15,58.54,59.0,4927900.0
2007-02-20,47.67,58.71,59.01,58.08,58.75,4483200.0
2007-02-21,47.52,58.53,58.8,58.25,58.26,2681100.0
2007-02-22,47.22,58.15,58.77,57.94,58.42,3855300.0
2007-02-23,47.11,58.02,58.3,57.77,58.0,3574500.0
2007-02-26,46.4,57.14,58.48,57.1,58.02,4242800.0
2007-02-27,45.14,55.59,57.03,54.5,57.0,11075600.0
2007-02-28,46.18,56.87,57.46,56.0,56.03,11590300.0
2007-03-01,45.92,56.55,57.0,55.15,56.2,8759700.0
2007-03-02,45.02,55.44,56.45,55.33,56.1,7281000.0
2007-03-05,44.58,54.9,55.97,54.9,55.43,6482000.0
2007-03-06,45.77,56.37,56.46,55.21,55.35,8311300.0
2007-03-07,45.36,55.86,56.27,55.33,56.12,5464100.0
2007-03-08,46.14,56.82,57.0,56.12,56.34,5424500.0
2007-03-09,46.2,56.9,57.35,56.55,57.07,3819800.0
2007-03-12,46.05,56.71,56.96,55.64,56.11,3702300.0
2007-03-13,44.46,54.75,56.6,54.71,56.3,7980300.0
2007-03-14,45.23,55.71,56.14,53.91,54.25,10665600.0
2007-03-15,45.56,56.11,56.24,55.5,55.58,8899200.0
2007-03-16,45.1,55.55,56.56,54.95,56.4,7966600.0
2007-03-19,45.5,56.04,56.3,55.61,56.26,6295000.0
2007-03-20,45.68,56.26,56.41,55.92,56.04,3857400.0
2007-03-21,46.68,57.49,57.75,55.66,56.27,7200000.0
2007-03-22,46.64,57.44,57.6,56.84,57.4,5326400.0
2007-03-23,46.63,57.43,57.91,57.27,57.58,3505600.0
2007-03-26,46.44,57.2,57.57,56.69,57.4,3708800.0
2007-03-27,45.82,56.43,57.05,56.38,56.95,5419500.0
2007-03-28,45.36,55.86,56.36,55.61,56.3,7592800.0
2007-03-29,45.84,56.46,56.68,55.84,56.65,4588000.0
2007-03-30,45.8,56.4,56.94,55.73,56.65,4139100.0
2007-04-02,45.36,55.86,56.69,55.34,56.4,6908100.0
