,Adj Close,Close,High,Low,Open,Volume
2007-01-03,39.13,51.92,53.27,51.52,52.2,535400.0
2007-01-04,39.43,52.32,53.39,49.69,53.0,947200.0
2007-01-05,38.51,51.09,51.85,50.95,51.74,447100.0
2007-01-08,39.2,52.01,52.64,50.7,51.15,923800.0
2007-01-09,39.58,52.52,52.59,51.66,51.94,444100.0
2007-01-10,40.31,53.48,53.61,52.01,52.13,513000.0
2007-01-11,41.51,55.08,55.47,53.52,53.6,818700.0
2007-01-12,41.94,55.65,55.68,54.61,54.84,342100.0
2007-01-16,41.91,55.61,56.56,55.4,55.65,582700.0
2007-01-17,42.13,55.9,56.32,55.2,55.56,243800.0
2007-01-18,42.44,56.16,56.2,55.26,55.66,547900.0
2007-01-19,43.13,57.07,57.09,56.34,56.75,325000.0
2007-01-22,43.21,57.18,57.22,56.57,57.07,657700.0
2007-01-23,43.33,57.33,57.81,56.71,56.9,748200.0
2007-01-24,43.49,57.55,57.63,57.06,57.5,211500.0
2007-01-25,43.34,57.35,57.98,56.97,57.7,442900.0
2007-01-26,43.26,57.25,57.48,56.68,57.24,316600.0
2007-01-29,43.75,57.89,57.89,56.81,57.0,343000.0
2007-01-30,43.48,57.54,57.98,57.25,57.98,343300.0
2007-01-31,43.84,58.01,58.63,57.19,57.57,420100.0
2007-02-01,44.63,59.06,59.08,57.88,57.88,362500.0
2007-02-02,45.13,59.72,60.18,58.95,59.31,580000.0
2007-02-05,44.59,59.01,59.7,58.84,59.58,263100.0
2007-02-06,44.69,59.14,59.49,58.5,59.26,218300.0
2007-02-07,44.96,59.49,59.64,58.62,59.14,450900.0
2007-02-08,44.98,59.52,59.97,59.33,59.49,221500.0
2007-02-09,44.18,58.46,59.58,57.95,59.58,289700.0
2007-02-12,43.98,58.19,58.45,57.85,58.02,165500.0
2007-02-13,44.41,58.76,59.01,58.27,58.36,162700.0
2007-02-14,44.85,59.35,59.87,58.67,58.76,230100.0
2007-02-15,44.67,59.11,59.46,58.81,59.15,216500.0
2007-02-16,44.83,59.32,59.45,58.11,59.1,234600.0
2007-02-20,44.5,58.88,59.32,57.51,59.32,454100.0
2007-02-21,44.84,59.33,59.46,58.65,58.74,173400.0
2007-02-22,44.5,58.89,59.37,58.03,59.3,215300.0
2007-02-23,44.66,59.1,59.17,58.24,58.95,185400.0
2007-02-26,44.91,59.43,59.81,58.76,59.5,470200.0
2007-02-27,43.19,57.15,59.89,54.85,54.85,860000.0
2007-02-28,41.84,55.37,57.28,54.28,57.15,638200.0
2007-03-01,41.61,55.06,55.58,51.57,54.15,565400.0
2007-03-02,40.64,53.78,54.99,52.94,54.81,424400.0
2007-03-05,39.51,52.28,54.0,52.28,53.05,321500.0
