,Adj Close,Close,High,Low,Open,Volume
2007-01-03,42.21,53.33,54.18,52.99,53.4,16028200.0
2007-01-04,42.48,53.67,53.89,53.05,53.33,13175000.0
2007-01-05,42.14,53.24,53.59,53.03,53.59,10205000.0
2007-01-08,42.31,53.45,53.64,52.8,53.46,9685900.0
2007-01-09,42.35,53.5,53.71,52.97,53.6,12546500.0
2007-01-10,42.41,53.58,53.7,53.16,53.26,10083900.0
2007-01-11,42.16,53.26,53.65,53.18,53.5,14645200.0
2007-01-12,42.25,53.38,53.6,53.24,53.24,13012400.0
2007-01-16,42.3,53.44,53.53,53.31,53.46,12006200.0
2007-01-17,42.21,53.32,53.71,53.15,53.5,12746800.0
2007-01-18,42.18,53.29,53.55,53.21,53.45,10111100.0
2007-01-19,42.42,53.59,53.64,53.25,53.46,12794000.0
2007-01-22,42.47,53.65,54.05,53.54,53.64,15563000.0
2007-01-23,42.21,53.32,53.52,52.9,53.25,17367300.0
2007-01-24,42.11,53.2,53.48,52.56,53.47,25262700.0
2007-01-25,41.48,52.4,53.22,52.34,53.2,20091400.0
2007-01-26,41.19,52.04,52.8,51.72,52.52,22715300.0
2007-01-29,40.73,51.46,52.25,51.35,51.99,22157900.0
2007-01-30,41.26,52.12,52.13,51.36,51.52,17991300.0
2007-01-31,41.62,52.58,52.8,51.85,52.0,19232300.0
2007-02-01,41.83,52.84,52.97,52.65,52.76,12647800.0
2007-02-02,41.75,52.74,53.16,52.73,52.83,12651800.0
2007-02-05,41.86,52.88,53.12,52.37,52.74,11112400.0
2007-02-06,42.12,53.21,53.33,52.75,52.77,13702200.0
2007-02-07,42.24,53.36,53.49,53.25,53.35,9509500.0
2007-02-08,42.21,53.32,53.39,53.0,53.35,13669800.0
2007-02-09,41.94,52.99,53.5,52.66,53.32,11423700.0
2007-02-12,41.98,53.04,53.31,52.98,53.2,10685400.0
2007-02-13,42.53,53.73,53.79,53.09,53.09,10682100.0
2007-02-14,42.78,54.05,54.17,53.57,53.76,12189700.0
2007-02-15,42.62,53.85,54.21,53.7,54.08,16916400.0
2007-02-16,42.78,54.05,54.07,53.6,53.64,10815700.0
2007-02-20,42.78,54.05,54.17,53.71,53.87,9998000.0
2007-02-21,42.67,53.91,53.97,53.71,53.75,11771600.0
2007-02-22,42.51,53.7,54.1,53.49,53.85,10215100.0
2007-02-23,41.84,52.86,53.74,52.78,53.28,16807800.0
2007-02-26,41.79,52.79,53.15,52.6,53.09,16356500.0
2007-02-27,40.21,50.8,52.61,49.0,52.2,31633500.0
2007-02-28,40.68,50.83,51.5,50.36,50.87,27398400.0
2007-03-01,40.32,50.38,50.9,49.8,50.25,25006600.0
2007-03-02,40.03,50.01,50.34,49.82,50.1,17183400.0
2007-03-05,39.73,49.64,50.28,49.56,49.6,18612500.0
2007-03-06,40.77,50.94,51.09,50.1,50.1,16716600.0
2007-03-07,40.49,50.59,51.1,50.41,51.03,14548500.0
2007-03-08,40.63,50.77,51.33,50.59,50.88,13333900.0
2007-03-09,40.78,50.95,51.21,50.67,51.15,10723700.0
2007-03-12,40.89,51.09,51.18,50.7,50.95,10574300.0
2007-03-13,39.59,49.46,51.08,49.26,51.08,25463400.0
2007-03-14,39.83,49.77,49.92,48.36,49.52,25008800.0
2007-03-15,40.1,50.1,50.82,49.54,49.63,19655200.0
2007-03-16,39.71,49.62,50.47,49.5,50.27,21922100.0
2007-03-19,40.31,50.37,50.39,49.35,49.8,12994400.0
2007-03-20,40.63,50.76,50.83,50.31,50.37,10061800.0
2007-03-21,41.51,51.86,52.0,50.58,50.78,21716000.0
2007-03-22,41.33,51.64,52.15,51.41,51.98,20661200.0
2007-03-23,41.37,51.69,52.0,51.41,51.7,13102700.0
2007-03-26,41.27,51.56,51.71,50.92,51.7,13472600.0
2007-03-27,41.49,51.84,52.0,51.35,51.56,20025700.0
2007-03-28,40.63,50.77,51.48,50.5,51.44,19919100.0
2007-03-29,40.97,51.19,51.25,50.68,51.02,13947300.0
2007-03-30,40.83,51.02,51.41,50.28,51.17,16151700.0
2007-04-02,40.36,50.43,51.25,50.12,51.2,16943000.0
2007-04-03,40.71,50.86,50.89,50.46,50.6,13101600.0
2007-04-04,40.73,50.89,51.03,50.59,50.94,11108100.0
2007-04-05,40.7,50.85,50.92,50.38,50.73,10748700.0
2007-04-09,40.71,50.86,50.96,50.52,50.9,9290300.0
2007-04-10,40.87,51.07,51.18,50.81,50.94,10498700.0
2007-04-11,40.43,50.51,51.07,50.31,51.07,15268300.0
2007-04-12,40.24,50.28,50.52,50.06,50.52,12953900.0
2007-04-13,40.35,50.42,50.58,50.15,50.44,12906200.0
2007-04-16,41.0,51.23,51.68,50.75,50.8,18774400.0
2007-04-17,41.06,51.3,51.5,51.09,51.3,13395400.0
2007-04-18,41.47,51.82,52.2,51.25,51.43,19115500.0
2007-04-19,40.75,50.91,51.39,50.73,51.34,25404800.0
2007-04-20,40.85,51.04,51.3,50.33,51.3,29384700.0
2007-04-23,40.43,50.51,51.29,50.32,51.04,22349400.0
2007-04-24,40.51,50.62,50.9,50.25,50.65,15076800.0
2007-04-25,41.0,51.23,51.24,50.5,50.84,16116700.0
2007-04-26,40.59,50.72,51.17,50.65,51.0,14693900.0
2007-04-27,40.63,50.77,50.85,50.4,50.72,15118100.0
2007-04-30,40.74,50.9,51.22,50.77,50.93,19515200.0
2007-05-01,40.76,50.93,51.25,50.67,51.0,14725300.0
2007-05-02,40.83,51.01,51.19,50.92,51.02,11477800.0
2007-05-03,41.0,51.23,51.58,51.1,51.22,12718400.0
2007-05-04,41.01,51.24,51.56,51.09,51.5,13558200.0
2007-05-07,41.15,51.42,51.56,51.28,51.48,11593100.0
2007-05-08,41.14,51.4,51.49,51.09,51.28,10795300.0
2007-05-09,41.18,51.45,51.63,51.19,51.32,16584300.0
2007-05-10,40.48,50.58,51.47,50.54,51.45,17866500.0
2007-05-11,40.78,50.95,51.09,50.62,50.82,11040500.0
2007-05-14,40.64,50.78,51.15,50.56,51.03,16609200.0
2007-05-15,40.77,50.94,51.39,50.92,50.99,15653600.0
2007-05-16,40.91,51.12,51.42,50.86,51.34,18972400.0
2007-05-17,40.92,51.13,51.25,50.87,51.15,14744800.0
2007-05-18,41.04,51.28,51.37,51.11,51.32,14634500.0
2007-05-21,41.0,51.23,51.35,51.07,51.3,14297800.0
2007-05-22,41.22,51.5,51.62,51.17,51.21,16403900.0
2007-05-23,41.1,51.35,51.9,51.33,51.7,13478000.0
2007-05-24,40.86,51.05,51.74,50.96,51.7,17259600.0
2007-05-25,40.98,51.2,51.25,50.79,51.2,11556400.0
2007-05-29,40.97,51.19,51.5,51.16,51.23,14373200.0
2007-05-30,41.12,50.81,51.19,50.49,50.65,16051700.0
2007-05-31,41.04,50.71,51.04,50.47,50.96,15938900.0
2007-06-01,41.09,50.78,50.99,50.48,50.75,14293500.0
2007-06-04,41.15,50.85,50.92,50.62,50.78,12758700.0
2007-06-05,40.99,50.66,50.8,50.55,50.78,12630000.0
2007-06-06,40.73,50.33,50.65,50.26,50.5,14588700.0
2007-06-07,40.29,49.79,50.5,49.74,50.3,21053100.0
2007-06-08,40.67,50.26,50.28,49.56,49.92,18402800.0
2007-06-11,40.5,50.05,50.29,49.81,50.1,13209900.0
2007-06-12,40.19,49.66,50.1,49.65,49.85,16877600.0
2007-06-13,40.75,50.36,50.38,49.75,50.0,19863000.0
2007-06-14,40.53,50.08,50.45,50.0,50.36,17525600.0
2007-06-15,40.53,50.08,50.38,49.99,50.17,27194200.0
2007-06-18,40.39,49.91,50.14,49.83,50.01,13196100.0
2007-06-19,40.91,50.55,50.83,50.15,50.17,25301000.0
2007-06-20,40.44,49.98,50.8,49.94,50.7,21505400.0
2007-06-21,40.37,49.89,50.13,49.71,50.02,19282200.0
2007-06-22,39.61,48.95,49.89,48.95,49.84,35893600.0
2007-06-25,39.53,48.85,49.48,48.66,49.18,20984900.0
2007-06-26,39.49,48.8,49.4,48.8,49.15,21003400.0
2007-06-27,39.81,49.19,49.2,48.55,48.79,16095400.0
2007-06-28,39.72,49.09,49.46,48.76,49.23,15200500.0
2007-06-29,39.56,48.89,49.35,48.59,49.23,19179000.0
2007-07-02,39.91,49.32,49.35,48.98,49.15,11098100.0
2007-07-03,40.1,49.55,49.7,49.24,49.49,8331400.0
