,Adj Close,Close,High,Low,Open,Volume
2007-01-03,34.34,38.29,38.64,37.79,38.37,4895200.0
2007-01-04,34.78,38.78,38.97,37.94,38.22,4303700.0
2007-01-05,34.86,38.87,38.97,38.68,38.82,3051900.0
2007-01-08,35.62,39.71,40.1,39.4,39.95,5415100.0
2007-01-09,35.92,40.05,40.33,39.62,39.62,3804200.0
2007-01-10,36.14,40.29,40.31,39.82,40.05,2110500.0
2007-01-11,36.92,41.16,41.32,40.43,40.52,4237900.0
2007-01-12,37.3,41.59,41.67,41.0,41.08,3136200.0
2007-01-16,37.65,41.98,42.0,41.54,41.76,2011200.0
2007-01-17,37.68,42.01,42.16,41.8,41.99,2954000.0
2007-01-18,37.81,42.16,42.38,41.87,41.96,2969600.0
2007-01-19,37.61,41.93,42.28,41.82,42.16,2700000.0
2007-01-22,37.19,41.46,41.91,41.11,41.82,2380000.0
2007-01-23,36.95,41.2,41.61,41.03,41.47,2359400.0
2007-01-24,37.26,41.54,41.61,41.16,41.33,1797600.0
2007-01-25,36.62,40.83,41.35,40.68,41.25,2443000.0
2007-01-26,36.5,40.7,41.09,40.45,40.97,2363700.0
2007-01-29,36.95,41.2,41.44,40.34,40.45,2391400.0
2007-01-30,36.81,41.04,41.4,40.93,41.34,1613700.0
2007-01-31,37.84,42.19,42.33,40.93,41.17,2748600.0
2007-02-01,37.59,41.91,42.54,41.75,42.13,2600600.0
2007-02-02,37.51,41.82,42.06,41.55,41.88,1549900.0
2007-02-05,37.02,41.28,41.99,41.21,41.73,1798600.0
2007-02-06,37.6,41.92,42.0,41.19,41.52,2072900.0
2007-02-07,37.61,41.93,42.34,41.46,41.87,1992100.0
2007-02-08,37.86,42.21,42.32,41.84,41.84,1568600.0
2007-02-09,37.54,41.86,42.3,41.65,42.3,2167600.0
2007-02-12,37.55,41.87,41.95,41.5,41.81,1435000.0
2007-02-13,37.84,42.19,42.31,41.79,41.83,1490400.0
2007-02-14,38.53,42.96,43.0,41.91,42.24,2569800.0
2007-02-15,38.57,43.0,43.08,42.5,42.69,1827200.0
2007-02-16,38.21,42.6,43.05,42.5,42.89,1960800.0
2007-02-20,38.55,42.98,43.06,42.16,42.45,1715100.0
2007-02-21,38.25,42.65,42.83,42.48,42.78,1781200.0
2007-02-22,38.58,43.02,43.02,42.57,42.78,1350000.0
2007-02-23,38.18,42.57,43.32,42.39,43.13,1606800.0
2007-02-26,38.07,42.45,42.81,42.12,42.72,1307900.0
2007-02-27,36.41,40.6,41.54,40.1,41.35,4399700.0
2007-02-28,35.78,39.89,40.83,39.87,40.57,3554600.0
2007-03-01,35.66,39.76,40.36,38.71,39.3,3658700.0
2007-03-02,35.47,39.55,40.18,39.5,39.75,2360600.0
2007-03-05,35.1,39.13,39.5,39.05,39.34,2620400.0
2007-03-06,35.33,39.39,39.49,38.58,38.65,3718000.0
2007-03-07,35.4,39.47,39.65,38.99,39.36,2451200.0
2007-03-08,35.59,39.68,39.93,39.45,39.61,2446800.0
2007-03-09,35.96,40.09,40.18,39.7,40.01,1651800.0
2007-03-12,36.01,40.15,40.3,39.63,40.24,1406300.0
2007-03-13,34.83,38.83,40.15,38.83,40.15,2886500.0
2007-03-14,34.91,38.92,38.99,37.9,38.79,2616500.0
2007-03-15,34.93,38.95,39.2,38.81,38.86,1730900.0
2007-03-16,35.05,39.08,39.26,38.49,38.74,3517900.0
2007-03-19,35.56,39.65,39.76,39.05,39.21,1500400.0
2007-03-20,35.7,39.8,39.88,39.39,39.55,1396300.0
2007-03-21,36.54,40.74,40.74,39.46,39.9,2723900.0
2007-03-22,36.6,40.81,41.18,40.56,40.91,1523800.0
2007-03-23,36.95,41.2,41.36,40.78,40.95,1910400.0
2007-03-26,36.28,40.45,41.1,40.12,41.05,2889700.0
2007-03-27,36.01,40.15,40.44,40.02,40.31,1939700.0
2007-03-28,35.41,39.48,40.17,39.43,40.0,3184600.0
2007-03-29,35.59,39.68,39.74,39.19,39.43,2610200.0
2007-03-30,36.03,40.17,40.27,39.42,39.74,2567400.0
2007-04-02,36.23,40.4,40.48,40.04,40.07,2166900.0
2007-04-03,36.56,40.76,41.18,40.38,40.4,2389500.0
2007-04-04,36.64,40.85,41.16,40.56,40.82,1652000.0
2007-04-05,36.96,41.21,41.38,40.51,40.66,1925500.0
2007-04-09,37.12,41.39,41.77,41.17,41.43,2210000.0
2007-04-10,36.93,41.17,41.55,40.96,41.47,2257600.0
2007-04-11,36.53,40.73,41.44,40.7,41.0,2504200.0
2007-04-12,35.88,40.0,40.37,39.25,39.3,5521200.0
2007-04-13,36.53,40.73,40.75,39.91,39.92,3303200.0
2007-04-16,37.37,41.67,41.68,40.77,40.86,3312800.0
2007-04-17,37.12,41.39,41.88,41.15,41.73,2397400.0
2007-04-18,37.18,41.45,41.77,41.15,41.27,2703500.0
2007-04-19,36.73,40.95,41.28,40.84,41.07,2867200.0
2007-04-20,37.36,41.65,41.75,40.73,41.66,2906400.0
2007-04-23,37.51,41.82,41.9,41.65,41.81,1769100.0
2007-04-24,37.35,41.64,41.82,41.24,41.56,2246400.0
2007-04-25,37.34,41.63,41.83,41.25,41.63,2338000.0
2007-04-26,37.02,41.28,41.51,41.12,41.14,2013100.0
2007-04-27,37.07,41.33,41.44,41.07,41.08,1662600.0
2007-04-30,36.54,40.74,41.5,40.69,41.31,1564100.0
2007-05-01,36.37,40.55,40.99,40.37,40.77,2731200.0
2007-05-02,36.95,41.2,41.39,40.43,40.6,2625700.0
2007-05-03,36.49,40.69,41.3,40.36,41.3,2198200.0
2007-05-04,36.36,40.54,40.82,40.29,40.7,2622500.0
2007-05-07,36.58,40.79,40.97,40.54,40.6,2038600.0
2007-05-08,36.56,40.76,40.89,40.29,40.8,1753300.0
2007-05-09,37.35,41.64,41.74,40.94,41.24,2525500.0
2007-05-10,36.48,40.67,41.69,40.54,41.44,2406900.0
2007-05-11,36.91,41.15,41.19,40.68,40.72,2184500.0
2007-05-14,36.49,40.69,41.29,40.44,41.23,1819800.0
2007-05-15,35.83,39.95,41.05,39.87,40.7,2891000.0
2007-05-16,35.91,40.04,40.2,39.66,40.01,1961800.0
2007-05-17,35.71,39.81,40.0,39.75,39.99,2525000.0
2007-05-18,36.39,40.57,40.66,39.94,39.97,3944900.0
2007-05-21,36.97,41.22,41.31,40.54,40.55,2411900.0
2007-05-22,36.66,40.87,41.07,40.56,40.89,1783500.0
2007-05-23,36.6,40.81,41.24,40.71,40.94,1592700.0
2007-05-24,36.28,40.45,41.21,40.19,40.74,2564700.0
2007-05-25,36.47,40.66,40.81,40.25,40.44,1350300.0
2007-05-29,36.47,40.66,40.7,40.28,40.6,2326300.0
2007-05-30,36.83,41.06,41.06,40.31,40.53,3332700.0
2007-05-31,36.47,40.66,41.2,40.34,41.2,3658700.0
2007-06-01,36.32,40.5,40.81,40.31,40.7,2809500.0
2007-06-04,36.3,40.47,40.95,40.45,40.92,3176200.0
2007-06-05,34.32,38.27,38.6,37.78,37.92,13034900.0
2007-06-06,33.97,37.88,38.11,37.87,38.07,6477900.0
2007-06-07,33.49,37.34,37.94,37.13,37.7,5434900.0
2007-06-08,33.74,37.62,37.87,37.05,37.32,2760900.0
2007-06-11,33.63,37.5,37.66,37.1,37.4,2536200.0
2007-06-12,33.57,37.43,37.86,37.31,37.56,3073500.0
2007-06-13,33.78,37.66,37.76,37.4,37.49,3130000.0
2007-06-14,33.87,37.76,37.82,37.4,37.58,3057200.0
2007-06-15,34.05,37.96,38.2,37.67,38.06,4996200.0
2007-06-18,33.84,37.73,38.01,37.61,37.92,2495100.0
2007-06-19,34.02,37.93,38.03,37.51,37.59,1971400.0
2007-06-20,33.62,37.48,38.04,37.43,37.93,3012700.0
2007-06-21,33.69,37.56,37.6,37.09,37.48,3499500.0
2007-06-22,33.31,37.14,37.54,37.05,37.48,3053600.0
2007-06-25,33.2,37.02,37.25,36.87,37.11,3750800.0
2007-06-26,33.14,36.95,37.36,36.83,37.23,2747300.0
2007-06-27,33.69,37.56,37.61,36.57,36.73,4605300.0
2007-06-28,32.37,36.09,36.51,35.65,35.77,17129300.0
2007-06-29,32.28,35.99,36.44,35.85,36.13,8119600.0
2007-07-02,32.37,36.09,36.37,35.85,36.11,3679200.0
2007-07-03,32.33,36.05,36.15,35.95,36.07,1761900.0
2007-07-05,32.71,36.47,36.53,36.05,36.17,2811000.0
2007-07-06,32.93,36.72,36.79,36.27,36.48,2419800.0
2007-07-09,32.79,36.56,36.81,36.45,36.64,4131500.0
2007-07-10,31.88,35.55,36.5,35.44,36.4,6134100.0
2007-07-11,31.97,35.64,35.8,35.38,35.54,5160600.0
2007-07-12,32.54,36.28,36.34,35.64,35.87,3406500.0
2007-07-13,32.52,36.26,36.33,35.94,36.29,2120000.0
2007-07-16,32.28,35.99,36.23,35.86,36.2,2040700.0
2007-07-17,32.18,35.88,36.14,35.86,36.1,2120700.0
2007-07-18,32.28,35.99,36.09,35.81,35.83,3723200.0
2007-07-19,32.6,36.35,36.4,35.91,36.32,2703900.0
2007-07-20,33.03,36.83,37.09,36.15,36.58,5591300.0
2007-07-23,32.57,36.31,37.2,36.2,36.85,3219500.0
2007-07-24,31.97,35.65,36.75,35.44,36.31,5291200.0
2007-07-25,31.8,35.46,35.95,35.28,35.65,2961000.0
2007-07-26,31.44,35.05,35.53,34.45,35.04,6867100.0
2007-07-27,31.11,34.69,35.25,34.6,35.04,3755500.0
2007-07-30,31.93,35.6,35.7,34.55,34.65,3760000.0
2007-07-31,31.07,34.64,36.0,34.64,35.88,3869100.0
2007-08-01,31.74,35.39,35.42,34.44,34.64,4923100.0
2007-08-02,31.92,35.59,35.81,35.21,35.48,3148900.0
2007-08-03,30.7,34.23,35.59,34.21,35.49,4232100.0
2007-08-06,31.46,35.08,35.08,33.86,34.4,5368300.0
2007-08-07,31.52,35.14,35.36,34.57,34.79,4666000.0
2007-08-08,32.77,36.54,36.85,35.31,35.41,4586800.0
2007-08-09,32.05,35.73,36.99,35.01,36.21,5640000.0
2007-08-10,31.71,35.36,36.56,35.1,35.93,3701300.0
2007-08-13,31.15,34.73,35.45,34.67,35.01,3126700.0
2007-08-14,30.41,33.91,34.76,33.71,34.64,3541200.0
2007-08-15,30.11,33.57,34.36,33.46,34.03,3656100.0
2007-08-16,30.66,34.19,34.29,32.46,33.42,5328600.0
2007-08-17,30.72,34.25,35.25,33.67,34.99,4597800.0
2007-08-20,30.36,33.85,34.46,33.67,34.14,2538000.0
2007-08-21,31.01,34.58,34.69,33.58,33.58,2549000.0
2007-08-22,30.96,34.52,34.84,34.07,34.73,2712400.0
2007-08-23,30.83,34.37,34.95,34.22,34.54,1992000.0
2007-08-24,31.62,35.26,35.29,34.23,34.23,1804800.0
2007-08-27,31.06,34.63,35.5,34.57,35.2,1709200.0
2007-08-28,29.45,32.83,33.87,32.83,33.6,4285200.0
2007-08-29,31.01,34.57,34.61,33.11,33.36,3677000.0
2007-08-30,30.53,34.04,34.49,33.54,34.37,2650200.0
2007-08-31,31.07,34.64,34.99,33.94,34.52,2035000.0
2007-09-04,30.79,34.33,34.67,34.18,34.51,2353900.0
2007-09-05,30.32,33.81,34.24,33.45,34.08,2693500.0
2007-09-06,29.88,33.31,34.47,33.27,34.01,1954300.0
2007-09-07,29.39,32.77,33.22,32.6,32.85,3441100.0
2007-09-10,29.12,32.47,33.0,32.08,32.73,2978100.0
2007-09-11,29.55,32.95,33.05,32.45,32.72,1948100.0
2007-09-12,29.42,32.8,32.95,32.57,32.75,2015300.0
2007-09-13,29.84,33.27,33.99,32.53,32.87,2468800.0
2007-09-14,29.98,33.43,33.5,32.72,33.09,2968500.0
2007-09-17,29.45,32.84,33.37,32.61,33.25,2483700.0
2007-09-18,31.31,34.91,34.95,32.75,33.09,4229700.0
2007-09-19,31.33,34.93,35.79,34.67,34.95,3233900.0
2007-09-20,30.59,34.11,35.14,34.05,34.9,2787800.0
2007-09-21,29.98,33.43,34.13,33.28,34.03,5586100.0
2007-09-24,31.1,34.67,34.85,33.32,33.43,3105600.0
2007-09-25,29.78,33.2,34.16,32.96,34.16,4910000.0
2007-09-26,30.34,33.83,34.1,33.0,33.5,4439500.0
2007-09-27,30.0,33.45,34.1,33.03,33.95,5516500.0
2007-09-28,30.6,34.12,34.14,33.38,33.49,3155600.0
2007-10-01,31.21,34.8,34.84,33.98,34.15,2676700.0
2007-10-02,31.79,35.44,35.51,34.43,34.73,2848100.0
2007-10-03,31.97,35.65,35.83,34.91,35.41,3228600.0
2007-10-04,31.61,35.24,35.91,35.1,35.73,1755100.0
2007-10-05,32.34,36.06,36.3,35.15,35.41,2546900.0
2007-10-08,31.91,35.58,36.02,35.27,35.92,2216000.0
2007-10-09,31.69,35.33,35.71,35.12,35.58,1881300.0
2007-10-10,31.45,35.07,35.3,34.85,35.2,1907700.0
2007-10-11,31.45,35.06,35.69,34.97,35.16,2335300.0
2007-10-12,31.45,35.06,35.23,34.76,35.16,1486800.0
2007-10-15,30.73,34.26,35.01,33.87,34.84,3001000.0
2007-10-16,30.79,34.33,34.78,34.11,34.3,2765600.0
2007-10-17,30.7,34.23,34.74,33.44,34.52,3287600.0
2007-10-18,30.44,33.94,34.49,33.6,34.21,2461100.0
2007-10-19,29.74,33.16,33.93,33.09,33.93,3552700.0
2007-10-22,29.96,33.4,33.88,32.92,33.09,2490000.0
2007-10-23,29.86,33.29,33.32,32.58,32.85,2658500.0
2007-10-24,29.93,33.37,33.38,32.54,33.02,2279300.0
2007-10-25,29.79,33.21,34.48,32.93,33.8,3046000.0
2007-10-26,30.06,33.52,33.74,32.76,33.56,1896500.0
2007-10-29,30.56,34.07,34.25,33.6,33.6,1769700.0
2007-10-30,30.29,33.77,34.06,33.44,34.0,2960600.0
2007-10-31,30.44,33.94,34.13,33.28,33.95,2087400.0
2007-11-01,29.33,32.7,34.01,32.57,33.57,3027200.0
2007-11-02,29.22,32.58,33.08,32.2,33.03,3476900.0
2007-11-05,28.39,31.65,32.2,31.47,32.12,3429000.0
2007-11-06,28.37,31.63,31.64,30.96,31.21,3935600.0
2007-11-07,27.97,31.19,31.78,30.9,31.0,3032000.0
2007-11-08,28.21,31.45,31.71,30.69,31.0,3429200.0
2007-11-09,27.48,30.64,31.36,30.22,30.88,5417700.0
2007-11-12,27.91,31.12,31.65,30.45,30.71,3800500.0
2007-11-13,29.12,32.47,32.53,31.03,31.2,5101500.0
2007-11-14,28.42,31.69,32.54,31.47,32.21,4240900.0
2007-11-15,28.32,31.58,32.16,31.43,31.64,3070400.0
2007-11-16,28.17,31.41,31.93,31.1,31.83,3398200.0
2007-11-19,27.64,30.82,31.48,30.52,31.42,3295100.0
2007-11-20,27.27,30.4,31.13,29.68,30.93,4867000.0
2007-11-21,27.14,30.26,30.66,29.95,30.36,3302200.0
2007-11-23,27.46,30.62,30.78,30.3,30.35,1066400.0
2007-11-26,26.27,29.29,30.65,29.27,30.41,3678000.0
2007-11-27,26.58,29.63,29.93,29.16,29.41,3910800.0
2007-11-28,27.16,30.28,31.22,29.81,29.81,4977500.0
2007-11-29,27.43,30.58,30.66,29.99,30.38,2937200.0
2007-11-30,28.21,31.45,31.56,30.66,30.98,4071800.0
2007-12-03,28.08,31.31,31.61,31.13,31.13,2777900.0
2007-12-04,28.1,31.33,31.44,30.15,30.97,2778700.0
2007-12-05,28.69,31.99,32.05,31.38,31.75,3200300.0
2007-12-06,28.87,32.19,32.3,31.55,31.86,2332400.0
2007-12-07,29.01,32.34,32.44,31.95,32.09,2351500.0
2007-12-10,29.36,32.73,32.77,32.05,32.38,2094100.0
2007-12-11,27.67,30.85,32.75,30.71,32.67,5463600.0
2007-12-12,27.27,30.4,31.77,30.0,31.53,5566900.0
2007-12-13,27.23,30.36,30.72,30.0,30.29,3306600.0
2007-12-14,26.47,29.51,30.14,29.44,29.97,2921300.0
2007-12-17,26.33,29.36,29.94,29.18,29.36,4280900.0
2007-12-18,26.88,29.97,30.05,29.36,29.54,3730100.0
2007-12-19,26.34,29.37,30.11,29.29,29.87,3607000.0
2007-12-20,26.14,29.14,29.59,27.96,29.54,3918700.0
2007-12-21,26.14,29.15,29.6,29.06,29.53,5215900.0
2007-12-24,26.87,29.96,30.09,29.3,29.46,2736000.0
2007-12-26,26.4,29.43,30.12,29.16,30.12,2429100.0
2007-12-27,26.05,29.04,29.46,28.82,29.12,3870100.0
2007-12-28,26.11,29.11,29.25,28.8,29.12,3518100.0
2007-12-31,26.36,29.39,29.51,28.75,28.75,4855100.0
2008-01-02,25.44,28.36,29.43,28.0,29.27,6500500.0
2008-01-03,24.58,27.4,28.46,27.07,27.95,8730300.0
2008-01-04,23.49,26.19,26.54,24.49,25.12,18904600.0
2008-01-07,23.62,26.34,26.66,25.86,26.59,7800100.0
2008-01-08,23.31,25.99,26.93,25.97,26.35,8469900.0
2008-01-09,23.54,26.25,26.28,25.57,26.12,6081900.0
2008-01-10,23.89,26.64,27.01,25.75,26.02,6798900.0
2008-01-11,23.44,26.14,26.63,25.82,26.45,5906600.0
2008-01-14,23.91,26.66,26.99,26.11,26.68,5805500.0
2008-01-15,23.15,25.81,26.1,25.28,25.99,6721800.0
2008-01-16,24.08,26.85,27.33,25.9,25.9,7010400.0
2008-01-17,24.09,26.86,27.62,26.63,27.17,6344400.0
2008-01-18,24.26,27.05,27.77,26.66,26.66,8348600.0
2008-01-22,26.24,29.26,29.97,26.09,26.09,14650800.0
2008-01-23,28.14,31.38,31.46,28.44,28.45,9556800.0
2008-01-24,27.55,30.72,31.67,29.97,31.46,7704800.0
2008-01-25,26.33,29.36,31.29,29.14,31.04,5577100.0
2008-01-28,27.49,30.65,30.69,28.86,29.11,4999000.0
2008-01-29,28.01,31.23,31.3,30.05,30.86,4569100.0
2008-01-30,27.73,30.92,31.74,30.77,31.16,5636300.0
2008-01-31,28.88,32.2,32.84,30.06,30.49,7249400.0
2008-02-01,29.04,32.38,32.6,31.71,32.15,6163600.0
2008-02-04,27.57,30.74,32.4,30.64,32.4,5245500.0
2008-02-05,26.52,29.57,30.67,29.44,30.1,5188100.0
2008-02-06,26.05,29.04,30.73,28.98,29.81,4903100.0
2008-02-07,27.26,30.39,30.67,28.99,28.99,6949700.0
2008-02-08,26.8,29.88,30.58,29.38,30.27,3546100.0
2008-02-11,27.4,30.55,30.65,29.51,30.0,3432500.0
2008-02-12,27.55,30.72,31.42,30.4,30.89,6477200.0
2008-02-13,27.64,30.82,31.39,30.61,31.07,2881700.0
2008-02-14,26.83,29.91,30.93,29.63,30.89,4711400.0
2008-02-15,26.23,29.25,29.79,28.97,29.75,5773400.0
2008-02-19,25.15,28.04,28.86,27.91,28.67,4999200.0
2008-02-20,26.14,29.15,29.5,27.75,27.75,5180700.0
2008-02-21,25.38,28.3,29.33,28.25,29.2,3682700.0
2008-02-22,25.97,28.95,28.95,28.14,28.58,3615300.0
2008-02-25,26.38,29.41,29.56,28.21,29.0,4710100.0
2008-02-26,27.3,30.44,30.51,29.36,29.53,4096600.0
2008-02-27,27.37,30.52,31.24,30.15,30.35,4461200.0
2008-02-28,26.36,29.39,30.28,29.25,30.28,3308700.0
2008-02-29,25.42,28.34,29.25,28.21,29.0,4695500.0
2008-03-03,25.84,28.81,29.19,27.88,28.41,3626800.0
2008-03-04,26.14,29.14,29.16,28.25,28.57,3833900.0
2008-03-05,25.86,28.83,29.91,28.69,29.26,4120500.0
2008-03-06,24.94,27.81,28.68,27.79,28.67,4484900.0
2008-03-07,24.27,27.06,27.95,26.81,27.67,6538600.0
2008-03-10,24.04,26.8,27.46,26.66,27.05,4264400.0
2008-03-11,25.7,28.65,28.65,27.21,27.31,6718400.0
2008-03-12,25.56,28.5,29.25,28.19,28.89,5937900.0
2008-03-13,25.61,28.55,29.17,27.57,28.03,6499000.0
2008-03-14,25.88,28.86,29.1,27.01,28.17,9543200.0
2008-03-17,25.85,28.82,29.31,27.77,27.95,7338900.0
2008-03-18,27.85,31.05,31.28,28.91,29.13,9173600.0
2008-03-19,27.48,30.64,32.31,30.64,31.37,8675900.0
2008-03-20,27.95,31.16,31.39,30.34,30.47,7857100.0
2008-03-24,28.66,31.95,32.14,31.02,31.25,6601200.0
2008-03-25,28.3,31.55,31.84,30.98,31.75,4812600.0
2008-03-26,28.09,31.32,31.55,30.89,31.47,3981200.0
2008-03-27,27.01,30.12,31.22,30.12,31.17,5297500.0
2008-03-28,26.11,29.11,29.58,28.28,28.82,8209800.0
2008-03-31,26.46,29.5,29.88,28.65,29.33,4081200.0
2008-04-01,28.05,31.27,31.29,29.75,29.98,5827200.0
2008-04-02,28.25,31.5,31.93,31.25,31.33,5062000.0
2008-04-03,28.28,31.53,31.7,30.84,31.69,5153600.0
2008-04-04,28.34,31.6,31.79,31.04,31.4,6220900.0
2008-04-07,27.9,31.11,31.89,31.02,31.89,4290500.0
2008-04-08,27.74,30.93,31.87,30.42,30.92,8335600.0
2008-04-09,26.43,29.47,30.82,29.24,30.18,11938900.0
2008-04-10,26.61,29.67,30.42,28.4,28.45,16627600.0
2008-04-11,27.11,30.23,30.78,29.13,29.31,14835400.0
