,Adj Close,Close,High,Low,Open,Volume
2007-01-03,28.09,44.0,44.3,43.63,43.68,1810200.0
2007-01-04,27.87,43.66,43.97,43.3,43.86,1855100.0
2007-01-05,27.5,43.08,43.66,42.99,43.66,1529100.0
2007-01-08,27.39,42.91,43.06,42.49,43.0,1156900.0
2007-01-09,27.34,42.83,43.16,42.58,42.9,1536000.0
2007-01-10,27.48,42.63,42.7,42.4,42.51,1385800.0
2007-01-11,27.71,42.98,43.09,42.61,42.78,1471000.0
2007-01-12,27.48,42.62,42.95,42.5,42.95,1338300.0
2007-01-16,27.61,42.82,42.85,42.5,42.64,1395500.0
2007-01-17,27.55,42.74,42.98,42.51,42.94,1659300.0
2007-01-18,27.84,43.18,43.59,42.75,43.0,1695000.0
2007-01-19,27.57,42.77,43.4,42.62,43.38,1553200.0
2007-01-22,27.56,42.75,42.91,42.51,42.64,1102400.0
2007-01-23,27.58,42.78,42.9,42.55,42.82,854300.0
2007-01-24,27.72,43.0,43.0,42.71,42.77,992200.0
2007-01-25,27.21,42.21,43.11,42.18,43.11,1585300.0
2007-01-26,27.2,42.19,42.33,41.92,42.13,1230400.0
2007-01-29,27.11,42.05,42.34,41.97,42.25,1419300.0
2007-01-30,27.18,42.16,42.21,41.94,42.12,1123400.0
2007-01-31,27.24,42.26,42.33,41.97,42.24,1639600.0
2007-02-01,27.48,42.63,42.81,42.37,42.72,2221600.0
2007-02-02,27.41,42.51,42.85,42.47,42.75,1829900.0
2007-02-05,27.49,42.64,42.78,42.39,42.48,1937500.0
2007-02-06,27.61,42.83,43.0,42.68,42.72,1164400.0
2007-02-07,27.64,42.88,42.98,42.75,42.76,1034700.0
2007-02-08,27.62,42.85,42.98,42.6,42.78,1070300.0
2007-02-09,27.6,42.81,43.11,42.7,42.96,1602800.0
2007-02-12,27.79,43.1,43.21,42.82,42.91,1401600.0
2007-02-13,28.11,43.6,43.6,42.94,43.19,1659700.0
2007-02-14,28.24,43.8,43.98,43.43,43.62,1374900.0
2007-02-15,28.2,43.75,43.99,43.69,43.85,1499700.0
2007-02-16,28.26,43.84,44.08,43.7,43.75,1391300.0
