,Adj Close,Close,High,Low,Open,Volume
2007-01-03,56.31,70.43,71.11,70.11,70.54,1490900.0
2007-01-04,55.85,69.85,70.58,69.75,70.25,1463200.0
2007-01-05,55.97,70.0,70.22,69.3,69.65,1519300.0
2007-01-08,56.33,70.45,70.71,69.84,70.16,1102200.0
2007-01-09,56.95,71.23,71.38,70.52,70.58,1378500.0
2007-01-10,57.37,71.76,71.92,70.82,71.23,1365600.0
2007-01-11,57.75,72.23,72.44,71.76,71.76,1259700.0
2007-01-12,57.54,71.97,72.1,71.57,71.9,789700.0
2007-01-16,58.0,72.54,72.56,71.76,71.9,1028600.0
2007-01-17,58.17,72.75,73.31,72.12,72.55,863600.0
2007-01-18,59.07,73.88,74.65,72.66,74.65,996100.0
2007-01-19,59.16,73.99,74.69,73.61,74.2,1162100.0
2007-01-22,58.73,73.46,74.23,73.28,73.99,1378200.0
2007-01-23,59.09,73.91,74.0,73.15,73.45,811300.0
2007-01-24,60.08,75.15,75.25,73.96,74.14,1269800.0
2007-01-25,59.65,74.61,75.5,73.79,75.15,1547200.0
2007-01-26,59.55,74.48,74.69,74.05,74.2,1370800.0
2007-01-29,59.73,74.71,74.99,74.07,74.17,1910000.0
2007-01-30,61.44,76.85,77.1,74.27,75.0,2256400.0
2007-01-31,61.52,76.94,77.3,76.08,76.6,1703700.0
2007-02-01,61.89,77.41,77.51,76.94,77.48,1717600.0
2007-02-02,61.67,77.13,77.52,76.96,76.98,1113500.0
2007-02-05,61.84,77.35,77.53,76.95,77.22,1315300.0
2007-02-06,62.07,77.63,78.0,77.28,77.56,1274000.0
2007-02-07,62.32,77.95,78.22,77.2,77.53,1000900.0
2007-02-08,62.47,78.14,78.83,77.95,78.18,1481800.0
2007-02-09,61.96,77.5,78.33,77.33,78.32,996500.0
2007-02-12,61.4,76.8,77.66,76.79,77.51,1220900.0
2007-02-13,61.41,76.81,77.06,76.6,76.9,834100.0
2007-02-14,61.85,77.36,77.71,76.93,77.01,904100.0
2007-02-15,61.93,77.46,77.53,77.01,77.4,643900.0
2007-02-16,62.31,77.93,78.2,77.24,77.86,952700.0
2007-02-20,61.96,77.5,78.5,77.34,78.11,1186700.0
2007-02-21,61.89,77.41,77.55,77.06,77.1,1113600.0
2007-02-22,61.92,77.45,77.57,77.28,77.43,1324000.0
2007-02-23,62.03,77.58,77.74,77.38,77.5,976700.0
2007-02-26,61.73,77.21,77.78,77.08,77.59,1065900.0
2007-02-27,59.8,74.79,77.25,74.6,77.08,1901900.0
2007-02-28,60.72,75.95,76.47,74.79,74.79,1769800.0
2007-03-01,60.62,75.82,76.11,74.83,75.19,1334900.0
2007-03-02,59.86,74.87,75.82,74.86,75.82,1059000.0
2007-03-05,59.15,73.98,75.13,73.96,74.45,1162800.0
2007-03-06,59.58,74.52,74.61,74.14,74.22,772300.0
2007-03-07,59.48,74.15,74.57,74.02,74.26,774600.0
2007-03-08,60.1,74.92,75.39,74.42,74.65,720800.0
2007-03-09,60.16,75.0,75.37,74.7,75.2,782000.0
2007-03-12,59.77,74.51,74.89,74.39,74.5,1103300.0
2007-03-13,58.94,73.48,74.18,73.4,74.15,1291900.0
2007-03-14,59.8,74.55,74.66,73.29,73.65,1278300.0
2007-03-15,59.79,74.54,74.96,74.3,74.38,1276500.0
2007-03-16,59.68,74.4,74.87,74.21,74.8,1577800.0
2007-03-19,60.05,74.86,75.16,74.53,75.16,679800.0
2007-03-20,60.26,75.12,75.19,74.51,74.89,632000.0
2007-03-21,60.91,75.93,75.94,74.25,75.05,872000.0
2007-03-22,60.85,75.86,76.0,75.42,75.85,695500.0
2007-03-23,60.46,75.37,75.86,75.25,75.7,529000.0
2007-03-26,60.43,75.34,75.5,74.69,75.29,662300.0
2007-03-27,60.43,75.33,75.72,74.7,75.0,603700.0
2007-03-28,60.29,75.16,75.63,74.6,75.2,656100.0
2007-03-29,61.05,76.11,76.23,75.51,75.6,1019800.0
2007-03-30,61.68,76.89,77.02,76.03,76.2,1413600.0
2007-04-02,62.49,77.9,78.13,76.89,77.0,1575100.0
2007-04-03,63.28,78.89,79.14,78.03,78.03,1547400.0
2007-04-04,63.29,78.9,79.25,78.63,79.05,995400.0
2007-04-05,62.91,78.42,79.0,77.4,78.06,1311300.0
2007-04-09,62.49,77.9,78.51,77.8,78.42,608400.0
2007-04-10,62.51,77.93,78.17,77.72,78.05,690000.0
2007-04-11,62.79,78.27,78.49,77.25,77.81,995400.0
2007-04-12,62.94,78.46,78.78,78.08,78.34,674600.0
2007-04-13,62.79,78.28,78.85,78.13,78.46,688400.0
2007-04-16,63.17,78.75,78.86,78.29,78.41,485800.0
2007-04-17,63.06,78.61,78.9,78.59,78.9,624200.0
2007-04-18,62.61,78.05,78.58,77.71,78.5,859600.0
2007-04-19,62.58,78.02,78.38,77.41,77.7,636500.0
2007-04-20,63.41,79.05,79.25,78.39,78.8,1158100.0
2007-04-23,62.96,78.49,79.1,78.32,78.88,714300.0
2007-04-24,62.66,78.11,78.47,77.87,78.45,716200.0
2007-04-25,62.99,78.53,80.0,78.53,79.77,1122100.0
2007-04-26,62.5,77.91,79.0,77.5,78.1,1142300.0
2007-04-27,63.1,78.66,78.96,77.4,77.55,1311400.0
2007-04-30,63.12,78.69,78.99,78.31,78.5,949900.0
