,Adj Close,Close,High,Low,Open,Volume
2007-01-03,112.49,155.12,158.41,152.9,152.9,243200.0
2007-01-04,113.7,156.79,157.83,153.5,155.25,248600.0
2007-01-05,113.67,156.75,157.51,156.12,156.8,165500.0
2007-01-08,115.77,159.64,159.79,156.6,158.0,260600.0
2007-01-09,116.5,160.65,161.35,159.67,160.0,243200.0
2007-01-10,119.58,164.9,164.92,158.9,160.45,293800.0
2007-01-11,121.85,168.02,168.39,164.9,165.05,313500.0
2007-01-12,125.09,172.5,173.89,167.02,167.02,427900.0
2007-01-16,124.34,171.46,173.49,169.31,173.0,333200.0
2007-01-17,125.6,173.19,175.1,171.31,171.98,210900.0
2007-01-18,123.33,170.06,173.9,169.42,173.69,305700.0
2007-01-19,123.05,169.68,170.6,168.88,170.6,159100.0
2007-01-22,122.76,169.28,170.56,168.6,169.9,219600.0
2007-01-23,127.74,176.15,176.9,168.7,175.0,786900.0
2007-01-24,124.73,171.99,173.06,166.62,171.16,1242700.0
2007-01-25,123.06,169.7,172.9,168.9,171.9,390900.0
2007-01-26,122.68,169.17,170.0,167.51,169.02,303800.0
2007-01-29,122.25,168.58,171.37,168.16,170.67,198000.0
2007-01-30,121.92,168.12,169.06,165.66,168.83,428000.0
2007-01-31,121.66,167.76,168.78,166.0,166.25,214700.0
2007-02-01,122.79,169.32,170.98,167.98,169.5,303700.0
2007-02-02,122.61,169.08,170.0,168.15,169.32,183600.0
2007-02-05,123.75,170.65,171.26,169.42,169.89,293000.0
2007-02-06,123.86,170.8,171.16,169.61,170.01,157900.0
2007-02-07,125.12,172.54,172.73,171.18,171.95,243800.0
2007-02-08,125.78,173.44,174.59,173.05,173.05,326700.0
2007-02-09,125.95,173.68,180.3,172.7,176.86,324700.0
2007-02-12,124.24,171.32,173.42,170.1,173.02,314700.0
2007-02-13,123.65,170.51,172.6,170.07,172.0,183200.0
2007-02-14,124.83,172.14,174.36,170.26,170.26,466400.0
2007-02-15,127.34,175.59,176.11,170.75,171.9,419900.0
2007-02-16,125.85,173.54,176.6,172.6,176.08,179300.0
2007-02-20,126.18,174.0,175.0,172.85,173.9,219000.0
2007-02-21,125.2,172.64,173.95,172.55,173.35,188800.0
2007-02-22,126.92,175.01,175.9,173.72,174.6,304300.0
2007-02-23,126.44,174.35,175.17,173.68,175.02,214300.0
2007-02-26,121.53,167.58,174.75,166.8,174.35,427700.0
2007-02-27,118.23,163.04,167.25,159.4,167.25,283800.0
2007-02-28,115.49,159.25,163.8,158.28,163.8,515800.0
2007-03-01,114.97,158.54,159.74,154.29,158.0,258000.0
2007-03-02,112.91,155.7,158.2,155.2,158.0,218300.0
2007-03-05,111.08,152.51,155.54,152.19,154.52,235200.0
2007-03-06,112.96,155.09,155.89,153.45,154.25,326000.0
2007-03-07,113.47,155.8,157.45,154.65,154.91,246400.0
2007-03-08,114.75,157.56,159.4,156.05,156.05,216600.0
2007-03-09,115.53,158.62,159.59,157.4,158.18,169900.0
2007-03-12,116.03,159.31,159.62,157.78,158.63,228100.0
2007-03-13,111.7,153.36,159.49,153.18,159.31,272100.0
2007-03-14,111.87,153.6,154.72,151.32,153.35,308300.0
2007-03-15,113.56,155.92,157.03,152.73,152.73,212600.0
2007-03-16,113.67,156.07,158.09,155.83,156.82,174400.0
2007-03-19,115.3,158.31,158.52,156.07,156.07,154900.0
2007-03-20,112.4,154.33,159.14,154.08,159.14,491700.0
2007-03-21,115.39,158.43,158.78,154.41,154.41,329500.0
2007-03-22,115.21,158.18,160.09,157.76,159.69,194600.0
2007-03-23,116.79,160.36,160.39,158.5,159.01,138600.0
2007-03-26,116.19,159.53,161.89,157.92,160.75,164200.0
2007-03-27,115.49,158.57,159.7,158.1,159.65,103800.0
2007-03-28,114.13,156.7,159.5,156.5,159.03,152900.0
2007-03-29,113.63,156.01,158.0,154.52,157.25,146900.0
2007-03-30,113.84,156.31,158.2,155.91,156.4,202200.0
2007-04-02,112.23,154.1,156.47,153.72,156.17,184700.0
2007-04-03,113.63,156.01,156.37,154.75,154.75,153600.0
2007-04-04,113.46,155.78,156.56,155.52,156.01,143700.0
2007-04-05,113.99,156.51,157.0,155.4,155.6,111700.0
2007-04-09,113.16,155.37,157.27,155.18,156.26,211500.0
2007-04-10,115.5,158.59,158.66,155.37,155.37,182200.0
2007-04-11,114.37,157.03,158.26,156.14,158.25,113200.0
2007-04-12,113.99,156.51,157.65,153.72,155.75,288200.0
2007-04-13,114.97,157.86,158.04,156.27,156.87,193800.0
2007-04-16,116.97,160.6,160.94,158.6,158.6,248900.0
2007-04-17,117.69,161.59,162.49,160.55,161.0,201200.0
2007-04-18,116.82,160.39,162.83,160.0,160.9,306300.0
2007-04-19,113.95,156.46,158.0,153.18,158.0,1000600.0
2007-04-20,112.77,154.84,157.91,154.1,157.5,354900.0
2007-04-23,111.21,152.69,155.98,152.11,155.09,346300.0
2007-04-24,111.19,152.66,153.55,150.0,152.39,332800.0
2007-04-25,111.3,152.82,153.59,150.86,153.5,319100.0
2007-04-26,111.37,152.91,161.45,152.79,153.25,288800.0
2007-04-27,110.33,151.49,153.61,150.3,152.91,358200.0
2007-04-30,109.03,149.7,151.56,149.48,151.49,463500.0
2007-05-01,108.41,148.85,150.01,147.5,149.62,385900.0
2007-05-02,108.26,148.65,150.8,147.88,148.28,400900.0
