,Adj Close,Close,High,Low,Open,Volume
2007-01-03,0.3,0.3,0.3,0.3,0.3,4930000.0
2007-01-04,0.29,0.29,0.29,0.29,0.29,1230000.0
2007-01-05,0.29,0.29,0.29,0.29,0.29,1990000.0
2007-01-08,0.29,0.29,0.29,0.28,0.28,260000.0
2007-01-09,0.28,0.28,0.29,0.28,0.29,1260000.0
2007-01-10,46.7857,46.7857,47.3214,46.5179,47.3214,168.0
2007-01-11,0.28,0.28,0.28,0.28,0.28,100000.0
2007-01-12,0.28,0.28,0.28,0.28,0.28,4300000.0
2007-01-16,0.28,0.28,0.28,0.28,0.28,700000.0
2007-01-17,0.27,0.27,0.28,0.27,0.28,650000.0
2007-01-18,0.28,0.28,0.29,0.28,0.28,7790000.0
2007-01-19,0.28,0.28,0.28,0.28,0.28,2080000.0
2007-01-22,0.29,0.29,0.29,0.28,0.28,3630000.0
2007-01-23,0.29,0.29,0.29,0.28,0.28,3170000.0
2007-01-24,51.4509,51.4509,53.3929,51.0714,53.3929,672.0
2007-01-25,0.29,0.29,0.3,0.29,0.3,11900000.0
2007-01-26,0.29,0.29,0.3,0.29,0.29,12660000.0
2007-01-29,0.29,0.29,0.29,0.29,0.29,1200000.0
2007-01-30,0.29,0.29,0.29,0.29,0.29,400000.0
2007-01-31,0.28,0.28,0.28,0.28,0.28,10000.0
2007-02-01,0.29,0.29,0.29,0.28,0.28,10260000.0
2007-02-02,0.29,0.29,0.29,0.29,0.29,3080000.0
2007-02-05,0.3,0.3,0.3,0.29,0.29,8700000.0
2007-02-06,0.3,0.3,0.3,0.3,0.3,2450000.0
2007-02-07,0.29,0.29,0.29,0.29,0.29,3210000.0
2007-02-08,0.29,0.29,0.3,0.29,0.3,2300000.0
2007-02-09,0.29,0.29,0.29,0.29,0.29,2290000.0
2007-02-12,0.3,0.3,0.31,0.29,0.29,14690000.0
2007-02-13,44.9107,44.9107,44.9107,44.9107,44.9107,56.0
2007-02-14,0.3,0.3,0.3,0.3,0.3,910000.0
2007-02-15,0.3,0.3,0.3,0.3,0.3,3240000.0
2007-02-16,0.3,0.3,0.3,0.3,0.3,3460000.0
2007-02-20,0.3,0.3,0.3,0.3,0.3,2180000.0
2007-02-21,0.31,0.31,0.33,0.3,0.3,10950000.0
2007-02-22,0.34,0.34,0.34,0.32,0.32,15510000.0
2007-02-23,0.34,0.34,0.35,0.34,0.34,20130000.0
2007-02-26,0.37,0.37,0.37,0.33,0.36,32950000.0
2007-02-27,0.36,0.36,0.38,0.35,0.38,11840000.0
2007-02-28,0.32,0.32,0.34,0.32,0.34,8750000.0
2007-03-01,0.34,0.34,0.34,0.32,0.33,3690000.0
2007-03-02,0.32,0.32,0.33,0.31,0.33,3340000.0
2007-03-05,0.29,0.29,0.31,0.29,0.31,5990000.0
2007-03-06,54.0179,54.0179,54.9107,53.5714,53.5714,168.0
