,Adj Close,Close,High,Low,Open,Volume
2007-01-03,12.65,14.89,14.97,14.74,14.82,1459600.0
2007-01-04,12.59,14.81,15.01,14.68,14.89,986000.0
2007-01-05,12.44,14.65,14.74,14.59,14.6,740400.0
2007-01-08,12.47,14.68,14.69,14.51,14.62,910800.0
2007-01-09,12.5,14.72,14.73,14.59,14.69,1375200.0
2007-01-10,12.53,14.75,14.76,14.52,14.64,845200.0
2007-01-11,13.86,16.32,16.32,14.69,14.78,9568000.0
2007-01-12,13.64,16.05,16.25,15.91,16.14,3958400.0
2007-01-16,13.78,16.22,16.35,16.0,16.07,2351200.0
2007-01-17,13.79,16.24,16.31,16.08,16.14,1796400.0
2007-01-18,13.75,16.18,16.34,16.03,16.09,963600.0
2007-01-19,13.89,16.35,16.39,16.0,16.04,2962800.0
2007-01-22,14.12,16.62,16.68,16.2,16.29,3346400.0
2007-01-23,14.19,16.7,16.82,16.45,16.5,2943600.0
2007-01-24,14.6,17.19,17.45,17.04,17.36,4064800.0
2007-01-25,14.41,16.97,17.16,16.88,17.09,1805200.0
2007-01-26,14.31,16.84,16.88,16.48,16.73,1862800.0
2007-01-29,14.46,17.02,17.08,16.78,16.87,1420400.0
2007-01-30,14.58,16.99,17.08,16.83,17.08,1168400.0
2007-01-31,14.7,17.14,17.15,16.73,17.02,1392400.0
2007-02-01,14.96,17.44,17.53,17.2,17.2,1973600.0
2007-02-02,14.86,17.32,17.41,17.17,17.39,1478000.0
2007-02-05,14.96,17.43,17.62,17.35,17.49,1748000.0
2007-02-06,15.02,17.5,17.53,17.42,17.43,2258400.0
2007-02-07,15.02,17.5,17.66,17.35,17.48,1717200.0
2007-02-08,15.96,18.6,19.0,17.8,17.83,8866400.0
2007-02-09,16.08,18.74,18.91,18.49,18.6,3989200.0
2007-02-12,15.96,18.6,18.77,18.38,18.67,3013200.0
2007-02-13,16.12,18.78,18.78,18.52,18.61,2292800.0
2007-02-14,16.21,18.9,18.91,18.75,18.78,2608800.0
2007-02-15,16.43,19.15,19.2,18.83,19.0,2145600.0
2007-02-16,16.44,19.16,19.2,19.04,19.15,2330400.0
2007-02-20,16.65,19.4,19.49,18.93,19.12,2666400.0
2007-02-21,16.66,19.42,19.55,19.3,19.39,1971600.0
2007-02-22,16.55,19.29,19.45,19.13,19.45,1976000.0
2007-02-23,16.75,19.52,19.55,19.19,19.31,3425600.0
2007-02-26,16.5,19.23,19.66,19.15,19.58,2485600.0
2007-02-27,15.85,18.47,19.15,18.24,18.95,3460400.0
2007-02-28,15.8,18.41,18.56,18.31,18.43,2044800.0
2007-03-01,15.83,18.44,18.61,18.17,18.41,1485600.0
2007-03-02,15.65,18.24,18.43,18.21,18.42,1800400.0
2007-03-05,15.61,18.19,18.39,18.06,18.06,2573200.0
2007-03-06,15.84,18.47,18.59,18.2,18.59,1227600.0
2007-03-07,15.91,18.54,18.75,18.44,18.51,1032800.0
2007-03-08,16.09,18.75,18.89,18.63,18.64,1899200.0
2007-03-09,16.02,18.67,19.02,18.64,18.93,1161200.0
2007-03-12,16.09,18.75,18.75,18.55,18.69,1530800.0
2007-03-13,15.66,18.25,18.67,18.22,18.67,933600.0
2007-03-14,15.63,18.22,18.33,17.98,18.02,1108400.0
2007-03-15,15.73,18.33,18.42,18.18,18.23,861200.0
2007-03-16,15.69,18.28,18.4,18.19,18.33,803200.0
2007-03-19,15.98,18.62,18.65,18.38,18.4,689200.0
2007-03-20,16.26,18.95,18.97,18.64,18.64,1352000.0
2007-03-21,16.44,19.16,19.22,18.87,18.96,854800.0
2007-03-22,16.43,19.14,19.24,18.94,19.19,1852000.0
2007-03-23,16.41,19.13,19.25,19.11,19.14,765200.0
2007-03-26,16.5,19.24,19.28,19.07,19.19,1469600.0
2007-03-27,16.4,19.11,19.2,19.0,19.19,1456000.0
2007-03-28,16.25,18.94,19.11,18.88,19.11,1176400.0
2007-03-29,16.18,18.85,19.05,18.76,18.76,1499200.0
2007-03-30,16.18,18.85,18.98,18.68,18.84,804000.0
2007-04-02,16.23,18.91,19.0,18.8,18.92,974400.0
2007-04-03,16.32,19.02,19.09,18.95,19.0,1254800.0
2007-04-04,16.16,18.84,19.05,18.81,18.98,1127600.0
2007-04-05,16.23,18.91,18.98,18.75,18.81,927600.0
2007-04-09,16.35,19.06,19.08,18.79,18.89,690800.0
2007-04-10,16.49,19.22,19.28,19.0,19.01,1067200.0
2007-04-11,15.92,18.56,18.79,18.36,18.7,3044400.0
2007-04-12,15.93,18.56,18.61,18.32,18.52,999600.0
2007-04-13,15.89,18.52,18.59,18.45,18.58,1086800.0
2007-04-16,16.18,18.85,19.07,18.67,18.67,1818800.0
2007-04-17,16.17,18.84,18.98,18.78,18.84,1601600.0
2007-04-18,16.06,18.72,19.09,18.64,19.0,3146400.0
2007-04-19,16.06,18.72,18.87,18.5,18.72,1556800.0
2007-04-20,16.1,18.76,18.89,18.69,18.81,1420400.0
2007-04-23,16.23,18.91,19.05,18.69,18.75,1622000.0
2007-04-24,16.24,18.92,19.01,18.75,18.87,1076400.0
2007-04-25,16.53,19.26,19.38,18.86,19.01,4928800.0
2007-04-26,17.23,20.08,20.09,19.21,19.26,5470400.0
2007-04-27,17.12,19.79,20.02,19.75,19.91,3410400.0
2007-04-30,16.86,19.48,19.89,19.45,19.83,1248400.0
2007-05-01,16.79,19.41,19.5,19.18,19.46,1391200.0
2007-05-02,17.24,19.92,19.92,19.45,19.45,1288000.0
2007-05-03,17.21,19.89,20.11,19.88,19.92,1745600.0
2007-05-04,17.32,20.01,20.06,19.79,19.96,896800.0
2007-05-07,17.16,19.83,20.02,19.81,20.01,803200.0
2007-05-08,17.26,19.95,19.95,19.6,19.78,876000.0
2007-05-09,17.36,20.07,20.1,19.82,19.88,834800.0
2007-05-10,17.13,19.8,20.03,19.76,19.98,737200.0
2007-05-11,17.3,19.99,20.02,19.82,19.82,783200.0
2007-05-14,17.46,20.18,20.48,20.02,20.07,1843200.0
2007-05-15,17.6,20.33,20.46,19.91,20.16,1573600.0
2007-05-16,17.76,20.52,20.58,20.35,20.38,1137600.0
2007-05-17,18.01,20.82,21.0,20.42,20.48,1549200.0
2007-05-18,17.91,20.69,20.85,20.54,20.83,1438800.0
2007-05-21,18.1,20.91,21.2,20.68,20.69,1694400.0
2007-05-22,17.95,20.74,20.96,20.42,20.91,1212800.0
2007-05-23,17.93,20.72,20.97,20.6,20.74,2610000.0
2007-05-24,17.81,20.58,20.88,20.47,20.75,1263200.0
2007-05-25,17.8,20.57,20.75,20.39,20.69,912800.0
2007-05-29,17.71,20.46,20.73,20.39,20.42,900000.0
2007-05-30,17.84,20.61,20.67,20.38,20.4,3968400.0
2007-05-31,18.21,21.04,21.04,20.61,20.62,1562000.0
2007-06-01,18.1,20.91,21.25,20.85,21.09,1192000.0
2007-06-04,18.17,21.0,21.08,20.78,20.89,945600.0
2007-06-05,18.18,21.0,21.07,20.85,20.88,1075600.0
2007-06-06,17.96,20.76,21.08,20.73,20.95,1546000.0
2007-06-07,17.74,20.5,20.86,20.48,20.73,1140400.0
2007-06-08,17.89,20.67,20.67,20.4,20.44,774000.0
2007-06-11,17.84,20.62,20.73,20.54,20.66,878800.0
2007-06-12,17.74,20.5,20.74,20.42,20.49,867200.0
2007-06-13,18.09,20.91,20.95,20.51,20.51,1229200.0
2007-06-14,18.03,20.84,21.16,20.74,20.92,746000.0
2007-06-15,18.04,20.84,21.19,20.83,20.96,883200.0
2007-06-18,18.21,21.04,21.06,20.87,20.93,1050000.0
2007-06-19,18.33,21.18,21.3,20.88,20.88,1000400.0
2007-06-20,18.11,20.92,21.33,20.89,21.2,1642800.0
2007-06-21,18.4,21.26,21.27,20.73,20.92,1758000.0
2007-06-22,18.34,21.19,21.47,21.05,21.26,2677600.0
2007-06-25,18.04,20.85,21.39,20.77,21.19,1145200.0
2007-06-26,17.94,20.73,21.01,20.69,20.92,1390000.0
2007-06-27,18.03,20.84,20.87,20.53,20.67,1128400.0
2007-06-28,18.42,21.29,21.4,20.84,20.84,1454800.0
2007-06-29,18.61,21.51,21.72,21.25,21.25,1459600.0
2007-07-02,19.01,21.97,22.22,21.66,21.66,1700400.0
2007-07-03,19.05,22.02,22.19,21.94,22.02,640400.0
