,Adj Close,Close,High,Low,Open,Volume
2007-01-03,34.27,64.02,65.0,63.7,64.18,2220400.0
2007-01-04,34.24,63.96,64.36,63.32,64.02,1467700.0
2007-01-05,34.22,63.93,64.23,63.61,63.9,2431100.0
2007-01-08,34.34,64.15,64.26,63.77,63.89,1741500.0
2007-01-09,34.26,64.0,64.44,63.88,64.2,1391600.0
2007-01-10,34.56,64.55,64.63,63.79,63.92,1555400.0
2007-01-11,34.89,65.17,65.52,64.61,64.72,1308200.0
2007-01-12,35.82,66.92,66.98,65.1,65.21,2217400.0
2007-01-16,36.16,67.54,68.01,66.7,66.91,2053300.0
2007-01-17,37.0,69.11,69.22,66.93,67.05,2944400.0
2007-01-18,37.0,69.11,69.49,68.55,69.05,1992000.0
2007-01-19,37.17,69.44,69.75,69.02,69.29,2813400.0
2007-01-22,37.08,69.26,70.98,69.16,70.98,2665500.0
2007-01-23,37.2,69.48,69.99,69.21,69.9,2033300.0
2007-01-24,37.49,70.03,70.25,69.48,69.48,2588700.0
2007-01-25,38.77,72.42,73.34,71.0,71.0,6332000.0
2007-01-26,38.24,71.43,72.33,70.97,71.0,3099000.0
2007-01-29,37.93,70.86,71.13,70.56,71.0,2692100.0
2007-01-30,38.53,71.97,72.0,70.86,70.98,2695500.0
2007-01-31,38.23,71.42,71.63,70.85,71.63,2184500.0
2007-02-01,38.37,71.68,71.76,71.23,71.35,1764600.0
2007-02-02,38.44,71.8,72.2,71.51,71.51,1153400.0
2007-02-05,38.38,71.7,71.94,71.34,71.5,1285500.0
2007-02-06,38.16,71.28,71.74,71.03,71.6,1601900.0
2007-02-07,38.06,71.1,73.0,70.83,71.15,1191900.0
2007-02-08,38.16,71.28,71.45,70.75,70.8,1324700.0
2007-02-09,38.14,71.25,71.83,71.0,71.05,1576500.0
2007-02-12,37.81,70.62,71.27,70.61,70.95,1324300.0
2007-02-13,38.67,72.24,72.36,70.87,70.95,2365300.0
2007-02-14,38.79,72.45,72.77,72.07,72.08,1509900.0
2007-02-15,38.93,72.72,72.9,72.3,72.54,1227200.0
2007-02-16,38.94,72.73,73.1,72.37,72.4,1401700.0
2007-02-20,38.75,72.38,72.94,72.0,72.94,1335800.0
2007-02-21,38.74,72.36,72.72,72.12,72.2,1340400.0
2007-02-22,38.75,72.39,72.74,72.1,72.5,1343200.0
2007-02-23,38.78,72.44,72.59,71.46,72.0,1481800.0
2007-02-26,38.65,72.19,72.5,72.0,72.27,1173300.0
2007-02-27,37.67,70.37,72.19,69.54,72.19,2457800.0
2007-02-28,37.53,70.11,70.7,69.5,69.9,2145600.0
2007-03-01,37.83,70.67,70.78,69.17,69.5,2380300.0
2007-03-02,37.24,69.57,70.6,69.57,70.4,1596300.0
2007-03-05,37.15,69.39,70.3,69.24,69.35,1435300.0
2007-03-06,38.0,70.98,71.06,69.75,70.0,2075900.0
2007-03-07,37.81,70.63,71.02,70.52,70.6,1967300.0
2007-03-08,38.38,71.69,72.15,70.75,70.88,3232100.0
2007-03-09,38.72,72.33,72.59,71.85,71.85,2328800.0
2007-03-12,38.48,71.88,72.67,71.78,72.3,1512600.0
2007-03-13,37.52,70.09,71.52,70.02,70.35,2496900.0
2007-03-14,37.47,70.0,70.79,69.26,70.4,3253500.0
2007-03-15,37.56,70.17,71.0,69.7,70.0,1876200.0
2007-03-16,37.93,70.86,71.07,70.21,70.21,2547600.0
2007-03-19,38.59,72.08,72.3,71.27,71.34,1503600.0
2007-03-20,38.8,72.47,72.62,71.81,72.0,1345100.0
2007-03-21,38.87,72.6,72.87,71.91,72.05,2162600.0
2007-03-22,38.68,72.26,72.71,72.17,72.6,1720200.0
2007-03-23,38.77,72.42,72.88,72.26,72.38,1557300.0
2007-03-26,38.96,72.77,72.87,71.6,72.13,1797100.0
2007-03-27,38.85,72.57,72.73,71.99,72.37,1548900.0
2007-03-28,38.53,71.89,72.5,71.72,72.21,1481400.0
2007-03-29,38.87,72.51,72.71,71.92,72.12,1936300.0
2007-03-30,39.1,72.95,72.99,71.6,72.5,1618000.0
2007-04-02,39.19,73.11,73.3,72.54,72.95,1731700.0
2007-04-03,39.46,73.62,73.94,73.14,73.21,1925000.0
2007-04-04,39.66,74.0,74.0,73.48,73.86,2283400.0
2007-04-05,39.95,74.53,74.61,73.72,73.72,1784700.0
2007-04-09,39.28,73.28,74.09,73.15,74.03,1295400.0
2007-04-10,39.16,73.06,73.32,72.35,73.11,2145000.0
2007-04-11,39.48,73.66,74.19,72.7,73.13,2161700.0
2007-04-12,39.78,74.22,74.35,73.0,73.51,1847900.0
2007-04-13,39.81,74.27,76.11,73.96,76.11,1786400.0
2007-04-16,39.81,74.28,74.59,74.13,74.27,1268900.0
2007-04-17,39.93,74.5,74.84,74.11,74.15,1194800.0
2007-04-18,39.8,74.26,74.52,73.75,74.3,1634400.0
2007-04-19,40.0,74.62,74.7,73.55,73.55,1708700.0
2007-04-20,40.02,74.66,76.08,74.22,74.72,2215000.0
2007-04-23,40.13,74.87,76.15,74.35,76.15,1166500.0
2007-04-24,40.35,75.28,75.5,74.63,74.88,3752300.0
2007-04-25,40.24,75.08,75.45,74.47,75.26,2453400.0
2007-04-26,38.14,71.15,74.76,69.55,74.05,9133800.0
2007-04-27,37.83,70.58,70.99,69.95,70.8,5704000.0
2007-04-30,37.49,69.95,70.66,69.95,70.6,2315100.0
2007-05-01,37.62,70.19,70.29,69.71,70.1,2032700.0
2007-05-02,38.1,71.08,71.5,70.1,71.5,1943000.0
2007-05-03,37.99,70.88,71.42,70.83,71.12,1342300.0
2007-05-04,37.92,70.75,71.37,70.55,70.88,2088200.0
2007-05-07,38.04,70.97,71.46,70.87,70.99,1729200.0
2007-05-08,37.73,70.39,70.81,69.97,70.75,2637200.0
2007-05-09,37.76,70.44,70.95,69.93,69.93,2047500.0
2007-05-10,37.21,69.43,70.27,69.41,70.08,2666600.0
2007-05-11,37.02,69.07,69.65,68.71,69.3,2673500.0
2007-05-14,37.09,69.19,69.55,68.43,68.5,2175800.0
2007-05-15,37.36,69.7,70.4,69.15,69.42,1801600.0
2007-05-16,37.95,70.81,71.18,70.07,70.2,2016100.0
2007-05-17,37.99,70.87,70.99,70.41,70.55,1302100.0
2007-05-18,38.47,71.77,71.9,70.87,71.06,2080600.0
2007-05-21,38.47,71.77,71.89,71.4,71.64,1513100.0
2007-05-22,38.52,71.86,72.0,71.33,71.59,1251800.0
2007-05-23,38.75,72.3,72.55,71.88,71.9,1483900.0
2007-05-24,38.58,71.97,72.48,71.8,72.05,1332300.0
2007-05-25,38.76,72.31,72.79,71.75,72.2,1337200.0
2007-05-29,38.95,72.66,72.97,72.04,72.11,1432700.0
2007-05-30,38.99,72.74,72.85,72.11,72.5,1936000.0
2007-05-31,38.84,72.46,72.98,72.2,72.8,2502800.0
2007-06-01,39.1,72.94,73.0,72.58,72.58,1452900.0
2007-06-04,38.95,72.67,72.9,72.35,72.35,1275900.0
2007-06-05,38.83,72.45,72.69,71.96,72.55,1568000.0
2007-06-06,38.79,72.37,72.73,71.97,72.05,1340100.0
2007-06-07,38.71,72.22,73.0,72.22,72.62,2943100.0
