,Adj Close,Close,High,Low,Open,Volume
2007-01-03,25.61,31.56,32.86,31.14,32.49,2342300.0
2007-01-04,26.01,32.05,32.28,31.7,31.7,3002700.0
2007-01-05,26.04,32.09,32.5,31.75,32.1,2028200.0
2007-01-08,26.3,32.41,32.63,31.87,32.09,1247100.0
2007-01-09,26.58,32.75,33.66,32.15,32.42,1881400.0
2007-01-10,27.13,33.43,33.52,32.65,32.75,1807700.0
2007-01-11,27.51,33.9,34.07,33.41,33.51,1990800.0
2007-01-12,27.9,34.38,34.44,33.51,33.52,2069000.0
2007-01-16,27.73,34.17,34.65,33.96,34.45,1848600.0
2007-01-17,27.72,34.16,34.54,33.96,34.37,2422400.0
2007-01-18,27.96,34.46,34.73,34.16,34.16,2182000.0
2007-01-19,29.38,36.21,37.32,34.6,34.6,5550400.0
2007-01-22,29.17,35.95,36.43,35.63,36.21,1905700.0
2007-01-23,28.58,35.22,35.95,35.18,35.95,2082900.0
2007-01-24,28.6,35.24,35.44,34.94,35.23,1749500.0
2007-01-25,28.32,34.9,35.49,34.83,35.24,1121900.0
2007-01-26,28.73,35.41,35.65,34.9,34.9,2557100.0
2007-01-29,28.31,34.89,35.87,34.8,35.3,1207900.0
2007-01-30,28.49,35.11,35.25,34.93,35.0,940100.0
2007-01-31,28.53,35.16,35.16,34.52,34.93,754000.0
2007-02-01,28.27,34.84,35.19,34.48,35.19,1176300.0
2007-02-02,28.52,35.14,35.17,34.81,34.9,1193400.0
2007-02-05,28.18,34.73,35.0,34.49,35.0,1320000.0
2007-02-06,28.0,34.5,34.65,34.29,34.57,1744000.0
2007-02-07,28.42,35.02,35.37,34.46,34.51,1967300.0
2007-02-08,28.52,35.15,35.21,34.71,34.71,1690100.0
2007-02-09,28.28,34.85,35.8,34.47,35.15,1841800.0
2007-02-12,27.69,34.12,34.75,33.96,34.75,1324800.0
2007-02-13,27.77,34.22,34.67,34.1,34.4,1625800.0
2007-02-14,28.62,35.27,35.44,34.7,34.75,1547600.0
2007-02-15,28.72,35.39,35.55,35.15,35.33,1047900.0
2007-02-16,28.3,34.88,35.45,34.77,35.2,1016000.0
2007-02-20,28.27,34.84,35.13,34.64,34.88,1814400.0
2007-02-21,28.04,34.55,34.9,34.38,34.86,1156600.0
2007-02-22,28.0,34.5,35.0,34.41,34.65,1044000.0
2007-02-23,27.96,34.45,34.76,34.04,34.32,1227100.0
2007-02-26,28.32,34.9,35.01,34.31,34.67,1623000.0
2007-02-27,27.01,33.28,34.76,33.15,34.4,1308900.0
2007-02-28,26.54,32.71,33.4,32.29,33.14,3578800.0
2007-03-01,26.03,32.08,32.58,31.71,32.2,2495500.0
2007-03-02,25.55,31.48,32.25,31.11,32.09,2821800.0
2007-03-05,24.88,30.66,31.38,30.42,31.1,2354400.0
2007-03-06,25.46,31.38,31.55,30.71,30.91,2844700.0
2007-03-07,25.63,31.59,31.68,31.11,31.21,1556900.0
2007-03-08,26.13,32.2,32.3,31.59,31.69,2921700.0
2007-03-09,26.35,32.47,32.6,32.3,32.55,1556700.0
2007-03-12,27.07,33.36,33.44,32.2,32.27,2408100.0
2007-03-13,26.42,32.56,33.35,32.39,33.11,2391600.0
2007-03-14,26.3,32.41,32.53,31.72,32.42,3150100.0
