,Adj Close,Close,High,Low,Open,Volume
2007-01-03,35.14,50.95,51.2,50.35,50.53,4324900.0
2007-01-04,35.08,50.87,51.32,50.57,51.05,2776100.0
2007-01-05,34.4,49.88,50.63,49.75,50.63,2033200.0
2007-01-08,34.38,49.86,50.44,49.69,50.11,2703100.0
2007-01-09,34.78,50.43,50.66,50.15,50.3,2225700.0
2007-01-10,34.65,50.25,50.55,50.1,50.24,2236800.0
2007-01-11,35.03,50.8,51.25,50.57,51.1,4420300.0
2007-01-12,35.11,50.91,51.28,50.6,51.12,2209200.0
2007-01-16,35.14,50.95,51.6,50.87,51.27,2896400.0
2007-01-17,35.4,51.33,51.69,50.83,51.4,3421400.0
2007-01-18,35.83,51.95,52.5,51.48,52.4,3622300.0
2007-01-19,36.13,52.39,52.73,52.05,52.47,4195600.0
2007-01-22,35.98,52.18,52.55,51.85,52.36,2305000.0
2007-01-23,35.85,51.99,52.35,51.55,52.15,2659200.0
2007-01-24,36.04,52.26,52.42,51.83,52.0,3507700.0
2007-01-25,35.64,51.68,52.29,51.31,52.05,3394000.0
2007-01-26,35.83,51.96,52.22,51.65,52.12,3142100.0
2007-01-29,35.85,51.99,52.1,51.75,52.01,1892600.0
2007-01-30,35.96,52.15,52.2,51.96,52.05,1762100.0
2007-01-31,35.56,51.56,51.69,51.22,51.49,4057600.0
2007-02-01,35.96,52.15,52.21,51.6,52.09,2741900.0
2007-02-02,35.7,51.77,52.41,51.69,52.01,3375800.0
2007-02-05,35.02,50.78,51.25,50.27,51.0,3342300.0
2007-02-06,33.98,49.27,50.15,48.87,50.15,5755900.0
2007-02-07,34.41,49.89,50.34,49.04,49.44,5271000.0
2007-02-08,34.18,49.57,49.79,49.19,49.46,2091600.0
2007-02-09,33.41,48.45,49.74,48.25,49.55,2538500.0
2007-02-12,33.56,48.66,49.1,48.51,48.94,1632100.0
2007-02-13,33.63,48.76,49.15,48.56,48.72,2622000.0
2007-02-14,33.93,48.93,49.02,48.58,48.72,2145700.0
2007-02-15,33.75,48.66,48.92,48.46,48.83,1736000.0
2007-02-16,33.54,48.36,48.45,48.03,48.18,2056500.0
2007-02-20,33.91,48.9,48.95,48.15,48.66,2020000.0
2007-02-21,33.75,48.66,48.9,48.04,48.9,1859900.0
2007-02-22,33.73,48.63,48.98,48.39,48.53,1633200.0
2007-02-23,33.02,47.61,48.33,47.61,48.16,2828600.0
2007-02-26,32.84,47.35,47.91,47.18,47.77,2264000.0
2007-02-27,32.06,46.23,47.03,45.85,46.51,5079900.0
2007-02-28,32.21,46.44,46.55,45.75,45.92,3356300.0
2007-03-01,31.96,46.09,46.55,45.4,45.94,3910100.0
2007-03-02,31.69,45.7,46.18,45.54,45.54,3974500.0
2007-03-05,31.2,44.99,45.41,44.91,45.0,3966700.0
2007-03-06,31.88,45.97,46.14,45.14,45.17,2831700.0
2007-03-07,31.53,45.46,46.03,45.21,45.97,2526600.0
2007-03-08,32.08,46.25,47.03,45.9,45.93,3192200.0
2007-03-09,32.08,46.26,46.71,46.02,46.48,1833300.0
2007-03-12,32.18,46.4,46.84,46.26,46.28,1859000.0
2007-03-13,31.41,45.29,46.57,45.26,46.31,3061600.0
2007-03-14,31.31,45.14,45.34,44.39,45.03,4186900.0
2007-03-15,31.63,45.61,45.88,45.0,45.23,4127400.0
2007-03-16,31.59,45.55,46.47,45.45,46.04,5001900.0
2007-03-19,31.85,45.92,45.95,45.24,45.72,2237900.0
2007-03-20,31.85,45.93,46.25,45.49,45.6,3174300.0
2007-03-21,33.01,47.6,47.69,46.16,46.31,3463500.0
2007-03-22,33.18,47.84,48.04,47.35,47.35,3215500.0
2007-03-23,33.37,48.12,48.28,47.7,47.94,2364700.0
2007-03-26,33.33,48.06,48.2,47.41,48.13,2694000.0
2007-03-27,32.86,47.38,47.65,47.16,47.6,2726400.0
2007-03-28,32.2,46.43,46.94,46.32,46.94,2520600.0
2007-03-29,32.52,46.89,47.1,46.62,46.65,3304600.0
