,Adj Close,Close,High,Low,Open,Volume
2007-01-03,11.24,11.3,11.49,11.14,11.42,1605200.0
2007-01-04,11.57,11.62,11.63,11.23,11.27,2824400.0
2007-01-05,11.31,11.36,11.59,11.27,11.59,2084400.0
2007-01-08,11.27,11.32,11.47,11.28,11.39,1685600.0
2007-01-09,11.28,11.34,11.36,11.19,11.27,1179200.0
2007-01-10,11.16,11.22,11.27,11.04,11.24,3002800.0
2007-01-11,11.12,11.17,11.22,11.03,11.18,2750000.0
2007-01-12,11.66,11.72,11.75,11.19,11.19,3010000.0
2007-01-16,11.44,11.5,11.68,11.44,11.68,3339600.0
2007-01-17,11.32,11.38,11.5,11.35,11.46,1660800.0
2007-01-18,11.51,11.57,11.62,11.3,11.33,2282000.0
2007-01-19,11.45,11.51,11.66,11.48,11.6,2128800.0
2007-01-22,11.26,11.32,11.48,11.25,11.46,2188000.0
2007-01-23,11.34,11.4,11.45,11.26,11.28,2692400.0
2007-01-24,11.47,11.52,11.54,11.31,11.38,1374800.0
2007-01-25,11.48,11.54,11.64,11.49,11.49,1447200.0
2007-01-26,11.58,11.64,11.74,11.55,11.55,3910400.0
2007-01-29,11.23,11.28,11.53,11.09,11.53,5217200.0
2007-01-30,11.34,11.4,11.41,11.25,11.29,1477200.0
2007-01-31,11.18,11.23,11.42,11.14,11.37,1915200.0
2007-02-01,11.39,11.45,11.48,11.16,11.22,3575600.0
2007-02-02,12.59,12.65,12.74,12.15,12.25,11232400.0
2007-02-05,12.46,12.52,12.63,12.35,12.62,3628800.0
2007-02-06,12.26,12.32,12.52,12.26,12.51,3292400.0
2007-02-07,12.31,12.37,12.41,12.27,12.28,2707200.0
2007-02-08,12.47,12.53,12.54,12.3,12.39,2475200.0
2007-02-09,12.4,12.46,12.62,12.4,12.48,23171200.0
2007-02-12,12.43,12.49,12.6,12.45,12.52,4122000.0
2007-02-13,12.69,12.76,12.76,12.48,12.53,4955200.0
2007-02-14,12.73,12.79,12.83,12.69,12.72,2478800.0
2007-02-15,13.04,13.1,13.14,12.8,12.82,4483200.0
2007-02-16,13.0,13.07,13.1,12.96,13.06,2423600.0
2007-02-20,13.22,13.29,13.31,12.95,12.98,3198000.0
2007-02-21,13.17,13.24,13.27,13.14,13.25,2404800.0
2007-02-22,13.26,13.33,13.42,13.23,13.3,1602800.0
2007-02-23,13.5,13.57,13.6,13.35,13.37,2849200.0
2007-02-26,13.42,13.48,13.62,13.4,13.57,2652400.0
2007-02-27,12.76,12.82,13.43,12.73,13.39,5064000.0
2007-02-28,12.96,13.03,13.09,12.57,12.76,4293200.0
2007-03-01,12.96,13.03,13.04,12.5,12.82,4231200.0
2007-03-02,12.6,12.67,13.02,12.67,13.0,2937200.0
2007-03-05,12.71,12.77,12.97,12.44,12.59,5313600.0
2007-03-06,12.96,13.03,13.05,12.82,12.95,3877600.0
2007-03-07,12.91,12.98,13.04,12.81,12.99,2510000.0
2007-03-08,13.17,13.24,13.34,12.98,13.0,3340400.0
2007-03-09,13.38,13.45,13.48,13.25,13.25,4186800.0
2007-03-12,13.37,13.44,13.49,13.39,13.4,2874400.0
2007-03-13,13.2,13.27,13.45,13.19,13.41,3260000.0
2007-03-14,13.34,13.41,13.43,13.07,13.26,2328800.0
2007-03-15,13.42,13.49,13.51,13.28,13.36,2926000.0
2007-03-16,13.84,13.91,13.95,13.47,13.47,5911200.0
2007-03-19,13.66,13.73,13.85,13.63,13.69,8168800.0
2007-03-20,13.68,13.75,13.88,13.72,13.77,4210400.0
2007-03-21,13.81,13.89,13.92,13.69,13.81,3030400.0
2007-03-22,13.83,13.9,13.99,13.8,13.91,2490400.0
2007-03-23,13.84,13.91,14.0,13.88,13.92,2068000.0
2007-03-26,13.9,13.97,13.99,13.87,13.95,1842800.0
2007-03-27,13.93,14.0,14.04,13.88,13.98,2688000.0
2007-03-28,13.85,13.92,14.06,13.8,13.96,4340400.0
2007-03-29,13.52,13.59,13.88,13.43,13.88,5635200.0
2007-03-30,13.54,13.61,13.74,13.5,13.6,3006400.0
2007-04-02,13.7,13.77,13.84,13.59,13.59,1834400.0
2007-04-03,13.9,13.97,13.99,13.74,13.74,2192000.0
2007-04-04,14.0,14.07,14.19,13.91,13.99,3299200.0
2007-04-05,14.13,14.2,14.35,13.78,13.81,5638000.0
2007-04-09,13.95,14.02,14.21,13.95,14.19,2378000.0
2007-04-10,14.0,14.07,14.16,14.02,14.08,1712000.0
2007-04-11,13.82,13.89,14.11,13.87,14.04,3183600.0
2007-04-12,13.78,13.85,13.93,13.61,13.65,3867600.0
2007-04-13,13.79,13.86,13.95,13.78,13.84,3072800.0
2007-04-16,13.77,13.84,14.0,13.81,13.95,2402400.0
2007-04-17,13.68,13.75,13.9,13.74,13.82,2573600.0
2007-04-18,13.51,13.57,13.74,13.5,13.69,3848000.0
2007-04-19,13.56,13.63,13.66,13.35,13.57,3900800.0
2007-04-20,13.7,13.77,13.99,13.34,13.5,6840000.0
2007-04-23,13.57,13.64,13.8,13.63,13.7,3219600.0
2007-04-24,13.58,13.65,13.74,13.62,13.71,2513200.0
2007-04-25,13.61,13.68,13.71,13.61,13.68,2224400.0
2007-04-26,13.67,13.74,13.75,13.63,13.64,2737600.0
2007-04-27,13.46,13.53,13.75,13.5,13.69,2620800.0
2007-04-30,13.24,13.31,13.58,13.29,13.51,2556400.0
2007-05-01,13.12,13.19,13.34,13.05,13.29,3246000.0
2007-05-02,13.38,13.45,13.53,13.16,13.19,3118800.0
2007-05-03,13.38,13.45,13.48,13.28,13.4,2572000.0
2007-05-04,13.38,13.44,13.53,13.34,13.45,2622000.0
2007-05-07,13.43,13.5,13.56,13.42,13.51,1729200.0
2007-05-08,13.41,13.48,13.52,13.4,13.41,1756400.0
2007-05-09,13.57,13.64,13.69,13.4,13.4,2525600.0
2007-05-10,13.19,13.26,13.61,13.24,13.6,2036800.0
2007-05-11,13.46,13.52,13.54,13.19,13.19,2215200.0
2007-05-14,13.35,13.41,13.59,13.27,13.5,2158000.0
2007-05-15,13.23,13.3,13.45,13.25,13.41,1643600.0
2007-05-16,13.23,13.3,13.4,13.19,13.36,1589600.0
2007-05-17,13.1,13.17,13.26,13.14,13.25,1354000.0
2007-05-18,13.42,13.49,13.58,13.11,13.18,2341600.0
2007-05-21,13.71,13.78,13.83,13.51,13.54,2580400.0
2007-05-22,14.63,14.71,15.11,13.82,13.82,14711200.0
2007-05-23,14.55,14.63,14.88,14.6,14.75,4092000.0
2007-05-24,14.21,14.29,14.66,14.25,14.62,3291600.0
2007-05-25,14.24,14.31,14.37,13.95,14.29,3334000.0
2007-05-29,14.11,14.18,14.34,14.16,14.32,3151600.0
2007-05-30,14.2,14.28,14.28,14.08,14.16,3704800.0
2007-05-31,14.13,14.2,14.4,14.19,14.31,5736800.0
2007-06-01,14.09,14.16,14.37,14.14,14.25,2043600.0
2007-06-04,14.05,14.12,14.2,14.03,14.15,2445200.0
2007-06-05,13.99,14.06,14.15,13.97,14.06,1885200.0
2007-06-06,13.78,13.85,14.02,13.8,14.02,2114800.0
2007-06-07,13.73,13.8,13.91,13.76,13.86,2158400.0
2007-06-08,13.81,13.88,13.89,13.68,13.85,1665200.0
2007-06-11,13.76,13.84,13.88,13.75,13.87,1644000.0
2007-06-12,13.64,13.71,13.84,13.66,13.84,2343600.0
2007-06-13,13.65,13.72,13.78,13.54,13.76,1980800.0
2007-06-14,13.79,13.86,13.88,13.65,13.7,2847600.0
2007-06-15,13.91,13.98,14.01,13.88,13.93,3403200.0
2007-06-18,14.01,14.08,14.12,13.94,14.02,2150000.0
2007-06-19,14.01,14.08,14.12,13.98,14.06,2040400.0
2007-06-20,14.01,14.08,14.17,14.0,14.12,2370800.0
2007-06-21,14.03,14.1,14.12,13.93,14.05,1659600.0
2007-06-22,13.87,13.94,14.12,13.9,14.12,2220000.0
2007-06-25,13.97,14.04,14.11,13.91,13.94,1911200.0
2007-06-26,13.86,13.93,14.06,13.78,14.04,2368000.0
2007-06-27,13.9,13.97,13.98,13.75,13.84,2180800.0
2007-06-28,13.92,13.99,14.11,13.89,13.94,1546400.0
2007-06-29,13.8,13.87,14.15,13.75,13.98,1650800.0
2007-07-02,14.03,14.1,14.31,13.85,13.85,2806400.0
2007-07-03,14.17,14.24,14.36,14.22,14.28,1644400.0
2007-07-05,14.17,14.24,14.32,14.13,14.28,1254800.0
2007-07-06,14.48,14.56,14.6,14.16,14.24,2376800.0
2007-07-09,14.52,14.59,14.75,14.48,14.62,2664000.0
2007-07-10,14.25,14.33,14.6,14.31,14.6,2174000.0
2007-07-11,14.43,14.5,14.5,14.26,14.32,1936800.0
2007-07-12,14.51,14.59,14.72,14.46,14.52,1504800.0
2007-07-13,14.55,14.63,14.65,14.5,14.5,1956800.0
2007-07-16,14.43,14.51,14.68,14.48,14.59,1660400.0
2007-07-17,14.44,14.51,14.57,14.36,14.55,1810400.0
2007-07-18,14.31,14.39,14.52,14.27,14.5,3128000.0
2007-07-19,14.45,14.52,14.56,14.4,14.44,1973200.0
2007-07-20,14.43,14.51,14.59,14.48,14.5,1965600.0
2007-07-23,14.51,14.58,14.64,14.5,14.54,2469200.0
2007-07-24,14.21,14.29,14.68,14.17,14.63,4594800.0
2007-07-25,13.63,13.7,14.29,13.08,14.18,8115600.0
2007-07-26,13.26,13.33,13.58,13.12,13.5,3690000.0
2007-07-27,13.23,13.3,13.49,13.21,13.26,2124400.0
2007-07-30,13.34,13.41,13.51,13.18,13.27,2011200.0
2007-07-31,13.15,13.22,13.57,13.21,13.38,2362400.0
2007-08-01,13.48,13.55,13.57,13.13,13.34,2479600.0
2007-08-02,13.59,13.66,13.72,13.4,13.56,1825600.0
2007-08-03,13.49,13.56,13.89,13.52,13.71,2446400.0
2007-08-06,13.94,14.01,14.12,13.49,13.59,2858000.0
2007-08-07,14.6,14.68,14.75,13.8,13.91,4573600.0
2007-08-08,15.59,15.67,15.74,14.7,14.72,7842800.0
2007-08-09,15.49,15.57,16.54,15.39,15.39,11278800.0
2007-08-10,14.53,14.6,15.31,14.46,15.29,5188000.0
2007-08-13,14.24,14.31,14.75,14.15,14.75,2955200.0
2007-08-14,14.04,14.11,14.38,14.01,14.32,2147200.0
2007-08-15,14.0,14.07,14.49,14.03,14.05,2221600.0
2007-08-16,14.08,14.15,14.23,13.77,14.02,2387600.0
2007-08-17,14.3,14.37,14.61,14.02,14.35,2241600.0
2007-08-20,14.36,14.43,14.6,14.23,14.43,1444400.0
2007-08-21,14.33,14.4,14.53,14.25,14.39,931200.0
2007-08-22,14.17,14.25,14.46,14.14,14.44,1525600.0
2007-08-23,14.09,14.16,14.41,14.05,14.41,1336800.0
2007-08-24,14.29,14.36,14.38,14.06,14.17,852400.0
2007-08-27,14.05,14.12,14.37,14.06,14.37,1046800.0
2007-08-28,13.79,13.86,14.09,13.78,14.06,1459200.0
2007-08-29,14.07,14.14,14.2,13.84,13.96,1493600.0
2007-08-30,14.04,14.11,14.42,14.03,14.2,2268000.0
2007-08-31,14.19,14.26,14.31,13.94,14.29,1573200.0
2007-09-04,14.22,14.3,14.48,14.18,14.18,1228400.0
2007-09-05,14.06,14.13,14.34,14.11,14.24,1473600.0
2007-09-06,14.26,14.33,14.35,14.01,14.22,1354800.0
2007-09-07,13.72,13.79,14.32,13.66,14.12,2441200.0
2007-09-10,13.69,13.76,13.91,13.63,13.81,1166800.0
2007-09-11,13.95,14.02,14.08,13.66,13.81,2231600.0
2007-09-12,14.23,14.3,14.52,13.97,14.02,2384400.0
2007-09-13,14.39,14.47,14.57,14.25,14.33,2024400.0
2007-09-14,14.38,14.45,14.56,14.36,14.37,751600.0
2007-09-17,14.16,14.24,14.49,14.16,14.44,825200.0
2007-09-18,14.42,14.5,14.51,14.18,14.33,925200.0
2007-09-19,14.61,14.69,14.82,14.45,14.53,1659600.0
2007-09-20,14.68,14.75,14.8,14.61,14.63,1244000.0
2007-09-21,14.95,15.02,15.06,14.83,14.87,2517200.0
2007-09-24,14.67,14.74,15.15,14.68,14.99,1514000.0
2007-09-25,14.92,15.0,15.08,14.7,14.81,1452400.0
2007-09-26,15.05,15.12,15.34,15.0,15.01,1023600.0
2007-09-27,14.9,14.98,15.3,14.83,15.15,1599600.0
2007-09-28,14.88,14.95,15.2,14.86,14.96,1067600.0
2007-10-01,15.13,15.2,15.45,14.89,15.03,1252400.0
2007-10-02,15.04,15.12,15.23,15.01,15.18,1210000.0
2007-10-03,15.17,15.25,15.4,15.06,15.11,1212400.0
2007-10-04,15.31,15.39,15.43,15.14,15.28,1271200.0
2007-10-05,15.27,15.35,15.5,15.29,15.39,1727600.0
2007-10-08,15.36,15.44,15.49,15.3,15.3,859200.0
2007-10-09,15.88,15.97,15.98,15.48,15.49,1708400.0
2007-10-10,16.2,16.28,16.38,15.85,16.0,2865600.0
2007-10-11,15.81,15.9,16.43,15.73,16.32,1323600.0
2007-10-12,15.93,16.01,16.25,15.95,15.95,1169200.0
2007-10-15,15.73,15.81,15.99,15.67,15.98,1857200.0
2007-10-16,15.69,15.77,15.93,15.73,15.78,941200.0
2007-10-17,15.85,15.93,15.99,15.64,15.87,1384000.0
2007-10-18,16.28,16.36,16.48,15.57,15.85,3757200.0
2007-10-19,14.8,14.88,15.29,14.58,15.25,10493200.0
2007-10-22,14.5,14.57,14.83,14.5,14.75,3792000.0
2007-10-23,14.6,14.68,14.71,14.49,14.5,3140400.0
2007-10-24,14.47,14.55,14.7,14.43,14.56,3128000.0
2007-10-25,14.42,14.49,14.65,14.32,14.49,3244800.0
2007-10-26,14.48,14.55,14.68,14.49,14.63,1289200.0
2007-10-29,14.49,14.57,14.6,14.33,14.53,3537600.0
2007-10-30,14.76,14.84,14.92,14.4,14.55,1628400.0
2007-10-31,14.81,14.89,14.9,14.5,14.88,2319200.0
2007-11-01,14.63,14.7,14.91,14.7,14.86,2276400.0
2007-11-02,14.62,14.7,14.83,14.55,14.8,1565600.0
2007-11-05,14.43,14.51,14.72,14.34,14.57,1878000.0
2007-11-06,14.39,14.47,14.62,14.34,14.52,1523600.0
2007-11-07,13.95,14.02,14.43,13.98,14.29,1787200.0
2007-11-08,13.63,13.7,14.12,13.5,14.09,3269600.0
2007-11-09,13.41,13.48,13.72,13.45,13.52,3006000.0
2007-11-12,13.39,13.46,13.62,13.38,13.45,3869600.0
2007-11-13,13.58,13.65,13.73,13.48,13.52,2232800.0
2007-11-14,13.56,13.62,13.78,13.52,13.69,1761200.0
2007-11-15,13.47,13.53,13.7,13.47,13.58,1935200.0
2007-11-16,13.47,13.53,13.6,13.41,13.56,1527600.0
2007-11-19,13.49,13.56,13.6,13.39,13.44,2327200.0
2007-11-20,14.18,14.26,14.41,13.76,13.79,4482800.0
2007-11-21,14.35,14.43,14.53,14.13,14.15,2496000.0
2007-11-23,14.29,14.36,14.48,14.26,14.3,1092800.0
2007-11-26,14.31,14.38,14.59,14.36,14.45,1837600.0
2007-11-27,14.48,14.56,14.63,14.39,14.42,1859200.0
2007-11-28,14.67,14.75,14.95,14.59,14.64,2603200.0
2007-11-29,14.95,15.02,15.06,14.7,14.72,1513600.0
2007-11-30,14.86,14.94,15.07,14.83,15.02,2492000.0
2007-12-03,14.6,14.68,14.98,14.59,14.83,2063200.0
2007-12-04,14.58,14.65,14.87,14.56,14.6,2768000.0
2007-12-05,14.58,14.65,14.87,14.57,14.75,1962000.0
2007-12-06,14.69,14.77,14.82,14.53,14.66,2228000.0
2007-12-07,14.76,14.84,14.95,14.67,14.76,1797200.0
2007-12-10,14.8,14.88,14.94,14.76,14.85,1841200.0
2007-12-11,14.47,14.54,14.9,14.53,14.88,1596800.0
2007-12-12,14.27,14.35,14.74,14.17,14.51,3283200.0
