,Adj Close,Close,High,Low,Open,Volume
2007-01-03,3.19,5.29,5.35,5.14,5.18,3847500.0
2007-01-04,3.22,5.35,5.38,5.26,5.29,2146500.0
2007-01-05,3.2,5.32,5.33,5.17,5.17,2165500.0
2007-01-08,3.18,5.28,5.35,5.22,5.32,2544500.0
2007-01-09,3.25,5.4,5.42,5.29,5.3,3017500.0
2007-01-10,3.27,5.43,5.45,5.39,5.4,3484500.0
2007-01-11,3.33,5.54,5.56,5.42,5.44,2695000.0
2007-01-12,3.49,5.81,5.86,5.63,5.64,5354500.0
2007-01-16,3.54,5.88,5.95,5.84,5.84,4929500.0
2007-01-17,3.54,5.88,5.92,5.84,5.88,3700500.0
2007-01-18,3.47,5.77,5.9,5.77,5.88,2779000.0
2007-01-19,3.53,5.86,5.87,5.74,5.76,3209500.0
2007-01-22,3.45,5.73,5.87,5.72,5.86,2494500.0
2007-01-23,3.48,5.79,5.86,5.67,5.72,4710500.0
2007-01-24,3.47,5.76,5.82,5.56,5.79,2611000.0
2007-01-25,3.41,5.66,5.79,5.64,5.76,1836000.0
2007-01-26,3.45,5.74,5.78,5.64,5.66,3197500.0
2007-01-29,3.79,6.3,6.44,5.73,5.77,10060000.0
2007-01-30,3.7,6.15,6.35,6.14,6.31,6355500.0
2007-01-31,3.67,6.1,6.26,6.08,6.16,5907000.0
2007-02-01,3.83,6.36,6.58,6.28,6.28,5335000.0
2007-02-02,3.8,6.31,6.4,6.28,6.4,1697500.0
2007-02-05,3.81,6.33,6.42,6.31,6.32,1866000.0
2007-02-06,3.79,6.3,6.41,6.2,6.33,3465000.0
2007-02-07,3.86,6.42,6.44,6.27,6.3,1914500.0
2007-02-08,3.9,6.48,6.5,6.31,6.46,3057000.0
2007-02-09,3.96,6.57,6.8,6.48,6.75,5475500.0
2007-02-12,4.01,6.67,6.83,6.59,6.61,6463000.0
2007-02-13,4.09,6.79,7.1,6.58,6.68,4262000.0
2007-02-14,4.13,6.86,6.91,6.78,6.82,3989500.0
2007-02-15,4.17,6.92,6.96,6.8,6.87,3975000.0
2007-02-16,4.15,6.87,6.98,6.8,6.92,3365000.0
2007-02-20,4.49,7.44,7.53,6.91,6.98,8702000.0
2007-02-21,4.64,7.69,7.75,7.43,7.45,9029000.0
2007-02-22,4.68,7.75,7.92,7.48,7.68,13221500.0
2007-02-23,4.78,7.92,8.09,7.72,7.75,10372000.0
2007-02-26,4.78,7.91,8.07,7.82,8.02,5270500.0
2007-02-27,4.5,7.45,7.68,7.35,7.48,8891500.0
2007-02-28,4.67,7.73,7.8,7.25,7.48,6337500.0
2007-03-01,4.59,7.6,7.79,7.25,7.63,8316500.0
2007-03-02,4.41,7.31,7.69,7.24,7.52,8337000.0
2007-03-05,4.49,7.44,7.66,7.0,7.2,7933500.0
2007-03-06,4.67,7.74,7.84,7.46,7.57,7748000.0
2007-03-07,4.7,7.79,7.95,7.72,7.77,6386000.0
2007-03-08,4.89,8.11,8.26,7.92,7.92,6083000.0
2007-03-09,4.93,8.16,8.39,8.04,8.21,3704500.0
2007-03-12,4.97,8.24,8.46,8.16,8.16,5137500.0
2007-03-13,4.91,8.13,8.54,8.03,8.24,8033500.0
2007-03-14,4.91,8.14,8.27,7.81,8.14,8086500.0
2007-03-15,4.89,8.1,8.29,8.02,8.15,4299000.0
2007-03-16,4.86,8.05,8.17,8.01,8.1,6652000.0
2007-03-19,5.04,8.34,8.4,8.13,8.13,4152000.0
2007-03-20,5.11,8.46,8.54,8.29,8.35,3929000.0
2007-03-21,5.21,8.64,8.74,8.5,8.51,5575500.0
2007-03-22,5.18,8.59,8.73,8.52,8.71,3688500.0
2007-03-23,5.05,8.36,8.62,8.32,8.6,4663000.0
2007-03-26,4.95,8.2,8.42,7.86,8.37,8827500.0
2007-03-27,4.64,7.69,8.18,7.57,8.18,16275000.0
2007-03-28,4.55,7.54,7.72,7.34,7.59,12561500.0
2007-03-29,4.68,7.76,7.8,7.53,7.76,7187500.0
2007-03-30,4.65,7.71,7.94,7.44,7.94,11734500.0
2007-04-02,4.71,7.8,7.81,7.59,7.67,7573500.0
2007-04-03,4.77,7.9,8.02,7.77,7.86,7176500.0
2007-04-04,4.85,8.03,8.06,7.85,8.0,4082500.0
2007-04-05,4.96,8.22,8.3,8.06,8.11,4823000.0
2007-04-09,4.99,8.26,8.47,8.24,8.28,6567500.0
2007-04-10,4.91,8.13,8.24,7.83,8.02,7651500.0
2007-04-11,5.03,8.34,8.4,8.16,8.16,7783500.0
2007-04-12,5.22,8.65,8.67,8.25,8.34,10068000.0
2007-04-13,5.35,8.86,9.06,8.82,8.86,18154000.0
2007-04-16,5.34,8.85,9.07,8.82,9.0,5927000.0
2007-04-17,5.31,8.8,8.97,8.78,8.84,5856000.0
2007-04-18,5.38,8.91,8.99,8.42,8.8,6286500.0
2007-04-19,5.25,8.7,8.83,8.64,8.79,4388500.0
2007-04-20,5.31,8.8,8.98,8.72,8.86,2951000.0
2007-04-23,5.33,8.84,8.9,8.74,8.8,2278500.0
2007-04-24,5.33,8.83,8.93,8.66,8.88,3060000.0
2007-04-25,5.36,8.88,8.99,8.77,8.88,3623000.0
2007-04-26,5.52,9.14,9.34,8.88,9.12,7928500.0
2007-04-27,5.2,8.62,9.33,8.22,8.51,12396000.0
2007-04-30,4.79,7.94,8.37,7.9,8.37,17924000.0
2007-05-01,4.65,7.7,8.02,7.64,7.94,10794500.0
2007-05-02,4.83,8.0,8.1,7.76,7.76,10193000.0
2007-05-03,4.96,8.21,8.22,7.92,8.01,7269500.0
2007-05-04,4.86,8.05,8.27,7.87,8.19,8302500.0
2007-05-07,4.97,8.23,8.3,8.05,8.08,5919500.0
2007-05-08,4.9,8.12,8.23,8.01,8.23,4642000.0
2007-05-09,4.86,8.05,8.11,7.96,8.11,5352000.0
2007-05-10,4.83,7.99,8.19,7.81,8.03,5872500.0
2007-05-11,4.87,8.05,8.11,7.97,8.0,5840000.0
2007-05-14,4.94,8.16,8.29,8.07,8.07,5044000.0
2007-05-15,4.97,8.21,8.4,8.1,8.16,4546000.0
2007-05-16,5.07,8.38,8.41,8.18,8.26,3903500.0
2007-05-17,5.11,8.45,8.62,8.3,8.34,5666000.0
2007-05-18,5.1,8.42,8.52,8.29,8.48,3236000.0
2007-05-21,5.2,8.59,8.63,8.43,8.44,3024500.0
2007-05-22,5.2,8.59,8.7,8.52,8.6,4742000.0
2007-05-23,5.03,8.31,8.62,8.3,8.61,2781000.0
2007-05-24,4.95,8.18,8.45,8.11,8.31,5335500.0
2007-05-25,5.13,8.48,8.51,8.22,8.22,3310500.0
2007-05-29,5.13,8.48,8.6,8.42,8.44,2453000.0
2007-05-30,5.37,8.88,8.96,8.32,8.44,7783500.0
2007-05-31,5.41,8.95,9.25,8.92,8.94,9265500.0
2007-06-01,5.6,9.26,9.3,8.96,9.02,7025000.0
2007-06-04,5.87,9.7,9.73,9.29,9.3,7459500.0
2007-06-05,5.91,9.77,9.88,9.63,9.63,7505000.0
2007-06-06,5.75,9.5,9.83,9.38,9.77,6413500.0
2007-06-07,5.6,9.26,9.53,9.17,9.45,5746500.0
2007-06-08,5.79,9.57,9.67,9.27,9.31,3823000.0
2007-06-11,5.9,9.75,9.88,9.5,9.57,4917500.0
2007-06-12,6.0,9.92,10.1,9.61,9.73,10469000.0
2007-06-13,6.31,10.43,10.52,9.86,10.08,9662000.0
2007-06-14,6.4,10.57,10.8,10.38,10.59,8322000.0
2007-06-15,6.65,10.99,11.02,10.78,10.79,7434000.0
2007-06-18,6.75,11.15,11.36,11.05,11.07,5017000.0
2007-06-19,6.94,11.47,11.5,10.92,11.11,5739500.0
2007-06-20,6.85,11.32,11.83,11.32,11.53,8009500.0
2007-06-21,7.33,12.11,12.27,11.23,11.38,12492000.0
2007-06-22,7.27,12.01,12.3,11.95,12.08,7779500.0
2007-06-25,7.12,11.77,12.28,11.66,12.02,7146000.0
2007-06-26,7.08,11.7,12.14,11.53,11.92,8268000.0
2007-06-27,6.9,11.41,11.65,11.03,11.65,11004500.0
