,Adj Close,Close,High,Low,Open,Volume
2007-01-03,7.54,11.01,11.02,10.7,10.75,2437200.0
2007-01-04,7.53,10.99,11.02,10.88,11.02,1390000.0
2007-01-05,7.55,11.01,11.03,10.8,10.8,1676000.0
2007-01-08,7.45,10.87,11.12,10.83,11.01,1026800.0
2007-01-09,7.54,11.01,11.01,10.84,10.88,1271200.0
2007-01-10,7.52,10.98,11.0,10.87,10.98,1482400.0
2007-01-11,7.59,11.07,11.11,11.01,11.01,976800.0
2007-01-12,7.6,11.1,11.12,11.05,11.05,587600.0
2007-01-16,7.57,11.05,11.12,11.01,11.12,730800.0
2007-01-17,7.65,11.17,11.17,11.04,11.05,724000.0
2007-01-18,7.62,11.11,11.39,11.05,11.39,587200.0
2007-01-19,7.64,11.15,11.3,11.03,11.11,2386800.0
2007-01-22,7.64,11.15,11.2,11.08,11.17,587600.0
2007-01-23,7.69,11.23,11.25,11.13,11.16,482800.0
2007-01-24,7.72,11.27,11.28,11.19,11.22,558400.0
2007-01-25,7.71,11.25,11.26,11.18,11.24,944800.0
2007-01-26,7.69,11.23,11.27,11.14,11.27,974800.0
2007-01-29,7.71,11.26,11.28,11.2,11.2,867200.0
2007-01-30,7.72,11.27,11.27,11.22,11.27,603200.0
2007-01-31,7.76,11.33,11.33,11.17,11.27,1152000.0
2007-02-01,7.75,11.32,11.36,11.3,11.34,1033200.0
2007-02-02,7.68,11.21,11.34,11.21,11.3,906000.0
2007-02-05,7.68,11.15,11.21,10.99,11.2,1490400.0
2007-02-06,7.96,11.55,11.67,10.97,11.48,5863200.0
2007-02-07,8.11,11.77,11.88,11.6,11.6,1692000.0
2007-02-08,8.03,11.65,11.77,11.62,11.72,943600.0
2007-02-09,8.0,11.6,11.67,11.55,11.64,1228000.0
2007-02-12,8.02,11.63,11.64,11.58,11.6,815200.0
2007-02-13,8.11,11.77,11.77,11.61,11.63,1352800.0
2007-02-14,8.1,11.76,11.85,11.73,11.77,762000.0
2007-02-15,8.07,11.7,11.75,11.66,11.75,1124800.0
2007-02-16,8.16,11.84,11.85,11.69,11.73,988400.0
2007-02-20,8.12,11.77,11.86,11.71,11.77,1350800.0
2007-02-21,8.12,11.77,11.81,11.73,11.73,1067600.0
2007-02-22,8.1,11.76,11.81,11.67,11.77,1075200.0
2007-02-23,8.11,11.76,11.78,11.69,11.77,461600.0
2007-02-26,8.17,11.85,11.85,11.73,11.8,894800.0
2007-02-27,8.12,11.77,11.9,11.64,11.85,1931600.0
2007-02-28,8.26,11.99,12.07,11.82,11.88,2884400.0
2007-03-01,8.25,11.96,12.06,11.84,11.98,1832400.0
2007-03-02,8.15,11.81,11.99,11.8,11.96,1414000.0
2007-03-05,8.08,11.71,11.87,11.71,11.76,1426000.0
2007-03-06,8.12,11.77,11.92,11.68,11.81,1724400.0
2007-03-07,8.11,11.76,11.88,11.72,11.79,1638400.0
2007-03-08,8.18,11.86,11.86,11.75,11.8,890400.0
2007-03-09,8.22,11.93,11.96,11.82,11.91,1692400.0
2007-03-12,8.24,11.95,11.98,11.88,11.92,1973200.0
2007-03-13,8.19,11.88,11.95,11.85,11.93,1808400.0
2007-03-14,8.2,11.89,11.99,11.8,11.88,2279200.0
2007-03-15,8.29,12.03,12.03,11.85,11.89,1648000.0
2007-03-16,8.27,11.99,12.09,11.95,12.04,1032400.0
2007-03-19,8.37,12.15,12.16,12.03,12.09,1011600.0
2007-03-20,8.46,12.28,12.28,12.12,12.15,1937600.0
2007-03-21,8.57,12.44,12.45,12.25,12.28,999200.0
2007-03-22,8.6,12.48,12.49,12.35,12.48,1637600.0
2007-03-23,8.6,12.47,12.5,12.44,12.48,1067200.0
2007-03-26,8.61,12.49,12.5,12.29,12.46,2399200.0
2007-03-27,8.57,12.43,12.49,12.35,12.45,1468800.0
2007-03-28,8.58,12.44,12.5,12.36,12.43,756000.0
2007-03-29,8.6,12.48,12.5,12.39,12.5,724000.0
2007-03-30,8.68,12.59,12.59,12.42,12.5,1067200.0
2007-04-02,8.81,12.78,13.23,12.72,13.0,2583200.0
2007-04-03,8.8,12.77,12.85,12.73,12.8,1114000.0
2007-04-04,8.82,12.8,12.88,12.75,12.77,930800.0
2007-04-05,8.86,12.85,12.9,12.81,12.81,1002400.0
2007-04-09,8.95,12.98,12.99,12.88,12.88,1766000.0
2007-04-10,8.94,12.97,13.06,12.9,12.97,544400.0
2007-04-11,8.92,12.94,12.97,12.85,12.95,722400.0
2007-04-12,8.92,12.94,12.95,12.85,12.91,1197200.0
2007-04-13,8.93,12.95,12.97,12.81,12.95,1183200.0
2007-04-16,8.95,12.98,13.09,12.91,13.01,1171600.0
2007-04-17,8.97,13.01,13.08,12.94,13.01,998800.0
2007-04-18,8.89,12.89,12.99,12.88,12.98,1118800.0
2007-04-19,8.87,12.87,12.9,12.63,12.87,845600.0
2007-04-20,8.87,12.86,12.99,12.75,12.93,1833200.0
2007-04-23,8.9,12.91,12.95,12.82,12.89,752000.0
2007-04-24,8.84,12.83,12.9,12.79,12.9,1223200.0
2007-04-25,8.84,12.82,12.89,12.75,12.86,1418000.0
2007-04-26,8.79,12.75,12.86,12.68,12.81,1562400.0
2007-04-27,8.79,12.75,12.8,12.63,12.73,1324800.0
2007-04-30,8.74,12.68,12.86,12.68,12.73,921200.0
2007-05-01,8.86,12.85,12.98,12.59,12.68,1049600.0
2007-05-02,8.89,12.9,12.94,12.83,12.83,1132400.0
2007-05-03,8.86,12.86,12.94,12.83,12.9,774000.0
2007-05-04,8.95,12.98,13.0,12.84,12.88,1146400.0
2007-05-07,8.97,13.01,13.19,12.97,13.07,1023600.0
2007-05-08,8.78,12.74,12.84,12.09,12.75,4599600.0
2007-05-09,8.7,12.61,12.74,12.52,12.68,1901200.0
