,Adj Close,Close,High,Low,Open,Volume
2007-01-03,19.67,23.92,24.38,23.5,24.35,1794000.0
2007-01-04,19.53,23.75,24.0,23.5,23.7,1641200.0
2007-01-05,19.08,23.2,23.72,23.0,23.58,2335000.0
2007-01-08,19.8,24.08,24.3,23.0,23.18,1752400.0
2007-01-09,19.67,23.92,24.1,23.55,24.05,1322400.0
2007-01-10,19.95,24.26,24.43,23.58,23.84,1087000.0
2007-01-11,20.19,24.56,24.85,24.22,24.25,931200.0
2007-01-12,20.68,25.15,25.33,24.5,24.5,1408800.0
2007-01-16,20.42,24.84,25.33,24.7,25.26,967200.0
2007-01-17,20.49,24.92,25.25,24.62,24.65,897800.0
2007-01-18,20.26,24.65,25.31,24.49,24.89,1081200.0
2007-01-19,20.59,25.03,25.15,24.61,24.65,1129400.0
2007-01-22,20.64,25.1,25.52,25.01,25.03,1028200.0
2007-01-23,21.38,26.0,26.06,25.01,25.11,1905400.0
2007-01-24,21.7,26.4,26.45,25.88,25.98,1100400.0
2007-01-25,21.42,26.05,26.7,25.85,26.5,952200.0
2007-01-26,21.59,26.26,26.35,25.75,26.03,751600.0
2007-01-29,21.72,26.42,26.62,26.01,26.25,1390600.0
2007-01-30,22.18,26.97,27.1,26.25,26.42,1715200.0
2007-01-31,22.47,27.33,27.5,26.73,26.92,1763800.0
2007-02-01,22.74,27.66,27.75,27.13,27.38,1392800.0
2007-02-02,22.78,27.7,27.8,27.29,27.66,1243800.0
2007-02-05,22.37,27.21,27.72,27.06,27.59,769400.0
2007-02-06,22.81,27.75,27.75,27.06,27.34,1010800.0
2007-02-07,22.79,27.72,28.02,27.55,27.83,1257800.0
2007-02-08,22.56,27.43,27.63,26.86,27.63,798000.0
2007-02-09,21.73,26.42,27.44,26.35,27.44,1228400.0
2007-02-12,21.73,26.42,26.73,26.26,26.43,969000.0
2007-02-13,22.65,27.48,27.9,26.62,26.67,1446600.0
2007-02-14,22.65,27.48,27.74,27.33,27.5,1065800.0
2007-02-15,22.79,27.66,28.03,27.35,27.35,1613600.0
2007-02-16,23.0,27.91,28.0,27.42,27.66,830400.0
2007-02-20,23.19,28.14,28.28,27.49,27.74,975000.0
2007-02-21,23.47,28.48,28.53,27.7,27.73,1364000.0
2007-02-22,24.14,29.28,29.57,28.59,28.98,2125000.0
2007-02-23,24.3,29.48,29.98,29.14,29.28,1638000.0
2007-02-26,24.97,30.29,30.45,29.67,29.67,1853000.0
2007-02-27,23.08,28.0,29.44,27.65,29.38,3333800.0
2007-02-28,23.21,28.16,28.47,27.62,27.95,2970200.0
2007-03-01,23.38,28.37,28.88,26.98,27.58,1977400.0
2007-03-02,22.15,26.87,28.49,26.8,28.25,2298400.0
2007-03-05,22.02,26.72,27.33,25.91,26.5,3096800.0
2007-03-06,22.94,27.83,27.98,27.0,27.1,1688000.0
2007-03-07,23.1,28.02,28.57,27.7,27.83,1615200.0
2007-03-08,23.51,28.52,28.97,28.24,28.24,1516600.0
2007-03-09,23.71,28.77,29.08,28.33,28.75,1239600.0
2007-03-12,24.05,29.18,29.73,28.34,28.72,2284400.0
2007-03-13,23.23,28.18,29.36,28.1,29.06,1794600.0
2007-03-14,24.01,29.14,29.23,27.98,28.18,1811000.0
2007-03-15,24.27,29.44,29.68,29.14,29.2,1507400.0
2007-03-16,23.89,28.99,29.5,28.82,29.44,1063600.0
2007-03-19,24.45,29.66,29.66,29.16,29.25,987800.0
2007-03-20,25.03,30.36,30.58,29.56,29.86,1937000.0
2007-03-21,25.95,31.48,31.51,30.35,30.36,2116600.0
2007-03-22,26.13,31.7,31.92,31.38,31.55,1851600.0
2007-03-23,25.94,31.47,31.88,31.39,31.7,1446200.0
2007-03-26,26.54,32.2,32.25,31.05,31.47,1626200.0
2007-03-27,26.14,31.71,32.35,31.64,32.2,1202400.0
2007-03-28,25.62,31.08,31.63,31.04,31.62,1465200.0
2007-03-29,26.35,31.97,32.06,31.43,31.5,1622800.0
2007-03-30,26.38,32.01,32.42,31.65,32.0,1608600.0
2007-04-02,26.93,32.67,32.84,32.1,32.13,2084600.0
2007-04-03,27.1,32.88,33.3,32.7,32.9,1366000.0
2007-04-04,27.64,33.53,33.69,32.85,32.85,1182000.0
2007-04-05,27.84,33.78,34.13,33.6,33.65,1657600.0
2007-04-09,27.86,33.81,34.18,33.76,33.99,1318200.0
2007-04-10,27.78,33.7,34.0,33.58,33.95,1264000.0
2007-04-11,27.47,33.33,33.97,33.07,33.71,1083000.0
2007-04-12,28.07,34.06,34.12,33.35,33.4,1199800.0
2007-04-13,28.54,34.62,34.68,33.77,34.01,1461600.0
2007-04-16,28.69,34.81,34.99,34.5,34.78,1033400.0
2007-04-17,28.3,34.33,34.81,34.19,34.75,1482000.0
2007-04-18,27.84,33.78,34.24,33.68,34.24,1421200.0
2007-04-19,27.71,33.62,33.84,32.92,33.45,1510800.0
2007-04-20,28.33,34.38,34.48,33.93,33.93,1062800.0
2007-04-23,28.68,34.79,35.18,34.38,34.44,1271200.0
2007-04-24,28.13,34.13,34.62,33.94,34.51,1549000.0
