,Adj Close,Close,High,Low,Open,Volume
2007-01-03,43.75,64.08,64.3,63.95,64.3,975500.0
2007-01-04,43.72,64.04,64.33,63.48,64.2,842800.0
2007-01-05,43.62,63.89,64.41,63.74,63.79,727000.0
2007-01-08,43.21,63.3,63.71,63.24,63.7,1028200.0
2007-01-09,43.27,63.38,63.82,62.84,63.31,1174700.0
2007-01-10,43.45,63.64,63.77,63.04,63.37,614500.0
2007-01-11,43.69,64.0,64.06,63.67,63.89,441400.0
2007-01-12,43.93,64.35,64.69,63.64,64.04,813600.0
2007-01-16,43.86,64.25,64.63,64.09,64.55,480500.0
2007-01-17,43.68,63.98,64.59,63.36,64.16,597100.0
2007-01-18,43.67,63.97,64.09,63.56,63.85,709100.0
2007-01-19,43.98,64.42,64.55,64.03,64.31,716800.0
2007-01-22,44.7,65.48,66.04,64.87,65.72,1410600.0
2007-01-23,44.78,65.59,66.2,64.91,65.59,1030500.0
2007-01-24,44.74,65.54,65.82,65.29,65.56,702600.0
2007-01-25,44.27,64.84,65.45,64.77,65.39,738400.0
2007-01-26,44.34,64.95,65.31,64.63,64.77,846300.0
2007-01-29,44.51,64.89,65.37,64.72,64.72,712600.0
2007-01-30,44.33,64.62,64.81,64.16,64.8,784100.0
2007-01-31,44.88,65.42,65.62,64.31,64.49,846900.0
2007-02-01,45.84,66.82,67.08,65.89,66.07,1733900.0
2007-02-02,46.19,67.34,67.5,66.67,66.83,1200700.0
2007-02-05,45.71,66.64,67.3,66.56,67.14,1258900.0
2007-02-06,45.53,66.37,66.84,66.19,66.55,965500.0
2007-02-07,44.93,65.5,66.48,65.49,66.23,884600.0
2007-02-08,44.94,65.52,65.87,65.35,65.54,772700.0
2007-02-09,44.59,65.01,65.8,64.87,65.69,638300.0
2007-02-12,44.83,65.35,65.5,64.91,65.1,487100.0
2007-02-13,45.2,65.89,65.97,65.42,65.58,736700.0
2007-02-14,45.58,66.45,66.63,65.81,65.9,779500.0
2007-02-15,45.68,66.59,66.8,66.15,66.25,579100.0
2007-02-16,45.38,66.16,66.78,66.0,66.51,2307000.0
2007-02-20,45.73,66.66,66.8,65.72,66.38,931600.0
2007-02-21,45.16,65.84,66.66,65.55,66.66,710900.0
2007-02-22,44.93,65.5,66.15,65.25,66.0,776100.0
2007-02-23,44.66,65.11,65.41,64.93,65.35,539000.0
2007-02-26,44.71,65.18,65.52,64.77,65.2,568700.0
2007-02-27,43.63,63.6,65.44,62.5,65.05,1003500.0
2007-02-28,43.48,63.39,64.07,63.31,63.7,1588300.0
2007-03-01,43.57,63.51,63.73,62.38,63.0,1704300.0
2007-03-02,43.15,62.9,63.65,62.8,63.45,875600.0
2007-03-05,42.75,62.32,62.94,62.29,62.5,871000.0
2007-03-06,43.25,63.05,63.19,62.33,62.52,978300.0
2007-03-07,42.98,62.66,63.18,62.62,62.98,1064500.0
2007-03-08,43.15,62.91,63.22,62.61,62.89,773200.0
2007-03-09,43.17,62.94,63.41,62.89,63.13,1022800.0
2007-03-12,43.22,63.0,63.25,62.9,62.9,714800.0
2007-03-13,42.4,61.81,63.3,61.77,63.0,993200.0
2007-03-14,42.33,61.71,62.66,60.96,62.66,1304400.0
2007-03-15,42.91,62.55,62.67,61.79,61.8,1127900.0
2007-03-16,42.69,62.23,62.76,62.14,62.76,1238500.0
2007-03-19,42.8,62.39,63.07,62.24,62.35,913800.0
2007-03-20,43.14,62.89,62.93,61.65,62.36,1178500.0
2007-03-21,44.37,64.68,64.69,63.48,63.8,1495500.0
2007-03-22,44.14,64.35,64.73,64.25,64.55,791100.0
2007-03-23,44.07,64.24,64.55,63.91,64.34,601900.0
2007-03-26,43.94,64.05,64.21,63.59,64.2,2145300.0
2007-03-27,44.03,64.18,64.22,63.76,63.95,1245400.0
2007-03-28,43.67,63.66,63.86,63.46,63.78,1178900.0
2007-03-29,43.94,64.06,64.34,63.63,64.25,868800.0
2007-03-30,43.69,63.69,64.24,63.21,64.16,988200.0
2007-04-02,43.79,63.84,64.09,63.49,63.68,1226500.0
2007-04-03,43.84,63.91,64.11,63.66,63.98,884100.0
2007-04-04,43.72,63.73,64.0,63.53,64.0,809600.0
2007-04-05,43.72,63.73,63.85,63.58,63.6,557300.0
2007-04-09,44.09,64.28,64.36,63.5,63.73,1042500.0
2007-04-10,43.97,64.1,64.49,63.99,64.32,537200.0
2007-04-11,43.96,64.08,64.16,63.58,64.0,1148900.0
2007-04-12,44.18,64.41,64.45,63.72,64.01,1046000.0
2007-04-13,44.19,64.42,64.63,64.13,64.4,951000.0
2007-04-16,44.36,64.67,65.37,64.43,64.9,989800.0
2007-04-17,44.52,64.9,65.07,64.54,64.64,963900.0
2007-04-18,44.76,65.25,65.3,64.75,64.9,1258600.0
2007-04-19,45.23,65.93,65.95,64.98,65.25,2101100.0
2007-04-20,45.58,66.45,66.6,65.9,66.6,2007000.0
2007-04-23,45.71,66.64,66.84,66.46,66.6,1606800.0
2007-04-24,46.02,67.09,67.1,66.17,66.74,1275600.0
2007-04-25,45.87,66.56,67.2,66.43,67.0,970600.0
2007-04-26,45.77,66.42,66.62,66.34,66.46,857500.0
2007-04-27,45.84,66.52,66.61,66.3,66.42,732000.0
2007-04-30,46.23,67.08,67.5,66.47,66.72,1584100.0
2007-05-01,46.7,67.76,68.15,66.8,67.2,2294900.0
2007-05-02,47.21,68.5,69.36,65.75,67.6,3759000.0
2007-05-03,46.71,67.78,68.64,67.5,68.51,1589700.0
2007-05-04,46.64,67.68,67.98,67.27,67.85,1354900.0
2007-05-07,46.59,67.6,67.98,67.34,67.8,915400.0
2007-05-08,46.3,67.18,67.46,67.06,67.2,762800.0
2007-05-09,46.31,67.2,67.39,66.98,67.0,655200.0
2007-05-10,45.88,66.57,67.13,66.56,67.1,829200.0
2007-05-11,45.79,66.44,66.79,66.3,66.65,689100.0
2007-05-14,45.66,66.25,66.87,66.16,66.6,602400.0
2007-05-15,45.31,65.75,66.6,65.75,66.3,1006000.0
2007-05-16,46.43,67.38,67.69,65.9,65.97,2363800.0
2007-05-17,46.23,67.08,67.38,67.0,67.05,908600.0
2007-05-18,46.22,67.07,67.2,66.72,67.1,813000.0
2007-05-21,46.55,67.54,68.09,67.26,67.71,1400800.0
2007-05-22,46.22,67.07,67.54,67.0,67.54,920100.0
2007-05-23,46.08,66.86,67.53,66.86,67.15,854500.0
2007-05-24,45.47,65.98,67.41,65.62,67.03,2298400.0
2007-05-25,45.88,66.57,66.65,66.0,66.0,1226100.0
2007-05-29,46.09,66.88,67.37,66.43,66.82,951300.0
2007-05-30,46.16,66.98,66.98,66.25,66.73,838800.0
2007-05-31,46.27,67.14,67.2,66.76,66.98,2073300.0
2007-06-01,46.13,66.94,67.36,66.56,67.36,1184900.0
2007-06-04,45.97,66.7,66.86,66.49,66.7,1056300.0
2007-06-05,45.75,66.39,66.64,66.24,66.64,958200.0
2007-06-06,45.06,65.39,66.34,65.15,66.34,1309100.0
2007-06-07,44.45,64.5,65.34,64.5,65.34,1071100.0
2007-06-08,44.88,65.12,65.17,64.47,64.5,815300.0
2007-06-11,44.62,64.75,65.29,64.72,65.05,839300.0
2007-06-12,44.08,63.96,64.69,63.95,64.65,871800.0
2007-06-13,44.99,65.29,65.29,64.1,64.1,905200.0
2007-06-14,44.72,64.89,65.29,64.66,65.29,574200.0
2007-06-15,44.37,64.39,65.26,64.35,65.0,1076200.0
2007-06-18,44.51,64.59,64.67,64.3,64.4,690800.0
2007-06-19,44.23,64.18,64.55,64.05,64.5,663900.0
2007-06-20,43.83,63.6,64.49,63.59,64.43,765600.0
2007-06-21,43.76,63.5,63.75,63.23,63.54,845900.0
2007-06-22,42.96,62.34,63.36,62.33,63.3,1470600.0
2007-06-25,42.98,62.37,62.75,62.04,62.35,1167100.0
2007-06-26,43.07,62.5,62.95,62.24,62.51,1060300.0
2007-06-27,42.69,61.94,62.5,61.61,62.5,1605700.0
2007-06-28,42.34,61.44,62.12,61.38,61.72,2013000.0
2007-06-29,42.8,62.1,62.27,61.52,61.75,1473600.0
2007-07-02,42.86,62.19,62.61,61.85,62.35,946500.0
2007-07-03,42.78,62.08,62.19,61.99,62.19,435500.0
2007-07-05,43.03,62.44,62.82,62.02,62.2,847500.0
2007-07-06,42.98,62.37,62.7,62.0,62.45,684600.0
2007-07-09,43.15,62.61,62.62,62.3,62.4,761500.0
2007-07-10,43.08,62.51,63.0,62.27,63.0,1900200.0
2007-07-11,43.42,63.0,63.09,62.19,62.48,1562000.0
2007-07-12,43.45,63.05,63.18,62.85,63.09,1611300.0
2007-07-13,43.38,62.95,63.1,62.82,63.1,947100.0
2007-07-16,43.42,63.01,63.29,62.55,62.55,1177300.0
2007-07-17,43.26,62.77,63.29,62.71,63.17,1031200.0
2007-07-18,43.09,62.52,62.7,62.0,62.63,1072800.0
2007-07-19,43.15,62.62,63.19,62.45,62.99,888900.0
2007-07-20,44.04,63.9,64.23,62.61,62.62,3052500.0
2007-07-23,44.71,64.87,65.21,64.15,64.4,1656000.0
2007-07-24,45.07,65.4,65.68,64.35,64.35,2231100.0
2007-07-25,44.79,64.59,65.48,64.21,65.35,1376700.0
2007-07-26,43.79,63.16,64.5,62.68,64.46,1942800.0
2007-07-27,43.0,62.01,63.32,62.01,62.96,1490000.0
2007-07-30,42.85,61.8,62.04,61.31,62.01,1775500.0
2007-07-31,41.92,60.46,61.75,60.44,61.75,2161800.0
