,Adj Close,Close,High,Low,Open,Volume
2007-01-03,11.48,14.22,14.3,13.95,14.13,39543600.0
2007-01-04,11.58,14.35,14.38,14.2,14.23,38122400.0
2007-01-05,11.45,14.18,14.35,14.11,14.32,25701200.0
2007-01-08,11.43,14.16,14.27,14.02,14.13,30999600.0
2007-01-09,11.5,14.25,14.28,14.02,14.21,32279000.0
2007-01-10,11.54,14.3,14.31,14.08,14.11,27816200.0
2007-01-11,11.55,14.32,14.35,14.24,14.3,30469800.0
2007-01-12,11.86,14.7,14.71,14.37,14.38,50815200.0
2007-01-16,11.96,14.82,14.96,14.68,14.74,42156200.0
2007-01-17,12.04,14.92,15.02,14.75,14.75,41208800.0
2007-01-18,12.13,15.03,15.09,14.89,15.01,27522200.0
2007-01-19,12.0,14.87,15.03,14.81,14.97,30267800.0
2007-01-22,12.05,14.93,15.04,14.82,14.85,28059000.0
2007-01-23,11.98,14.84,14.98,14.76,14.88,21506400.0
2007-01-24,12.11,15.0,15.03,14.85,14.89,36800400.0
2007-01-25,11.7,14.5,14.97,14.46,14.95,44605200.0
2007-01-26,11.65,14.43,14.66,14.37,14.51,31433000.0
2007-01-29,11.79,14.61,14.75,14.37,14.38,29335200.0
2007-01-30,11.76,14.57,14.68,14.48,14.68,20929400.0
2007-01-31,11.93,14.78,14.88,14.45,14.49,35816600.0
2007-02-01,11.55,14.31,14.73,14.03,14.62,78768600.0
2007-02-02,11.59,14.36,14.42,14.29,14.34,38118800.0
2007-02-05,11.47,14.21,14.34,14.16,14.33,31687800.0
2007-02-06,11.42,14.15,14.28,14.02,14.26,31856000.0
2007-02-07,11.45,14.18,14.33,14.06,14.16,30716600.0
2007-02-08,11.14,13.81,14.2,13.74,14.2,49590000.0
2007-02-09,10.98,13.61,13.91,13.48,13.88,49965800.0
2007-02-12,10.76,13.33,13.67,13.23,13.62,51078000.0
2007-02-13,11.03,13.67,13.74,13.3,13.36,43491000.0
2007-02-14,11.13,13.79,13.88,13.67,13.68,30984600.0
2007-02-15,11.12,13.78,13.8,13.63,13.76,21133800.0
2007-02-16,11.2,13.88,13.9,13.64,13.71,31209800.0
2007-02-20,11.15,13.82,13.85,13.69,13.8,31989000.0
2007-02-21,11.22,13.9,13.94,13.72,13.73,25667600.0
