,Adj Close,Close,High,Low,Open,Volume
2007-01-03,9.53,17.05,17.25,16.62,16.63,5540800.0
2007-01-04,9.55,17.08,17.38,17.0,17.04,3936500.0
2007-01-05,9.39,16.79,17.47,16.67,17.13,6084900.0
2007-01-08,9.3,16.63,16.91,16.54,16.74,3849100.0
2007-01-09,9.34,16.7,16.77,16.54,16.65,2815400.0
2007-01-10,9.39,16.79,16.89,16.66,16.7,1676800.0
2007-01-11,9.43,16.87,17.03,16.7,16.82,1644300.0
2007-01-12,9.41,16.84,17.34,16.79,16.88,1962000.0
2007-01-16,9.45,16.9,16.97,16.84,16.89,1455100.0
2007-01-17,9.34,16.71,16.75,16.54,16.69,2397400.0
2007-01-18,9.23,16.51,16.73,16.5,16.72,2830400.0
2007-01-19,9.35,16.72,16.73,16.4,16.48,2131100.0
2007-01-22,9.42,16.85,16.89,16.64,16.75,3568000.0
2007-01-23,9.51,17.01,17.02,16.78,16.85,3543700.0
2007-01-24,9.68,17.31,17.41,17.02,17.09,5937100.0
2007-01-25,9.73,17.41,17.42,17.15,17.2,6313000.0
2007-01-26,9.78,17.49,17.54,17.35,17.41,4076700.0
2007-01-29,9.74,17.43,17.49,17.22,17.48,4253300.0
2007-01-30,9.77,17.47,17.48,17.24,17.43,3283400.0
2007-01-31,9.65,17.26,17.47,17.26,17.47,4676700.0
2007-02-01,9.78,17.5,17.5,17.25,17.28,2748800.0
2007-02-02,9.78,17.5,17.55,17.44,17.54,2056500.0
2007-02-05,9.93,17.77,17.79,17.48,17.5,2758700.0
2007-02-06,10.06,18.0,18.31,17.56,18.0,3146800.0
2007-02-07,9.95,17.8,18.0,17.76,18.0,2582600.0
2007-02-08,10.1,18.06,18.08,17.55,17.81,7582600.0
2007-02-09,10.04,17.95,18.1,17.85,18.03,2630000.0
2007-02-12,10.03,17.94,18.04,17.9,17.97,2007600.0
2007-02-13,10.17,18.19,18.2,17.88,17.92,1970400.0
2007-02-14,10.25,18.17,18.24,18.0,18.1,2244900.0
2007-02-15,10.26,18.18,18.24,18.12,18.2,1342600.0
2007-02-16,10.25,18.16,18.18,17.86,18.12,999000.0
2007-02-20,10.32,18.28,18.33,18.06,18.11,1468400.0
2007-02-21,10.3,18.25,18.3,18.09,18.28,1837800.0
2007-02-22,10.29,18.24,18.36,18.18,18.26,1900900.0
2007-02-23,10.29,18.23,18.29,18.16,18.29,1642300.0
2007-02-26,10.37,18.37,18.95,18.32,18.38,3675400.0
2007-02-27,10.07,17.85,18.43,17.64,18.38,3216800.0
2007-02-28,10.06,17.83,18.04,17.49,17.49,2928100.0
2007-03-01,10.08,17.87,17.99,16.52,17.6,3005200.0
2007-03-02,9.88,17.5,17.63,17.03,17.15,2843100.0
2007-03-05,9.64,17.09,17.4,17.07,17.4,2765300.0
2007-03-06,9.83,17.41,17.5,17.05,17.09,4467000.0
2007-03-07,9.89,17.53,17.71,17.25,17.35,3368100.0
2007-03-08,9.9,17.54,17.71,17.5,17.65,2725400.0
2007-03-09,9.95,17.63,17.7,17.43,17.57,2227400.0
2007-03-12,9.94,17.62,17.74,17.39,17.69,3051500.0
2007-03-13,9.82,17.4,17.8,17.4,17.57,2131600.0
2007-03-14,9.84,17.44,17.58,17.0,17.45,3565400.0
2007-03-15,9.91,17.56,17.64,17.15,17.4,2488100.0
2007-03-16,9.85,17.46,17.65,17.4,17.58,3396300.0
2007-03-19,9.98,17.68,17.72,17.46,17.47,2375500.0
2007-03-20,10.06,17.83,17.85,17.58,17.69,1833200.0
2007-03-21,10.23,18.12,18.16,17.74,17.85,3747300.0
2007-03-22,10.15,17.98,18.17,17.94,18.13,2645400.0
2007-03-23,10.27,18.2,18.21,17.91,18.02,2675700.0
2007-03-26,10.26,18.18,18.19,17.89,18.06,2406200.0
2007-03-27,10.24,18.15,18.24,17.97,18.11,1873600.0
2007-03-28,10.15,17.98,18.22,17.93,18.15,2199900.0
2007-03-29,10.21,18.1,18.12,17.96,18.02,1599800.0
2007-03-30,10.12,17.94,18.2,17.7,18.1,2138600.0
2007-04-02,10.4,18.42,18.45,17.87,17.93,2729300.0
2007-04-03,10.37,18.38,18.5,18.33,18.49,2833300.0
2007-04-04,10.41,18.45,18.45,18.32,18.43,1457200.0
2007-04-05,10.43,18.49,18.54,18.42,18.54,2674700.0
2007-04-09,10.46,18.53,18.61,18.47,18.5,1409000.0
2007-04-10,10.52,18.64,18.69,18.46,18.56,2746200.0
2007-04-11,10.51,18.63,18.73,18.49,18.67,2827100.0
2007-04-12,10.42,18.47,18.7,18.37,18.64,1598700.0
2007-04-13,10.31,18.27,18.56,18.27,18.49,2298500.0
2007-04-16,10.43,18.48,18.59,18.33,18.35,5352700.0
2007-04-17,10.58,18.75,18.76,18.36,18.48,2207100.0
2007-04-18,10.68,18.93,19.01,18.27,18.27,2516800.0
2007-04-19,10.54,18.68,19.4,18.35,18.45,1141100.0
2007-04-20,10.64,18.86,18.95,18.73,18.87,3695700.0
2007-04-23,10.66,18.89,19.16,18.8,18.83,2033600.0
2007-04-24,10.68,18.93,18.99,18.76,18.91,1999200.0
2007-04-25,10.81,19.15,19.3,19.0,19.0,1768900.0
2007-04-26,10.69,18.94,19.21,18.87,19.14,1357900.0
2007-04-27,10.76,19.06,19.11,18.83,18.94,1643900.0
2007-04-30,10.63,18.83,19.14,18.78,19.11,2907000.0
2007-05-01,10.91,19.34,19.38,18.77,18.89,5412600.0
2007-05-02,10.93,19.36,19.42,19.18,19.34,1847200.0
2007-05-03,11.07,19.61,19.71,19.06,19.06,2767200.0
2007-05-04,11.04,19.57,19.95,19.46,19.94,2287100.0
2007-05-07,11.02,19.53,19.73,19.4,19.6,2397000.0
2007-05-08,11.21,19.87,20.0,19.5,19.7,3664600.0
2007-05-09,11.3,20.02,20.2,19.73,19.91,2327000.0
2007-05-10,11.15,19.75,20.0,19.68,19.97,1844200.0
2007-05-11,11.21,19.87,19.92,19.65,19.75,1462700.0
2007-05-14,11.18,19.64,19.8,19.53,19.68,1437200.0
2007-05-15,11.16,19.61,19.84,19.55,19.68,2109100.0
2007-05-16,11.11,19.51,19.75,19.46,19.62,1794000.0
2007-05-17,11.12,19.53,19.6,19.47,19.59,1424900.0
2007-05-18,11.13,19.56,19.62,19.48,19.57,1258400.0
2007-05-21,11.13,19.56,19.69,19.08,19.25,1543900.0
2007-05-22,11.09,19.48,19.75,19.47,19.6,1530100.0
2007-05-23,10.95,19.24,19.64,19.17,19.54,1592800.0
2007-05-24,10.68,18.76,19.34,18.72,19.25,3160000.0
2007-05-25,10.65,18.71,18.91,18.49,18.73,2514000.0
2007-05-29,10.8,18.98,19.09,18.8,18.8,2314100.0
2007-05-30,10.85,19.07,19.11,18.8,19.11,2001200.0
2007-05-31,10.78,18.93,19.15,18.89,19.15,2648700.0
2007-06-01,10.65,18.71,19.03,18.66,18.98,2883800.0
2007-06-04,10.63,18.67,18.76,18.5,18.71,2173900.0
2007-06-05,10.43,18.32,18.7,18.29,18.33,1764000.0
2007-06-06,10.23,17.97,18.28,17.92,18.28,2014600.0
2007-06-07,9.92,17.43,17.95,17.21,17.95,4482100.0
2007-06-08,10.0,17.56,17.63,17.28,17.43,2266200.0
2007-06-11,10.13,17.79,17.97,17.54,17.57,2230200.0
2007-06-12,9.96,17.5,17.72,17.45,17.64,3233500.0
2007-06-13,10.18,17.89,17.9,17.53,17.55,3651600.0
2007-06-14,10.21,17.94,18.03,17.8,17.9,2552200.0
2007-06-15,10.28,18.06,18.21,17.97,18.05,1932600.0
2007-06-18,10.16,17.85,18.1,17.83,18.09,1692100.0
2007-06-19,10.19,17.91,17.96,17.71,17.87,1645800.0
2007-06-20,9.85,17.31,18.09,17.29,18.02,2605200.0
2007-06-21,9.85,17.31,17.48,17.03,17.32,2730100.0
2007-06-22,9.62,16.9,17.35,16.88,17.3,5540600.0
2007-06-25,9.63,16.92,17.18,16.84,16.92,3010400.0
2007-06-26,9.63,16.92,17.34,16.88,17.1,3519500.0
2007-06-27,9.84,17.28,17.32,16.74,16.76,3535400.0
2007-06-28,9.85,17.31,17.61,17.1,17.28,4205400.0
2007-06-29,9.9,17.4,17.58,17.26,17.42,2831100.0
2007-07-02,10.02,17.61,17.74,17.36,17.53,2952400.0
