,Adj Close,Close,High,Low,Open,Volume
2007-01-03,61.94,77.25,77.75,76.62,77.07,3047000.0
2007-01-04,61.86,77.16,77.72,76.63,77.47,1461400.0
2007-01-05,61.86,77.16,77.5,76.5,77.16,2163900.0
2007-01-08,62.08,77.43,77.47,76.49,77.24,2018900.0
2007-01-09,61.44,76.63,77.7,76.3,77.68,2089600.0
2007-01-10,60.69,75.7,76.53,75.3,76.49,2839500.0
2007-01-11,60.93,75.99,76.1,75.45,75.7,3194800.0
2007-01-12,61.75,77.02,77.22,75.97,75.99,2819600.0
2007-01-16,61.09,76.19,77.04,75.95,77.03,3647000.0
2007-01-17,61.36,76.53,77.14,75.89,76.16,2884900.0
2007-01-18,60.79,75.82,77.55,75.57,77.3,3288100.0
2007-01-19,63.24,78.88,79.0,76.89,77.5,7297000.0
2007-01-22,63.33,78.99,79.71,78.38,78.78,3975900.0
2007-01-23,64.18,80.05,80.09,79.09,79.37,3825400.0
2007-01-24,64.33,80.24,80.28,79.53,80.0,2667600.0
2007-01-25,63.08,78.68,80.4,78.31,80.24,3352500.0
2007-01-26,63.72,79.47,79.8,78.85,79.5,2715700.0
2007-01-29,63.14,78.75,79.49,78.23,79.3,2081100.0
2007-01-30,64.26,80.15,80.4,78.25,78.77,3381400.0
2007-01-31,64.46,80.4,80.73,78.97,79.8,2996300.0
2007-02-01,63.92,79.72,80.43,79.45,80.4,2799700.0
2007-02-02,64.79,80.81,81.25,79.67,79.97,5207700.0
2007-02-05,65.46,81.64,81.86,80.27,80.57,3509200.0
2007-02-06,66.3,82.69,82.85,81.41,81.6,4148500.0
2007-02-07,67.04,83.61,83.84,81.78,82.7,3162900.0
2007-02-08,66.39,82.78,83.18,81.01,83.04,3464300.0
2007-02-09,65.77,82.01,83.12,81.3,82.7,2697600.0
2007-02-12,65.36,81.5,82.17,80.78,81.59,2661000.0
2007-02-13,65.59,81.78,82.42,81.5,81.6,2207800.0
2007-02-14,65.66,81.87,82.63,81.68,82.1,2669200.0
2007-02-15,66.05,82.35,82.5,81.25,81.99,3127200.0
2007-02-16,65.82,82.07,82.43,81.7,82.1,3397300.0
2007-02-20,65.88,82.14,82.39,81.59,81.82,2601100.0
2007-02-21,66.0,82.29,82.4,81.23,81.5,3546500.0
2007-02-22,66.01,82.31,82.45,81.87,82.44,2611200.0
2007-02-23,64.55,80.48,82.43,79.91,82.43,3420200.0
2007-02-26,64.42,80.32,81.14,79.52,80.51,3242300.0
2007-02-27,61.86,77.13,79.89,76.31,79.5,4783200.0
2007-02-28,61.78,77.03,78.27,75.78,77.13,4257500.0
2007-03-01,61.88,77.15,77.46,75.0,75.35,3539100.0
2007-03-02,61.58,76.78,77.43,76.15,76.6,3236000.0
2007-03-05,59.65,74.37,77.24,74.25,76.0,4761400.0
2007-03-06,60.84,75.86,76.3,74.69,76.0,2702100.0
2007-03-07,60.0,74.81,75.85,74.79,75.61,2733600.0
2007-03-08,61.47,76.65,77.35,75.5,75.61,3825700.0
2007-03-09,61.76,77.0,77.53,76.2,77.25,3454400.0
2007-03-12,61.1,76.18,76.9,76.1,76.9,2015600.0
2007-03-13,59.95,74.75,75.99,74.55,75.5,4442100.0
2007-03-14,60.32,75.21,75.5,73.43,74.76,4652200.0
2007-03-15,60.91,75.95,76.65,75.0,75.21,2711300.0
2007-03-16,60.11,74.95,76.52,74.6,76.37,3596900.0
2007-03-19,60.66,75.64,75.88,74.62,75.16,3801500.0
2007-03-20,61.12,76.21,76.29,75.25,75.63,2491100.0
2007-03-21,62.61,78.07,78.86,75.92,76.13,3537800.0
2007-03-22,62.36,77.76,78.85,77.07,77.9,2218100.0
2007-03-23,62.47,77.89,78.17,77.47,77.76,2656000.0
2007-03-26,62.11,77.44,78.24,76.63,77.93,3043600.0
2007-03-27,61.47,76.64,77.25,76.54,76.94,3120000.0
2007-03-28,60.54,75.49,76.22,75.02,76.22,3561700.0
2007-03-29,60.67,75.65,76.31,75.2,76.08,1759800.0
2007-03-30,60.52,75.46,76.02,75.07,75.37,2074100.0
2007-04-02,59.0,73.57,75.23,73.42,75.22,25366200.0
2007-04-03,59.64,74.36,75.15,73.75,73.97,4172800.0
2007-04-04,58.77,73.28,74.53,73.08,74.47,4471400.0
2007-04-05,58.84,73.36,73.48,72.47,73.26,4520200.0
2007-04-09,58.89,73.43,73.69,73.06,73.41,2081900.0
2007-04-10,59.36,74.01,74.17,73.13,73.44,2453900.0
2007-04-11,59.28,73.92,74.44,73.67,73.84,3270200.0
2007-04-12,59.21,73.83,73.98,73.25,73.51,2461200.0
2007-04-13,60.2,75.06,75.1,73.88,73.9,3785700.0
2007-04-16,61.2,76.31,76.9,75.25,75.37,3016200.0
2007-04-17,61.85,77.12,77.4,76.13,76.8,3653700.0
2007-04-18,62.3,77.68,78.18,76.5,77.12,3588200.0
2007-04-19,62.03,77.34,78.15,76.61,77.0,4136800.0
2007-04-20,58.39,72.8,74.39,71.57,73.54,15549900.0
2007-04-23,56.35,70.26,72.45,70.24,72.45,9344700.0
2007-04-24,57.72,71.97,71.99,70.54,70.78,6313900.0
2007-04-25,59.31,73.95,74.11,72.28,72.75,5933300.0
2007-04-26,60.54,75.49,75.93,73.51,73.54,6188000.0
2007-04-27,60.08,74.91,75.38,73.87,74.74,4156700.0
2007-04-30,59.56,74.26,75.67,74.21,74.99,3557900.0
