,Adj Close,Close,High,Low,Open,Volume
2007-01-03,32.12,51.98,54.51,51.76,54.35,27097900.0
2007-01-04,31.12,50.37,51.44,49.65,51.15,35752600.0
2007-01-05,31.75,51.4,51.57,50.37,50.85,21196800.0
2007-01-08,32.17,52.07,52.27,51.15,51.91,21997900.0
2007-01-09,31.33,50.7,51.57,50.63,51.08,26330200.0
2007-01-10,30.39,49.19,51.23,49.09,50.31,30872600.0
2007-01-11,29.12,47.13,49.12,46.95,48.41,43260600.0
2007-01-12,30.06,48.66,48.78,47.48,47.63,25158800.0
2007-01-16,29.58,47.88,48.99,47.64,48.7,22196100.0
2007-01-17,29.93,48.45,48.84,47.8,47.8,23623100.0
2007-01-18,29.49,47.73,49.09,47.58,48.83,20948500.0
2007-01-19,30.12,48.75,48.96,48.0,48.03,18354900.0
2007-01-22,29.85,48.32,49.22,48.13,49.09,17610700.0
2007-01-23,30.6,49.53,49.79,48.54,48.68,20757900.0
2007-01-24,30.91,50.02,50.18,49.13,49.55,16555300.0
2007-01-25,30.17,48.83,50.05,48.73,50.02,12395700.0
2007-01-26,30.51,49.38,49.63,48.86,49.14,11096300.0
2007-01-29,30.43,49.26,49.89,49.14,49.51,12873700.0
2007-01-30,30.92,50.05,50.18,49.36,49.5,14656900.0
2007-01-31,31.28,50.63,50.8,49.66,49.99,20985600.0
2007-02-01,31.7,51.31,51.4,50.57,50.85,18305500.0
2007-02-02,31.69,51.3,51.48,50.71,51.34,9122800.0
2007-02-05,31.57,51.11,51.66,50.98,51.38,8588400.0
2007-02-06,31.39,50.8,51.73,50.5,51.59,10935600.0
2007-02-07,31.19,50.49,51.03,50.14,50.95,13050800.0
2007-02-08,31.49,50.98,51.17,50.02,50.47,13042300.0
2007-02-09,31.55,51.07,51.33,50.72,51.08,12404900.0
2007-02-12,31.1,50.34,50.89,50.08,50.39,11896300.0
2007-02-13,31.68,51.28,51.34,50.43,50.43,12818400.0
2007-02-14,31.77,51.43,51.91,51.23,51.26,12464700.0
2007-02-15,31.41,50.43,51.14,50.14,51.14,13664400.0
2007-02-16,31.41,50.43,50.62,50.12,50.17,9262400.0
2007-02-20,31.14,49.99,50.05,49.57,50.02,9518600.0
2007-02-21,31.47,50.53,50.59,49.3,49.94,14115100.0
2007-02-22,31.75,50.98,51.05,50.01,50.53,11803600.0
2007-02-23,31.9,51.23,51.64,51.15,51.28,11579300.0
2007-02-26,32.27,51.81,52.17,51.43,51.52,10336200.0
2007-02-27,30.88,49.59,51.48,48.8,51.0,22189300.0
2007-02-28,31.01,49.79,50.65,49.28,49.93,18449100.0
2007-03-01,31.31,50.27,50.57,48.99,49.48,18910200.0
2007-03-02,30.83,49.5,50.31,49.18,50.08,14175000.0
2007-03-05,30.62,49.16,50.08,48.66,48.87,16213700.0
2007-03-06,31.25,50.18,50.28,49.47,49.57,12598800.0
2007-03-07,31.89,51.2,52.41,50.09,50.18,21467300.0
2007-03-08,32.08,51.51,51.94,51.25,51.69,13201700.0
2007-03-09,32.19,51.69,52.07,51.4,51.96,15994200.0
2007-03-12,31.92,51.26,51.63,50.92,51.08,14047400.0
2007-03-13,31.61,50.76,52.17,50.74,51.14,16996600.0
2007-03-14,32.24,51.77,51.8,50.21,51.03,20495500.0
2007-03-15,31.58,50.71,51.6,50.66,51.46,17054800.0
2007-03-16,31.02,49.81,50.8,49.69,50.7,18978800.0
2007-03-19,31.17,50.05,50.43,49.63,50.05,19416000.0
2007-03-20,31.48,50.55,50.63,49.53,50.24,16360700.0
2007-03-21,31.89,51.2,51.49,50.5,50.68,14972700.0
2007-03-22,32.61,52.36,52.86,51.43,51.43,21206100.0
2007-03-23,32.88,52.79,53.24,52.37,52.75,14397200.0
2007-03-26,33.02,53.03,53.39,52.58,52.99,13499900.0
2007-03-27,32.99,52.97,53.16,52.6,52.84,10996700.0
2007-03-28,32.87,52.78,53.74,51.53,53.3,15348700.0
2007-03-29,32.84,52.73,53.25,52.49,53.2,14241300.0
2007-03-30,32.45,52.1,52.66,51.84,52.43,14176000.0
2007-04-02,32.37,51.98,52.42,51.69,52.23,13252600.0
2007-04-03,32.21,51.72,52.09,51.23,51.56,13470600.0
2007-04-04,32.16,51.64,51.79,50.79,51.44,14998600.0
2007-04-05,32.27,51.81,52.11,51.34,51.59,9081200.0
2007-04-09,32.48,52.16,52.72,50.5,51.09,12707000.0
2007-04-10,32.97,52.94,53.21,52.36,52.36,15897200.0
2007-04-11,32.87,52.78,53.33,52.62,53.17,14216400.0
2007-04-12,33.47,53.74,53.81,52.63,53.13,15600700.0
2007-04-13,33.49,53.77,53.95,53.23,53.75,12914400.0
2007-04-16,33.52,53.82,53.99,53.26,53.94,10367200.0
2007-04-17,33.44,53.69,54.25,53.39,53.9,12064000.0
2007-04-18,33.16,53.24,53.43,52.96,53.31,10414400.0
2007-04-19,32.89,52.81,53.08,52.48,52.8,8786100.0
2007-04-20,33.83,54.32,54.37,52.88,53.4,16229200.0
2007-04-23,33.52,53.82,54.63,53.66,54.09,17301300.0
2007-04-24,33.06,53.09,53.83,52.9,53.47,14245900.0
2007-04-25,33.62,53.99,54.3,52.63,53.27,18387300.0
2007-04-26,33.58,53.92,54.12,53.19,53.19,12953900.0
2007-04-27,33.25,53.39,53.83,52.97,53.67,11577300.0
2007-04-30,32.93,52.87,53.93,52.7,53.1,14266200.0
2007-05-01,32.85,52.74,53.29,52.39,52.84,12722400.0
2007-05-02,32.96,52.92,53.11,52.37,52.76,12135900.0
2007-05-03,33.23,53.35,53.56,52.58,52.73,18584600.0
2007-05-04,33.32,53.51,54.09,53.29,53.47,11104800.0
2007-05-07,33.4,53.62,53.63,52.94,53.32,9066300.0
2007-05-08,33.35,53.55,53.78,53.03,53.39,9688200.0
2007-05-09,33.29,53.45,53.69,52.81,53.41,15474500.0
2007-05-10,32.8,52.66,53.72,52.37,53.52,12943300.0
2007-05-11,33.32,53.51,53.78,52.9,52.9,14257900.0
2007-05-14,33.58,53.91,54.05,53.51,53.51,14010900.0
2007-05-15,33.58,53.91,54.54,53.68,53.68,13104500.0
2007-05-16,34.11,54.77,54.79,53.86,54.08,20797100.0
2007-05-17,35.04,55.84,56.1,54.12,54.52,20607000.0
2007-05-18,35.8,57.06,57.26,55.45,56.08,23021100.0
2007-05-21,36.29,57.83,58.55,57.36,57.55,23177600.0
2007-05-22,36.28,57.82,58.62,57.17,57.17,18116000.0
2007-05-23,36.69,58.48,59.29,58.13,58.13,19036900.0
2007-05-24,35.97,57.32,59.11,56.92,58.39,27765300.0
2007-05-25,36.56,58.26,58.36,57.49,57.75,15270500.0
2007-05-29,36.04,57.44,58.16,56.92,58.15,13853600.0
2007-05-30,36.98,58.93,59.06,57.11,57.15,17119500.0
2007-05-31,37.04,59.03,59.41,58.64,59.17,17746600.0
2007-06-01,37.72,60.12,60.38,59.36,59.39,15130100.0
2007-06-04,37.99,60.54,60.92,59.85,60.13,11614900.0
