,Adj Close,Close,High,Low,Open,Volume
2007-01-03,8.99,11.58,11.77,11.42,11.59,19068300.0
2007-01-04,9.06,11.67,11.68,11.49,11.6,12264600.0
2007-01-05,8.87,11.43,11.67,11.38,11.53,13724100.0
2007-01-08,8.97,11.56,11.58,11.29,11.4,10601100.0
2007-01-09,8.87,11.42,11.76,11.34,11.55,10473600.0
2007-01-10,8.77,11.3,11.66,11.17,11.66,11474400.0
2007-01-11,8.87,11.42,11.45,11.32,11.37,10230600.0
2007-01-12,8.98,11.57,11.58,11.35,11.48,9676200.0
2007-01-16,9.21,11.87,11.92,11.47,11.49,22692900.0
2007-01-17,9.16,11.8,11.94,11.73,11.8,13573500.0
2007-01-18,9.2,11.85,12.05,11.78,11.84,12496200.0
2007-01-19,9.25,11.91,12.08,11.77,11.86,12831600.0
2007-01-22,9.08,11.7,11.92,11.6,11.88,12491100.0
2007-01-23,9.49,12.22,12.33,11.44,11.5,22223700.0
2007-01-24,9.42,12.13,12.23,11.95,12.2,11861700.0
2007-01-25,9.31,11.99,12.2,11.92,12.1,12236400.0
2007-01-26,9.14,11.77,12.02,11.66,11.85,13497300.0
2007-01-29,9.1,11.72,11.89,11.56,11.66,20062200.0
2007-01-30,9.13,11.76,11.8,11.65,11.69,12932700.0
2007-01-31,9.52,12.26,12.33,11.73,11.73,23303700.0
2007-02-01,9.65,12.43,12.53,12.26,12.26,21350400.0
2007-02-02,9.81,12.64,12.76,12.32,12.32,25132200.0
2007-02-05,9.81,12.63,12.71,12.53,12.66,14494200.0
2007-02-06,9.57,12.32,12.49,12.25,12.25,15747300.0
2007-02-07,9.6,12.37,12.5,12.26,12.33,17051100.0
2007-02-08,9.53,12.28,12.42,12.27,12.33,13937400.0
2007-02-09,9.59,12.36,12.39,12.21,12.36,22799400.0
2007-02-12,9.82,12.65,12.68,12.21,12.35,23769600.0
2007-02-13,10.19,13.12,13.25,12.57,12.59,38043300.0
2007-02-14,10.9,14.03,14.18,13.04,13.12,50161200.0
2007-02-15,10.55,13.59,13.94,13.58,13.83,29324700.0
2007-02-16,10.53,13.56,13.7,13.43,13.62,20077200.0
2007-02-20,10.46,13.47,13.59,13.39,13.51,24614700.0
2007-02-21,10.58,13.62,13.68,13.16,13.17,22122900.0
2007-02-22,10.47,13.48,13.83,13.38,13.73,24459300.0
2007-02-23,10.46,13.47,13.6,13.35,13.5,19947600.0
2007-02-26,10.21,13.15,13.42,13.14,13.42,22456800.0
2007-02-27,9.68,12.43,12.98,12.23,12.78,27912900.0
2007-02-28,9.77,12.54,12.68,12.41,12.65,19866600.0
2007-03-01,9.56,12.27,12.5,11.9,12.2,32946600.0
2007-03-02,9.39,12.06,12.39,12.02,12.22,20007300.0
2007-03-05,9.21,11.83,12.11,11.82,11.9,15843900.0
2007-03-06,9.43,12.1,12.27,12.07,12.25,26775600.0
2007-03-07,9.6,12.33,12.41,12.1,12.1,36845100.0
2007-03-08,9.78,12.56,12.61,12.42,12.43,20923200.0
2007-03-09,9.83,12.62,12.75,12.54,12.63,18786300.0
2007-03-12,9.8,12.58,12.7,12.5,12.62,18652200.0
2007-03-13,9.63,12.37,12.62,12.33,12.52,13179300.0
2007-03-14,9.54,12.25,12.48,11.9,12.34,16500900.0
2007-03-15,9.81,12.59,12.65,12.21,12.26,14974500.0
2007-03-16,10.41,13.37,13.48,12.43,12.78,45922800.0
2007-03-19,10.37,13.32,13.36,12.75,12.83,27756000.0
2007-03-20,10.39,13.34,13.42,13.16,13.22,16606800.0
2007-03-21,10.4,13.35,13.39,13.23,13.23,16335600.0
2007-03-22,10.35,13.29,13.38,13.16,13.32,17662800.0
2007-03-23,10.81,13.88,14.03,12.58,12.58,36917700.0
2007-03-26,10.41,13.36,13.74,13.28,13.72,31727700.0
2007-03-27,10.14,13.03,13.35,13.0,13.34,22973400.0
2007-03-28,10.09,12.95,13.03,12.78,12.85,27188100.0
2007-03-29,10.36,13.3,13.39,13.09,13.2,29956500.0
2007-03-30,10.4,13.35,13.52,13.08,13.3,29326500.0
2007-04-02,10.51,13.49,13.51,13.23,13.28,18261900.0
2007-04-03,10.69,13.73,13.78,13.56,13.67,28471500.0
2007-04-04,10.57,13.58,13.77,13.55,13.72,20766300.0
2007-04-05,10.63,13.65,13.72,13.12,13.17,34037400.0
2007-04-09,10.87,13.95,14.59,13.93,14.16,37301700.0
2007-04-10,10.89,13.99,14.07,13.75,13.75,23612400.0
2007-04-11,10.83,13.91,14.04,13.82,14.0,27239700.0
2007-04-12,11.2,14.38,14.67,13.81,13.95,35811600.0
