,Adj Close,Close,High,Low,Open,Volume
2007-01-03,32.78,40.43,41.29,39.68,39.68,1831200.0
2007-01-04,32.82,40.47,40.77,39.97,40.41,793000.0
2007-01-05,32.67,40.29,40.67,39.93,40.57,1139400.0
2007-01-08,32.7,40.33,40.52,40.0,40.26,734900.0
2007-01-09,32.64,40.26,40.59,39.96,40.35,792300.0
2007-01-10,32.56,40.15,40.37,39.84,39.98,967500.0
2007-01-11,32.83,40.49,40.78,40.08,40.35,738200.0
2007-01-12,32.99,40.68,40.91,40.28,40.49,923900.0
2007-01-16,33.24,40.99,41.02,40.58,40.84,650600.0
2007-01-17,33.12,40.84,41.31,40.83,40.99,787200.0
2007-01-18,33.0,40.7,41.4,40.6,40.91,687100.0
2007-01-19,33.08,40.8,40.92,40.31,40.32,965300.0
2007-01-22,33.12,40.85,41.02,40.44,40.88,670300.0
2007-01-23,33.0,40.7,41.14,40.59,40.77,530600.0
2007-01-24,33.79,41.67,42.05,41.01,41.08,1321400.0
2007-01-25,33.32,41.09,41.42,40.87,41.36,817600.0
2007-01-26,33.22,40.97,41.19,40.67,41.13,538200.0
2007-01-29,33.57,41.4,41.73,40.73,40.78,1270700.0
2007-01-30,33.16,40.89,41.46,40.7,41.4,774700.0
2007-01-31,33.37,41.15,41.22,40.54,40.9,785200.0
2007-02-01,33.58,41.41,41.87,40.92,40.96,962400.0
2007-02-02,33.73,41.21,41.33,40.72,41.1,867800.0
2007-02-05,33.98,41.51,41.6,41.1,41.31,791200.0
2007-02-06,34.07,41.62,41.71,40.99,41.67,838400.0
2007-02-07,34.53,42.18,42.19,41.36,41.74,1055200.0
2007-02-08,34.36,41.98,42.19,41.73,42.14,799300.0
2007-02-09,34.17,41.74,42.09,41.57,42.08,904600.0
2007-02-12,34.31,41.91,41.97,41.29,41.58,798300.0
2007-02-13,34.36,41.97,42.09,41.68,42.03,812300.0
2007-02-14,34.68,42.37,42.59,42.01,42.09,673200.0
2007-02-15,34.66,42.34,42.45,41.93,42.32,569300.0
2007-02-16,34.7,42.39,42.5,42.12,42.29,662200.0
2007-02-20,35.04,42.81,42.86,41.93,42.17,606600.0
2007-02-21,34.76,42.47,42.89,42.25,42.81,401500.0
2007-02-22,34.9,42.63,42.69,42.24,42.48,437600.0
2007-02-23,34.63,42.3,42.72,42.27,42.72,497800.0
2007-02-26,34.45,42.08,42.65,41.8,42.37,542400.0
2007-02-27,33.41,40.82,42.03,40.82,41.86,1128500.0
2007-02-28,33.05,40.38,41.27,40.16,41.14,1301200.0
2007-03-01,32.51,39.72,40.38,39.31,39.76,1769300.0
2007-03-02,32.21,39.35,39.66,39.22,39.26,1214200.0
2007-03-05,31.81,38.86,39.83,38.85,39.83,1614700.0
2007-03-06,31.89,38.96,39.17,38.45,38.87,944300.0
2007-03-07,32.46,39.65,40.02,38.77,39.17,1178400.0
2007-03-08,32.7,39.95,40.22,39.67,39.8,1230400.0
2007-03-09,32.76,40.02,40.37,39.61,40.23,1313200.0
2007-03-12,32.9,40.19,40.31,39.58,39.87,524100.0
2007-03-13,32.46,39.66,40.16,39.63,39.93,1242800.0
2007-03-14,32.82,40.1,40.32,38.76,39.23,1542500.0
2007-03-15,32.52,39.73,40.12,39.53,40.0,1229000.0
2007-03-16,32.47,39.67,39.84,39.28,39.73,1375700.0
2007-03-19,32.78,40.04,40.29,39.72,39.83,664400.0
2007-03-20,33.16,40.51,40.66,40.02,40.05,1054600.0
2007-03-21,30.43,37.18,38.4,36.36,37.65,7628100.0
2007-03-22,30.56,37.33,37.44,37.04,37.18,2827800.0
2007-03-23,30.55,37.32,37.97,37.27,37.52,1341200.0
2007-03-26,30.33,37.05,37.45,36.75,37.38,1623100.0
2007-03-27,30.16,36.85,37.16,36.75,37.05,1447300.0
2007-03-28,29.66,36.23,36.9,36.05,36.77,1776600.0
2007-03-29,29.58,36.14,36.37,36.02,36.24,1570900.0
2007-03-30,29.55,36.1,36.46,35.85,36.31,2078400.0
2007-04-02,29.49,36.03,36.25,35.64,36.24,1713800.0
2007-04-03,29.43,35.95,36.41,35.9,36.18,2246300.0
2007-04-04,29.46,35.99,36.08,35.58,36.04,1787200.0
2007-04-05,29.81,36.42,36.6,36.08,36.08,1528100.0
2007-04-09,29.93,36.56,36.68,36.08,36.42,2360800.0
2007-04-10,30.5,37.26,37.3,36.62,36.7,1824600.0
2007-04-11,30.38,37.11,37.22,36.77,37.14,1340600.0
2007-04-12,30.54,37.31,37.38,36.98,37.05,1314600.0
2007-04-13,30.37,37.1,37.26,37.0,37.26,821500.0
2007-04-16,30.76,37.58,37.6,37.18,37.2,886600.0
2007-04-17,30.9,37.75,37.95,37.5,37.51,880600.0
2007-04-18,30.89,37.74,37.91,37.36,37.74,998900.0
2007-04-19,30.75,37.56,37.63,37.33,37.5,1076600.0
2007-04-20,30.92,37.77,38.19,37.58,38.14,1227100.0
2007-04-23,30.87,37.71,38.15,37.5,37.78,686500.0
2007-04-24,30.89,37.74,37.8,37.44,37.62,819900.0
2007-04-25,31.24,38.17,38.26,37.69,37.85,804200.0
2007-04-26,30.98,37.85,38.15,37.33,37.34,592000.0
2007-04-27,30.9,37.75,37.96,37.53,37.64,515400.0
2007-04-30,30.67,37.47,37.92,37.35,37.92,823500.0
2007-05-01,31.04,37.92,38.13,37.46,37.61,953200.0
2007-05-02,31.25,38.18,38.37,37.77,37.92,765200.0
2007-05-03,31.11,38.0,38.27,37.82,38.2,669600.0
2007-05-04,31.2,38.12,38.32,37.85,38.22,1076300.0
2007-05-07,31.62,38.63,38.73,38.12,38.3,652500.0
2007-05-08,31.25,38.18,38.54,38.08,38.45,676900.0
2007-05-09,31.6,38.61,38.78,38.11,38.16,633200.0
2007-05-10,31.08,37.97,38.61,37.91,38.61,868300.0
2007-05-11,31.13,38.03,38.13,37.64,37.93,469600.0
2007-05-14,31.0,37.87,38.34,37.75,38.11,390700.0
2007-05-15,30.79,37.61,38.19,37.5,37.88,1029900.0
2007-05-16,30.77,37.59,37.75,37.47,37.6,1083300.0
2007-05-17,30.32,37.04,37.75,37.01,37.75,1505900.0
2007-05-18,30.55,37.32,37.46,37.12,37.23,1696200.0
2007-05-21,30.66,37.45,37.69,37.35,37.45,1867600.0
2007-05-22,30.73,37.54,37.61,37.23,37.27,1131300.0
